"","time","S","E","I","H","C","R","D","inci","hosp","crits","lvl2","lvl3","lvl4","ID","POP","age","tot_pop","start"
"1",1,10705.07615,0,0.333,0,0,0,0,0,0,0,"Malawi","Rumphi","TA Katumbi",178,10706.07615,"Pediatrics",19495.406844,134
"2",2,10704.9237698754,0.131871369303865,0.268853664285782,1.37232205657645e-05,8.89076504171092e-08,0.0846412749659528,3.89783932127735e-09,0.152380124581656,1.55793303605323e-05,9.28054897383865e-08,"Malawi","Rumphi","TA Katumbi",178,10706.07615,"Pediatrics",19495.406844,134
"3",3,10704.7926225193,0.212937053500359,0.246075188484635,2.25300032643006e-05,2.95826648546414e-07,0.157492385765033,2.70732841300704e-08,0.283527480653223,2.89880019178303e-05,3.22899932676485e-07,"Malawi","Rumphi","TA Katumbi",178,10706.07615,"Pediatrics",19495.406844,134
"4",4,10704.6669086365,0.269362911808427,0.245520844464663,2.89185700490555e-05,5.65696032583965e-07,0.227328042571335,8.04405919729467e-08,0.409241363551098,4.18413025401937e-05,6.46136624556912e-07,"Malawi","Rumphi","TA Katumbi",178,10706.07615,"Pediatrics",19495.406844,134
"5",5,10704.5379743151,0.314699464867416,0.257486225908169,3.41975306807992e-05,8.71356111741203e-07,0.298954755313809,1.69968634066186e-07,0.53817568494482,5.5024025596947e-05,1.04132474580739e-06,"Malawi","Rumphi","TA Katumbi",178,10706.07615,"Pediatrics",19495.406844,134
"6",6,10704.4007745669,0.356039329066128,0.277120730099423,3.90640474395582e-05,1.20016421259366e-06,0.37517481048387,2.99233960946652e-07,0.675375433095034,6.90520109103645e-05,1.49939817354031e-06,"Malawi","Rumphi","TA Katumbi",178,10706.07615,"Pediatrics",19495.406844,134
"7",7,10704.2520466505,0.397189079993236,0.302067597234301,4.3902303115602e-05,1.54707130774377e-06,0.457800752108523,4.70758368105424e-07,0.824103349468851,8.42588966325859e-05,2.01782967584919e-06,"Malawi","Rumphi","TA Katumbi",178,10706.07615,"Pediatrics",19495.406844,134
"8",8,10704.0893720809,0.440288420696417,0.331261633833722,4.89363702468745e-05,1.91107138125939e-06,0.548176330438888,6.86711036615756e-07,0.986777919121692,0.000100892018604377,2.59778241787514e-06,"Malawi","Rumphi","TA Katumbi",178,10706.07615,"Pediatrics",19495.406844,134
"9",9,10703.9106881762,0.48664292659581,0.364313549329666,5.43092333315483e-05,2.29336901223154e-06,0.647447796019737,9.4928690577777e-07,1.16546182383446,0.000119162351691735,3.24265591800931e-06,"Malawi","Rumphi","TA Katumbi",178,10706.07615,"Pediatrics",19495.406844,134
"10",10,10703.7140301354,0.537152426599097,0.401196190058321,6.01237630028519e-05,2.69643829520833e-06,0.756707166850186,1.2609177085248e-06,1.36211986462661,0.000139270883077515,3.95735600373313e-06,"Malawi","Rumphi","TA Katumbi",178,10706.07615,"Pediatrics",19495.406844,134
"11",11,10703.4973904441,0.592532380409159,0.442085625003731,6.64641521098641e-05,3.12354465016938e-06,0.877070338425536,1.62439729267599e-06,1.57875955593248,0.000161422990966772,4.74794194284537e-06,"Malawi","Rumphi","TA Katumbi",178,10706.07615,"Pediatrics",19495.406844,134
"12",12,10703.2586371802,0.65342994637555,0.487281357289231,7.34073681614586e-05,3.57850764179913e-06,1.00972248725788,2.04296407072887e-06,1.81751281976254,0.000185836802412019,5.621471712528e-06,"Malawi","Rumphi","TA Katumbi",178,10706.07615,"Pediatrics",19495.406844,134
"13",13,10702.9954618859,0.720485902868043,0.53716753546273,8.10294368491995e-05,4.06559222124265e-06,1.15594706035805,2.52036241040807e-06,2.08068811408031,0.000212748529482214,6.58595463165072e-06,"Malawi","Rumphi","TA Katumbi",178,10706.07615,"Pediatrics",19495.406844,134
"14",14,10702.7053415113,0.794369151063757,0.59219532126748,8.94090829669921e-05,4.58946923324304e-06,1.31714695692938,3.06089502169911e-06,2.37080848870784,0.000242416368065835,7.65036425494215e-06,"Malawi","Rumphi","TA Katumbi",178,10706.07615,"Pediatrics",19495.406844,134
"15",15,10702.3855055728,0.875798293366906,0.652875854362652,9.86301132231058e-05,5.15521358882896e-06,1.49486282471377,3.66947402251133e-06,2.69064442724416,0.000275123865449912,8.82468761134028e-06,"Malawi","Rumphi","TA Katumbi",178,10706.07615,"Pediatrics",19495.406844,134
