"","time","S","E","I","H","C","R","D","inci","hosp","crits","lvl2","lvl3","lvl4","ID","POP","age","tot_pop","start"
"1",1,3882.845906,0,0.333,0,0,0,0,0,0,0,"Malawi","Zomba","TA Kuntumanji",325,3883.845906,"Elderly",41754.063106,86
"2",2,3877.63892352236,4.63157392289596,0.777070579455593,0.0133075998552253,0.000412014313750758,0.117608589356278,9.77175976485865e-06,5.20698247763657,0.0147484965417143,0.00042841367505018,"Malawi","Zomba","TA Kuntumanji",325,3883.845906,"Elderly",41754.063106,86
"3",3,3857.86491132138,21.2688717222239,3.40784498592046,0.0621417037925825,0.00262832772126828,0.572405006530418,0.000102932434358817,24.980994678623,0.0715626377163043,0.00280107308352635,"Malawi","Zomba","TA Kuntumanji",325,3883.845906,"Elderly",41754.063106,86
"4",4,3771.00195429981,94.1068374247019,15.1791916461486,0.279068549691911,0.0125743615912194,2.59869974503891,0.000579973015259299,111.843951700188,0.324633924869162,0.0135476956937786,"Malawi","Zomba","TA Kuntumanji",325,3883.845906,"Elderly",41754.063106,86
"5",5,3412.61205923979,392.281997144279,65.5114510011175,1.22824650070541,0.0566441710790714,11.48574074579,0.00276719723535017,470.233846760207,1.43437893638634,0.0612881930711458,"Malawi","Zomba","TA Kuntumanji",325,3883.845906,"Elderly",41754.063106,86
"6",6,2277.91989003911,1303.16179101715,249.322566205712,5.03846856585383,0.243228079805547,47.4806022873927,0.0123598049768856,1604.92601596089,5.92628956095041,0.263970802946908,"Malawi","Zomba","TA Kuntumanji",325,3883.845906,"Elderly",41754.063106,86
"7",7,634.725262936479,2399.48876385665,669.735824132992,16.7397907846644,0.921519572231941,161.516859057915,0.0508856590676751,3248.12064306352,20.1263883746907,1.00691793732592,"Malawi","Zomba","TA Kuntumanji",325,3883.845906,"Elderly",41754.063106,86
"8",8,46.9042103168773,2291.81698925445,1107.42826353998,38.9120919432517,2.72365021337696,395.215959409685,0.177741322377113,3835.94169568312,49.0758839024556,3.02194286829689,"Malawi","Zomba","TA Kuntumanji",325,3883.845906,"Elderly",41754.063106,86
"9",9,1.31571351547973,1759.27563266829,1331.90019669368,65.5747383164511,6.0707814946436,718.54634200616,0.495501305293916,3881.53019248452,88.7896270312023,6.9023517670804,"Malawi","Zomba","TA Kuntumanji",325,3883.845906,"Elderly",41754.063106,86
"10",10,0.0222938035993285,1323.09574484695,1378.8477862616,89.8980210002708,10.8338010752107,1079.36375257804,1.11750643433128,3882.8236121964,132.643411044262,12.7092454385622,"Malawi","Zomba","TA Kuntumanji",325,3883.845906,"Elderly",41754.063106,86
"11",11,0.00039014274986503,994.294001281469,1320.25560080074,108.470065082215,16.5427556361146,1441.48318368806,2.13290936864232,3882.84551585725,176.147972890845,20.1222901515946,"Malawi","Zomba","TA Kuntumanji",325,3883.845906,"Elderly",41754.063106,86
"12",12,8.98232162512122e-06,747.189726214053,1205.62472123887,120.34961775241,22.6405194861407,1783.78290344271,3.5914088834813,3882.84589701768,216.768785622518,28.6677667037782,"Malawi","Zomba","TA Kuntumanji",325,3883.845906,"Elderly",41754.063106,86
"13",13,3.29871675388675e-07,561.496199290209,1066.42693717207,125.926326100721,28.6224122384991,2095.2044384561,5.50259241252363,3882.84590567013,253.25220554574,37.8570847261463,"Malawi","Zomba","TA Kuntumanji",325,3883.845906,"Elderly",41754.063106,86
"14",14,1.72576740492026e-07,421.951623061522,921.95327415605,126.205433374998,34.0953788925625,2371.13077539965,7.84242094263531,3882.84590582742,285.145814477308,47.2568459768177,"Malawi","Zomba","TA Kuntumanji",325,3883.845906,"Elderly",41754.063106,86
"15",15,-9.20024559353357e-08,317.087123483414,783.423079070201,122.390122910911,38.7916534307329,2610.92467786358,10.5622493331554,3882.845906092,312.477633843603,56.5176462014432,"Malawi","Zomba","TA Kuntumanji",325,3883.845906,"Elderly",41754.063106,86
"16",16,-1.02755232386651e-07,238.283782563838,656.805699408918,115.652834118472,42.5588205608044,2816.27987585404,13.597893596677,3882.84590610276,335.545195077642,65.3793539518275,"Malawi","Zomba","TA Kuntumanji",325,3883.845906,"Elderly",41754.063106,86
"17",17,-1.8335657961844e-08,179.064833996737,544.735990374654,107.023168408863,45.339617345107,2990.13779696842,16.8774989245458,3882.84590601834,354.779922638664,73.6641166527555,"Malawi","Zomba","TA Kuntumanji",325,3883.845906,"Elderly",41754.063106,86
"18",18,-3.92751394275615e-09,134.563122772359,447.803400232305,97.3450786874354,47.1489386572609,3135.99059101214,20.3277746424231,3882.84590600393,370.662178321742,81.2638298126067,"Malawi","Zomba","TA Kuntumanji",325,3883.845906,"Elderly",41754.063106,86
"19",19,-5.00552911385728e-10,101.12119293682,365.405697204326,87.2733296140663,48.0521045379012,3257.44803915537,23.8785425520107,3882.8459060005,383.670300465569,88.1260375895829,"Malawi","Zomba","TA Kuntumanji",325,3883.845906,"Elderly",41754.063106,86
"20",20,-3.42056308960678e-10,75.9902975739134,296.305572781822,77.2903198756479,48.1462154289937,3357.98071930623,27.4657810337328,3882.84590600034,394.251900086007,94.2403967619025,"Malawi","Zomba","TA Kuntumanji",325,3883.845906,"Elderly",41754.063106,86
"21",21,-1.13187279435536e-09,57.1050053330462,238.982582865632,67.7318033440564,47.5452860205938,3440.780819692,31.0334087457963,3882.84590600113,402.809650298128,99.6268040502525,"Malawi","Zomba","TA Kuntumanji",325,3883.845906,"Elderly",41754.063106,86
"22",22,1.74288834852834e-09,42.9130710667935,191.851004263995,58.8147312815862,46.3689908836155,3508.69699998129,34.5341085209682,3882.84590599826,409.695926833553,104.325524447355,"Malawi","Zomba","TA Kuntumanji",325,3883.845906,"Elderly",41754.063106,86
"23",23,1.02715959196281e-09,32.2482078813169,153.385413595219,50.6637506729452,44.7346737468942,3564.21743311854,37.9294269840468,3882.84590599897,415.212993220487,108.389367677088,"Malawi","Zomba","TA Kuntumanji",325,3883.845906,"Elderly",41754.063106,86
"24",24,3.40341124002683e-10,24.2337956211807,122.189597472082,43.3344003707762,42.7520030583411,3609.47971516788,41.1893943093965,3882.84590599966,419.616075546567,111.877705617398,"Malawi","Zomba","TA Kuntumanji",325,3883.845906,"Elderly",41754.063106,86
"25",25,4.36371223274486e-10,18.2111449557378,97.0258992311568,36.8326223795606,40.5197724286938,3646.29764967934,44.2918173250634,3882.84590599956,423.118122521136,114.852086402875,"Malawi","Zomba","TA Kuntumanji",325,3883.845906,"Elderly",41754.063106,86
"26",26,3.2160867628717e-10,13.6852612701383,76.8228337616122,31.1303684418266,38.1242891021121,3676.19475108379,47.2214023401959,3882.84590599968,425.895040775777,117.373150788949,"Malawi","Zomba","TA Kuntumanji",325,3883.845906,"Elderly",41754.063106,86
"27",27,3.8108105992904e-10,10.2841578623514,60.6689551136826,26.1777651571669,35.6389195388776,3700.44030619179,49.9688021357464,3882.84590599962,428.09095238927,119.498578355953,"Malawi","Zomba","TA Kuntumanji",325,3883.845906,"Elderly",41754.063106,86
"28",28,3.06631267389485e-10,7.72830888660543,47.7994275917526,21.912303942726,33.1244285730743,3720.08477638433,52.5296606211953,3882.84590599969,429.823133134695,121.281823371196,"Malawi","Zomba","TA Kuntumanji",325,3883.845906,"Elderly",41754.063106,86
"29",29,2.62800571249963e-10,5.80764728517758,37.579511828822,18.2655514058095,30.6298294007821,3735.99266240698,54.9037036721598,3882.84590599974,431.186449897304,122.771438984162,"Malawi","Zomba","TA Kuntumanji",325,3883.845906,"Elderly",41754.063106,86
"30",30,2.38662206287693e-10,4.36431395823743,29.4870941318172,15.1679035374175,28.1935288301899,3748.8721603288,57.0939052132888,3882.84590599976,432.257259696941,124.010822963317,"Malawi","Zomba","TA Kuntumanji",325,3883.845906,"Elderly",41754.063106,86
"31",31,2.20670041941676e-10,3.27968174358649,23.0959328776747,12.5517834828404,25.8446155776923,3759.30114782062,59.1057444973603,3882.84590599978,433.096748153209,125.038259528025,"Malawi","Zomba","TA Kuntumanji",325,3883.845906,"Elderly",41754.063106,86
"32",32,2.08144978359383e-10,2.46460594358768,18.0602405711782,10.3536878643517,23.6041742959943,3767.74963604053,60.9465612841461,3882.84590599979,433.753755640936,125.887151211829,"Malawi","Zomba","TA Kuntumanji",325,3883.845906,"Elderly",41754.063106,86
"33",33,1.98467406509469e-10,1.85209478843114,14.101029768568,8.51536103875506,21.486557535806,3774.59885551911,62.6250073491243,3882.8459059998,434.267133628815,126.586370323943,"Malawi","Zomba","TA Kuntumanji",325,3883.845906,"Elderly",41754.063106,86
"34",34,1.91295579321174e-10,1.39180680561476,10.9942618040809,6.98435214286867,19.5005659669456,3780.15732948675,64.1505897935436,3882.84590599981,434.667693422651,127.16067273489,"Malawi","Zomba","TA Kuntumanji",325,3883.845906,"Elderly",41754.063106,86
"35",35,1.8587891332373e-10,1.04591098599065,8.56076913926935,5.71413739360229,17.650513013181,3784.674277616,65.5332978517617,3882.84590599981,434.979802706824,127.631136204368,"Malawi","Zomba","TA Kuntumanji",325,3883.845906,"Elderly",41754.063106,86
"36",36,1.81772442612041e-10,0.785978093591842,6.65778809129018,4.66395458017437,15.937161490538,3788.35071933991,66.7833044043084,3882.84590599982,435.22268545799,128.015596086748,"Malawi","Zomba","TA Kuntumanji",325,3883.845906,"Elderly",41754.063106,86
"37",37,1.78642997156782e-10,0.590644552160685,5.17193167458492,3.79845436598314,14.3585319024943,3791.34861110447,67.9107324001233,3882.84590599982,435.41147338646,128.32906162664,"Malawi","Zomba","TA Kuntumanji",325,3883.845906,"Elderly",41754.063106,86
"38",38,1.76250438036348e-10,0.443855864370233,4.01340476011181,3.08724915560777,12.910587137472,3793.79833225332,68.9254768289386,3882.84590599982,435.558052794313,128.584101883268,"Malawi","Zomba","TA Kuntumanji",325,3883.845906,"Elderly",41754.063106,86
