"","time","S","E","I","H","C","R","D","inci","hosp","crits","lvl2","lvl3","lvl4","ID","POP","age","tot_pop","start"
"1",1,37642.61486,0,0.333,0,0,0,0,0,0,0,"Malawi","Salima","TA Maganga",174,37643.61486,"Pediatrics",67822.103114,99
"2",2,37642.4607744504,0.133349750702793,0.269059802666354,1.29011306322058e-05,8.35705268022677e-08,0.0846630078993426,3.66365867933781e-09,0.154085549633307,1.4645814341838e-05,8.72341854816055e-08,"Malawi","Salima","TA Maganga",174,37643.61486,"Pediatrics",67822.103114,99
"3",3,37642.3279706982,0.215491148604091,0.246741613983397,2.11962463164632e-05,2.78172870836252e-07,0.15763503928882,2.54522124790418e-08,0.286889301747708,2.72687479827691e-05,3.03625083315294e-07,"Malawi","Salima","TA Maganga",174,37643.61486,"Pediatrics",67822.103114,99
"4",4,37642.1961741651,0.276585748704633,0.247278672597928,2.7246168404013e-05,5.32274119496871e-07,0.227793559461917,7.5651217943849e-08,0.418685834858219,3.94046751528274e-05,6.0792533744072e-07,"Malawi","Salima","TA Maganga",174,37643.61486,"Pediatrics",67822.103114,99
"5",5,37642.0601916445,0.32628528519548,0.261168430421874,3.23109531254688e-05,8.20816191296633e-07,0.300181348137401,1.59937389997745e-07,0.554668355461461,5.19260247513564e-05,9.80753581294377e-07,"Malawi","Salima","TA Maganga",174,37643.61486,"Pediatrics",67822.103114,99
"6",6,37641.9143758569,0.372277159623166,0.283363875057242,3.70640286349672e-05,1.13262764553369e-06,0.377804629930408,2.81814800640291e-07,0.700484143081897,6.53528775584468e-05,1.41444244617398e-06,"Malawi","Salima","TA Maganga",174,37643.61486,"Pediatrics",67822.103114,99
"7",7,37641.7549929993,0.418706300525038,0.311466030032428,4.18765551110328e-05,1.46373268794065e-06,0.46265088598026,4.43892468256477e-07,0.859867000717993,8.00290582349753e-05,1.90762515619712e-06,"Malawi","Salima","TA Maganga",174,37643.61486,"Pediatrics",67822.103114,99
"8",8,37641.5791931898,0.467930528419282,0.344449646794092,4.69665760457308e-05,1.81397848713038e-06,0.556237205894974,6.48542972993293e-07,1.03566681020585,9.62170052482042e-05,2.46252146012367e-06,"Malawi","Salima","TA Maganga",174,37643.61486,"Pediatrics",67822.103114,99
"9",9,37641.3844634701,0.521437827521389,0.382001723063928,5.24772048124774e-05,2.18528373241732e-06,0.659901418532731,8.98262977355921e-07,1.23039652986957,0.000114148139007942,3.08354670977324e-06,"Malawi","Salima","TA Maganga",174,37643.61486,"Pediatrics",67822.103114,99
"10",10,37641.1683461198,0.580302204881773,0.424196691113931,5.85158373891628e-05,2.58078259571275e-06,0.774952691706902,1.19587137042326e-06,1.44651388019396,0.000134048916711883,3.77665396613601e-06,"Malawi","Salima","TA Maganga",174,37643.61486,"Pediatrics",67822.103114,99
"11",11,37640.9384875844,0.636510337453475,0.470152865720169,6.51559450603674e-05,3.00433914788367e-06,0.902639507545136,1.54462827481331e-06,1.67637241563126,0.000156135293514307,4.54896742269698e-06,"Malawi","Salima","TA Maganga",174,37643.61486,"Pediatrics",67822.103114,99
"12",12,37640.684138789,0.700089241971626,0.519622441844281,7.24127052759076e-05,3.4598287495858e-06,1.04393170642442,1.94828697966634e-06,1.93072121106133,0.000180575019860951,5.40811572925214e-06,"Malawi","Salima","TA Maganga",174,37643.61486,"Pediatrics",67822.103114,99
"13",13,37640.4032383527,0.771010249676293,0.573550011735665,8.03258761333693e-05,3.95094714961439e-06,1.19997469807396,2.41106991876907e-06,2.21162164737912,0.000207566217501039,6.36201706838346e-06,"Malawi","Salima","TA Maganga",174,37643.61486,"Pediatrics",67822.103114,99
"14",14,37640.0932947112,0.849623989991934,0.632691996074544,8.8962829782776e-05,4.48160507824982e-06,1.37215292071685,2.93767124081972e-06,2.52156528888943,0.000237348356164167,7.41927631906953e-06,"Malawi","Salima","TA Maganga",174,37643.61486,"Pediatrics",67822.103114,99
"15",15,37639.75144887,0.936512685366158,0.697736444758636,9.84072165595598e-05,5.05615073046072e-06,1.56205500328373,3.53329974143546e-06,2.86341113007556,0.000270196225997483,8.58945047189617e-06,"Malawi","Salima","TA Maganga",174,37643.61486,"Pediatrics",67822.103114,99
"16",16,37639.3744911273,1.03241896559903,0.769366768892094,0.000108754020609465,5.67947455756664e-06,1.77146450104205,4.20374112926196e-06,3.24036887276947,0.000306418334346038,9.8832156868286e-06,"Malawi","Salima","TA Maganga",174,37643.61486,"Pediatrics",67822.103114,99
