"","time","S","E","I","H","C","R","D","inci","hosp","crits","lvl2","lvl3","lvl4","ID","POP","age","tot_pop","start"
"1",1,14840.15465,0,1,0,0,0,0,0,0,0,"Malawi","Chikwawa","TA Maseya",185,14841.15465,"Adults",41452.350729,76
"2",2,14839.126792551,0.891269413047661,0.875498612047802,0.00575684955899787,0.000105099724268497,0.255226534235328,9.40380568752612e-07,1.02785744899463,0.00652425265081103,0.000109681169776931,"Malawi","Chikwawa","TA Maseya",185,14841.15465,"Adults",41452.350729,76
"3",3,14838.105244621,1.56054240640969,0.968268906694402,0.0102334743424457,0.000364093068724308,0.509989810057499,6.68844935393976e-06,2.04940537902211,0.0130089038607475,0.000396678563649667,"Malawi","Chikwawa","TA Maseya",185,14841.15465,"Adults",41452.350729,76
"4",4,14836.8970356332,2.22907829628686,1.2009966422318,0.0147870375015729,0.00074162000368894,0.811990143532106,2.06272079398507e-05,3.25761436676397,0.020679031068165,0.000842113816840474,"Malawi","Chikwawa","TA Maseya",185,14841.15465,"Adults",41452.350729,76
"5",5,14835.3585005078,3.02162812275007,1.55608096497718,0.0202056225090097,0.00124073548988933,1.19694826829005,4.57782410298696e-05,4.79614949225724,0.0304470894316278,0.00146376276599362,"Malawi","Chikwawa","TA Maseya",185,14841.15465,"Adults",41452.350729,76
"6",6,14833.3922060386,3.99206250759711,2.04132157387997,0.0270896519048982,0.00188675962826589,1.69999792135839,8.55470743660588e-05,6.76244396144299,0.0432067424900194,0.00230353691252423,"Malawi","Chikwawa","TA Maseya",185,14841.15465,"Adults",41452.350729,76
"7",7,14830.809420633,5.26114475074801,2.68420320255674,0.0360136878503926,0.00272135096964472,2.36100216995711,0.000144204913392282,9.34522936699527,0.059969616697112,0.00342390371765769,"Malawi","Chikwawa","TA Maseya",185,14841.15465,"Adults",41452.350729,76
"8",8,14827.4123504789,6.9277711853999,3.53215496361168,0.0476706597227762,0.00380229072362118,3.23067312776522,0.000227293898627068,12.7422995211218,0.0820218331869798,0.00490964517729803,"Malawi","Chikwawa","TA Maseya",185,14841.15465,"Adults",41452.350729,76
"9",9,14822.9427508489,9.11921543937879,4.64888826171316,0.06295153680456,0.00520705045745769,4.37529478176034,0.000342081042740832,17.211899151157,0.11104411588861,0.00687363705958644,"Malawi","Chikwawa","TA Maseya",185,14841.15465,"Adults",41452.350729,76
"10",10,14817.0620369282,12.0014686234802,6.11871635566244,0.0830177043010174,0.00703833597072954,5.88187392173508,0.000498130620094451,23.0926130717695,0.149242467324715,0.00946518140743636,"Malawi","Chikwawa","TA Maseya",185,14841.15465,"Adults",41452.350729,76
"11",11,14809.3258471743,15.791856545261,8.05264885735726,0.109390514532893,0.00943169337777567,7.86476716947891,0.000708045734655309,30.8288028257425,0.199516214980047,0.012881225469985,"Malawi","Chikwawa","TA Maseya",185,14841.15465,"Adults",41452.350729,76
"12",12,14799.1513106929,20.7749535057087,10.596496621238,0.144065563900282,0.0125656010696078,10.4742695828721,0.000988432372195869,41.0033393071609,0.26567576017147,0.0173811504359608,"Malawi","Chikwawa","TA Maseya",185,14841.15465,"Adults",41452.350729,76
"13",13,14785.9275491355,27.1887523438488,13.9244355848642,0.189622675847725,0.01667446252023,13.9062546335003,0.00136116394032802,54.2271008645216,0.352686571939922,0.0233059249598781,"Malawi","Chikwawa","TA Maseya",185,14841.15465,"Adults",41452.350729,76
"14",14,14768.5840230672,35.6146541908654,18.2705053643638,0.249325811219661,0.0220627780129811,18.4122237950384,0.00185499333351523,71.5706269328337,0.466923202975324,0.0311001307171964,"Malawi","Chikwawa","TA Maseya",185,14841.15465,"Adults",41452.350729,76
"15",15,14745.8671955938,46.6499250899182,23.9560381741814,0.327493395170438,0.0291260033106103,24.3223641449619,0.00250759871242937,94.287454406255,0.616755292517585,0.0413427879186259,"Malawi","Chikwawa","TA Maseya",185,14841.15465,"Adults",41452.350729,76
"16",16,14716.1425301522,61.076756698584,31.3941894940935,0.429806078398992,0.0383806059047179,32.0696186902005,0.00336828062743555,124.012119847809,0.81315755846928,0.0547905516910058,"Malawi","Chikwawa","TA Maseya",185,14841.15465,"Adults",41452.350729,76
"17",17,14677.2903341451,79.9072828826869,41.1187382561288,0.563679045260123,0.0505017635154072,42.219612364126,0.00450154316173224,162.864315854879,1.07046794038445,0.072432857568845,"Malawi","Chikwawa","TA Maseya",185,14841.15465,"Adults",41452.350729,76
