"","time","S","E","I","H","C","R","D","inci","hosp","crits","lvl2","lvl3","lvl4","ID","POP","age","tot_pop","start"
"1",1,3675.561259,0,1,0,0,0,0,0,0,0,"Malawi","Chikwawa","TA Maseya",185,3676.561259,"Elderly",41452.350729,96
"2",2,3661.86700371869,11.6051931025385,2.49880140964685,0.0632118617418996,0.00126079795855787,0.525768501546204,1.96078804100554e-05,13.6942552813125,0.0676503227064321,0.00129370261999065,"Malawi","Chikwawa","TA Maseya",185,3676.561259,"Elderly",41452.350729,96
"3",3,3604.1379043085,57.3364779095525,11.9838192774172,0.324374213491814,0.00874510158290155,2.76971809719472,0.000220092265210976,71.4233546915043,0.35564423817093,0.00911444601581779,"Malawi","Chikwawa","TA Maseya",185,3676.561259,"Elderly",41452.350729,96
"4",4,3339.39019646872,265.106895577019,56.896540277542,1.57480216805214,0.0454364101864839,13.5460525689785,0.00133552949720025,336.171062531276,1.73837546562326,0.0476776083690437,"Malawi","Chikwawa","TA Maseya",185,3676.561259,"Elderly",41452.350729,96
"5",5,2374.39530241048,993.190148060282,239.87817118345,7.13634349500489,0.216784539335041,61.7376918492879,0.00681746215678863,1301.16595658952,7.91934295685509,0.228225158076519,"Malawi","Chikwawa","TA Maseya",185,3676.561259,"Elderly",41452.350729,96
"6",6,729.60860512827,1995.02934282126,696.231673444941,26.022024126605,0.904685513201648,228.733800361462,0.031127604263997,2945.95265387173,29.3050507539771,0.956921821160523,"Malawi","Chikwawa","TA Maseya",185,3676.561259,"Elderly",41452.350729,96
"7",7,56.3920501781575,1830.86430144489,1141.41823796863,63.7060666984357,2.87659684873064,581.185944049218,0.118061811938583,3619.16920882184,74.2548794619837,3.07472045356391,"Malawi","Chikwawa","TA Maseya",185,3676.561259,"Elderly",41452.350729,96
"8",8,1.9923054023507,1247.3126604006,1267.2498152436,108.064733747453,6.67020753502626,1044.92409032967,0.347446341289516,3673.56895359765,132.949395724126,7.2532692422125,"Malawi","Chikwawa","TA Maseya",185,3676.561259,"Elderly",41452.350729,96
"9",9,0.0693812088111925,823.696538361965,1178.46463225397,145.715868315908,12.1047662799843,1515.70216679959,0.80790577977247,3675.49187779119,191.896562641639,13.460540876578,"Malawi","Chikwawa","TA Maseya",185,3676.561259,"Elderly",41452.350729,96
"10",10,0.00353562694690679,543.063056622666,1003.16204528297,171.377787574265,18.5844523005745,1938.80340852826,1.56697306431168,3675.55772337305,244.159356088401,21.2140439278788,"Malawi","Chikwawa","TA Maseya",185,3676.561259,"Elderly",41452.350729,96
"11",11,0.00030038427473038,358.011659335423,810.496373246507,184.825846400041,25.4487309256151,2295.1183948819,2.65995382624415,3675.56095861573,287.45022316479,29.9124913244449,"Malawi","Chikwawa","TA Maseya",185,3676.561259,"Elderly",41452.350729,96
"12",12,4.23967112494953e-05,236.01597490162,632.652244671217,187.996906447153,32.1386870176543,2583.66592184112,4.09148172452637,3675.56121660329,321.815165956501,39.0047438319806,"Malawi","Chikwawa","TA Maseya",185,3676.561259,"Elderly",41452.350729,96
