"","time","S","E","I","H","C","R","D","inci","hosp","crits","lvl2","lvl3","lvl4","ID","POP","start","age","tot_pop"
"1",1,28600.53523,0,1,0,0,0,0,0,0,0,"Malawi","Phalombe","TA Mkhumba",188,28601.53523,1,"Elderly",314498.27453
"2",2,28379.9034728741,200.443332982173,19.1748338540099,0.229980289517928,0.0022379952106765,1.78135248579553,0.0000195192135314097,220.631757125921,0.237449115161488,0.00227075199730517,"Malawi","Phalombe","TA Mkhumba",188,28601.53523,1,"Elderly",314498.27453
"3",3,21534.4636146326,6329.24363100722,664.043531904248,8.40553365533327,0.0882816952839556,65.289731652453,0.000905452806183748,7066.07161536734,8.70090258063633,0.0898012095987493,"Malawi","Phalombe","TA Mkhumba",188,28601.53523,1,"Elderly",314498.27453
"4",4,278.659453421808,21177.9071983947,5940.79454321213,135.197490705788,2.02457464034694,1066.92596964746,0.0259999777888056,28321.8757765782,142.000118177788,2.06820732684876,"Malawi","Phalombe","TA Mkhumba",188,28601.53523,1,"Elderly",314498.27453
"5",5,0.00166581994624702,14613.6670382965,9656.38844278631,467.605317962001,12.6866664661649,3850.92369376913,0.262404899966418,28600.53356418,510.781981525556,13.1270295630021,"Malawi","Phalombe","TA Mkhumba",188,28601.53523,1,"Elderly",314498.27453
"6",6,-0.000000182272289575797,9947.70865075485,10399.2545629836,847.855387386967,36.2688887276498,7369.31416835059,1.13357197861924,28600.5352301823,973.405976047253,38.1712284593258,"Malawi","Phalombe","TA Mkhumba",188,28601.53523,1,"Elderly",314498.27453
"7",7,0.000000000707774942937751,6771.52413437959,9683.34431291872,1179.34665617225,71.7058204671593,10892.5023746317,3.11193142981393,28600.5352299993,1432.37444797647,76.928206793608,"Malawi","Phalombe","TA Mkhumba",188,28601.53523,1,"Elderly",314498.27453
"8",8,0.000000376080835991907,4609.46450322967,8364.43798597571,1426.04818861604,115.680270992576,14079.3235351611,6.58074564881943,28600.5352296239,1842.86127381182,126.723957805523,"Malawi","Phalombe","TA Mkhumba",188,28601.53523,1,"Elderly",314498.27453
"9",9,-0.0000000150501482958794,3137.71933447429,6900.59297781003,1583.24399694598,164.398285515652,16803.7935084902,11.7871267788314,28600.5352300151,2189.03561405973,184.179225779354,"Malawi","Phalombe","TA Mkhumba",188,28601.53523,1,"Elderly",314498.27453
"10",10,-0.0000000114672121415911,2135.88759410446,5518.80933259472,1660.81934523646,214.431635899638,19052.7452849152,18.8420372609471,28600.5352300115,2470.11929184474,246.051997714581,"Malawi","Phalombe","TA Mkhumba",188,28601.53523,1,"Elderly",314498.27453
"11",11,-0.000000300333673484515,1453.92324456264,4315.92698752434,1674.0706532815,263.044489343049,20866.828661439,27.7411941497292,28600.5352303003,2692.38654362893,309.599253249131,"Malawi","Phalombe","TA Mkhumba",188,28601.53523,1,"Elderly",314498.27453
"12",12,-0.000000771450051852662,989.702198214371,3318.56244516569,1638.93755788248,308.252448624387,22307.688119883,38.3924610014957,28600.5352307715,2864.74146938114,372.681973469321,"Malawi","Phalombe","TA Mkhumba",188,28601.53523,1,"Elderly",314498.27453
"13",13,0.000000000445543364012975,673.703064595328,2518.10289751493,1569.76253805679,348.7530305271,23440.570872763,50.6428265423632,28600.5352299996,2996.39790770908,433.740894441366,"Malawi","Phalombe","TA Mkhumba",188,28601.53523,1,"Elderly",314498.27453
"14",14,-0.000000000938847962881519,458.597846555031,1890.48799232456,1478.44847336456,383.806735787363,24325.8925175235,64.3016644459264,28600.535230001,3095.77420516644,491.716611292036,"Malawi","Phalombe","TA Mkhumba",188,28601.53523,1,"Elderly",314498.27453
"15",15,-0.00000000148755825626326,312.172878873699,1406.94535451816,1374.34427389848,413.109577237183,25015.8038496816,79.1592957923562,28600.5352300015,3170.06203386027,545.953257530624,"Malawi","Phalombe","TA Mkhumba",188,28601.53523,1,"Elderly",314498.27453
"16",16,0.000000000573021319375993,212.500289684009,1039.45566058145,1264.47695267461,436.67620940094,25553.4251300187,95.0009876396726,28600.5352299994,3225.15132949804,596.105126791391,"Malawi","Phalombe","TA Mkhumba",188,28601.53523,1,"Elderly",314498.27453
"17",17,0.000000000134203482939019,144.651602748581,763.205559995651,1153.91818442135,454.741611935776,25973.401334778,111.616936120487,28600.5352299999,3265.72857753185,642.055109724058,"Malawi","Phalombe","TA Mkhumba",188,28601.53523,1,"Elderly",314498.27453
"18",18,0.0000000000557036662328015,98.4661938789017,557.395064973883,1046.17196074499,467.683080578405,26303.0099840305,128.808945793231,28600.53523,3295.44475400942,683.847894105503,"Malawi","Phalombe","TA Mkhumba",188,28601.53523,1,"Elderly",314498.27453
"19",19,0.0000000000682018766490161,67.0271932488568,405.205423799856,943.531456130779,475.960570959945,26563.4160135339,146.394572326538,28600.5352299999,3317.0988406113,721.637260831655,"Malawi","Phalombe","TA Mkhumba",188,28601.53523,1,"Elderly",314498.27453
"20",20,0.0000000000355359038851762,45.6262630343545,293.37693193554,847.38262467268,480.072926667394,26770.867144061,164.20933962897,28600.53523,3332.80968732492,755.646032725449,"Malawi","Phalombe","TA Mkhumba",188,28601.53523,1,"Elderly",314498.27453
"21",21,0.0000000000401542882150598,31.0583375394511,211.650834602909,758.45060769829,480.526855054243,26937.7410192553,182.107575849704,28600.53523,3344.1649916449,786.136453308497,"Malawi","Phalombe","TA Mkhumba",188,28601.53523,1,"Elderly",314498.27453
"22",22,0.0000000000308627325623457,21.141793978125,152.204801932157,676.992875099955,477.815862001372,27073.4176106332,199.962286355063,28600.53523,3352.34445220129,813.388908393512,"Malawi","Phalombe","TA Mkhumba",188,28601.53523,1,"Elderly",314498.27453
"23",23,0.000000000026011416217811,14.3914777670218,109.142878235488,602.946767345155,472.406684681679,27184.9830314406,217.664390529971,28600.53523,3358.21847352062,837.687078063125,"Malawi","Phalombe","TA Mkhumba",188,28601.53523,1,"Elderly",314498.27453
"24",24,0.0000000000232749342920274,9.79645138292245,78.0627666434295,536.039506743657,464.731275774205,27277.7836690342,235.121560421558,28600.53523,3362.42540180631,859.307971916977,"Malawi","Phalombe","TA Mkhumba",188,28601.53523,1,"Elderly",314498.27453
"25",25,0.0000000000214237088232466,6.66856187419047,55.7031166407396,475.86861581269,455.182746497126,27355.8553496533,252.256839521865,28600.53523,3365.43097535098,878.515554171147,"Malawi","Phalombe","TA Mkhumba",188,28601.53523,1,"Elderly",314498.27453
"26",26,0.0000000000201884245369547,4.53937135754055,39.6637062387687,421.959480036553,444.114072773241,27422.2514343918,269.00716520201,28600.53523,3367.57347585559,895.556970199715,"Malawi","Phalombe","TA Mkhumba",188,28601.53523,1,"Elderly",314498.27453
"27",27,0.0000000000193531622610327,3.09000521813856,28.1880352591151,373.805602750789,431.83866463577,27479.2910422348,285.321879901289,28600.53523,3369.09763826489,910.66061744539,"Malawi","Phalombe","TA Mkhumba",188,28601.53523,1,"Elderly",314498.27453
"28",28,0.0000000000187811558324833,2.10340387716483,19.9969427869548,330.896013946847,418.632132718345,27528.7454490876,301.161287582983,28600.53523,3370.1799017652,924.035489380065,"Malawi","Phalombe","TA Mkhumba",188,28601.53523,1,"Elderly",314498.27453
"29",29,0.0000000000183859439065665,1.43181238345419,14.1628605040206,292.733283065915,404.734773234051,27571.9772101862,316.495290626281,28600.53523,3370.94707197339,935.871372940856,"Malawi","Phalombe","TA Mkhumba",188,28601.53523,1,"Elderly",314498.27453
"30",30,0.0000000000181112734313126,0.974652074697428,10.0156989247133,258.844771892182,390.354433194362,27610.0435467034,331.302127210541,28600.53523,3371.49002858369,946.339594850434,"Malawi","Phalombe","TA Mkhumba",188,28601.53523,1,"Elderly",314498.27453
"31",31,0.0000000000179196403521741,0.663457508688086,7.07298498027281,228.789104724083,375.66952229396,27643.77294176,345.56721873291,28600.53523,3371.87374005695,955.594099259197,"Malawi","Phalombe","TA Mkhumba",188,28601.53523,1,"Elderly",314498.27453
"32",32,0.0000000000177856169222724,0.451623551738618,4.98836872360941,202.159316530207,360.832015177162,27673.821776418,359.282129599257,28600.53523,3372.1445449342,963.772704351902,"Malawi","Phalombe","TA Mkhumba",188,28601.53523,1,"Elderly",314498.27453
"33",33,0.0000000000176917515821334,0.307425589720548,3.51388411940909,178.583750024712,345.970343036881,27700.7161902137,372.443637015521,28600.53523,3372.33542524636,970.998432887496,"Malawi","Phalombe","TA Mkhumba",188,28601.53523,1,"Elderly",314498.27453
"34",34,0.0000000000176259644415281,0.209268332486553,2.47243175514112,157.725471727819,331.192113512569,27724.8830392584,385.052905413477,28600.53523,3372.46981171894,977.38084663351,"Malawi","Phalombe","TA Mkhumba",188,28601.53523,1,"Elderly",314498.27453
"35",35,0.0000000000175798453788335,0.142451497441161,1.73780359270047,139.280755781187,316.586625540342,27746.6728351681,397.114758420152,28600.53523,3372.56432071934,983.017339448584,"Malawi","Phalombe","TA Mkhumba",188,28601.53523,1,"Elderly",314498.27453
"36",36,0.0000000000175475170886795,0.0969684423260449,1.22023959575829,122.977020601907,302.227164828808,27766.3767961044,408.637040426691,28600.53523,3372.63071705875,987.994361354868,"Malawi","Phalombe","TA Mkhumba",188,28601.53523,1,"Elderly",314498.27453
"37",37,0.0000000000175248627671135,0.066007809877268,0.856020614449167,108.570484432665,288.173078318812,27784.2395792892,419.63005953497,28600.53523,3372.67731792393,992.388558160966,"Malawi","Phalombe","TA Mkhumba",188,28601.53523,1,"Elderly",314498.27453
"38",38,0.0000000000175089943944402,0.0449323085518172,0.599985634205279,95.8437207904037,274.47163429928,27800.4688532732,430.1061036943,28600.53523,3372.70999569308,996.267819567269,"Malawi","Phalombe","TA Mkhumba",188,28601.53523,1,"Elderly",314498.27453
"39",39,0.0000000000174978851644037,0.030585973112279,0.420181510144063,84.6032288533321,261.159679794372,27815.2425315101,440.079022358892,28600.53523,3372.73289054664,999.692234498324,"Malawi","Phalombe","TA Mkhumba",188,28601.53523,1,"Elderly",314498.27453
"40",40,0.0000000000174901122493352,0.0208202480161976,0.294030579843889,74.677098027416,248.265109485241,27828.7143053754,449.563866283992,28600.53523,3372.74891828064,1002.71495553706,"Malawi","Phalombe","TA Mkhumba",188,28601.53523,1,"Elderly",314498.27453
"41",41,0.000000000017484676961852,0.0141726022785944,0.205601281509619,65.9128079066074,235.808162131618,27841.0179073178,458.5765787601,28600.53523,3372.76013006308,1005.38297718131,"Malawi","Phalombe","TA Mkhumba",188,28601.53523,1,"Elderly",314498.27453
"42",42,0.0000000000174808786006374,0.00964747086386462,0.143665909085321,58.175188591771,223.802560286195,27852.2704355696,467.133732172405,28600.53523,3372.76796730182,1007.73783345704,"Malawi","Phalombe","TA Mkhumba",188,28601.53523,1,"Elderly",314498.27453
"43",43,0.0000000000174782257834225,0.00656714092164404,0.100320937634191,51.3445508162729,212.256508962873,27862.5749778112,475.252304330999,28600.53523,3372.77344192434,1009.81622122808,"Malawi","Phalombe","TA Mkhumba",188,28601.53523,1,"Elderly",314498.27453
"44",44,0.0000000000174763741358342,0.00447033367359261,0.0700090377400318,45.3149861580736,201.173568076872,27872.0227067898,482.949489603731,28600.53523,3372.77726366448,1011.65055568284,"Malawi","Phalombe","TA Mkhumba",188,28601.53523,1,"Elderly",314498.27453
"45",45,0.0000000000174750824481831,0.00304301034195355,0.0488263934501583,39.9928318676796,190.553412528144,27880.6945758063,490.242540394019,28600.53523,3372.77992990539,1013.26946438868,"Malawi","Phalombe","TA Mkhumba",188,28601.53523,1,"Elderly",314498.27453
"46",46,0.0000000000174741818882085,0.00207141292786399,0.0340334140091182,35.2952912027493,180.392492569938,27888.6627063562,497.148635044133,28600.53523,3372.78178891555,1014.6982259782,"Malawi","Phalombe","TA Mkhumba",188,28601.53523,1,"Elderly",314498.27453
"47",47,0.0000000000174735543617857,0.00141003541152216,0.0237092698428839,31.1491983307437,170.684606076947,27895.9915376335,503.684768653509,28600.53523,3372.783084364,1015.95915919069,"Malawi","Phalombe","TA Mkhumba",188,28601.53523,1,"Elderly",314498.27453
"48",48,0.0000000000174731173185347,0.000959826183775635,0.0165083363396247,27.4899159624123,161.421393153494,27902.7387889903,509.867663731199,28600.53523,3372.78398661163,1017.07196753886,"Malawi","Phalombe","TA Mkhumba",188,28601.53523,1,"Elderly",314498.27453
"49",49,0.0000000000174728130924962,0.00065336602333025,0.0114887188695793,24.2603538474542,152.592762412212,27908.9562736758,515.713697979554,28600.53523,3372.78461468002,1018.05404439546,"Malawi","Phalombe","TA Mkhumba",188,28601.53523,1,"Elderly",314498.27453
"50",50,0.0000000000174726014220149,0.000444753907382979,0.0079915664596474,21.4100963421415,144.187257407635,27914.690593137,521.238846792768,28600.53523,3372.78505167583,1018.92074292895,"Malawi","Phalombe","TA Mkhumba",188,28601.53523,1,"Elderly",314498.27453
"51",51,0.0000000000174724542171473,0.000302749341506722,0.00555639455519301,18.8946282862206,136.192370510696,27919.9837336339,526.458638425249,28600.53523,3372.78535558486,1019.68561474238,"Malawi","Phalombe","TA Mkhumba",188,28601.53523,1,"Elderly",314498.27453
"52",52,0.0000000000174723518898037,0.000206084221332645,0.00386155978905638,16.6746487566213,128.594810957231,27924.8735826792,531.388119962893,28600.53523,3372.78556684435,1020.36062081553,"Malawi","Phalombe","TA Mkhumba",188,28601.53523,1,"Elderly",314498.27453
"53",53,0.000000000017472280789699,0.000140284106463005,0.00268256598018455,14.715463471672,121.380732785647,27929.3943783588,536.041832533673,28600.53523,3372.7857136345,1020.95631784144,"Malawi","Phalombe","TA Mkhumba",188,28601.53523,1,"Elderly",314498.27453
