"","time","S","E","I","H","C","R","D","inci","hosp","crits","lvl2","lvl3","lvl4","ID","POP","age","tot_pop","start"
"1",1,7719.024106,0,1,0,0,0,0,0,0,0,"Malawi","Chiradzulu","TA Mpama",194,7720.024106,"Elderly",71774.062116,66
"2",2,7705.96724878104,11.0528979013312,2.42308794742236,0.0628683775158332,0.00128657656732288,0.516696334896011,2.00812241407246e-05,13.0568572189569,0.0673145302533137,0.00132027248167489,"Malawi","Chiradzulu","TA Mpama",194,7720.024106,"Elderly",71774.062116,66
"3",3,7652.47825394833,53.2955527118352,11.279497961754,0.313610610439105,0.00873257299283739,2.64823624977485,0.000221944872890954,66.5458520516689,0.34427260405576,0.00910499229234789,"Malawi","Chiradzulu","TA Mpama",194,7720.024106,"Elderly",71774.062116,66
"4",4,7405.96093312927,247.004334364146,52.8530481565631,1.48956739518988,0.0443114485540788,12.6705924953415,0.00131901093337266,313.063172870728,1.64624416581915,0.0465247239564563,"Malawi","Chiradzulu","TA Mpama",194,7720.024106,"Elderly",71774.062116,66
"5",5,6377.92779675847,1041.64161816705,234.973502814011,6.84380583313576,0.209958663097318,58.4207958692813,0.00662789495654349,1341.09630924153,7.58831585491918,0.221080145494246,"Malawi","Chiradzulu","TA Mpama",194,7720.024106,"Elderly",71774.062116,66
"6",6,3505.24143040423,3090.89652406843,853.024115120872,28.0966325070477,0.925952677519051,241.808642794165,0.0308084277410115,4213.78267559577,31.3889643722259,0.977648636650149,"Malawi","Chiradzulu","TA Mpama",194,7720.024106,"Elderly",71774.062116,66
"7",7,656.977164309438,4301.81169474489,1915.87757162181,85.7758244654773,3.40568237064818,756.048782066973,0.127386420768679,7062.04694169056,97.9646402447797,3.61943437569283,"Malawi","Chiradzulu","TA Mpama",194,7720.024106,"Elderly",71774.062116,66
"8",8,40.0607592746404,3302.31850221543,2572.51574952527,175.461708113634,9.29947606082527,1619.94150525036,0.426405559834829,7678.96334672536,209.188166793195,10.0149765264706,"Malawi","Chiradzulu","TA Mpama",194,7720.024106,"Elderly",71774.062116,66
"9",9,1.47472953484077,2205.57674506441,2611.45931501333,265.576363819084,19.1104498221108,2615.70977641448,1.11672633173,7717.54937646516,336.24312702482,20.984295488337,"Malawi","Chiradzulu","TA Mpama",194,7720.024106,"Elderly",71774.062116,66
"10",10,0.0651792920129999,1455.04908023912,2327.72463379433,335.178803877055,31.9697425957159,3567.6613755706,2.3752906311674,7718.95892670799,456.262413171986,35.9554353556827,"Malawi","Chiradzulu","TA Mpama",194,7720.024106,"Elderly",71774.062116,66
"11",11,0.0044761545598858,959.272793364041,1934.22176863654,378.409615131036,46.4742441113422,4397.32187790824,4.31933069423599,7719.01962984544,559.323947372555,53.7219993333875,"Malawi","Chiradzulu","TA Mpama",194,7720.024106,"Elderly",71774.062116,66
"12",12,0.000508135740879152,632.394602310163,1538.6148910648,397.192941526079,61.2673939913619,5083.55778118584,6.99598778600666,7719.02359786426,643.049902221848,73.0065291951239,"Malawi","Chiradzulu","TA Mpama",194,7720.024106,"Elderly",71774.062116,66
"13",13,9.23372046806107e-05,416.900431241326,1188.02617658009,396.425594894319,75.2774506849001,5633.00275656697,10.3916036951884,7719.02401366279,708.650710713104,92.7143651697609,"Malawi","Chiradzulu","TA Mpama",194,7720.024106,"Elderly",71774.062116,66
"14",14,2.51001622214328e-05,274.837389934156,897.711466484133,381.541292528463,87.7701918053672,6063.71605277471,14.4476873730027,7719.02408089984,758.757001445816,112.013137996983,"Malawi","Chiradzulu","TA Mpama",194,7720.024106,"Elderly",71774.062116,66
"15",15,9.49302839016885e-06,181.18403692633,667.30096887221,357.417261796604,98.3173264470429,6396.72740312308,19.077099341701,7719.02409650697,796.311282903172,130.328338375304,"Malawi","Chiradzulu","TA Mpama",194,7720.024106,"Elderly",71774.062116,66
"16",16,4.68921328101651e-06,119.443928535876,489.680150310261,327.987834667792,106.73434306429,6652.00007920215,24.1777655304181,7719.02410131078,824.049728123025,147.304176398497,"Malawi","Chiradzulu","TA Mpama",194,7720.024106,"Elderly",71774.062116,66
"17",17,2.79872563163341e-06,78.7423081956445,355.626350837987,296.207046076177,113.014448903428,6846.7908258201,29.6431233679344,7719.02410320127,844.301335836174,162.75504933358,"Malawi","Chiradzulu","TA Mpama",194,7720.024106,"Elderly",71774.062116,66
"18",18,1.92391249064394e-06,51.9100798897648,256.072621837086,264.163361526291,117.27022787746,6995.23835724015,35.3694557053355,7719.02410407608,858.947627325168,176.619505679073,"Malawi","Chiradzulu","TA Mpama",194,7720.024106,"Elderly",71774.062116,66
