"","time","S","E","I","H","C","R","D","inci","hosp","crits","lvl2","lvl3","lvl4","ID","POP","start","age","tot_pop"
"1",1,48429.26204,0,1,0,0,0,0,0,0,0,"Malawi","Mangochi","TA Nankumba",244,48430.26204,1,"Adults",149737.99823
"2",2,48428.5245885913,0.607724460166886,0.794512289028454,0.00771757890445007,0.0000714128348929434,0.327425350465918,0.000000317309656906186,0.737451408710257,0.00822967207854665,0.0000729572662035806,"Malawi","Mangochi","TA Nankumba",244,48430.26204,1,"Adults",149737.99823
"3",3,48427.8598475472,0.965678774228168,0.799131084818353,0.0137847886016089,0.000254234117687384,0.62334126590887,0.00000230515684928027,1.40219245283154,0.0156480320491197,0.000265453935100664,"Malawi","Mangochi","TA Nankumba",244,48430.26204,1,"Adults",149737.99823
"4",4,48427.1452748139,1.25287636821312,0.90168192823881,0.0196708868117358,0.000527795535372078,0.942000974808883,0.00000723245827261965,2.1167651860662,0.0236226159819581,0.000562997851992441,"Malawi","Mangochi","TA Nankumba",244,48430.26204,1,"Adults",149737.99823
"5",5,48426.3178355628,1.54336688633394,1.06249449101777,0.0260548692106645,0.000890044796119177,1.3113819075485,0.0000162382974345605,2.94420443720443,0.0328569297271334,0.000969080950372712,"Malawi","Mangochi","TA Nankumba",244,48430.26204,1,"Adults",149737.99823
"6",6,48425.3341469052,1.87187262314416,1.27050524429552,0.0333324305267056,0.00134787213949357,1.7508044260158,0.0000304987236505175,3.92789309484533,0.0438352094567219,0.00149631761764129,"Malawi","Mangochi","TA Nankumba",244,48430.26204,1,"Adults",149737.99823
"7",7,48424.1544847695,2.25925379212898,1.52651505117576,0.0418155154339967,0.00191367729064342,2.27800587896905,0.0000513155647544725,5.10755523056319,0.0570009098982147,0.00216344392460774,"Malawi","Mangochi","TA Nankumba",244,48430.26204,1,"Adults",149737.99823
"8",8,48422.7358352354,2.7225647815581,1.83692212000678,0.0518145029523986,0.00260440512135786,2.9122187755813,0.0000801793729924605,6.52620476459293,0.0728342704272484,0.00299465966111623,"Malawi","Mangochi","TA Nankumba",244,48430.26204,1,"Adults",149737.99823
"9",9,48421.0282619588,3.27923649030645,2.21151968965662,0.0636763257143569,0.00344161208593719,3.67578509590802,0.000118827538407889,8.2337780412098,0.0918928860255321,0.00401997762536778,"Malawi","Mangochi","TA Nankumba",244,48430.26204,1,"Adults",149737.99823
"10",10,48418.972360999,3.9490566001744,2.66290205005632,0.0778068727629574,0.00445202447136336,4.59529214692604,0.000169306630131008,10.2896790010212,0.114840158296946,0.00527608530588784,"Malawi","Mangochi","TA Nankumba",244,48430.26204,1,"Adults",149737.99823
