"","time","S","E","I","H","C","R","D","inci","hosp","crits","lvl2","lvl3","lvl4","ID","POP","age","tot_pop","start"
"1",1,2685.405595,0,1,0,0,0,0,0,0,0,"Malawi","Machinga","TA Ngokwe",98,2686.405595,"Elderly",35668.864125,218
"2",2,2671.94442071784,11.4024801447223,2.47173535202135,0.0639078561416755,0.00131377474967556,0.521716694698364,2.04598298287419e-05,13.4611742821632,0.0684065833838139,0.00134810434192709,"Malawi","Machinga","TA Ngokwe",98,2686.405595,"Elderly",35668.864125,218
"3",3,2616.14356212807,55.5158232730098,11.6941627528375,0.324257904625828,0.00903830348008586,2.71852228061654,0.000228357364116954,69.2620328719338,0.355698052834998,0.00942146478999841,"Malawi","Machinga","TA Ngokwe",98,2686.405595,"Elderly",35668.864125,218
"4",4,2368.17839518631,249.199759673461,54.3443617040059,1.54878295133663,0.0463748866781967,13.0865478042424,0.00137279396369129,317.227199813687,1.71122616157877,0.0486783006075088,"Malawi","Machinga","TA Ngokwe",98,2686.405595,"Elderly",35668.864125,218
"5",5,1541.86233323694,861.944353814335,217.793407524055,6.79200951520278,0.216375998991408,57.7902165405693,0.00689836990236936,1143.54326176306,7.5526987220423,0.227950788612378,"Malawi","Machinga","TA Ngokwe",98,2686.405595,"Elderly",35668.864125,218
"6",6,390.364318443187,1497.52046810377,573.270703126875,23.1976363873838,0.863867680416927,201.158036312318,0.0305649460440322,2295.04127655681,26.2515708001429,0.915152668789975,"Malawi","Machinga","TA Ngokwe",98,2686.405595,"Elderly",35668.864125,218
"7",7,28.1672677375054,1263.32702302631,862.602956244851,52.7799294207874,2.58833798546193,476.829354679703,0.110725905376656,2657.23832726249,62.0373973391363,2.7741252190352,"Malawi","Machinga","TA Ngokwe",98,2686.405595,"Elderly",35668.864125,218
"8",8,1.10248730179472,852.9253760301,921.566951229363,85.3444294257626,5.71244042157565,819.442738353105,0.311172238297672,2684.3031076982,106.149622676531,6.23455698609114,"Malawi","Machinga","TA Ngokwe",98,2686.405595,"Elderly",35668.864125,218
"9",9,0.0462381235149855,563.064485656167,842.05066769629,111.958084718883,10.0253265826081,1158.5628308219,0.697961400636811,2685.35935687648,149.321452579924,11.1964375103005,"Malawi","Machinga","TA Ngokwe",98,2686.405595,"Elderly",35668.864125,218
"10",10,0.00288241675154475,371.227290162042,709.787925561227,129.484604628774,15.0519297967064,1459.53215254521,1.31880988928387,2685.40271258325,187.098440972799,17.2647637320501,"Malawi","Machinga","TA Ngokwe",98,2686.405595,"Elderly",35668.864125,218
"11",11,0.00029463217476638,244.730063552096,569.891624785461,138.116887839728,20.2958907229167,1711.17421303181,2.1966204358164,2685.40530036782,218.145336458817,23.9816048527095,"Malawi","Machinga","TA Ngokwe",98,2686.405595,"Elderly",35668.864125,218
"12",12,4.85801357827026e-05,161.33611939503,442.919256762567,139.417367525618,25.3486840364932,1914.0525424788,3.33157622135302,2685.40554641986,242.662317658063,30.9387429075238,"Malawi","Machinga","TA Ngokwe",98,2686.405595,"Elderly",35668.864125,218
"13",13,1.21898120907508e-05,106.359262560082,336.306923259369,135.294674896322,29.9204786576538,2073.81775385113,4.70648958562821,2685.40558281019,261.494588656828,37.8175076047716,"Malawi","Machinga","TA Ngokwe",98,2686.405595,"Elderly",35668.864125,218
"14",14,4.30915510527417e-06,70.1164166286623,250.922203239168,127.52821527415,33.8341171676189,2197.71199617406,6.2926422071874,2685.40559069084,275.669564784294,44.3925549926504,"Malawi","Machinga","TA Ngokwe",98,2686.405595,"Elderly",35668.864125,218
"15",15,1.98989057308077e-06,46.2236105962684,184.677910938905,117.58544038422,37.0046482013907,2292.85907764836,8.05490524096365,2685.40559301011,286.174512056382,50.5199909418527,"Malawi","Machinga","TA Ngokwe",98,2686.405595,"Elderly",35668.864125,218
"16",16,1.1277843794994e-06,30.472460995282,134.444126840905,106.586265981885,39.415759804342,2365.53125011038,9.95573013941965,2685.40559387221,293.864666868363,56.1205007094885,"Malawi","Machinga","TA Ngokwe",98,2686.405595,"Elderly",35668.864125,218
"17",17,7.49235748296634e-07,20.088685298696,97.0013144563239,95.3343048450466,41.0982299407806,2420.92505053468,11.9580091752366,2685.40559425076,299.438573576471,61.1625991247907,"Malawi","Machinga","TA Ngokwe",98,2686.405595,"Elderly",35668.864125,218
"18",18,5.58253637627576e-07,13.2432771260193,69.4652381380402,84.3725370347413,42.1123150217655,2463.18526771954,14.0269594016354,2685.40559444175,303.445532765392,65.6481802179858,"Malawi","Machinga","TA Ngokwe",98,2686.405595,"Elderly",35668.864125,218
"19",19,4.52341989525261e-07,8.73049964486457,49.4320328973092,74.0424107567757,42.5343492725691,2495.53506506276,16.1312369133792,2685.40559454766,306.306222242673,69.6009862086766,"Malawi","Machinga","TA Ngokwe",98,2686.405595,"Elderly",35668.864125,218
