"","time","S","E","I","H","C","R","D","inci","hosp","crits","lvl2","lvl3","lvl4","ID","POP","age","tot_pop","start"
"1",1,64569.5,0,1,0,0,0,0,0,0,0,"Malawi","Kasungu","TA Santhe",229,64570.5,"Pediatrics",114907.725644,106
"2",2,64568.9955182983,0.436657587971012,0.813030434198945,4.18249843948931e-05,2.70638377698836e-07,0.254751572081179,1.18594991574629e-08,0.504481701733408,4.74749419320191e-05,2.82497876856299e-07,"Malawi","Kasungu","TA Santhe",229,64570.5,"Pediatrics",114907.725644,106
"3",3,64568.5557490617,0.710025735482626,0.757319350467978,6.91377032231142e-05,9.03600930039204e-07,0.476835728467422,8.25357459483906e-08,0.944250938257925,8.88604367428661e-05,9.86136675987595e-07,"Malawi","Kasungu","TA Santhe",229,64570.5,"Pediatrics",114907.725644,106
"4",4,64568.1438690635,0.891983017416515,0.770172116693365,8.96440460253335e-05,1.73711133210469e-06,0.693884175194624,2.46007832943488e-07,1.35613093646969,0.000129306429326297,1.98311916504818e-06,"Malawi","Kasungu","TA Santhe",229,64570.5,"Pediatrics",114907.725644,106
"5",5,64567.7139677157,1.04481636373966,0.820669121402636,0.000107217565378118,2.69338185172428e-06,0.920436366290758,5.21876051295912e-07,1.78603228425633,0.000171522723438521,3.21525790302019e-06,"Malawi","Kasungu","TA Santhe",229,64570.5,"Pediatrics",114907.725644,106
"6",6,64567.2497561443,1.18977749442969,0.895264347046207,0.000123908530388053,3.73703934358903e-06,1.16507344564205,9.22963921774093e-07,2.25024385565159,0.000217108595695316,4.66000326536312e-06,"Malawi","Kasungu","TA Santhe",229,64570.5,"Pediatrics",114907.725644,106
"7",7,64566.740103974,1.33843838959856,0.98764964739213,0.000140873533924735,4.85496774599022e-06,1.43366080125543,1.45921261581104e-06,2.75989602596041,0.00026715714116076,6.31418036180126e-06,"Malawi","Kasungu","TA Santhe",229,64570.5,"Pediatrics",114907.725644,106
"8",8,64566.1761825459,1.49752898571779,1.09527008173811,0.000158816555347263,6.04619445721952e-06,1.73085138415634,2.13975092194989e-06,3.32381745411297,0.000322535462930651,8.18594537916941e-06,"Malawi","Kasungu","TA Santhe",229,64570.5,"Pediatrics",114907.725644,106
"9",9,64565.5499582574,1.67143871108366,1.21753496784642,0.000178218861748089,7.3166323568069e-06,2.06087955407617,2.97405601035336e-06,3.95004174255637,0.000384032629091294,1.02906883671603e-05,"Malawi","Kasungu","TA Santhe",229,64570.5,"Pediatrics",114907.725644,106
"10",10,64564.853397958,1.86347786335772,1.35493228877873,0.000199456327297581,8.67644035049788e-06,2.42797978448968,3.9726287979637e-06,4.64660204202258,0.000452437710266812,1.26490691484616e-05,"Malawi","Kasungu","TA Santhe",229,64570.5,"Pediatrics",114907.725644,106
"11",11,64564.0780186187,2.07653224591903,1.50858699126715,0.00022286142513032,1.01386976386383e-05,2.83662399659213,5.14743174146624e-06,5.42198138133282,0.000528584012732411,1.52861293801046e-05,"Malawi","Kasungu","TA Santhe",229,64570.5,"Pediatrics",114907.725644,106
"12",12,64563.2146069464,2.31341039474967,1.68004629749464,0.000248757011462674,1.17187710480199e-05,3.2916693733632,6.51220969895989e-06,6.28539305359972,0.00061337662640227,1.82309807469798e-05,"Malawi","Kasungu","TA Santhe",229,64570.5,"Pediatrics",114907.725644,106
"13",13,64562.25302062,2.57703449188571,1.87118270545447,0.000277475636902486,1.34340590362813e-05,3.79846319017034,8.08275717867844e-06,7.24697937996364,0.000707811961201681,2.15168162149597e-05,"Malawi","Kasungu","TA Santhe",229,64570.5,"Pediatrics",114907.725644,106
"14",14,64561.182025592,2.87055361482735,2.08415757277071,0.000309371552808514,1.53039443731872e-05,4.36292866773148,9.87716528970428e-06,8.31797440799201,0.000812993746066343,2.51811096628915e-05,"Malawi","Kasungu","TA Santhe",229,64570.5,"Pediatrics",114907.725644,106
"15",15,64559.9891395238,3.19742311913475,2.32141563401018,0.000344829505728639,1.73498689354702e-05,4.99164762758904,1.19160773575515e-05,9.510860476186,0.000930148431589072,2.92659462930217e-05,"Malawi","Kasungu","TA Santhe",229,64570.5,"Pediatrics",114907.725644,106
"16",16,64558.6604776521,3.5614629173491,2.58569943911144,0.000384271444737573,1.95954934444123e-05,5.69194190152144,1.42229523246997e-05,10.8395223478725,0.00106064036011981,3.3818445769112e-05,"Malawi","Kasungu","TA Santhe",229,64570.5,"Pediatrics",114907.725644,106
"17",17,64557.1805841552,3.96691347775562,2.88007288179772,0.000428162971507894,2.2066912521047e-05,6.47196243094205,1.68243573378468e-05,12.3194158447368,0.00120598836868577,3.88912698588938e-05,"Malawi","Kasungu","TA Santhe",229,64570.5,"Pediatrics",114907.725644,106
"18",18,64555.5322505717,4.41848965488023,3.20795296564126,0.000477019544086222,2.47929189652881e-05,7.34078524503912,1.97502875091522e-05,13.9677494283112,0.00136788367357503,4.45432064744403e-05,"Malawi","Kasungu","TA Santhe",229,64570.5,"Pediatrics",114907.725644,106
"19",19,64553.696316645,4.92143738589324,3.57314694948614,0.000531412935393246,2.78053086629495e-05,8.30851676686792,2.30345192189292e-05,15.8036833550106,0.00154820949303082,5.08398278818787e-05,"Malawi","Kasungu","TA Santhe",229,64570.5,"Pediatrics",114907.725644,106
"20",20,64551.6514487363,5.48159531660187,3.97989508611416,0.000591978185784452,3.11392292222217e-05,9.38641102854012,2.67150059405704e-05,17.8485512636771,0.00174906288904029,5.7854235162792e-05,"Malawi","Kasungu","TA Santhe",229,64570.5,"Pediatrics",114907.725644,106
"21",21,64549.3738843007,6.10546490312689,4.43292081158146,0.000659421437723578,3.48335889370421e-05,10.587004895185,3.08343374183332e-05,20.1261156992575,0.00197277996483108,6.56679263553753e-05,"Malawi","Kasungu","TA Santhe",229,64570.5,"Pediatrics",114907.725644,106
"22",22,64546.837170478,6.80028156036881,4.93748257662701,0.000734527823332722,3.89314791516172e-05,11.9242564854994,3.54402125814264e-05,22.6628295220103,0.00222196165799359,7.43716917330435e-05,"Malawi","Kasungu","TA Santhe",229,64570.5,"Pediatrics",114907.725644,106
