"","time","S","E","I","H","C","R","D","inci","hosp","crits","lvl2","lvl3","lvl4","ID","POP","age","tot_pop","start"
"1",1,432257.0512,0,1,0,0,0,0,0,0,0,"Malawi","Blantyre City","Blantyre City",3,432258.0512,"Pediatrics",884444.91431,48
"2",2,432256.551659472,0.404328721688029,0.741794356505255,6.37080833184887e-05,2.79089851352197e-07,0.353353454454609,8.13283145366244e-09,0.499540527953895,6.94525369746059e-05,2.87222682805859e-07,"Malawi","Blantyre City","Blantyre City",3,432258.0512,"Pediatrics",884444.91431,48
"3",3,432256.142607452,0.599855868857328,0.665920740919609,0.000106235376367211,9.47275189281842e-07,0.642708698201592,5.71689769723176e-08,0.908592547799063,0.000126324259692294,1.00444416625416e-06,"Malawi","Blantyre City","Blantyre City",3,432258.0512,"Pediatrics",884444.91431,48
"4",4,432255.752840684,0.714219657439454,0.665569018713907,0.000139842129358389,1.86086691417736e-06,0.918428763689659,1.72763935541668e-07,1.29835931560323,0.00018051474635277,2.03363084971903e-06,"Malawi","Blantyre City","Blantyre City",3,432258.0512,"Pediatrics",884444.91431,48
"5",5,432255.352361188,0.798911620874069,0.698022481210387,0.00016969546621895,2.95272522717304e-06,1.20173168992542,3.72236860108607e-07,1.69883881243818,0.000236194707964583,3.32496208728164e-06,"Malawi","Blantyre City","Blantyre City",3,432258.0512,"Pediatrics",884444.91431,48
"6",6,432254.927606735,0.87485702427885,0.746322955137957,0.000198090986828244,4.18905389272098e-06,1.50221033713926,6.68884352742041e-07,2.12359326548114,0.000295249751737504,4.85793824546303e-06,"Malawi","Blantyre City","Blantyre City",3,432258.0512,"Pediatrics",884444.91431,48
"7",7,432254.471493781,0.950721972897847,0.803876300386,0.000226152878952073,5.55167942886305e-06,1.82487516743546,1.07391353382728e-06,2.57970621919122,0.000358664738205879,6.62559296269032e-06,"Malawi","Blantyre City","Blantyre City",3,432258.0512,"Pediatrics",884444.91431,48
"8",8,432253.979408123,1.03026798911666,0.868270626645491,0.000254520806395516,7.03062917952309e-06,2.17299011263568,1.59739105984064e-06,3.07179187722447,0.00042708121118279,8.62802023936373e-06,"Malawi","Blantyre City","Blantyre City",3,432258.0512,"Pediatrics",884444.91431,48
"9",9,432253.447582102,1.11531044536202,0.938792550256517,0.000283629581255798,8.6208977927822e-06,2.54922040279345,2.24877414470297e-06,3.60361789766519,0.000501023020005501,1.08696719374852e-05,"Malawi","Blantyre City","Blantyre City",3,432258.0512,"Pediatrics",884444.91431,48
"10",10,432252.872431432,1.20690780534666,1.01543193846911,0.000313824517783549,1.03209456517366e-05,2.95610164169854,3.03725462347981e-06,4.17876856823237,0.000580988523287877,1.33582002752164e-05,"Malawi","Blantyre City","Blantyre City",3,432258.0512,"Pediatrics",884444.91431,48
