"","time","S","E","I","H","C","R","D","inci","hosp","crits","lvl2","lvl3","lvl4","ID","POP","age","tot_pop","start"
"1",1,13759.55525,0,1,0,0,0,0,0,0,0,"Malawi","Thyolo","STA Thukuta",105,13760.55525,"Pediatrics",23217.675157,96
"2",2,13759.0000886756,0.449540070973182,0.750830846486916,6.40920731340885e-05,2.80202448115334e-07,0.354726026459647,8.15866961171394e-09,0.555161324353997,6.98592954886294e-05,2.88361117727048e-07,"Malawi","Thyolo","STA Thukuta",105,13760.55525,"Pediatrics",23217.675157,96
"3",3,13758.5357944749,0.675040801391137,0.692893935747971,0.000108011846938924,9.56190821715222e-07,0.651411762350154,5.75367165747385e-08,1.01945552506374,0.000128286397704724,1.01372753828996e-06,"Malawi","Thyolo","STA Thukuta",105,13760.55525,"Pediatrics",23217.675157,96
"4",4,13758.0798619719,0.818296898517229,0.714174176358677,0.000144303512569576,1.89327170423591e-06,0.942770581691463,1.74711508956719e-07,1.47538802806315,0.000185663176833428,2.06798321319262e-06,"Malawi","Thyolo","STA Thukuta",105,13760.55525,"Pediatrics",23217.675157,96
"5",5,13757.5970036006,0.935408753973189,0.771305102444504,0.000178183931498946,3.03362846130773e-06,1.25135094677053,3.78700579767371e-07,1.95824639944877,0.000246430512320448,3.4123290410751e-06,"Malawi","Thyolo","STA Thukuta",105,13760.55525,"Pediatrics",23217.675157,96
"6",6,13757.0700836666,1.04900203457499,0.847842166863699,0.000211993140621683,4.3523548255321e-06,1.58810510118347,6.85257780620337e-07,2.48516633337538,0.000312745392744732,5.03761260615243e-06,"Malawi","Thyolo","STA Thukuta",105,13760.55525,"Pediatrics",23217.675157,96
"7",7,13756.4692480468,1.18469868731524,0.940932528801245,0.000247024299480052,5.8401486178325e-06,1.9601167638261,1.10878037007764e-06,3.08600195317105,0.000386002879238255,6.94892898791015e-06,"Malawi","Thyolo","STA Thukuta",105,13760.55525,"Pediatrics",23217.675157,96
"8",8,13755.8002355467,1.33021720946221,1.0501428247924,0.000284354517659904,7.49777607476779e-06,2.37436090341132,1.66332699577043e-06,3.75501445328667,0.000467576579070669,9.16110307053822e-06,"Malawi","Thyolo","STA Thukuta",105,13760.55525,"Pediatrics",23217.675157,96
"9",9,13755.0527393478,1.49061878445676,1.1743291733838,0.000324788540947928,9.33345209411312e-06,2.83722620898623,2.3633512185783e-06,4.50251065217105,0.000558724607201757,1.16968033126914e-05,"Malawi","Thyolo","STA Thukuta",105,13760.55525,"Pediatrics",23217.675157,96
"10",10,13754.2165589997,1.66918603179127,1.31408400677593,0.00036899776569407,1.13605190041485e-05,3.35503737924868,3.22421539270884e-06,5.33869100031597,0.000660692453631217,1.45847343968574e-05,"Malawi","Thyolo","STA Thukuta",105,13760.55525,"Pediatrics",23217.675157,96
"11",11,13753.2808010742,1.86866403247996,1.47079853619023,0.00041762962253958,1.35964790393471e-05,3.93455086844789,4.26257076747623e-06,6.27444892579043,0.000774810618676046,1.78590498068233e-05,"Malawi","Thyolo","STA Thukuta",105,13760.55525,"Pediatrics",23217.675157,96
"12",12,13752.2334798294,2.09176460564314,1.64630985945588,0.000471355908718601,1.6062688022421e-05,4.58320279022863,5.49668831678711e-06,7.32177017061271,0.000902543435502762,2.15593763392081e-05,"Malawi","Thyolo","STA Thukuta",105,13760.55525,"Pediatrics",23217.675157,96
"13",13,13751.0612661833,2.34137877160444,1.84278261258923,0.000530897239261332,1.87843548744339e-05,5.30926580413384,6.94678148392006e-06,8.49398381670313,0.00104551996642841,2.57311363583539e-05,"Malawi","Thyolo","STA Thukuta",105,13760.55525,"Pediatrics",23217.675157,96
"14",14,13749.8059140062,2.57403594555782,2.05396998279269,0.000596798722795999,2.17901648567154e-05,6.12070284129551,8.63531169779144e-06,9.74933599384539,0.00120530825388614,3.04254765545068e-05,"Malawi","Thyolo","STA Thukuta",105,13760.55525,"Pediatrics",23217.675157,96
"15",15,13748.4105586924,2.84216662965625,2.27909665030949,0.000669028168767373,2.51081457237003e-05,7.02272330413741,1.05871482838592e-05,11.144691307566,0.00138293404891856,3.56952940075594e-05,"Malawi","Thyolo","STA Thukuta",105,13760.55525,"Pediatrics",23217.675157,96
"16",16,13746.8638971402,3.14304714798977,2.52485316470668,0.000747951631183679,2.87650961628045e-05,8.02266300094112,1.28294161219416e-05,12.6913528597811,0.0015798418768786,4.15945122847461e-05,"Malawi","Thyolo","STA Thukuta",105,13760.55525,"Pediatrics",23217.675157,96
"17",17,13745.1512516521,3.4775979057913,2.79547190708309,0.000834273398321151,3.27901388999376e-05,9.1300460799807,1.5391552251051e-05,14.4039983479446,0.00179790722134092,4.81816911509886e-05,"Malawi","Thyolo","STA Thukuta",105,13760.55525,"Pediatrics",23217.675157,96
"18",18,13743.2555418063,3.84837616177299,3.09438868971492,0.000928872190036979,3.72164689019156e-05,10.3559589479801,1.83055823419068e-05,16.2997081937094,0.00203931321491343,5.55220512438224e-05,"Malawi","Thyolo","STA Thukuta",105,13760.55525,"Pediatrics",23217.675157,96
"19",19,13741.1575536465,4.25881040543067,3.42491093083239,0.00103274393132192,4.20821473032882e-05,11.7128785846875,2.16064972718266e-05,18.3976963535265,0.00230651682282422,6.36886445751149e-05,"Malawi","Thyolo","STA Thukuta",105,13760.55525,"Pediatrics",23217.675157,96
"20",20,13738.835898417,4.71292570164595,3.79050372525877,0.0011469876151408,4.74306269232719e-05,13.2147024050893,2.5332728334419e-05,20.7193515829644,0.00260225472029462,7.27633552576908e-05,"Malawi","Thyolo","STA Thukuta",105,13760.55525,"Pediatrics",23217.675157,96
"21",21,13737.4625156197,4.23224475311208,4.00954163621602,0.00126767239781327,5.32999632935574e-05,14.8495974923585,2.95262274288507e-05,22.0927343802751,0.00292419621226143,8.28261907224079e-05,"Malawi","Thyolo","STA Thukuta",105,13760.55525,"Pediatrics",23217.675157,96
"22",22,13736.0521922048,3.94362836120669,4.02930731484256,0.00137763065364722,5.96310189777443e-05,16.528650628503,3.42289801213005e-05,23.503057795205,0.00325483063562812,9.38599990990447e-05,"Malawi","Thyolo","STA Thukuta",105,13760.55525,"Pediatrics",23217.675157,96
"23",23,13734.6524356027,3.74387098475311,3.96205785331559,0.00146836730022643,6.62596904952608e-05,18.1953114591921,3.94730123565278e-05,24.9028143972639,0.0035830213572622,0.000105732702851789,"Malawi","Thyolo","STA Thukuta",105,13760.55525,"Pediatrics",23217.675157,96
"24",24,13733.283699615,3.58645783583183,3.85821714868263,0.0015384667814796,7.29998816145732e-05,19.8252186585096,4.52753416608201e-05,26.2715503850288,0.00390397124698746,0.000118275223275393,"Malawi","Thyolo","STA Thukuta",105,13760.55525,"Pediatrics",23217.675157,96
"25",25,13731.9542978763,3.45038038679978,3.74039303902156,0.00158932274478096,7.96822585432578e-05,21.4084580548692,5.16380250252998e-05,27.6009521237189,0.00421572841615211,0.000131320283568558,"Malawi","Thyolo","STA Thukuta",105,13760.55525,"Pediatrics",23217.675157,96
"26",26,13730.6671092416,3.32611289726827,3.61867515819809,0.00162327550465316,8.61667808973894e-05,22.9415847104448,5.85501927331352e-05,28.8881407583894,0.00451761497726365,0.000144716973630524,"Malawi","Thyolo","STA Thukuta",105,13760.55525,"Pediatrics",23217.675157,96
"27",27,13729.4225972636,3.20929540673422,3.49752624207181,0.00164282191866715,9.23442749563962e-05,24.4240299308323,6.59906000425871e-05,30.132652736432,0.00480951941864682,0.000158334874998983,"Malawi","Thyolo","STA Thukuta",105,13760.55525,"Pediatrics",23217.675157,96
"28",28,13728.2201659318,3.0978953998172,3.37887854637537,0.00165030190193883,9.81337427597519e-05,25.856487756302,7.3930104041414e-05,31.3350840682433,0.00509157883796215,0.000172063846801166,"Malawi","Thyolo","STA Thukuta",105,13760.55525,"Pediatrics",23217.675157,96
"29",29,13727.0587690116,2.99093019885136,3.26352757474104,0.00164779239998667,0.000103478337305329,27.2401896101763,8.23338475481428e-05,32.4964809883535,0.0053640360970561,0.000185812184853471,"Malawi","Thyolo","STA Thukuta",105,13760.55525,"Pediatrics",23217.675157,96
"30",30,13725.9371837642,2.88789120611149,3.15176007467184,0.0016370893445642,0.000108341215212874,28.576578361392,9.11630995536396e-05,33.6180662358347,0.00562717563989447,0.000199504314766513,"Malawi","Thyolo","STA Thukuta",105,13760.55525,"Pediatrics",23217.675157,96
"31",31,13724.8541326194,2.78848618602983,3.0436350288578,0.00161972464633465,0.000112701759281302,29.8671633625829,0.000100376756003145,34.7011173806322,0.00588129495202359,0.000213078515284447,"Malawi","Thyolo","STA Thukuta",105,13760.55525,"Pediatrics",23217.675157,96
"32",32,13723.8083384094,2.69252079795886,2.93911272772109,0.00159699452556669,0.000116552297649131,31.113454585578,0.000109932555913747,35.7469115906371,0.00612669159682426,0.000226484853562878,"Malawi","Thyolo","STA Thukuta",105,13760.55525,"Pediatrics",23217.675157,96
"33",33,13722.798547152,2.5998479868788,2.83810978990518,0.00156999082934754,0.000119895302895995,32.3169353970743,0.000119788048674896,36.7567028480392,0.00636365786076536,0.000239683351570891,"Malawi","Thyolo","STA Thukuta",105,13760.55525,"Pediatrics",23217.675157,96
"34",34,13721.823537628,2.51034286365356,2.74052618784884,0.00153963366898762,0.000122740925267114,33.4790510445729,0.000129901315900159,37.7317123719855,0.00659247849233308,0.000252642241167273,"Malawi","Thyolo","STA Thukuta",105,13760.55525,"Pediatrics",23217.675157,96
"35",35,13720.8821257377,2.42389372101944,2.64625509389223,0.00150669151499242,0.000125105357443839,34.6012034189537,0.000140231550532281,38.6731242622884,0.00681342967451481,0.00026533690797612,"Malawi","Thyolo","STA Thukuta",105,13760.55525,"Pediatrics",23217.675157,96
"36",36,13719.9731651784,2.3403952913757,2.55518982311225,0.00147180824597252,0.00012700906202445,35.6847501502851,0.000150739468267898,39.5820848215493,0.00702677885181949,0.000277748530292349,"Malawi","Thyolo","STA Thukuta",105,13760.55525,"Pediatrics",23217.675157,96
"37",37,13719.0955477848,2.25974754850892,2.46722512731196,0.00143551930979727,0.000128475615457892,36.7310041568309,0.000161387651277141,40.4597022152283,0.00723278464449793,0.000289863266735033,"Malawi","Thyolo","STA Thukuta",105,13760.55525,"Pediatrics",23217.675157,96
"38",38,13718.248202581,2.18185448091848,2.38225828985712,0.00139826969453573,0.000129530604470443,37.7412347071785,0.000172140763854905,41.307047419017,0.00743169706104267,0.000301671368325347,"Malawi","Thyolo","STA Thukuta",105,13760.55525,"Pediatrics",23217.675157,96
"39",39,13717.43009326,2.10662333753277,2.30018946107993,0.00136043107430107,0.0001302007642056,38.7166703439454,0.000182965585933724,42.1251567399826,0.00762375807708755,0.000313166350139324,"Malawi","Thyolo","STA Thukuta",105,13760.55525,"Pediatrics",23217.675157,96
"40",40,13716.640218755,2.03396463700277,2.22092177242721,0.00132230922674633,0.000130513443315848,39.6584981816944,0.000193831170274401,42.9150312449647,0.0078092014985513,0.000324344613590248,"Malawi","Thyolo","STA Thukuta",105,13760.55525,"Pediatrics",23217.675157,96
"41",41,13715.8776118943,1.96379187042724,2.14436141645913,0.00128415544392422,0.000130496026142674,40.5678654584339,0.00020470886512462,43.6776381056555,0.00798825326927009,0.000335204891267293,"Malawi","Thyolo","STA Thukuta",105,13760.55525,"Pediatrics",23217.675157,96
"42",42,13715.1413365941,1.89602117427144,2.07041749269423,0.00124617760589781,0.000130175543005275,41.4458828136313,0.000215572182626134,44.4139134059285,0.008161132118526,0.000345747725631409,"Malawi","Thyolo","STA Thukuta",105,13760.55525,"Pediatrics",23217.675157,96
"43",43,13714.4304913595,1.8305717000773,1.999002281327,0.00120854074794839,0.000129578331648111,42.2936201428938,0.000226397068200432,45.1247586404459,0.00832804874491926,0.000355975399848544,"Malawi","Thyolo","STA Thukuta",105,13760.55525,"Pediatrics",23217.675157,96
"44",44,13713.7442041526,1.76736518997366,1.93003076539749,0.00117137973754512,0.000128729807021372,43.112112620928,0.000237161556335879,45.8110458474,0.00848920700469015,0.000365891363357252,"Malawi","Thyolo","STA Thukuta",105,13760.55525,"Pediatrics",23217.675157,96
"45",45,13713.0816317779,1.70632586660234,1.86342064652402,0.00113480367326429,0.000127654300805751,43.9023614052273,0.000247845718086102,46.4736182220458,0.00864480405110136,0.000375500018891854,"Malawi","Thyolo","STA Thukuta",105,13760.55525,"Pediatrics",23217.675157,96
"46",46,13712.4419598141,1.64738044054968,1.79909233783543,0.00109889805932251,0.000126375007951267,44.6653337028148,0.000258431606481943,47.1132901858736,0.00879503034798671,0.00038480661443321,"Malawi","Thyolo","STA Thukuta",105,13760.55525,"Pediatrics",23217.675157,96
"47",47,13711.8244020668,1.59045811081547,1.73696887838991,0.00106372906450595,0.000124913838088946,45.4019633979154,0.000268903198392739,47.7308479332217,0.00894006979413964,0.000393817036481685,"Malawi","Thyolo","STA Thukuta",105,13760.55525,"Pediatrics",23217.675157,96
