"","time","S","E","I","H","C","R","D","inci","hosp","crits","lvl2","lvl3","lvl4","ID","POP","age","tot_pop","start"
"1",1,79192.52328,0,1,0,0,0,0,0,0,0,"Malawi","Dedza","TA Kachindamoto",136,79193.52328,"Pediatrics",137041.4072,25
"2",2,79192.0119672755,0.42075647571907,0.760118378235088,5.6605028252594e-05,1.85190316433013e-07,0.330381076255895,4.01692201995279e-09,0.511312724445544,6.03891730216533e-05,1.89207238452966e-07,"Malawi","Dedza","TA Kachindamoto",136,79193.52328,"Pediatrics",137041.4072,25
"3",3,79191.5852102466,0.639646180459752,0.692190651086392,9.72881751980786e-05,6.46362256103225e-07,0.606134958460893,2.88338654651405e-08,0.938069753378356,0.000110792097629446,6.75196121568366e-07,"Malawi","Dedza","TA Kachindamoto",136,79193.52328,"Pediatrics",137041.4072,25
"4",4,79191.1733654252,0.777446235021546,0.700076087561681,0.000131587068077439,1.30348268433616e-06,0.872259272818643,8.88662146579123e-08,1.34991457481885,0.000159434046057321,1.39234889899407e-06,"Malawi","Dedza","TA Kachindamoto",136,79193.52328,"Pediatrics",137041.4072,25
"5",5,79190.7450125213,0.885506399205065,0.743539495056597,0.000163712976764403,2.12056180946953e-06,1.14905555576532,1.95088885095436e-07,1.77826747865444,0.000210025990655702,2.31565069456497e-06,"Malawi","Dedza","TA Kachindamoto",136,79193.52328,"Pediatrics",137041.4072,25
"6",6,79190.2846540102,0.985929575001241,0.805959736761581,0.000195630607554189,3.08146125243987e-06,1.44653760900743,3.5692644926973e-07,2.23862598976551,0.000264398361588381,3.4383877017096e-06,"Malawi","Dedza","TA Kachindamoto",136,79193.52328,"Pediatrics",137041.4072,25
"7",7,79189.7832864342,1.08852427906731,0.880712750416844,0.000228359414476687,4.17962812055234e-06,1.77052341413701,5.83131695291951e-07,2.73999356579546,0.000323614610793572,4.76275981584429e-06,"Malawi","Dedza","TA Kachindamoto",136,79193.52328,"Pediatrics",137041.4072,25
"8",8,79189.2197008096,1.21024091487868,0.967570645253594,0.000262575148947932,5.4137622639449e-06,2.12549875917184,8.82213452400446e-07,3.30357919042878,0.00038849466327484,6.29597571634532e-06,"Malawi","Dedza","TA Kachindamoto",136,79193.52328,"Pediatrics",137041.4072,25
"9",9,79188.599202752,1.3405420741058,1.06690352661317,0.000298938311002257,6.78669409849775e-06,2.51632465948697,1.26274118589516e-06,3.92407724795223,0.000459927016690115,8.04943528439289e-06,"Malawi","Dedza","TA Kachindamoto",136,79193.52328,"Pediatrics",137041.4072,25
"10",10,79187.9144459928,1.48277559650404,1.1780813626328,0.000337991297235367,8.30474077444215e-06,2.94762901849036,1.73357163506542e-06,4.60883400723685,0.000538757545425519,1.00383124095075e-05,"Malawi","Dedza","TA Kachindamoto",136,79193.52328,"Pediatrics",137041.4072,25
"11",11,79187.1581041563,1.63922080589438,1.30153502383948,0.00038021137990868,9.97688233088219e-06,3.42402752160074,2.30404265575016e-06,5.3651758436395,0.000625829879641328,1.22809249866323e-05,"Malawi","Dedza","TA Kachindamoto",136,79193.52328,"Pediatrics",137041.4072,25
"12",12,79186.3224137571,1.81180009922111,1.43821377385627,0.000426067451076489,1.18144025435473e-05,3.95041150380266,2.98412614460764e-06,6.20086624285981,0.000722038024839589,1.47985286881549e-05,"Malawi","Dedza","TA Kachindamoto",136,79193.52328,"Pediatrics",137041.4072,25
"13",13,79185.3989343161,2.00238938505911,1.58936354016238,0.000476046849843126,1.3830788757622e-05,4.53209909648153,3.78456823092642e-06,7.12434568390986,0.000828353989614094,1.76153569885484e-05,"Malawi","Dedza","TA Kachindamoto",136,79193.52328,"Pediatrics",137041.4072,25
"14",14,79184.3783952925,2.21295673438272,1.75644517123689,0.000530669516981207,1.60417621044244e-05,5.17493137356966,4.71703001938297e-06,8.14488470749837,0.000945845359457355,2.07587921238074e-05,"Malawi","Dedza","TA Kachindamoto",136,79193.52328,"Pediatrics",137041.4072,25
"15",15,79183.2358463863,2.45793896929397,1.94324828663584,0.000590547857386914,1.84654347174455e-05,5.88563155025628,5.79422006890748e-06,9.28743361369825,0.00107574095311397,2.4259654786353e-05,"Malawi","Dedza","TA Kachindamoto",136,79193.52328,"Pediatrics",137041.4072,25
"16",16,79181.9708972362,2.72668026313814,2.15253715922108,0.000656488823878672,2.11231916763988e-05,6.67248069937172,7.03008372869427e-06,10.5523827638302,0.00121955433198053,2.81532754050931e-05,"Malawi","Dedza","TA Kachindamoto",136,79193.52328,"Pediatrics",137041.4072,25
"17",17,79180.569358546,3.02339257401842,2.38545815628472,0.00072929794002884,2.40400578544666e-05,7.54430894566527,8.44001514938276e-06,11.9539214539814,0.00137889940010583,3.24800730038494e-05,"Malawi","Dedza","TA Kachindamoto",136,79193.52328,"Pediatrics",137041.4072,25
"18",18,79179.0160356439,3.35179232736879,2.64403204919774,0.000809794309011071,2.7244433479742e-05,8.51057289965147,1.00410789871335e-05,13.5072443560395,0.00155550455834858,3.72855124668755e-05,"Malawi","Dedza","TA Kachindamoto",136,79193.52328,"Pediatrics",137041.4072,25
"19",19,79177.2943119979,3.71559834245125,2.93081323356022,0.000898853347334108,3.07681176762882e-05,9.58161495236818,1.18522199391733e-05,15.2289680020646,0.00175126009964334,4.26203376154616e-05,"Malawi","Dedza","TA Kachindamoto",136,79193.52328,"Pediatrics",137041.4072,25
"20",20,79175.3858647364,4.11876513589309,3.24876361770874,0.000997430514147131,3.46465228156428e-05,10.7688405383834,1.38944819328607e-05,17.1374152635042,0.0019682506091172,4.85410047485036e-05,"Malawi","Dedza","TA Kachindamoto",136,79193.52328,"Pediatrics",137041.4072,25
"21",21,79173.2704251571,4.56560575948312,3.60122052468676,0.0011065774145308,3.89189928535739e-05,12.0848668710413,1.61912438820792e-05,19.2528548428624,0.00220878214924386,5.51102367356531e-05,"Malawi","Dedza","TA Kachindamoto",136,79193.52328,"Pediatrics",137041.4072,25
"22",22,79170.8043263762,5.16213416389687,4.0095018512774,0.00122787335413426,4.36298519606292e-05,13.5460273368986,1.8768481810519e-05,21.7189536237608,0.00247584002955723,6.23983337711485e-05,"Malawi","Dedza","TA Kachindamoto",136,79193.52328,"Pediatrics",137041.4072,25
"23",23,79168.0509250703,5.80786547918836,4.48558782951983,0.00136421885470943,4.88348061881144e-05,15.1774669119903,2.1655259362889e-05,24.4723549296187,0.00277402016572951,7.04900655510038e-05,"Malawi","Dedza","TA Kachindamoto",136,79193.52328,"Pediatrics",137041.4072,25
"24",24,79164.9674609336,6.52254901315281,5.02713161068969,0.00151820034151938,5.46032593930561e-05,17.0045407543732,2.48845650842876e-05,27.5558190663817,0.00310795683106626,7.9487824477344e-05,"Malawi","Dedza","TA Kachindamoto",136,79193.52328,"Pediatrics",137041.4072,25
"25",25,79161.5105429202,7.32025262655881,5.63771870683504,0.00169216960851768,6.10151401122524e-05,19.0529840675533,2.84940651607294e-05,31.0127370797609,0.00348235371397732,8.95092052729821e-05,"Malawi","Dedza","TA Kachindamoto",136,79193.52328,"Pediatrics",137041.4072,25
"26",26,79157.6333952051,8.21341343151797,6.32393673810841,0.0018885500276045,6.8159901729438e-05,21.3505453885498,3.25267201617523e-05,34.8898847948257,0.00390228246542831,0.000100686621891191,"Malawi","Dedza","TA Kachindamoto",136,79193.52328,"Pediatrics",137041.4072,25
"27",27,79153.2843461664,9.21459326303218,7.09423358129681,0.00210998159575411,7.61368704744353e-05,23.9278838393043,3.70313848780142e-05,39.2389338334844,0.0043733467028031,0.00011316825535245,"Malawi","Dedza","TA Kachindamoto",136,79193.52328,"Pediatrics",137041.4072,25
"28",28,79148.4057755879,10.3373069401401,7.9585154282739,0.00235940277845204,8.50562302732941e-05,26.8191955211251,4.20634558979158e-05,44.1175044120037,0.00490179650187625,0.00012711968617121,"Malawi","Dedza","TA Kachindamoto",136,79193.52328,"Pediatrics",137041.4072,25
"29",29,79142.9332132914,11.5964638233356,8.9280691498778,0.00264010772520802,9.50403552482218e-05,30.0627509016924,4.76855893816837e-05,49.5900667085757,0.00549462661780613,0.000142725944629906,"Malawi","Dedza","TA Kachindamoto",136,79193.52328,"Pediatrics",137041.4072,25
"30",30,79136.7944316844,13.0086749499104,10.0156206519511,0.00295579742907044,0.000106225390168662,33.7014367222972,5.39685149368011e-05,55.7288483154929,0.0061596755311797,0.000160193905105463,"Malawi","Dedza","TA Kachindamoto",136,79193.52328,"Pediatrics",137041.4072,25
"31",31,79129.9084908473,14.5925099749307,11.2354617322243,0.00331063058729007,0.000118763019544244,37.7833270599473,6.09919422038363e-05,62.6147891526513,0.00690572982225169,0.000179754961748081,"Malawi","Dedza","TA Kachindamoto",136,79193.52328,"Pediatrics",137041.4072,25
"32",32,79122.1846740786,16.3687549361039,12.6036192636343,0.00370927914773046,0.000132822477171008,42.3623207744224,6.88455993569461e-05,70.3386059213849,0.00774264067828954,0.000201668076527954,"Malawi","Dedza","TA Kachindamoto",136,79193.52328,"Pediatrics",137041.4072,25
"33",33,79113.5213126092,18.3606829471478,14.1380548932016,0.00415698919732633,0.000148592777039355,47.4988463380138,7.76303989183777e-05,79.0019673907364,0.008681452716481,0.000226223175957733,"Malawi","Dedza","TA Kachindamoto",136,79193.52328,"Pediatrics",137041.4072,25
"34",34,79103.8044798462,20.5943500403441,15.8588905579939,0.00465964860078171,0.000166285190232317,53.2606461618284,8.74597465556429e-05,88.718800153704,0.00973454733654091,0.00025374493678796,"Malawi","Dedza","TA Kachindamoto",136,79193.52328,"Pediatrics",137041.4072,25
"35",35,79092.9064686348,23.0989765855654,17.7886637463101,0.00522386341035688,0.000186136033685746,59.7236625728251,9.84610284059239e-05,99.616811365173,0.0109158046521903,0.000284597062091671,"Malawi","Dedza","TA Kachindamoto",136,79193.52328,"Pediatrics",137041.4072,25
"36",36,79080.2326438161,26.2846479606889,20.0180459739461,0.00585859333296349,0.000208412146875586,66.9817644664529,0.000110777255763761,112.290636183824,0.0122423813857504,0.000319189402639348,"Malawi","Dedza","TA Kachindamoto",136,79193.52328,"Pediatrics",137041.4072,25
"37",37,79065.9431722555,29.8007488889102,22.6059218085545,0.00657819237636567,0.000233436695409035,75.1665008481579,0.000124569760148812,126.580107744454,0.0137383214875226,0.000358006455557847,"Malawi","Dedza","TA Kachindamoto",136,79193.52328,"Pediatrics",137041.4072,25
"38",38,79049.7975234364,33.7415944547707,25.5601685815498,0.00739645946023831,0.000261600173493745,84.4161954454054,0.000140022200347871,142.72575656356,0.0154289069370706,0.000401622373841617,"Malawi","Dedza","TA Kachindamoto",136,79193.52328,"Pediatrics",137041.4072,25
"39",39,79031.5412452515,38.1833687108629,28.9125667574363,0.0083269885983984,0.000293351528625855,94.8773215954762,0.000157344495150944,160.982034748398,0.0173409090739344,0.000450696023776799,"Malawi","Dedza","TA Kachindamoto",136,79193.52328,"Pediatrics",137041.4072,25
"40",40,79010.8941107657,43.1995520539363,32.7083740184444,0.0093843625278143,0.000329197499839407,106.711352825379,0.0001767764134718,181.629169234201,0.0195038407940384,0.000505973913311207,"Malawi","Dedza","TA Kachindamoto",136,79193.52328,"Pediatrics",137041.4072,25
