"","time","S","E","I","H","C","R","D","inci","hosp","crits","lvl2","lvl3","lvl4","ID","POP","age","tot_pop","start"
"1",1,17504.3775,0,1,0,0,0,0,0,0,0,"Malawi","Chitipa","TA Mwenewenya",206,17505.3775,"Pediatrics",29903.8643,114
"2",2,17503.8285342778,0.444501765240335,0.749826382822981,6.0047395882092e-05,2.62579572967661e-07,0.354577256527245,7.64616717348568e-09,0.548965722212182,6.54519106849149e-05,2.70225740141146e-07,"Malawi","Chitipa","TA Mwenewenya",206,17505.3775,"Pediatrics",29903.8643,114
"3",3,17503.5838557472,0.492216312926853,0.655948174873769,0.00010018078006574,8.93578431480448e-07,0.645378636733398,5.38698362994198e-08,0.793644252762355,0.000119129745421337,9.47448267779867e-07,"Malawi","Chitipa","TA Mwenewenya",206,17505.3775,"Pediatrics",29903.8643,114
"4",4,17503.3640044362,0.503767025917522,0.60291136769161,0.00012917681007743,1.74657240190818e-06,0.906686084109298,1.62695940712588e-07,1.01349556379685,0.000167362176929845,1.90926834262077e-06,"Malawi","Chitipa","TA Mwenewenya",206,17505.3775,"Pediatrics",29903.8643,114
"5",5,17503.159044569,0.499386268682323,0.56861309989165,0.000150730871425176,2.73126744699584e-06,1.15030225166194,3.48597525557234e-07,1.21845543097231,0.000212328170876237,3.07986497255308e-06,"Malawi","Chitipa","TA Mwenewenya",206,17505.3775,"Pediatrics",29903.8643,114
"6",6,17502.9643815479,0.488163297585145,0.543097574872266,0.000166904178212008,3.78671624749182e-06,1.38168626889279,6.19856586861133e-07,1.41311845210125,0.000255035634899067,4.40657283435296e-06,"Malawi","Chitipa","TA Mwenewenya",206,17505.3775,"Pediatrics",29903.8643,114
"7",7,17502.7778268203,0.474175529619694,0.521874699270556,0.000178960616151956,4.86972985345699e-06,1.60343813995937,9.80471928718176e-07,1.59967317966756,0.000295964651795459,5.85020178217516e-06,"Malawi","Chitipa","TA Mwenewenya",206,17505.3775,"Pediatrics",29903.8643,114
"8",8,17502.598277944,0.459246930339864,0.502912718549461,0.000187752971771836,5.94884112170376e-06,1.81686727394837,1.43136218263957e-06,1.77922205601277,0.000335357037858703,7.38020330434333e-06,"Malawi","Chitipa","TA Mwenewenya",206,17505.3775,"Pediatrics",29903.8643,114
"9",9,17502.4251253252,0.444187510281423,0.485286804269974,0.000193904588500484,7.00090663282589e-06,2.02269748354607,1.9711884663493e-06,1.95237467478107,0.000373346490483988,8.97209509917519e-06,"Malawi","Chitipa","TA Mwenewenya",206,17505.3775,"Pediatrics",29903.8643,114
"10",10,17502.2579846419,0.42935208292663,0.468569815001771,0.000197898102201575,8.00900463121733e-06,2.22138495610902,2.59695470915781e-06,2.11951535809896,0.000410017289009078,1.06059593403751e-05,"Malawi","Chitipa","TA Mwenewenya",206,17505.3775,"Pediatrics",29903.8643,114
"11",11,17502.0965769981,0.414890240746026,0.452559709045967,0.000200120953879204,8.96101905008222e-06,2.41326066565178,3.30446258061908e-06,2.28092300187928,0.00044543058649323,1.22654816307013e-05,"Malawi","Chitipa","TA Mwenewenya",206,17505.3775,"Pediatrics",29903.8643,114
"12",12,17501.9406741419,0.400860459580215,0.437155103909432,0.00020089069405605,9.84862181466509e-06,2.59859546665444,4.08866488142594e-06,2.43682585812484,0.00047963642797787,1.3937286696091e-05,"Malawi","Chitipa","TA Mwenewenya",206,17505.3775,"Pediatrics",29903.8643,114
"13",13,17501.7900741736,0.387280182028372,0.422300610180365,0.00020047120495267,1.06664395134323e-05,2.77762895257106,4.94395421425249e-06,2.58742582637848,0.000512679079506367,1.56103937276848e-05,"Malawi","Chitipa","TA Mwenewenya",206,17505.3775,"Pediatrics",29903.8643,114
"14",14,17501.6445904699,0.374148519331027,0.40796204025647,0.000199082954411486,1.14114479079347e-05,2.95058261174409,5.86437727148347e-06,2.73290953011117,0.00054459945799985,1.72758251794182e-05,"Malawi","Chitipa","TA Mwenewenya",206,17505.3775,"Pediatrics",29903.8643,114
"15",15,17501.5040466575,0.361456470608511,0.394115241320024,0.000196910218453472,1.20824941012062e-05,3.11766579405906,6.84380666309651e-06,2.87345334250681,0.000575436233739527,1.89263007643027e-05,"Malawi","Chitipa","TA Mwenewenya",206,17505.3775,"Pediatrics",29903.8643,114
"16",16,17501.3682737966,0.349192250811845,0.380740236651019,0.000194107535087702,1.2679863979889e-05,3.2790790524992,7.87608167678883e-06,3.00922620344281,0.000605226448221259,2.05559456566778e-05,"Malawi","Chitipa","TA Mwenewenya",206,17505.3775,"Pediatrics",29903.8643,114
