"","time","S","E","I","H","C","R","D","inci","hosp","crits","lvl2","lvl3","lvl4","ID","POP","age","tot_pop","start"
"1",1,88771.79145,0,1,0,0,0,0,0,0,0,"Malawi","Mangochi","TA Nankumba",244,88772.79145,"Pediatrics",149737.99823,30
"2",2,88771.2801364061,0.420757119409576,0.760118634977936,5.35801795677539e-05,1.75294321820444e-07,0.330384080249378,3.80227087603111e-09,0.51131359391305,5.71621114216834e-05,1.79096592696475e-07,"Malawi","Mangochi","TA Nankumba",244,88772.79145,"Pediatrics",149737.99823,30
"3",3,88770.8419277731,0.64915570867945,0.693899341528228,9.21285345378857e-05,6.11886608616688e-07,0.606374408894004,2.72941852126457e-08,0.949522226817013,0.000104912150414472,6.39180793829334e-07,"Malawi","Mangochi","TA Nankumba",244,88772.79145,"Pediatrics",149737.99823,30
"4",4,88770.4172572935,0.794628919760094,0.705597334002354,0.000124810262400001,1.23467605512658e-06,0.873840323642082,8.41399593566558e-08,1.37419270648294,0.000151186582689666,1.31881601448323e-06,"Malawi","Mangochi","TA Nankumba",244,88772.79145,"Pediatrics",149737.99823,30
"5",5,88769.9729213605,0.910571142235294,0.754103159981621,0.000155690139955384,2.01088611499775e-06,1.1536964513866,1.848122843434e-07,1.81852863944187,0.000199604107942207,2.19569839934115e-06,"Malawi","Mangochi","TA Nankumba",244,88772.79145,"Pediatrics",149737.99823,30
"6",6,88769.4923432413,1.01990156410536,0.822632387144393,0.000186667029410183,2.92679700841213e-06,1.45638287513171,3.38405189727406e-07,2.29910675861307,0.000251971073372973,3.26520219813954e-06,"Malawi","Mangochi","TA Nankumba",244,88772.79145,"Pediatrics",149737.99823,30
"7",7,88768.9656246794,1.13284430704615,0.904623766615445,0.000218739292722024,3.97786754638135e-06,1.78813397624414,5.53474406533391e-07,2.82582532054041,0.000309366131780319,4.53134195291474e-06,"Malawi","Mangochi","TA Nankumba",244,88772.79145,"Pediatrics",149737.99823,30
"8",8,88768.3853626701,1.25435645448172,0.997859443368046,0.000252535196802118,5.16458108176435e-06,2.1536128937235,8.38462335328414e-07,3.40608732981349,0.000372596065143973,6.00304341709276e-06,"Malawi","Mangochi","TA Nankumba",244,88772.79145,"Pediatrics",149737.99823,30
"9",9,88767.7448553779,1.38726054156403,1.10199804204511,0.000288538325009897,6.49068439903297e-06,2.55703980746225,1.20194954799447e-06,4.04659462203035,0.000442391003950445,7.69263394702744e-06,"Malawi","Mangochi","TA Nankumba",244,88772.79145,"Pediatrics",149737.99823,30
"10",10,88767.0280814297,1.54127395580075,1.2188903971802,0.000327214728094216,7.96249644558246e-06,3.00286738713276,1.65283186607357e-06,4.76336857017011,0.000519521294327337,9.61532831165603e-06,"Malawi","Mangochi","TA Nankumba",244,88772.79145,"Pediatrics",149737.99823,30
"11",11,88766.2346366944,1.7099942060508,1.35005041484465,0.000369111888040178,9.58904795654375e-06,3.49638778323223,2.20048354090862e-06,5.55681330554723,0.000604902517989226,1.17895314974524e-05,"Malawi","Mangochi","TA Nankumba",244,88772.79145,"Pediatrics",149737.99823,30
"12",12,88765.3555506956,1.89618335885212,1.4961042594149,0.000414759526679845,1.13821103654901e-05,4.04318268953879,2.85493039890923e-06,6.43589930437325,0.000699500341967831,1.42370407643993e-05,"Malawi","Mangochi","TA Nankumba",244,88772.79145,"Pediatrics",149737.99823,30
"13",13,88764.3812597537,2.1022232456476,1.65828293265936,0.000464685445523725,1.33559258037501e-05,4.64920239954532,3.62701178140723e-06,7.41019024623539,0.000804344197226872,1.69829375851573e-05,"Malawi","Mangochi","TA Nankumba",244,88772.79145,"Pediatrics",149737.99823,30
"14",14,88763.3013214835,2.33047076342467,1.83817401494372,0.000519444623622989,1.55271438925407e-05,5.32094423773902,4.52853244429111e-06,8.49012851640737,0.000920558150359625,2.00556763368318e-05,"Malawi","Mangochi","TA Nankumba",244,88772.79145,"Pediatrics",149737.99823,30
"15",15,88762.1042283268,2.583418636056,2.03763126897209,0.000579634834063766,1.79148930897932e-05,6.06556864598552,5.57241460684697e-06,9.68722167315537,0.00104938098799657,2.34873076966402e-05,"Malawi","Mangochi","TA Nankumba",244,88772.79145,"Pediatrics",149737.99823,30
"16",16,88760.7772430744,2.86378456900812,2.25874936859062,0.000645907581962569,2.05409363079159e-05,6.89099976651914,6.77286551917266e-06,11.0142069255017,0.00119218361850434,2.73138018270886e-05,"Malawi","Mangochi","TA Nankumba",244,88772.79145,"Pediatrics",149737.99823,30
"17",17,88759.2302455243,3.2380687960568,2.51490283453515,0.0007192237434819,2.34302117408054e-05,7.80748204559287,8.14552066687952e-06,12.5612044756607,0.0013507383916356,3.1575732407685e-05,"Malawi","Mangochi","TA Nankumba",244,88772.79145,"Pediatrics",149737.99823,30
"18",18,88757.5029413548,3.64326233875495,2.8136093354546,0.000801327148530161,2.66146576703575e-05,8.83079932138597,9.70778730177284e-06,14.288508645189,0.00152777604797277,3.63224449721303e-05,"Malawi","Mangochi","TA Nankumba",244,88772.79145,"Pediatrics",149737.99823,30
"19",19,88755.5684809193,4.09175938072431,3.15340770197527,0.000893772492087739,3.01345379820324e-05,9.97686661159747,1.14793369048742e-05,16.222969080664,0.00172604998982587,4.16138748869067e-05,"Malawi","Mangochi","TA Nankumba",244,88772.79145,"Pediatrics",149737.99823,30
"20",20,88753.399607712,4.59239987878512,3.53655644814536,0.000997973581147843,3.40365282126591e-05,11.2618404684006,1.34825617059401e-05,18.3918422880021,0.00194835537951983,4.75190899185992e-05,"Malawi","Mangochi","TA Nankumba",244,88772.79145,"Pediatrics",149737.99823,30
"21",21,88750.9669302828,5.15300644204987,3.96719874895255,0.0011153854501681,3.83731072532794e-05,12.7031450246187,1.57429535163478e-05,20.8245197171321,0.00219770666556064,5.41160607696271e-05,"Malawi","Mangochi","TA Nankumba",244,88772.79145,"Pediatrics",149737.99823,30
"22",22,88748.2379724858,5.7814838850631,4.45064921477503,0.00124759065937573,4.32027504485441e-05,14.3200353314384,1.82894690270861e-05,23.5534775141554,0.00247743504888833,6.14922194756302e-05,"Malawi","Mangochi","TA Nankumba",244,88772.79145,"Pediatrics",149737.99823,30
"23",23,88745.1765099692,6.48634118574384,4.9931414026132,0.00139634826768482,4.85904979356906e-05,16.1339913487549,2.11549210555949e-05,26.6149400307986,0.00279125664751053,6.97454189912854e-05,"Malawi","Mangochi","TA Nankumba",244,88772.79145,"Pediatrics",149737.99823,30
"24",24,88741.7419984238,7.27697063305257,5.60178049150163,0.00156362825956606,5.46087387188702e-05,18.1690578381497,2.43764133235835e-05,30.0494515761154,0.00314333130041513,7.89851520424537e-05,"Malawi","Mangochi","TA Nankumba",244,88772.79145,"Pediatrics",149737.99823,30
"25",25,88737.8890029117,8.16384223024207,6.28457996002901,0.00175164213818985,6.13381328561056e-05,20.4521839218394,2.79958258878573e-05,33.9024470882074,0.0035383213130691,8.93339587439629e-05,"Malawi","Mangochi","TA Nankumba",244,88772.79145,"Pediatrics",149737.99823,30
"26",26,88733.5665836496,9.15866908458338,7.05054461765018,0.00196287394447088,6.8868672564364e-05,23.0135888451415,3.20603670094218e-05,38.2248663503591,0.0039814547359466,0.000100929039573786,"Malawi","Mangochi","TA Nankumba",244,88772.79145,"Pediatrics",149737.99823,30
"27",27,88728.7176106117,10.2745739984782,7.90978090932408,0.00220011415147058,7.73008898777438e-05,25.887170442218,3.66232040882718e-05,43.0738393882657,0.0044785960307909,0.000113924093966016,"Malawi","Mangochi","TA Nankumba",244,88772.79145,"Pediatrics",149737.99823,30
