"","time","S","E","I","H","C","R","D","inci","hosp","crits","lvl2","lvl3","lvl4","ID","POP","age","tot_pop","start"
"1",1,4227.228141,0,1,0,0,0,0,0,0,0,"Malawi","Nkhata Bay","TA Zilakoma",107,4228.228141,"Adults",12872.827392,87
"2",2,4225.65910268024,1.27941930342858,0.910897545909217,0.00829555822225033,0.000101491153257176,0.370323828915718,5.92125964218395e-07,1.56903831975499,0.0090169548722673,0.000104406046924605,"Malawi","Nkhata Bay","TA Zilakoma",107,4228.228141,"Adults",12872.827392,87
"3",3,4223.86012866299,2.3301647562193,1.22473158234593,0.0165886731035748,0.000379278750305776,0.79614363324651,4.41334139382516e-06,3.36801233700701,0.0193594259543605,0.000401004568220285,"Malawi","Nkhata Bay","TA Zilakoma",107,4228.228141,"Adults",12872.827392,87
"4",4,4221.26624277953,3.68727055664799,1.83484560424942,0.0278625445199696,0.000857101095809792,1.41104786204407,1.45519036494958e-05,5.96189822046091,0.0342796774703134,0.00092873661656075,"Malawi","Nkhata Bay","TA Zilakoma",107,4228.228141,"Adults",12872.827392,87
"5",5,4217.32668336232,5.70010098731798,2.80906556020254,0.0445976469779274,0.00161652401802247,2.34604190894111,3.50102190564834e-05,9.90145763767664,0.0569579030666062,0.00178887090363446,"Malawi","Nkhata Bay","TA Zilakoma",107,4228.228141,"Adults",12872.827392,87
"6",6,4211.28720839977,8.77017821790254,4.31650644243276,0.0700036195344543,0.00279687476089762,3.78137580350101,7.16420970660093e-05,15.9409326002287,0.0917655386748067,0.00314955156900665,"Malawi","Nkhata Bay","TA Zilakoma",107,4228.228141,"Adults",12872.827392,87
"7",7,4202.02172328867,13.4713331925782,6.63388883488924,0.108827216005701,0.00461710226942927,5.9876180746362,0.000133290943669166,25.2064177113225,0.145262971459184,0.00527326151780762,"Malawi","Nkhata Bay","TA Zilakoma",107,4228.228141,"Adults",12872.827392,87
"8",8,4187.82681120741,20.6607839265903,10.1873639032396,0.168274414960307,0.00741530353853522,9.377258798404,0.000233445849954979,39.4013297925826,0.227451088394354,0.00856450129516374,"Malawi","Nkhata Bay","TA Zilakoma",107,4228.228141,"Adults",12872.827392,87
"9",9,4165.34883541181,32.2769988092016,15.7359056189058,0.259666224827499,0.0117125177686479,14.594629667798,0.000392749678802146,61.8793055881803,0.3539531789041,0.013645929949173,"Malawi","Nkhata Bay","TA Zilakoma",107,4228.228141,"Adults",12872.827392,87
"10",10,4130.77811279972,49.9715629850377,24.384208298038,0.401339987338276,0.0183281886556426,22.673945754558,0.000642986647112917,96.4500282002746,0.549849661814891,0.0214934572288332,"Malawi","Nkhata Bay","TA Zilakoma",107,4228.228141,"Adults",12872.827392,87
"11",11,4077.83197124357,76.8770693314684,37.6891703975714,0.62071336286523,0.028541365192676,35.1796418495313,0.00103344979259098,149.396169756422,0.85307247507648,0.0336287898929344,"Malawi","Nkhata Bay","TA Zilakoma",107,4228.228141,"Adults",12872.827392,87
"12",12,3997.53573043039,117.280953357578,57.9479912306177,0.958564586173045,0.0443102556685585,54.458950681617,0.00164045795427893,229.692410569609,1.32052605642617,0.0523858355140102,"Malawi","Nkhata Bay","TA Zilakoma",107,4228.228141,"Adults",12872.827392,87
"13",13,3877.64044191192,176.697608544681,88.36399855087,1.47455377277041,0.0685904771625082,83.9803663466629,0.002581395925565,349.587699088072,2.03628516505396,0.0812980682685459,"Malawi","Nkhata Bay","TA Zilakoma",107,4228.228141,"Adults",12872.827392,87
"14",14,3702.76923283856,261.297409598238,133.078485021235,2.25294307224478,0.105760565913241,128.720274849529,0.00403505427554911,524.458908161435,3.1209469490247,0.125624167353274,"Malawi","Nkhata Bay","TA Zilakoma",107,4228.228141,"Adults",12872.827392,87
"15",15,3456.37645096262,376.009118950059,196.778362390858,3.40602540846895,0.162126309740819,195.489787054018,0.00626992422445978,770.851690037369,4.73950680568028,0.192991638271481,"Malawi","Nkhata Bay","TA Zilakoma",107,4228.228141,"Adults",12872.827392,87
"16",16,3115.05473917613,529.596840432491,285.07298876854,5.0751160573339,0.246419667826146,293.172355806416,0.0096810912581314,1112.17340182387,7.10705215784484,0.294077351000665,"Malawi","Nkhata Bay","TA Zilakoma",107,4228.228141,"Adults",12872.827392,87
"17",17,2685.80344540254,702.479093545825,399.641970844449,7.42031496077408,0.370247311388851,432.498233525399,0.0148354096163334,1541.42469559745,10.4831605356757,0.443278463808324,"Malawi","Nkhata Bay","TA Zilakoma",107,4228.228141,"Adults",12872.827392,87
"18",18,2192.73404041138,867.540786990285,533.665630100602,10.5523968738418,0.547561071936269,623.165207496481,0.02251805546602,2034.49410058861,15.1017142276979,0.658412041573029,"Malawi","Nkhata Bay","TA Zilakoma",107,4228.228141,"Adults",12872.827392,87
"19",19,1686.20351894372,985.674867335885,670.848446409313,14.4591378521142,0.792461447524986,870.215953168759,0.033755842682304,2541.02462205628,21.0828430919935,0.958633340026354,"Malawi","Nkhata Bay","TA Zilakoma",107,4228.228141,"Adults",12872.827392,87
"20",20,1225.77802879976,1024.27694018726,787.676720385076,18.9429921763817,1.11554445255809,1170.38812445039,0.0497905485685133,3001.45011220023,28.3444526345394,1.3606513444873,"Malawi","Nkhata Bay","TA Zilakoma",107,4228.228141,"Adults",12872.827392,87
"21",21,854.192029688887,976.28972886755,861.827810368594,23.6196383006867,1.5197123249212,1510.70723774547,0.0719837038862864,3373.03611131111,36.5685854478256,1.87407078122225,"Malawi","Nkhata Bay","TA Zilakoma",107,4228.228141,"Adults",12872.827392,87
"22",22,583.108306891779,862.562521507573,881.506298280829,28.0036483823337,1.99731830525353,1870.94838869461,0.10165893761265,3644.11983410821,45.2620000316245,2.49776079788395,"Malawi","Nkhata Bay","TA Zilakoma",107,4228.228141,"Adults",12872.827392,87
"23",23,405.722604154342,711.698367323508,847.789590256651,31.6384036780336,2.53019207619035,2228.70906450377,0.139919007494398,3821.50553684565,53.8800384485895,3.21897968819228,"Malawi","Nkhata Bay","TA Zilakoma",107,4228.228141,"Adults",12872.827392,87
"24",24,288.881465634874,563.318771190667,774.048372270057,34.2055801982219,3.09247638617816,2564.49398681328,0.187488506713538,3938.34667536512,61.9503615464422,4.01543719850523,"Malawi","Nkhata Bay","TA Zilakoma",107,4228.228141,"Adults",12872.827392,87
"25",25,213.244635080657,432.290643990819,677.754248408043,35.5862329752084,3.65534354481656,2865.45241508004,0.244621920407129,4013.98350591934,69.1634946282991,4.85955840752776,"Malawi","Nkhata Bay","TA Zilakoma",107,4228.228141,"Adults",12872.827392,87
"26",26,164.20524512632,324.498293151685,573.793965486242,35.8292208300975,4.19159071431611,3125.39873172498,0.3110939663503,4063.02289587367,75.3726749694545,5.72303146727609,"Malawi","Nkhata Bay","TA Zilakoma",107,4228.228141,"Adults",12872.827392,87
"27",27,132.009110151161,239.879737886764,472.806075218474,35.0925088500605,4.67871767698135,3343.37573569654,0.386255520010716,4095.21903084883,80.5583224515981,6.58016067614926,"Malawi","Nkhata Bay","TA Zilakoma",107,4228.228141,"Adults",12872.827392,87
"28",28,110.497190831491,175.493074598112,381.185423502053,33.586652963687,5.10039447922118,3521.89627688787,0.469127737554195,4116.7309501685,84.7848663628857,7.40979746785202,"Malawi","Nkhata Bay","TA Zilakoma",107,4228.228141,"Adults",12872.827392,87
"29",29,95.8549556784544,127.512103733487,301.943442026715,31.5316332952254,5.44664801310669,3665.38084866929,0.558509583715935,4131.37318532154,88.1625253906693,8.19605632679342,"Malawi","Nkhata Bay","TA Zilakoma",107,4228.228141,"Adults",12872.827392,87
"30",30,90.2097367588488,88.6283720965583,235.013664787697,29.1268240417211,5.71320477989694,3778.88325772538,0.653080809900515,4137.01840424115,90.8162389959364,8.92816448802432,"Malawi","Nkhata Bay","TA Zilakoma",107,4228.228141,"Adults",12872.827392,87
"31",31,86.0801632122617,61.768144698807,179.959329704713,26.5353492226944,5.90031533652765,3867.23334991837,0.751488906629822,4141.14797778773,92.864858237742,9.59971442970818,"Malawi","Nkhata Bay","TA Zilakoma",107,4228.228141,"Adults",12872.827392,87
"32",32,83.0646427794661,43.159421802085,136.10284122878,23.8921659883568,6.01165191193055,3935.1450013722,0.852415917188884,4144.16349822053,94.4238847250504,10.2078903969446,"Malawi","Nkhata Bay","TA Zilakoma",107,4228.228141,"Adults",12872.827392,87
"33",33,80.8648065440103,30.2319221548405,101.944204927767,21.3008284385147,6.0533533982639,3986.878397253,0.954628283605647,4146.36333445599,95.5973312331843,10.7527587727664,"Malawi","Nkhata Bay","TA Zilakoma",107,4228.228141,"Adults",12872.827392,87
"34",34,79.261349233104,21.2271306608617,75.7756911745808,18.8339863009411,6.03309587289239,4026.03987714083,1.05701061679273,4147.96679176689,96.4729467824398,11.2365048424029,"Malawi","Nkhata Bay","TA Zilakoma",107,4228.228141,"Adults",12872.827392,87
"35",35,78.0936481995995,14.9382964597176,55.9786857822168,16.5378064522966,5.9593020039913,4055.56181732417,1.15858477801074,4149.1344928004,97.1218245597482,11.662736132337,"Malawi","Nkhata Bay","TA Zilakoma",107,4228.228141,"Adults",12872.827392,87
"36",36,77.2441602676806,10.5350245210331,41.1475384585226,14.4375264765057,5.84053313160573,4077.76484103471,1.25851710994302,4149.98398073232,97.6000010006833,12.0359100882064,"Malawi","Nkhata Bay","TA Zilakoma",107,4228.228141,"Adults",12872.827392,87
"37",37,76.6268719451783,7.44437762572482,30.1222646542374,12.542815553361,5.68505777950291,4094.45063654236,1.35611689963823,4150.60126905482,97.9507830166318,12.3608950200914,"Malawi","Nkhata Bay","TA Zilakoma",107,4228.228141,"Adults",12872.827392,87
"38",38,76.1788506719452,5.26997968049477,21.9769555228935,10.8523764728965,5.50057047441976,4106.9985793258,1.45082885155521,4151.04929032805,98.20715116101,12.6426518683735,"Malawi","Nkhata Bay","TA Zilakoma",107,4228.228141,"Adults",12872.827392,87
"39",39,75.8540742861951,3.73684129024003,15.9895386260643,9.35763380761131,5.2940288774922,4116.45380226444,1.54222184795574,4151.3740667138,98.393940152862,12.8860160052823,"Malawi","Nkhata Bay","TA Zilakoma",107,4228.228141,"Adults",12872.827392,87
"40",40,75.6189168306944,2.65364903911181,11.6064060790254,8.04554851959895,5.07157885815183,4123.60206593694,1.62997573648371,4151.6092241693,98.5296863732432,13.0955572672229,"Malawi","Nkhata Bay","TA Zilakoma",107,4228.228141,"Adults",12872.827392,87
"41",41,75.4488389407986,1.88692935210596,8.40854130460006,6.90068096648653,4.83854160983542,4129.03074141872,1.71386740745547,4151.7793020592,98.6281282804129,13.2754985323355,"Malawi","Nkhata Bay","TA Zilakoma",107,4228.228141,"Adults",12872.827392,87
"42",42,75.3259576566021,1.34330715314956,6.0819468501971,5.90664651242377,4.59944215492213,4133.17708364443,1.79375702827674,4151.9021833434,98.6993907546568,13.4296764607786,"Malawi","Nkhata Bay","TA Zilakoma",107,4228.228141,"Adults",12872.827392,87
"43",43,75.2372600927771,0.957284792633874,4.39316768248517,5.04710158483744,4.3580634664163,4136.36568838342,1.86957499742834,4151.99088090722,98.750901363912,13.5615313940225,"Malawi","Nkhata Bay","TA Zilakoma",107,4228.228141,"Adults",12872.827392,87
"44",44,75.173291558269,0.682805415485618,3.16971998916395,4.30637783982035,4.11751477648263,4138.83712147357,1.94130994720836,4152.05484944173,98.7880884348477,13.6741166037703,"Malawi","Nkhata Bay","TA Zilakoma",107,4228.228141,"Adults",12872.827392,87
"45",45,75.127192675929,0.487407227926041,2.28481379372541,3.66986093786248,3.88030592831808,4140.76956247244,2.00899796380052,4152.10094832407,98.8149068969759,13.7701195768198,"Malawi","Nkhata Bay","TA Zilakoma",107,4228.228141,"Adults",12872.827392,87
"46",46,75.0939939171955,0.3481616378304,1.64563472276248,3.12418877394772,3.64842230911187,4142.29502656204,2.07271307711711,4152.1341470828,98.8342307862222,13.851890131808,"Malawi","Nkhata Bay","TA Zilakoma",107,4228.228141,"Adults",12872.827392,87
"47",47,75.0700994647012,0.248841878490723,1.18446952885698,2.65732617370751,3.42339683056008,4143.51144812582,2.13255899786437,4152.1580415353,98.8481442375088,13.9214717232872,"Malawi","Nkhata Bay","TA Zilakoma",107,4228.228141,"Adults",12872.827392,87
"48",48,75.0529105297341,0.177944341517529,0.852056362070429,2.25855781566112,3.20637686041119,4144.49163305799,2.1886620326143,4152.17523047026,98.8581558860748,13.9806334958727,"Malawi","Nkhata Bay","TA Zilakoma",107,4228.228141,"Adults",12872.827392,87
"49",49,75.0405508530545,0.127301079578714,0.612640171211548,1.91842987181789,2.99818498570454,4145.28986895795,2.24116508067987,4152.18759014694,98.8653561634713,14.0309014955427,"Malawi","Nkhata Bay","TA Zilakoma",107,4228.228141,"Adults",12872.827392,87
"50",50,75.0316670750853,0.0911046030985639,0.440319532453956,1.62866176593039,2.79937318172939,4145.9467922376,2.29022260410186,4152.19647392491,98.8705322472066,14.0735880770525,"Malawi","Nkhata Bay","TA Zilakoma",107,4228.228141,"Adults",12872.827392,87
"51",51,75.0252837880847,0.0652207004069675,0.316361126923115,1.38204286464026,2.61027040811712,4146.49296565324,2.33599645858768,4152.20285721191,98.8742518122486,14.1098189767418,"Malawi","Nkhata Bay","TA Zilakoma",107,4228.228141,"Adults",12872.827392,87
"52",52,75.0206984939584,0.0467032869597315,0.227234401394579,1.17232401426525,2.43102393275999,4146.95150439402,2.37865247664524,4152.20744250604,98.8769238755264,14.1405578160428,"Malawi","Nkhata Bay","TA Zilakoma",107,4228.228141,"Adults",12872.827392,87
"53",53,75.0174055392612,0.0334509357203673,0.16317728171795,0.994110409255185,2.26163484850001,4147.34000428549,2.41835770005517,4152.21073546074,98.8788429334387,14.1666279942967,"Malawi","Nkhata Bay","TA Zilakoma",107,4228.228141,"Adults",12872.827392,87
"54",54,75.015041192426,0.0239637220946153,0.1171539866711,0.842759697754502,2.10198832176676,4147.67195591025,2.45527816903813,4152.21309980757,98.8802208721116,14.1887320539931,"Malawi","Nkhata Bay","TA Zilakoma",107,4228.228141,"Adults",12872.827392,87
"55",55,75.0133438866539,0.0171700867775,0.084096883511565,0.714287668977292,1.95187915566857,4147.95778613653,2.48957718188333,4152.21479711334,98.8812100867965,14.2074686764317,"Malawi","Nkhata Bay","TA Zilakoma",107,4228.228141,"Adults",12872.827392,87
"56",56,75.0121256147625,0.0123041463382531,0.0603586564505536,0.605282473693541,1.81103322355227,4148.20562293297,2.52141395223927,4152.21601538523,98.8819201273175,14.2233475054469,"Malawi","Nkhata Bay","TA Zilakoma",107,4228.228141,"Adults",12872.827392,87
"57",57,75.0112512916454,0.00881824938359491,0.0433157625520125,0.512827774467225,1.67912530740564,4148.42186001651,2.55094259804003,4152.21688970835,98.8824297126668,14.2368020085382,"Malawi","Nkhata Bay","TA Zilakoma",107,4228.228141,"Adults",12872.827392,87
"58",58,75.0106238816291,0.00632058417832808,0.0310819133528711,0.434434618474988,1.55579383507219,4148.61157476192,2.57831140537379,4152.21751711837,98.8827953923,14.2482005902864,"Malawi","Nkhata Bay","TA Zilakoma",107,4228.228141,"Adults",12872.827392,87
"59",59,75.0101736957786,0.0045307447416999,0.0223013620467352,0.367981538816757,1.44065296119578,4148.77883837875,2.60366231867442,4152.21796730422,98.8830577804918,14.257856163634,"Malawi","Nkhata Bay","TA Zilakoma",107,4228.228141,"Adults",12872.827392,87
"60",60,75.0098506991104,0.00324797617259517,0.0160001087301768,0.311662252797123,1.33330238390969,4148.92694696329,2.62713061599779,4152.21829030089,98.8832460381826,14.266034368038,"Malawi","Nkhata Bay","TA Zilakoma",107,4228.228141,"Adults",12872.827392,87
"61",61,75.0096189732234,0.00232853927017879,0.0114785576749171,0.263940232929259,1.23333524990212,4149.05859471334,2.64884473365823,4152.21852202677,98.8833810994578,14.2729606112627,"Malawi","Nkhata Bay","TA Zilakoma",107,4228.228141,"Adults",12872.827392,87
"62",62,75.009452736772,0.00166946076268371,0.00823434749783005,0.223509418303374,1.14034445001512,4149.17600437605,2.66892621060353,4152.21868826323,98.8834779905173,14.2788260911501,"Malawi","Nkhata Bay","TA Zilakoma",107,4228.228141,"Adults",12872.827392,87
"63",63,75.009333486686,0.00119698467227261,0.00590678525909403,0.189260363056839,1.0539275660139,4149.28102608657,2.68748972774213,4152.21880751331,98.8835474956654,14.2837929359876,"Malawi","Nkhata Bay","TA Zilakoma",107,4228.228141,"Adults",12872.827392,87
"64",64,75.0092479444304,0.000858247975120093,0.00423695373686398,0.160251146367644,0.973690697131447,4149.37521278931,2.70464322105196,4152.21889305557,98.8835973542056,14.2879985878602,"Malawi","Nkhata Bay","TA Zilakoma",107,4228.228141,"Adults",12872.827392,87
"65",65,75.0091865894959,0.000615405564042376,0.00303915494296128,0.135682478721811,0.899251346810478,4149.4598779723,2.72048805216916,4152.2189544105,98.883633115134,14.2915595291596,"Malawi","Nkhata Bay","TA Zilakoma",107,4228.228141,"Adults",12872.827392,87
"66",66,75.009142582216,0.000441296348514594,0.00217995284531908,0.114876295713053,0.830240573924818,4149.53614107977,2.73511921918624,4152.21899841778,98.8836587649424,14.2945744715142,"Malawi","Nkhata Bay","TA Zilakoma",107,4228.228141,"Adults",12872.827392,87
"67",67,75.0091110140382,0.000316440773532814,0.00156357259550883,0.0972575868279825,0.766304486861505,4149.60496229868,2.74862560022195,4152.21902998596,98.8836771645826,14.2971270489073,"Malawi","Nkhata Bay","TA Zilakoma",107,4228.228141,"Adults",12872.827392,87
"68",68,75.0090883720423,0.000226915482305327,0.00112145285818875,0.0823388961468165,0.707105230289616,4149.66716991536,2.76109021782134,4152.21905262796,98.8836903615664,14.2992881060236,"Malawi","Nkhata Bay","TA Zilakoma",107,4228.228141,"Adults",12872.827392,87
"69",69,75.0090721324283,0.000162721164354462,0.000804333073078246,0.069707071141691,0.65232157691292,4149.72348264999,2.77259051529537,4152.21906886757,98.883699826897,14.3011176503554,"Malawi","Nkhata Bay","TA Zilakoma",107,4228.228141,"Adults",12872.827392,87
"70",70,75.0090604850044,0.000116687784412691,0.000576879173393166,0.0590120120212458,0.601649180118079,4149.77452711502,2.78319864088537,4152.21908051499,98.8837066156506,14.3026665037238,"Malawi","Nkhata Bay","TA Zilakoma",107,4228.228141,"Adults",12872.827392,87
"71",71,75.0090521312764,8.36781793979104e-05,0.000413739079928912,0.0499570723869561,0.554800572365314,4149.82085207295,2.79298173376766,4152.21908886872,98.8837114846594,14.3039777086016,"Malawi","Nkhata Bay","TA Zilakoma",107,4228.228141,"Adults",12872.827392,87
