"","time","S","E","I","H","C","R","D","inci","hosp","crits","lvl2","lvl3","lvl4","ID","POP","age","tot_pop","start"
"1",1,12845.44489,0,1,0,0,0,0,0,0,0,"Malawi","Mzimba","TA Jaravikuba Munthali",57,12846.44489,"Pediatrics",23471.583369,1
"2",2,12844.7951029062,0.535184334881769,0.781229168521333,0.0000615401123662103,0.000000200418021418906,0.333311845563393,0.00000000433932185308329,0.649787093836204,0.0000656352592316501,0.000000204757343271989,"Malawi","Mzimba","TA Jaravikuba Munthali",57,12846.44489,"Pediatrics",23471.583369,1
"3",3,12844.2261662678,0.836177836545396,0.757265212105615,0.000108316970748488,0.000000708098177533374,0.625171627136678,0.0000000313788623160796,1.21872373223548,0.000123106511545477,0.000000739477039849454,"Malawi","Mzimba","TA Jaravikuba Munthali",57,12846.44489,"Pediatrics",23471.583369,1
"4",4,12843.6823007937,1.02176092206383,0.814791626525393,0.00015129459235558,0.00000145349341239088,0.925883811834646,0.0000000977744318439606,1.76258920628407,0.000182319949240277,0.00000155126784423484,"Malawi","Mzimba","TA Jaravikuba Munthali",57,12846.44489,"Pediatrics",23471.583369,1
"5",5,12843.0842005311,1.19380174299174,0.910084160656487,0.000194804162905043,0.00000241434979266392,1.25660612922585,0.000000217542039062535,2.36068946892882,0.000247441999539572,0.00000263189183172645,"Malawi","Mzimba","TA Jaravikuba Munthali",57,12846.44489,"Pediatrics",23471.583369,1
"6",6,12842.4106075748,1.37404998338275,1.03089386195626,0.000240950228807882,0.00000358786859013048,1.62909363781008,0.000000403991883862709,3.03428242523837,0.000320787438287746,0.00000399186047399319,"Malawi","Mzimba","TA Jaravikuba Munthali",57,12846.44489,"Pediatrics",23471.583369,1
"7",7,12841.6453312506,1.57326214938468,1.1736932050871,0.000291079008406085,0.00000498147639126333,2.05230666387659,0.000000670606268833491,3.79955874943943,0.000404120661608022,0.00000565208266009682,"Malawi","Mzimba","TA Jaravikuba Munthali",57,12846.44489,"Pediatrics",23471.583369,1
"8",8,12840.7731640527,1.79801250751853,1.33869446162919,0.000346281209548472,0.00000660936631127157,2.53466505604633,0.00000103155353436446,4.67172594732344,0.000499099606461192,0.00000764091984563603,"Malawi","Mzimba","TA Jaravikuba Munthali",57,12846.44489,"Pediatrics",23471.583369,1
"9",9,12839.7780801579,2.05348708815302,1.52786014100399,0.000407605101146613,0.00000849128165794733,3.08504501445849,0.00000150206579244071,5.66680984206411,0.000607472050154374,0.00000999334745038804,"Malawi","Mzimba","TA Jaravikuba Munthali",57,12846.44489,"Pediatrics",23471.583369,1
"10",10,12838.6423291748,2.34466263124837,1.74412758735417,0.000476153749675096,0.0000106522632858396,3.71328170183076,0.00000209877845905493,6.80256082522472,0.000731174584572987,0.0000127510417448946,"Malawi","Mzimba","TA Jaravikuba Munthali",57,12846.44489,"Pediatrics",23471.583369,1
"11",11,12837.4203515739,2.61457005845543,1.98036539203425,0.000552860825304973,0.0000131223659359927,4.42903415233801,0.00000284004745063333,8.02453842606639,0.000872109093037493,0.000015962413386626,"Malawi","Mzimba","TA Jaravikuba Munthali",57,12846.44489,"Pediatrics",23471.583369,1
"12",12,12836.0377999567,2.93193515845993,2.2355648782207,0.000637994581439664,0.0000159331429953656,5.23893233275424,0.00000374617591715969,9.40709004333522,0.00103158095969017,0.0000196793189125253,"Malawi","Mzimba","TA Jaravikuba Munthali",57,12846.44489,"Pediatrics",23471.583369,1
"13",13,12834.4792276773,3.2945719010149,2.51828461978499,0.000732250238989517,0.000019116866163877,6.1520495952982,0.00000483945748074543,10.9656623226607,0.00121137671188196,0.0000239563236446224,"Malawi","Mzimba","TA Jaravikuba Munthali",57,12846.44489,"Pediatrics",23471.583369,1
"14",14,12832.7246001138,3.70476078343563,2.83449992918769,0.000836740325853486,0.0000227094540187644,7.18016357951841,0.00000614429897637008,12.7202898862206,0.00141381538575618,0.0000288537529951345,"Malawi","Mzimba","TA Jaravikuba Munthali",57,12846.44489,"Pediatrics",23471.583369,1
"15",15,12830.7502948316,4.16701850973727,3.18942340644167,0.000952837359450665,0.0000267522318750117,8.33716597507556,0.00000768751458225468,14.6945951683604,0.00164163228859599,0.0000344397464572664,"Malawi","Mzimba","TA Jaravikuba Munthali",57,12846.44489,"Pediatrics",23471.583369,1
"16",16,12828.5293145059,4.68722234977379,3.58828877057555,0.00108212151295541,0.0000312929834848634,9.63894146059892,0.00000949869856943101,16.9155754941433,0.0018979551540413,0.0000407916820542944,"Malawi","Mzimba","TA Jaravikuba Munthali",57,12846.44489,"Pediatrics",23471.583369,1
"17",17,12826.0311136434,5.27230272619195,4.03672413355331,0.00122637435999497,0.0000363868518328308,11.1034751249318,0.0000116106946892473,19.4137763565836,0.00218632529043653,0.0000479975465220781,"Malawi","Mzimba","TA Jaravikuba Munthali",57,12846.44489,"Pediatrics",23471.583369,1
