"","time","S","E","I","H","C","R","D","inci","hosp","crits","lvl2","lvl3","lvl4","ID","POP","age","tot_pop","start"
"1",1,12024.81568,0,1,0,0,0,0,0,0,0,"Malawi","Thyolo","TA Bvumbwe",109,12025.81568,"Elderly",126405.4762,8
"2",2,12010.0163593008,12.703637550999,2.54455253611773,0.0599146279253641,0.000891421467110358,0.490314230234877,0.0000103324421316537,14.7993206991862,0.0630456698374807,0.000908764713509415,"Malawi","Thyolo","TA Bvumbwe",109,12025.81568,"Elderly",126405.4762,8
"3",3,11946.0067640561,64.4039317142214,12.4622712100678,0.314161285056677,0.00632209209079427,2.62211146261186,0.00011817987302403,78.8089159439216,0.336626762149092,0.00652045977881509,"Malawi","Thyolo","TA Bvumbwe",109,12025.81568,"Elderly",126405.4762,8
"4",4,11657.8246453648,294.418566162781,59.0584152079215,1.54093693879924,0.0334219255543546,12.9389642217852,0.000730178383580101,366.991034635224,1.66031098632446,0.034647547092839,"Malawi","Thyolo","TA Bvumbwe",109,12025.81568,"Elderly",126405.4762,8
"5",5,10420.7514083353,1271.81454730976,265.579055195551,7.16238009303197,0.161626685360175,60.3428879985517,0.00377438239156485,1604.06427166465,7.74107366215936,0.167962074708318,"Malawi","Thyolo","TA Bvumbwe",109,12025.81568,"Elderly",126405.4762,8
"6",6,6541.59293213907,4174.60089592519,1021.3150433255,30.368629682462,0.728007942926097,257.192277203805,0.0178937810494568,5483.22274786093,32.980377916746,0.758043074001333,"Malawi","Thyolo","TA Bvumbwe",109,12025.81568,"Elderly",126405.4762,8
"7",7,1564.75631929534,6910.96340525908,2583.95929679925,100.373467114593,2.81656062321091,862.870201869946,0.076429038584934,10460.0593607047,110.519596380584,2.944848556628,"Malawi","Thyolo","TA Bvumbwe",109,12025.81568,"Elderly",126405.4762,8
"8",8,107.936784675316,5836.22922907566,3848.44808663589,225.378018576747,8.27905394162387,1999.27461014566,0.269896949102432,11916.8788953247,255.463380885617,8.732082299392,"Malawi","Thyolo","TA Bvumbwe",109,12025.81568,"Elderly",126405.4762,8
"9",9,3.94666042426605,4051.65974425315,4169.16828207358,367.623211288023,18.2435092013439,3414.42473601333,0.749536746301326,12020.8690195757,434.813763291548,19.5016242055816,"Malawi","Thyolo","TA Bvumbwe",109,12025.81568,"Elderly",126405.4762,8
"10",10,0.145429359213539,2760.88623722411,3899.57362353918,492.506625006843,32.3677773829672,4838.65553349991,1.6804539877734,12024.6702506408,613.744320205158,35.1884588057015,"Malawi","Thyolo","TA Bvumbwe",109,12025.81568,"Elderly",126405.4762,8
"11",11,0.00993520156476438,1879.47333389281,3377.3498425347,585.360438538466,49.4797367637754,6130.94527088472,3.19712218394952,12024.8057447984,774.32650409078,54.846181317504,"Malawi","Thyolo","TA Bvumbwe",109,12025.81568,"Elderly",126405.4762,8
"12",12,0.0010285870683617,1279.38766940136,2791.075193694,643.898945747825,68.2063151990499,7237.86132556176,5.38520180893338,12024.8146514129,910.039238074564,77.2455027106699,"Malawi","Thyolo","TA Bvumbwe",109,12025.81568,"Elderly",126405.4762,8
"13",13,0.000162602600860442,870.895651968796,2234.87945881212,671.734493359541,87.2963130117332,8152.72873669394,8.28086355125896,12024.8155173974,1020.3931882877,101.195936656997,"Malawi","Thyolo","TA Bvumbwe",109,12025.81568,"Elderly",126405.4762,8
