"","time","S","E","I","H","C","R","D","inci","hosp","crits","lvl2","lvl3","lvl4","ID","POP","age","tot_pop","start"
"1",1,62268.33273,0,1,0,0,0,0,0,0,0,"Malawi","Dowa","TA Chiwere",128,62269.33273,"Pediatrics",117028.17309,57
"2",2,62267.8590342598,0.383332880387376,0.737585663020314,5.66946685495398e-05,4.97318370030979e-07,0.352719975154692,2.96326659934772e-08,0.473695740181967,6.72336892700289e-05,5.26951036024457e-07,"Malawi","Dowa","TA Chiwere",128,62269.33273,"Pediatrics",117028.17309,57
"3",3,62267.4750057301,0.565479996135817,0.653467361066623,8.68231096778206e-05,1.55009770089617e-06,0.638688343690071,1.95779771496576e-07,0.857724269879661,0.000121740659125676,1.74587747239275e-06,"Malawi","Dowa","TA Chiwere",128,62269.33273,"Pediatrics",117028.17309,57
"4",4,62267.1010586543,0.678495279109373,0.645507577331137,0.000105778543756282,2.80331614261781e-06,0.907559350291528,5.5711123744985e-07,1.23167134570317,0.000172987091357635,3.36042738006766e-06,"Malawi","Dowa","TA Chiwere",128,62269.33273,"Pediatrics",117028.17309,57
"5",5,62266.7204398192,0.759010721014422,0.671920547571438,0.000120201895077382,4.1140450632388e-06,1.18123346306943,1.13326552974398e-06,1.61229018086096,0.000225148106937038,5.24731059298278e-06,"Malawi","Dowa","TA Chiwere",128,62269.33273,"Pediatrics",117028.17309,57
"6",6,62266.3193095699,0.82912515113247,0.714495053110268,0.000132957193723441,5.42950256865767e-06,1.46965991047594,1.92865805715227e-06,2.01342043007302,0.000280120406239639,7.35816062580994e-06,"Malawi","Dowa","TA Chiwere",128,62269.33273,"Pediatrics",117028.17309,57
"7",7,62265.8907029853,0.897964513883002,0.766061459383651,0.000145315967373595,6.73463089712113e-06,1.77784604831438,2.94249825801196e-06,2.44202701467756,0.000338858550476257,9.67712915513309e-06,"Malawi","Dowa","TA Chiwere",128,62269.33273,"Pediatrics",117028.17309,57
"8",8,62265.4303236425,0.96943332496126,0.823921776475573,0.000157886422344451,8.03025455692689e-06,2.10888116637901,4.17299555501616e-06,2.9024063574883,0.000401951424583312,1.2203250111943e-05,"Malawi","Dowa","TA Chiwere",128,62269.33273,"Pediatrics",117028.17309,57
"9",9,62264.9348345071,1.04535060174477,0.887193887367567,0.000170995943949735,9.3238909544109e-06,2.46516506478712,5.61913463310031e-06,3.397895492869,0.000469856455699959,1.49430255875112e-05,"Malawi","Dowa","TA Chiwere",128,62269.33273,"Pediatrics",117028.17309,57
"10",10,62264.4011595451,1.12671438580474,0.955744686054263,0.000184849841225077,1.06258404489623e-05,2.84890862595566,7.28141968121074e-06,3.93157045491601,0.000542995043828537,1.7907260130173e-05,"Malawi","Dowa","TA Chiwere",128,62269.33273,"Pediatrics",117028.17309,57
"11",11,62263.8057081608,1.23106200604999,1.0329315541311,0.00019968053974474,1.19478343360387e-05,3.26280748848735,9.16218775343977e-06,4.52702183923027,0.00062188098153431,2.11100220894785e-05,"Malawi","Dowa","TA Chiwere",128,62269.33273,"Pediatrics",117028.17309,57
"12",12,62263.160877727,1.34040500615062,1.12017393924341,0.00021588962743119,1.33050038688308e-05,3.71103286694823,1.12659805525952e-05,5.17185227295411,0.000707309315859711,2.4570984421426e-05,"Malawi","Dowa","TA Chiwere",128,62269.33273,"Pediatrics",117028.17309,57
"13",13,62262.4610722776,1.45759850856892,1.21632045529868,0.000233715067064275,1.47152035855348e-05,4.19747672807387,1.36001352385568e-05,5.87165772234737,0.000800021843546107,2.83153388240916e-05,"Malawi","Dowa","TA Chiwere",128,62269.33273,"Pediatrics",117028.17309,57
"14",14,62261.7010025085,1.58429314350217,1.32133159504892,0.000253294807633322,1.61962526282661e-05,4.72581708686757,1.61749853431281e-05,6.63172749146427,0.000900719567061206,3.23712379713942e-05,"Malawi","Dowa","TA Chiwere",128,62269.33273,"Pediatrics",117028.17309,57
"15",15,62260.8752403239,1.72169794480382,1.43565146165152,0.000274744205525803,1.77651206148343e-05,5.29982875652102,1.9003765766071e-05,7.45748967606828,0.00101012193314391,3.67688863809053e-05,"Malawi","Dowa","TA Chiwere",128,62269.33273,"Pediatrics",117028.17309,57
"16",16,62259.9780146781,1.87089467504047,1.55995563197538,0.000298185073980631,1.94379713794617e-05,5.92352528940982,2.21024694217263e-05,8.35471532194046,0.00112899389000439,4.1540440801188e-05,"Malawi","Dowa","TA Chiwere",128,62269.33273,"Pediatrics",117028.17309,57
"17",17,62259.0031016775,2.03296801205279,1.69505646816771,0.000323755516971017,2.12304804934434e-05,6.60123336654779,2.5489746991977e-05,9.32962832251275,0.00125816006667943,4.67202274854204e-05,"Malawi","Dowa","TA Chiwere",128,62269.33273,"Pediatrics",117028.17309,57
"18",18,62257.907238791,2.23911425783243,1.84751108881119,0.000351757685855715,2.31587985636398e-05,7.3384617590859,2.91868377196332e-05,10.4254912090517,0.00139867041152117,5.23456362832729e-05,"Malawi","Dowa","TA Chiwere",128,62269.33273,"Pediatrics",117028.17309,57
"19",19,62256.7104974039,2.4578704517846,2.02035347878526,0.000382861826010054,2.52447042759891e-05,8.14356734096024,3.32180917995753e-05,11.6222325961522,0.00155211774752134,5.84627960755644e-05,"Malawi","Dowa","TA Chiwere",128,62269.33273,"Pediatrics",117028.17309,57
"20",20,62255.4008937529,2.69471362359713,2.21202202716757,0.000417493428935662,2.75153178470204e-05,9.02461797558945,3.76119993087971e-05,12.9318362471002,0.00172003977205201,6.51273171558175e-05,"Malawi","Dowa","TA Chiwere",128,62269.33273,"Pediatrics",117028.17309,57
"21",21,62253.9667144785,2.95306786471947,2.42292028133617,0.000455931469092644,2.99987100614231e-05,9.98949904357091,4.24016853499438e-05,14.3660155214911,0.00190393937731998,7.24003954113668e-05,"Malawi","Dowa","TA Chiwere",128,62269.33273,"Pediatrics",117028.17309,57
"22",22,62252.3956933928,3.23565711440977,2.65433160885026,0.00049843791003792,3.27226979487009e-05,11.0464690984331,4.76249352453902e-05,15.9370366072363,0.00210539057391974,8.03476331940911e-05,"Malawi","Dowa","TA Chiwere",128,62269.33273,"Pediatrics",117028.17309,57
"23",23,62250.6746151828,3.54505990638525,2.90799387814644,0.00054530487264357,3.57150556102685e-05,12.2044266885621,5.33241683499647e-05,17.6581148171904,0.00232608935184823,8.90392239602331e-05,"Malawi","Dowa","TA Chiwere",128,62269.33273,"Pediatrics",117028.17309,57
"24",24,62248.7890954538,3.88393657058811,3.18594284232396,0.000596870080432749,3.90041312968798e-05,13.4730597125725,5.95464720973091e-05,19.5436345461684,0.00256788214831653,9.85506033941889e-05,"Malawi","Dowa","TA Chiwere",128,62269.33273,"Pediatrics",117028.17309,57
"25",25,62246.7693581061,4.21733484430415,3.48336735608238,0.000653339455385666,4.2618710622467e-05,14.8619073917326,6.63436686521908e-05,21.5633718939538,0.00283258704087882,0.000108962379274658,"Malawi","Dowa","TA Chiwere",128,62269.33273,"Pediatrics",117028.17309,57
"26",26,62244.5640055577,4.58925955673895,3.80018696362955,0.000714533891141888,4.65825991183618e-05,16.3784430333244,7.37721214982581e-05,23.7687244423047,0.00312162830347429,0.00012035472061662,"Malawi","Dowa","TA Chiwere",128,62269.33273,"Pediatrics",117028.17309,57
