"","time","S","E","I","H","C","R","D","inci","hosp","crits","lvl2","lvl3","lvl4","ID","POP","age","tot_pop","start"
"1",1,16456.93942,0,1,0,0,0,0,0,0,0,"Malawi","Ntchisi","TA Nthondo",101,16457.93942,"Pediatrics",28838.763812,20
"2",2,16456.4281391339,0.420729845247894,0.760113767510105,0.000056384080665085,0.000000184467641835077,0.330380680752126,0.00000000400124818790084,0.51128086605968,0.0000601534584655446,0.000000188468890022977,"Malawi","Ntchisi","TA Nthondo",101,16457.93942,"Pediatrics",28838.763812,20
"3",3,16456.0014233896,0.639593453570011,0.692174637867968,0.000096907863603647,0.000000643838112212148,0.606130938501617,0.0000000287213097094944,0.937996610362622,0.00011035905204208,0.000000672559421921642,"Malawi","Ntchisi","TA Nthondo",101,16457.93942,"Pediatrics",28838.763812,20
"4",4,16455.5896353204,0.777362733812065,0.700043307871066,0.000131071443392178,0.0000012983863534701,0.872246179604551,0.0000000885190774363794,1.3497846796365,0.000158809552010308,0.00000138690543090648,"Malawi","Ntchisi","TA Nthondo",101,16457.93942,"Pediatrics",28838.763812,20
"5",5,16455.1613611953,0.885383483218895,0.743484101043637,0.00016306939887347,0.00000211225737320946,1.14902584443197,0.000000194326090450116,1.77805880467684,0.000209201068146661,0.00000230658346365957,"Malawi","Ntchisi","TA Nthondo",101,16457.93942,"Pediatrics",28838.763812,20
"6",6,16454.7011107995,0.985755265719212,0.805874416748529,0.000194858472396841,0.00000306936881927343,1.4464812346589,0.00000035552920193919,2.23830920049706,0.000263356432821093,0.00000342489802121262,"Malawi","Ntchisi","TA Nthondo",101,16457.93942,"Pediatrics",28838.763812,20
"7",7,16454.1998921041,1.08828262543097,0.88058764378261,0.000227453674871595,0.00000416317741910007,1.77042542894059,0.000000580841620710098,2.73952789584809,0.000322334055667799,0.00000474401903981017,"Malawi","Ntchisi","TA Nthondo",101,16457.93942,"Pediatrics",28838.763812,20
"8",8,16453.6512147262,1.19762849771084,0.965253347778158,0.000261477041503846,0.0000053923108562143,2.12505568016468,0.000000878743444963139,3.28820527374948,0.000386898127527395,0.00000627105430117744,"Malawi","Ntchisi","TA Nthondo",101,16457.93942,"Pediatrics",28838.763812,20
"9",9,16453.0493789694,1.31633925841824,1.05933729248356,0.000297391433009033,0.00000675868725484138,2.5140590718417,0.00000125773802538429,3.89004103060179,0.000457719938613546,0.00000801642528022567,"Malawi","Ntchisi","TA Nthondo",101,16457.93942,"Pediatrics",28838.763812,20
"10",10,16452.3887288134,1.44612487653597,1.16312535701593,0.000335601193933543,0.00000826670117990934,2.94109535866397,0.00000172652882251493,4.5506911866398,0.000535465793982029,0.00000999323000242427,"Malawi","Ntchisi","TA Nthondo",101,16457.93942,"Pediatrics",28838.763812,20
"11",11,16451.6633093738,1.58840325160109,1.27730017080582,0.000376496646309482,0.00000992287378314701,3.41001849008547,0.00000229416131078535,5.27611062617378,0.000620837348188129,0.0000122170350939324,"Malawi","Ntchisi","TA Nthondo",101,16457.93942,"Pediatrics",28838.763812,20
"12",12,16450.8666843261,1.74454073768814,1.4027657887592,0.000420475449389801,0.0000117357188434291,3.92499396612258,0.00000297015733006862,6.07273567389549,0.000714592972859756,0.0000147058761734978,"Malawi","Ntchisi","TA Nthondo",101,16457.93942,"Pediatrics",28838.763812,20
