"","time","S","E","I","H","C","R","D","inci","hosp","crits","lvl2","lvl3","lvl4","ID","POP","age","tot_pop","start"
"1",1,5867.154404,0,1,0,0,0,0,0,0,0,"Malawi","Machinga","TA Nyambi",225,5868.154404,"Elderly",66745.292154,188
"2",2,5860.6265691208,5.50953491196289,1.58071072193705,0.0490542550299698,0.000859502662153042,0.387665011026187,1.04765825849906e-05,6.52783487920084,0.0519048518103647,0.000877078031234671,"Malawi","Machinga","TA Nyambi",225,5868.154404,"Elderly",66745.292154,188
"3",3,5844.73495698338,17.3847535588841,4.52977915439833,0.163594004877645,0.00442676565375841,1.33679730861068,9.62241915789245e-05,22.419447016616,0.178506109875073,0.00458819001784483,"Malawi","Machinga","TA Nyambi",225,5868.154404,"Elderly",66745.292154,188
"4",4,5797.87136551349,52.0732742537934,13.5403787060377,0.501170224830502,0.015491039129703,4.15229443060802,0.000429832107714327,69.283038486507,0.553861335510936,0.0162121194891551,"Malawi","Machinga","TA Nyambi",225,5868.154404,"Elderly",66745.292154,188
"5",5,5660.29691999274,153.495709651038,40.2527145742388,1.50655496735534,0.0488377986796818,12.5521502917626,0.00151672418109199,206.857484007255,1.6735526867522,0.0513822340488941,"Malawi","Machinga","TA Nyambi",225,5868.154404,"Elderly",66745.292154,188
"6",6,5274.56806193965,434.770613932779,116.963079642825,4.45676101493317,0.148034775423345,37.2429957643951,0.00485692999122655,592.586342060347,4.96437136149932,0.156182693554753,"Malawi","Machinga","TA Nyambi",225,5868.154404,"Elderly",66745.292154,188
"7",7,4324.33561596655,1104.84079503026,319.04422411843,12.7287391625575,0.435827753619586,106.754387374061,0.0148145945282969,1542.81878803345,14.2259997654691,0.460680511140204,"Malawi","Machinga","TA Nyambi",225,5868.154404,"Elderly",66745.292154,188
"8",8,2618.83558398207,2183.57747143347,748.666109319075,33.4069587449359,1.22045574417194,282.4044566668,0.0433681094835955,3248.31882001793,37.6100269454506,1.29320948083782,"Malawi","Machinga","TA Nyambi",225,5868.154404,"Elderly",66745.292154,188
"9",9,941.62313355559,2859.83711012162,1347.54231876332,74.5840754942329,3.09782402252175,641.350690811789,0.119251230927957,4925.53127044441,85.3025300921831,3.29787822722015,"Malawi","Machinga","TA Nyambi",225,5868.154404,"Elderly",66745.292154,188
"10",10,197.288472567174,2540.64331007374,1796.70835925302,134.524211449383,6.77920644992162,1191.91407919414,0.29676501262489,5669.86593143283,158.175414283843,7.27705530331291,"Malawi","Machinga","TA Nyambi",225,5868.154404,"Elderly",66745.292154,188
"11",11,31.2342258587623,1859.96265729389,1918.93227778281,199.554674039425,12.6171822969697,1845.20196571666,0.651421011482971,5835.92017814124,244.113621187838,13.7099971162548,"Malawi","Machinga","TA Nyambi",225,5868.154404,"Elderly",66745.292154,188
"12",12,4.99725488362257,1286.64373386392,1798.11619968337,256.373806945602,20.4025463945944,2500.35963561977,1.26122660911762,5862.15714911638,329.560877679433,22.518362594294,"Malawi","Machinga","TA Nyambi",225,5868.154404,"Elderly",66745.292154,188
"13",13,0.960700358053125,879.004083473142,1561.60810185411,298.416298073398,29.5667671216395,3096.40964185604,2.18881126362431,5866.19370364195,406.445560155304,33.2386864232004,"Malawi","Machinga","TA Nyambi",225,5868.154404,"Elderly",66745.292154,188
