"","time","S","E","I","H","C","R","D","inci","hosp","crits","lvl2","lvl3","lvl4","ID","POP","age","tot_pop","start"
"1",1,3594.992041,0,1,0,0,0,0,0,0,0,"Malawi","Ntcheu","TA Chakhumbira",111,3595.992041,"Elderly",33121.277531,32
"2",2,3582.79919982665,10.4210702209252,2.25382087155324,0.0563827003775249,0.000865477977433209,0.460691734332007,1.01681858222373e-05,12.1928411733512,0.0594123839058567,0.000882545100031864,"Malawi","Ntcheu","TA Chakhumbira",111,3595.992041,"Elderly",33121.277531,32
"3",3,3537.32501656111,46.5493620718688,9.65230476299762,0.262837840946663,0.00562926665078386,2.1967810376174,0.000109458810539807,57.6670244388918,0.282793222444837,0.0058129913556275,"Malawi","Ntcheu","TA Chakhumbira",111,3595.992041,"Elderly",33121.277531,32
"4",4,3347.28348706774,196.348657863716,41.4756776356594,1.15308656155472,0.0267529545705925,9.70375986743675,0.00061904931959605,247.708553932257,1.24849360571563,0.0277920180590915,"Malawi","Ntcheu","TA Chakhumbira",111,3595.992041,"Elderly",33121.277531,32
"5",5,2664.1979224151,721.131141125074,164.981368815923,4.82202413104731,0.116873865993072,40.7398036342089,0.00290701265872231,930.794118584905,5.23999005003642,0.121753236050781,"Malawi","Ntcheu","TA Chakhumbira",111,3595.992041,"Elderly",33121.277531,32
"6",6,1201.87655579445,1717.47371801895,509.602677340241,17.4905655332636,0.465632734376053,149.070485887485,0.0124056912336313,2393.11548520555,19.1605154622501,0.486455470792061,"Malawi","Ntcheu","TA Chakhumbira",111,3595.992041,"Elderly",33121.277531,32
"7",7,181.773596361638,1984.78690632593,974.422641881911,46.6904114157864,1.52497067055044,406.747154141054,0.0463602031342139,3413.21844463836,52.1926035608634,1.60278546312237,"Malawi","Ntcheu","TA Chakhumbira",111,3595.992041,"Elderly",33121.277531,32
"8",8,10.3963797372301,1482.90089041139,1216.91649629748,87.7569753595509,3.79682634093213,794.083256938847,0.141215914576372,3584.59566126277,101.604770124921,4.03385479114841,"Malawi","Ntcheu","TA Chakhumbira",111,3595.992041,"Elderly",33121.277531,32
"9",9,0.445831184558019,1016.98396988623,1218.660972127,128.56829068983,7.40732420022226,1223.57976179008,0.345891122077586,3594.54620981544,155.989890107904,7.98789641728128,"Malawi","Ntcheu","TA Chakhumbira",111,3595.992041,"Elderly",33121.277531,32
"10",10,0.02280629828624,692.595026800162,1095.90360149888,161.667633096549,12.1152633308283,1632.98117672185,0.706533253437783,3594.96923470171,207.329125975215,13.3011670768119,"Malawi","Ntcheu","TA Chakhumbira",111,3595.992041,"Elderly",33121.277531,32
"11",11,0.0017134579543094,471.474164720137,927.329418598876,184.620078762894,17.5274636353096,1993.78232166246,1.25688016236434,3594.99032754204,252.032207699761,19.6371150714563,"Malawi","Ntcheu","TA Chakhumbira",111,3595.992041,"Elderly",33121.277531,32
"12",12,0.000200185442225428,320.939468314512,754.682767306519,197.69986314049,23.242713403946,2297.41145445551,2.01557419357854,3594.99184081455,289.103471740142,26.6258195420398,"Malawi","Ntcheu","TA Chakhumbira",111,3595.992041,"Elderly",33121.277531,32
"13",13,3.57320468469036e-05,218.467519456974,597.748090384096,202.372818183584,28.9183068941572,2545.49798467648,2.98728567266069,3594.99200526795,318.859188320319,33.9324138060317,"Malawi","Ntcheu","TA Chakhumbira",111,3595.992041,"Elderly",33121.277531,32
"14",14,9.24063583751783e-06,148.713430443081,464.092321295947,200.46880085378,34.2922405938407,2744.25983686055,4.16540171216186,3594.99203175936,342.191680388566,41.2837947350562,"Malawi","Ntcheu","TA Chakhumbira",111,3595.992041,"Elderly",33121.277531,32
"15",15,3.10201839683698e-06,101.230946820044,354.848615827825,193.765306515082,39.1828507262615,2901.42924698742,5.53507102134262,3594.99203789798,360.16923695812,48.4733709198362,"Malawi","Ntcheu","TA Chakhumbira",111,3595.992041,"Elderly",33121.277531,32
"16",16,1.35010356617657e-06,68.9092371314048,268.053239228667,183.803901338436,43.4783298333302,3024.67131375678,7.07601836127579,3594.99203964989,373.832774093664,55.3553032672847,"Malawi","Ntcheu","TA Chakhumbira",111,3595.992041,"Elderly",33121.277531,32
"17",17,7.23063636356579e-07,46.9073860194967,200.508445293126,171.832806980971,47.1228690472491,3120.85563963805,8.76489329804142,3594.99204027693,384.104381120599,61.8345896134341,"Malawi","Ntcheu","TA Chakhumbira",111,3595.992041,"Elderly",33121.277531,32
"18",18,4.52813699656693e-07,31.9304211711158,148.76958157497,158.813391238503,50.1029144187545,3195.79863827811,10.5770938657315,3594.99204054718,391.757138754635,67.8563820382318,"Malawi","Ntcheu","TA Chakhumbira",111,3595.992041,"Elderly",33121.277531,32
"19",19,3.20743868761055e-07,21.7354285288304,109.629070182006,145.455162741431,52.4350509111355,3254.24921942504,12.4881088908144,3594.99204067925,397.416255380002,73.3961239275983,"Malawi","Ntcheu","TA Chakhumbira",111,3595.992041,"Elderly",33121.277531,32
"20",20,2.49093278098426e-07,14.7955731530092,80.3164743126761,132.260096039067,54.156070482399,3299.98937849939,14.4744482643658,3594.9920407509,401.57465719265,78.4511795013115,"Malawi","Ntcheu","TA Chakhumbira",111,3595.992041,"Elderly",33121.277531,32
"21",21,2.07028444273475e-07,10.0715205567814,58.5461028162237,119.566561861687,55.3152123822798,3335.97839854892,16.5142446270791,3594.99204079297,404.613747167123,83.0340840278137,"Malawi","Ntcheu","TA Chakhumbira",111,3595.992041,"Elderly",33121.277531,32
"22",22,1.80991432949847e-07,6.85580709610549,42.4898955037628,107.588239165985,55.9683476999693,3364.50214849093,18.5876028622549,3594.99204081901,406.824367069323,87.1673149898302,"Malawi","Ntcheu","TA Chakhumbira",111,3595.992041,"Elderly",33121.277531,32
