"","time","S","E","I","H","C","R","D","inci","hosp","crits","lvl2","lvl3","lvl4","ID","POP","age","tot_pop","start"
"1",1,4466.444457,0,1,0,0,0,0,0,0,0,"Malawi","Chitipa","TA Nthalire",222,4467.444457,"Elderly",47631.877157,1
"2",2,4449.89257798899,14.2428453987188,2.73632920867901,0.0624659063734909,0.000924518249832886,0.509303340330131,0.0000106386600762563,16.5518790110113,0.0656755670204836,0.000942355557122604,"Malawi","Chitipa","TA Nthalire",222,4467.444457,"Elderly",47631.877157,1
"3",3,4372.77566687459,76.9787082226632,14.420690429932,0.350669177484994,0.00690863716316664,2.91168732870024,0.000126329470330314,93.6687901254138,0.374921403492821,0.00712044744433713,"Malawi","Chitipa","TA Nthalire",222,4467.444457,"Elderly",47631.877157,1
"4",4,4025.76764652291,353.88443223268,70.7768164310529,1.81482055380878,0.0386871869137881,15.1612326231206,0.000821449514325443,440.676810477091,1.9512800376832,0.0400644700777378,"Malawi","Chitipa","TA Nthalire",222,4467.444457,"Elderly",47631.877157,1
"5",5,2768.41481523404,1319.47509000699,300.287292648616,8.40970490243931,0.192333783616078,70.6607944786827,0.00442594562446435,1698.02964176596,9.09006837626079,0.199754544462394,"Malawi","Chitipa","TA Nthalire",222,4467.444457,"Elderly",47631.877157,1
"6",6,763.293534420431,2551.09437082556,859.59111866434,30.7568632538018,0.815576297771048,261.872192491535,0.0208010465632444,3703.15092257957,33.6535018719394,0.850452368332265,"Malawi","Chitipa","TA Nthalire",222,4467.444457,"Elderly",47631.877157,1
"7",7,53.2827009307759,2289.75597739408,1388.37100342822,75.0817516220798,2.60371899371016,658.269513205536,0.0797914255967975,4413.16175606922,84.4056740373102,2.7375012714832,"Malawi","Chitipa","TA Nthalire",222,4467.444457,"Elderly",47631.877157,1
"8",8,1.65974556781829,1597.72464361472,1555.30482992017,128.499492562628,6.07572405851737,1177.94390269634,0.236118579808769,4464.78471143218,150.541787463178,6.47161222814323,"Malawi","Chitipa","TA Nthalire",222,4467.444457,"Elderly",47631.877157,1
"9",9,0.0481708034447161,1088.80289871081,1477.36028435427,176.802636103632,11.1758172632956,1712.70151738413,0.553132380414414,4466.39628619655,218.026195186258,12.1032265583219,"Malawi","Chitipa","TA Nthalire",222,4467.444457,"Elderly",47631.877157,1
"10",10,0.001936993130554,741.196550383245,1290.72928856303,213.541559458574,17.4872684903499,2203.403451204,1.08440190766872,4466.44252000687,279.295807762707,19.3054307320229,"Malawi","Chitipa","TA Nthalire",222,4467.444457,"Elderly",47631.877157,1
"11",11,0.000145029086717276,504.543026814651,1072.67035133815,237.372839587866,24.4906017020206,2626.50204514383,1.86544738439315,4466.44431197091,331.440712173636,27.6183036860781,"Malawi","Chitipa","TA Nthalire",222,4467.444457,"Elderly",47631.877157,1
"12",12,0.0000175939246067817,343.448710728554,862.275888178293,249.43578873526,31.7005241961192,2977.67073968722,2.91278788063086,4466.44443940607,374.041649819937,36.5842494137842,"Malawi","Chitipa","TA Nthalire",222,4467.444457,"Elderly",47631.877157,1
"13",13,0.00000329625481519484,233.789685428286,676.881293603839,251.852586163546,38.7225319026992,3261.97190510991,4.22645149546996,4466.44445370374,407.877280563232,45.8088109575249,"Malawi","Chitipa","TA Nthalire",222,4467.444457,"Elderly",47631.877157,1
"14",14,0.000000875795693898354,159.1436695275,521.970253174504,246.938175755871,45.2665988975366,3488.33205251759,5.79370625120224,4466.4444561242,434.202012662153,54.9806153251974,"Malawi","Chitipa","TA Nthalire",222,4467.444457,"Elderly",47631.877157,1
"15",15,0.000000318345835470151,108.331108531652,396.977334156877,236.81981980618,51.139966319997,3666.58336398173,7.5928638852164,4466.44445668165,454.362717816423,63.8705400349968,"Malawi","Chitipa","TA Nthalire",222,4467.444457,"Elderly",47631.877157,1
"16",16,0.000000151596721657975,73.7422715532868,298.590040977013,223.284948523046,56.2313586868525,3805.99921365648,9.59662345172193,4466.4444568484,469.6119156647,72.3215354783939,"Malawi","Chitipa","TA Nthalire",222,4467.444457,"Elderly",47631.877157,1
"17",17,0.000000088365460408534,50.1972820630557,222.560579193756,207.749470990046,60.4931330910279,3914.66921464794,11.7747769258141,4466.44445691163,481.030735759378,80.235310469397,"Malawi","Chitipa","TA Nthalire",222,4467.444457,"Elderly",47631.877157,1
"18",18,0.0000000605100350661902,34.1699108006168,164.642018544336,191.284557898895,63.9245857354058,3999.32712033062,14.0962636296186,4466.44445693949,489.510574535467,87.5590833315412,"Malawi","Chitipa","TA Nthalire",222,4467.444457,"Elderly",47631.877157,1
"19",19,0.0000000458038568994819,23.2598757951332,121.019983346599,174.667703632946,66.5577182117226,4065.40852990592,16.5306460618784,4466.44445695419,495.76410534432,94.2738226261661,"Malawi","Chitipa","TA Nthalire",222,4467.444457,"Elderly",47631.877157,1
"20",20,0.0000000372342972856612,15.8332759507832,88.4695321698686,158.439146765244,68.445823753735,4117.20757063513,19.0491076880061,4466.44445696276,500.348521803515,100.384506350074,"Malawi","Chitipa","TA Nthalire",222,4467.444457,"Elderly",47631.877157,1
"21",21,0.0000000320434776526756,10.7779001730503,64.3676566461903,142.95477932723,69.6547269765481,4158.06431837445,21.6250754704891,4466.44445696796,503.69216470243,105.912405440338,"Malawi","Chitipa","TA Nthalire",222,4467.444457,"Elderly",47631.877157,1
"22",22,0.0000000287368375543649,7.33664800591319,46.637640175504,128.431742472256,70.256308638563,4190.54755767414,24.2345600048914,4466.44445697126,506.120005424059,110.889178825207,"Malawi","Chitipa","TA Nthalire",222,4467.444457,"Elderly",47631.877157,1
"23",23,0.0000000265590523177092,4.99414530927272,33.6676413260746,114.985692128586,70.3238974151664,4216.61679061688,26.8562901774658,4466.44445697344,507.875984975356,115.352490971458,"Malawi","Chitipa","TA Nthalire",222,4467.444457,"Elderly",47631.877157,1
"24",24,0.0000000250925656040526,3.39957490334715,24.2255069653682,102.660189998592,69.9291215603793,4237.75835902749,29.4717045197285,4466.44445697491,509.14163238283,119.342849050689,"Malawi","Chitipa","TA Nthalire",222,4467.444457,"Elderly",47631.877157,1
"25",25,0.0000000240891264122783,2.3141316146439,17.3806502356131,91.4492258368881,69.1398707564815,4255.0957316812,32.0648468510842,4466.44445697591,510.051049085643,122.901389818175,"Malawi","Chitipa","TA Nthalire",222,4467.444457,"Elderly",47631.877157,1
"26",26,0.0000000233948929312083,1.57525750647908,12.4370904714363,81.3140870756929,68.0190771901383,4269.47674268669,34.6222020461741,4466.4444569766,510.702689031684,126.068385328351,"Malawi","Chitipa","TA Nthalire",222,4467.444457,"Elderly",47631.877157,1
"27",27,0.0000000229109819524794,1.07229687798306,8.87850198702948,72.1957261921605,66.6240863595813,4281.54134756708,37.1324979932499,4466.44445697709,511.168452066367,128.88228169554,"Malawi","Chitipa","TA Nthalire",222,4467.444457,"Elderly",47631.877157,1
"28",28,0.000000022572015847214,0.729925397663206,6.32444555470789,64.0236353586194,65.0064407554296,4291.77351766777,39.5864922432398,4466.44445697743,511.500603424587,131.379125059972,"Malawi","Chitipa","TA Nthalire",222,4467.444457,"Elderly",47631.877157,1
"29",29,0.0000000223338467104422,0.496869031885284,4.49623107584903,56.7220744500778,63.21194240263,4300.54058385194,41.9767561652842,4466.44445697766,511.736982140493,133.592262234149,"Malawi","Chitipa","TA Nthalire",222,4467.444457,"Elderly",47631.877157,1
"30",30,0.0000000221662001608945,0.338224791734922,3.19072606127185,50.2143258757264,61.2808959445469,4308.12281924645,44.2974650581058,4466.44445697783,511.904885219134,135.552231877204,"Malawi","Chitipa","TA Nthalire",222,4467.444457,"Elderly",47631.877157,1
"31",31,0.0000000220480799492282,0.230233706364977,2.26051770180997,44.4255028065421,59.2484610546622,4314.73554216712,46.5441995414499,4466.44445697795,512.023941990476,137.286783909596,"Malawi","Chitipa","TA Nthalire",222,4467.444457,"Elderly",47631.877157,1
"32",32,0.0000000219628535794144,0.156722718081155,1.59903967960339,39.2843145171508,57.1450636082931,4320.54555514373,48.7137613111824,4466.44445697803,512.10822774019,138.820981770658,"Malawi","Chitipa","TA Nthalire",222,4467.444457,"Elderly",47631.877157,1
"33",33,0.000000021902995429402,0.106683076595467,1.12951763805024,34.7240916639583,54.9968307110464,4325.68332913442,50.8040047540237,4466.44445697809,512.167809101752,140.177355123919,"Malawi","Chitipa","TA Nthalire",222,4467.444457,"Elderly",47631.877157,1
"34",34,0.000000021860518886772,0.0726204085494982,0.796807122128045,30.6832976796008,52.8260259336272,4330.25202098829,52.8136848459396,4466.44445697814,512.209869258223,141.376080070788,"Malawi","Chitipa","TA Nthalire",222,4467.444457,"Elderly",47631.877157,1
"35",35,0.0000000218306945049261,0.0494336132732362,0.561409178410541,27.1056888407637,50.6514697805953,4334.33413453567,54.7423210294512,4466.44445697817,512.239522774507,142.435171389221,"Malawi","Chitipa","TA Nthalire",222,4467.444457,"Elderly",47631.877157,1
"36",36,0.000000021809716373157,0.0336500396936849,0.395100293284067,23.9402441252146,48.4889358385718,4337.99645034473,56.5900763366917,4466.44445697819,512.260404446451,143.370676013635,"Malawi","Chitipa","TA Nthalire",222,4467.444457,"Elderly",47631.877157,1
"37",37,0.0000000217949723111668,0.0229059929661999,0.277759538109677,21.1409481060664,46.3515176411104,4341.29367495497,58.3576507449777,4466.4444569782,512.275092725325,144.19686109441,"Malawi","Chitipa","TA Nthalire",222,4467.444457,"Elderly",47631.877157,1
"38",38,0.000000021784617972526,0.0155923827258028,0.195071327144997,18.66648767345,44.2499638510958,4344.27115412481,60.0461876189894,4466.44445697821,512.285413792535,144.926392316594,"Malawi","Chitipa","TA Nthalire",222,4467.444457,"Elderly",47631.877157,1
"39",39,0.000000021777287964758,0.0106139221177005,0.13686968272053,16.4799032086261,42.1929814426014,4346.96689666969,61.6571920524652,4466.44445697822,512.292659047149,145.570500169376,"Malawi","Chitipa","TA Nthalire",222,4467.444457,"Elderly",47631.877157,1
"40",40,0.0000000217721363262076,0.00722502504185253,0.095947695521026,14.5482225581842,40.1875077230119,4349.41309405195,63.1924599245189,4466.44445697823,512.297740451154,146.139133020497,"Malawi","Chitipa","TA Nthalire",222,4467.444457,"Elderly",47631.877157,1
"41",41,0.000000021768512003812,0.0049181508745448,0.0672042951896509,12.8420961357003,38.2389528321814,4351.6372690242,64.6540165400842,4466.44445697823,512.301301178767,146.641096736925,"Malawi","Chitipa","TA Nthalire",222,4467.444457,"Elderly",47631.877157,1
"42",42,0.0000000217659812414719,0.00334783839410775,0.0470343309396568,11.3354449326345,36.3514147678898,4353.6631513151,66.0440637932799,4466.44445697823,512.303794271177,147.084181121772,"Malawi","Chitipa","TA Nthalire",222,4467.444457,"Elderly",47631.877157,1
"43",43,0.0000000217642109150431,0.00227891986755959,0.0328933469620959,10.0051285441789,34.527869199043,4355.51135209858,67.3649348696014,4466.44445697823,512.305538485059,147.475273778939,"Malawi","Chitipa","TA Nthalire",222,4467.444457,"Elderly",47631.877157,1
"44",44,0.0000000217629736593457,0.00155128900454982,0.0229875355762402,8.83063694182485,32.7703364111168,4357.19988921808,68.6190555826375,4466.44445697823,512.306757887852,147.820462233771,"Malawi","Chitipa","TA Nthalire",222,4467.444457,"Elderly",47631.877157,1
"45",45,0.0000000217621059243711,0.00105598308349155,0.0160540316099425,7.79380756469804,31.0800276025501,4358.74460024479,69.8089115515077,4466.44445697824,512.30760979557,148.125125197506,"Malawi","Chitipa","TA Nthalire",222,4467.444457,"Elderly",47631.877157,1
"46",46,0.0000000217614649642354,0.00071881997108182,0.0112046370514523,6.87856803990715,29.4574727164449,4360.1594722871,70.93702047777,4466.44445697824,512.308204570316,148.39401391706,"Malawi","Chitipa","TA Nthalire",222,4467.444457,"Elderly",47631.877157,1
"47",47,0.0000000217610295499217,0.000489311791179502,0.00781533025027723,6.07070362429318,27.9026318324292,4361.45690800633,72.0059088731491,4466.44445697824,512.308619562281,148.631324547438,"Malawi","Chitipa","TA Nthalire",222,4467.444457,"Elderly",47631.877157,1
"48",48,0.0000000217607187862897,0.000333079931281837,0.005448095331966,5.35764814277989,26.4149919542889,4362.64794304213,73.0180926637822,4466.44445697824,512.308908943872,148.840762419483,"Malawi","Chitipa","TA Nthalire",222,4467.444457,"Elderly",47631.877157,1
"49",49,0.0000000217605055608672,0.000226729275649844,0.00379575355828656,4.72829674881773,24.9936508971999,4363.74242569335,73.9760611560421,4466.44445697824,512.309110624044,149.025599043401,"Malawi","Chitipa","TA Nthalire",222,4467.444457,"Elderly",47631.877157,1
"50",50,0.0000000217603567208724,0.000154341821550976,0.00264322311897896,4.17283888268647,23.6373897251561,4364.74916687341,74.8822639320526,4466.44445697824,512.309251092978,149.188722574566,"Malawi","Chitipa","TA Nthalire",222,4467.444457,"Elderly",47631.877157,1
"51",51,0.0000000217602526169063,0.000105069322630423,0.00183975291643709,3.68260913320274,22.3447354166227,4365.67606741034,75.7391001958382,4466.44445697824,512.309348882274,149.332682616389,"Malawi","Chitipa","TA Nthalire",222,4467.444457,"Elderly",47631.877157,1
"52",52,0.000000021760180119748,0.00007152000326162,0.00127984243040472,3.2499550242884,21.114014509829,4366.53022573633,76.5489103453628,4466.44445697824,512.309416937992,149.459729734879,"Malawi","Chitipa","TA Nthalire",222,4467.444457,"Elderly",47631.877157,1
"53",53,0.0000000217601296981912,0.0000486837391739158,0.000889929807430253,2.86811969076441,19.9433990494279,4367.31803022217,77.3139694023354,4466.44445697824,512.309464270467,149.571850389382,"Malawi","Chitipa","TA Nthalire",222,4467.444457,"Elderly",47631.877157,1
