"","time","S","E","I","H","C","R","D","inci","hosp","crits","lvl2","lvl3","lvl4","ID","POP","age","tot_pop","start"
"1",1,29501.90133,0,1,0,0,0,0,0,0,0,"Malawi","Kasungu","Kasungu Boma",13,29502.90133,"Pediatrics",56791.390596,31
"2",2,29501.3762859795,0.432094561334383,0.762218946565673,0.0000598012803731594,0.000000195557676288815,0.330670511494683,0.00000000424102577585501,0.525044020473814,0.0000637972544144528,0.00000019979870206467,"Malawi","Kasungu","Kasungu Boma",13,29502.90133,"Pediatrics",56791.390596,31
"3",3,29500.9359327608,0.658693935530328,0.698585328211465,0.000103027826190666,0.000000683380782394081,0.608014233787431,0.0000000304649695807454,0.965397239201166,0.000117304741230162,0.000000713845751974826,"Malawi","Kasungu","Kasungu Boma",13,29502.90133,"Pediatrics",56791.390596,31
"4",4,29500.5079335906,0.803912052552188,0.711757017506922,0.000139819795083202,0.00000138060636965461,0.877586044922943,0.0000000939962911993791,1.3933964093798,0.000169311848300282,0.00000147460266085399,"Malawi","Kasungu","Kasungu Boma",13,29502.90133,"Pediatrics",56791.390596,31
"5",5,29500.0595282576,0.920285249729072,0.761321146869477,0.000174646366236861,0.00000225101454464269,1.16001824175714,0.000000206635233961754,1.8418017423717,0.00022379936180895,0.00000245764977860445,"Malawi","Kasungu","Kasungu Boma",13,29502.90133,"Pediatrics",56791.390596,31
"6",6,29499.574292537,1.03039521624056,0.830773159965365,0.000209602892077806,0.00000327935932109295,1.46565582591011,0.000000378656830470936,2.32703746302426,0.000282763215109084,0.00000365801615156389,"Malawi","Kasungu","Kasungu Boma",13,29502.90133,"Pediatrics",56791.390596,31
"7",7,29499.0423690488,1.14432289394278,0.913678541469504,0.000245795737230871,0.0000044605518022022,1.80070863973188,0.000000619735769775858,2.85896095116896,0.000347401488670432,0.00000508028757197805,"Malawi","Kasungu","Kasungu Boma",13,29502.90133,"Pediatrics",56791.390596,31
"8",8,29498.4563370694,1.26697608016924,1.00787729552619,0.000283925404284245,0.00000579509036320756,2.16984889494908,0.000000939418415270059,3.44499293055758,0.000418615579853798,0.00000673450877847762,"Malawi","Kasungu","Kasungu Boma",13,29502.90133,"Pediatrics",56791.390596,31
"9",9,29497.8010187602,1.40820471980303,1.11428675516417,0.000324564806173625,0.00000728717137849136,2.57748656541023,0.00000134740216224995,4.10031123975715,0.000497256276988452,0.0000086345735407413,"Malawi","Kasungu","Kasungu Boma",13,29502.90133,"Pediatrics",56791.390596,31
"10",10,29497.0758282888,1.56256226128281,1.23396073336799,0.000368322530400234,0.00000894431878750168,3.02859959589945,0.00000185375151525891,4.82550171115095,0.000584283936455446,0.0000107980703027606,"Malawi","Kasungu","Kasungu Boma",13,29502.90133,"Pediatrics",56791.390596,31
"11",11,29496.2724805207,1.7327419413387,1.36733333007943,0.000415767731752452,0.0000107771866149954,3.52834519384374,0.00000246910115480242,5.62884947928139,0.000680693487148408,0.0000132462877697978,"Malawi","Kasungu","Kasungu Boma",13,29502.90133,"Pediatrics",56791.390596,31
"12",12,29495.3822080295,1.92098756826323,1.51546937724921,0.000467457732157129,0.0000127991709314129,4.082181563268,0.00000320483836044425,6.51912197052189,0.000787537917994273,0.0000160040092918572,"Malawi","Kasungu","Kasungu Boma",13,29502.90133,"Pediatrics",56791.390596,31
"13",13,29494.3954671772,2.12947719574129,1.67979161607632,0.000523972408847916,0.0000150262893530184,4.69605093896068,0.00000407326978059172,7.50586282274628,0.000905963591520118,0.0000190995591336101,"Malawi","Kasungu","Kasungu Boma",13,29502.90133,"Pediatrics",56791.390596,31
"14",14,29493.3017552194,2.36049339423143,1.8619792623417,0.000585932125936236,0.0000174772199851622,5.37649362689072,0.00000508778599401198,8.59957478059577,0.00103723224551972,0.0000225650059791742,"Malawi","Kasungu","Kasungu Boma",13,29502.90133,"Pediatrics",56791.390596,31
"15",15,29492.0894591511,2.61651461029359,2.06393539211894,0.000654009603788025,0.0000201734269509316,6.1307404003806,0.00000626303378154574,9.81187084885766,0.00118273881843757,0.0000264364607324773,"Malawi","Kasungu","Kasungu Boma",13,29502.90133,"Pediatrics",56791.390596,31
