"","time","S","E","I","H","C","R","D","inci","hosp","crits","lvl2","lvl3","lvl4","ID","POP","age","tot_pop","start"
"1",1,687.1136763,0,1,0,0,0,0,0,0,0,"Malawi","Phalombe","Phalombe Boma",38,688.1136763,"Elderly",7470.0552953,23
"2",2,675.478064196429,9.93104375333825,2.19337486092109,0.0571044778049723,0.000919124737710516,0.453159054826503,0.0000108319422990232,11.6356121035708,0.0601917860543135,0.000937301483591724,"Malawi","Phalombe","Phalombe Boma",38,688.1136763,"Elderly",7470.0552953,23
"3",3,635.091033005664,41.7041412130188,8.96198875960818,0.257564821689404,0.00585134615123763,2.09298216859186,0.000114985275824264,52.0226432943353,0.27747369373865,0.00604429937061794,"Malawi","Phalombe","Phalombe Boma",38,688.1136763,"Elderly",7470.0552953,23
"4",4,496.424800430561,147.466682498131,34.4925698141925,1.05452053839589,0.0266032069618318,8.64786793475981,0.000631876998155169,190.688875869439,1.14563943356889,0.0276635401233814,"Malawi","Phalombe","Phalombe Boma",38,688.1136763,"Elderly",7470.0552953,23
"5",5,216.851205887204,334.367017228888,102.376446509743,3.7047114067087,0.104573209898564,30.7069410420186,0.00278101553885279,470.262470412796,4.06452880950662,0.109239945682965,"Malawi","Phalombe","Phalombe Boma",38,688.1136763,"Elderly",7470.0552953,23
"6",6,32.5745151903154,374.77512191875,189.505310980552,9.5889019667604,0.333864284582867,81.3256676034301,0.0102943556092334,654.539161109684,10.7454925754757,0.351138922939895,"Malawi","Phalombe","Phalombe Boma",38,688.1136763,"Elderly",7470.0552953,23
"7",7,2.03280089810869,278.646154772225,233.143993946006,17.6718479827585,0.813708563598963,155.774369172653,0.0308009646492379,685.080875401891,20.5223077976279,0.865394705554849,"Malawi","Phalombe","Phalombe Boma",38,688.1136763,"Elderly",7470.0552953,23
"8",8,0.0987725476167298,191.150083037435,232.052340998946,25.6141174764469,1.56539912600544,237.558649159925,0.074313953625089,687.014903752383,31.1810233441088,1.69010306304478,"Malawi","Phalombe","Phalombe Boma",38,688.1136763,"Elderly",7470.0552953,23
"9",9,0.00574833916138587,130.189119499607,208.025328143479,32.0108524606423,2.53756444897355,315.194906995915,0.150156412220978,687.107927960839,41.1991035673233,2.78953725976122,"Malawi","Phalombe","Phalombe Boma",38,688.1136763,"Elderly",7470.0552953,23
"10",10,0.000456335301102527,88.6253998471113,175.691624008524,36.4150533588775,3.64949005841559,383.466579862644,0.265072829126594,687.113219964699,49.9009680291237,4.09430053857126,"Malawi","Phalombe","Phalombe Boma",38,688.1136763,"Elderly",7470.0552953,23
