"","time","S","E","I","H","C","R","D","inci","hosp","crits","lvl2","lvl3","lvl4","ID","POP","age","tot_pop","start"
"1",1,9129.037481,0,1,0,0,0,0,0,0,0,"Malawi","Rumphi","Rumphi Boma",39,9130.037481,"Pediatrics",17673.539222,39
"2",2,9128.50560792545,0.437733622056437,0.763263432347227,0.0000631052468524027,0.000000206315125740421,0.330812704110928,0.00000000447391599609459,0.531873074550487,0.0000673210276871329,0.000000210789041736515,"Malawi","Rumphi","Rumphi Boma",39,9130.037481,"Pediatrics",17673.539222,39
"3",3,9128.05846652198,0.668190127491355,0.701768612164978,0.00010884911074925,0.000000721410154905347,0.608946135690267,0.0000000321496923379519,0.979014478017196,0.000123920307694116,0.000000753559847243299,"Malawi","Rumphi","Rumphi Boma",39,9130.037481,"Pediatrics",17673.539222,39
"4",4,9127.6223583957,0.817153768869792,0.717584376092036,0.00014796607291815,0.00000145873118195201,0.880234935290532,0.0000000992483347054144,1.41512260430479,0.000179125663251298,0.00000155797951665743,"Malawi","Rumphi","Rumphi Boma",39,9130.037481,"Pediatrics",17673.539222,39
"5",5,9127.16384053831,0.937753965948356,0.770216912593551,0.00018518385975787,0.00000238100843595868,1.16548179994585,0.000000218330095910597,1.87364046168604,0.000237170630395256,0.00000259933853186928,"Malawi","Rumphi","Rumphi Boma",39,9130.037481,"Pediatrics",17673.539222,39
"6",6,9126.66600884582,1.05281479439752,0.843225758363106,0.000222725370929559,0.00000347311300105719,1.47520500253587,0.000000400405448504091,2.37147215418587,0.000300195739920785,0.00000387351844956128,"Malawi","Rumphi","Rumphi Boma",39,9130.037481,"Pediatrics",17673.539222,39
"7",7,9126.11855450425,1.1725607734757,0.930277022397591,0.000261775275242581,0.00000473066563770945,1.81582153802919,0.000000655913357380627,2.91892649575672,0.000369506855144382,0.00000538657899509008,"Malawi","Rumphi","Rumphi Boma",39,9130.037481,"Pediatrics",17673.539222,39
"8",8,9125.48230794278,1.3281421147011,1.03386110484966,0.000303215957444657,0.0000061554285951318,2.1928594710732,0.000000995219266814418,3.55517305722927,0.000446228914683581,0.00000715064786194623,"Malawi","Rumphi","Rumphi Boma",39,9130.037481,"Pediatrics",17673.539222,39
"9",9,9124.77279632003,1.49518340080816,1.15579765045178,0.000348112003034647,0.00000775501845382594,2.61334633271698,0.00000142898046494378,4.26468467997887,0.000531791981410041,0.00000918399891876972,"Malawi","Rumphi","Rumphi Boma",39,9130.037481,"Pediatrics",17673.539222,39
"10",10,9123.9786425636,1.67945098393752,1.29494310881608,0.000397348364455307,0.00000954258655205361,3.08403548419363,0.00000196851019983324,5.05883843640844,0.000627570299493044,0.0000115110967518869,"Malawi","Rumphi","Rumphi Boma",39,9130.037481,"Pediatrics",17673.539222,39
"11",11,9123.08854434944,1.88483982860591,1.45199125112278,0.000451699636413653,0.0000115354316728324,3.61163970969297,0.00000262607829446933,5.94893665056803,0.000734929835759686,0.0000141615099673017,"Malawi","Rumphi","Rumphi Boma",39,9130.037481,"Pediatrics",17673.539222,39
