"","time","S","E","I","H","C","R","D","inci","hosp","crits","lvl2","lvl3","lvl4","ID","POP","age","tot_pop","start"
"1",1,45661.49256,0,1,0,0,0,0,0,0,0,"Malawi","Salima","TA Karonga",152,45662.49256,"Pediatrics",79268.256661,16
"2",2,45660.9261286839,0.46627980658606,0.768541381187953,0.0000558474467534473,0.000000182379102150938,0.331554094530735,0.00000000395311822507283,0.566431316083722,0.0000595740911609675,0.000000186332220376011,"Malawi","Salima","TA Karonga",152,45662.49256,"Pediatrics",79268.256661,16
"3",3,45660.4909447773,0.677791748880373,0.710970137502199,0.0000967426828831878,0.000000639395622355544,0.612755925829977,0.0000000284559700455822,1.00161522274703,0.00011009971473121,0.000000667851592401126,"Malawi","Salima","TA Karonga",152,45662.49256,"Pediatrics",79268.256661,16
"4",4,45660.0660530882,0.814334788225684,0.724721891825412,0.000131757800918767,0.00000129567323044267,0.887317090244494,0.0000000880028025684542,1.42650691177254,0.000159431321578989,0.00000138367603301112,"Malawi","Salima","TA Karonga",152,45662.49256,"Pediatrics",79268.256661,16
"5",5,45659.6217700898,0.923905701467489,0.772302229463716,0.000164797996740443,0.00000211699985821495,1.17441487049698,0.000000193841663240691,1.87078991026645,0.000211014827169556,0.00000231084152145564,"Malawi","Salima","TA Karonga",152,45662.49256,"Pediatrics",79268.256661,16
"6",6,45659.1432426513,1.027207163205,0.838261795751962,0.000197706215317312,0.00000308769783783011,1.48364724014784,0.000000355733750055132,2.34931734875172,0.000266574847075017,0.00000344343158788524,"Malawi","Salima","TA Karonga",152,45662.49256,"Pediatrics",79268.256661,16
"7",7,45658.6216429234,1.13347444928254,0.916487043064398,0.000231457516339469,0.00000420117367773711,1.82071934278829,0.00000058277508862474,2.87091707660034,0.000327136491666706,0.00000478394876636185,"Malawi","Salima","TA Karonga",152,45662.49256,"Pediatrics",79268.256661,16
"8",8,45658.0504326438,1.24715553558124,1.00484158206931,0.000266665207145009,0.00000545587361075846,2.18985723361338,0.000000883820405959919,3.4421273561651,0.000393459087479377,0.00000633969401671838,"Malawi","Salima","TA Karonga",152,45662.49256,"Pediatrics",79268.256661,16
"9",9,45657.4237638482,1.37073159977703,1.10291136643642,0.000303796377926775,0.00000685353834056646,2.59484126793714,0.000001267736010311,4.06879615180286,0.000466221864944324,0.00000812127435087746,"Malawi","Salima","TA Karonga",152,45662.49256,"Pediatrics",79268.256661,16
"10",10,45656.7357757663,1.50591452661156,1.21105584229313,0.000343265210651809,0.00000839844068530843,3.03946045751594,0.00000174357881287613,4.75678423365079,0.0005461056006155,0.0000101420194981846,"Malawi","Salima","TA Karonga",152,45662.49256,"Pediatrics",79268.256661,16
"11",11,45655.9802701246,1.6541553906837,1.33001425060662,0.000385474375280355,0.0000100970553563551,3.52772234194969,0.00000232074228864523,5.51228987541294,0.000633830328180362,0.0000124177976450004,"Malawi","Salima","TA Karonga",152,45662.49256,"Pediatrics",79268.256661,16
"12",12,45655.150536674,1.81686898552241,1.46074272463924,0.00043083514015262,0.0000119579310875109,4.06396581364347,0.00000300909246442682,6.34202332596882,0.000730175611191374,0.0000149670235519377,"Malawi","Salima","TA Karonga",152,45662.49256,"Pediatrics",79268.256661,16
"13",13,45654.2392503608,1.99553182800594,1.604352558153,0.000479777844361298,0.0000139916403448821,4.65292766444755,0.00000381909244361005,7.25330963918364,0.00083599250013114,0.0000178107327884921,"Malawi","Salima","TA Karonga",152,45662.49256,"Pediatrics",79268.256661,16
"14",14,45653.238396745,2.19173049978175,1.76208812979648,0.000532758483369241,0.000016210768674822,5.29979089429721,0.00000476191777220477,8.25416325504526,0.000952212212309777,0.0000209726864470268,"Malawi","Salima","TA Karonga",152,45662.49256,"Pediatrics",79268.256661,16
"15",15,45652.1391720675,2.40719538935239,1.93532833698384,0.000590265092360473,0.0000186300270565067,6.0102494613952,0.00000584960660016378,9.35338793245745,0.00107985776549388,0.0000244796336566705,"Malawi","Salima","TA Karonga",152,45662.49256,"Pediatrics",79268.256661,16
"16",16,45650.9319053354,2.64382267691447,2.12559262952728,0.000652822735005404,0.0000212663200376882,6.79055817388319,0.0000070951903083991,10.5606546645703,0.00122005294192715,0.0000283615103460873,"Malawi","Salima","TA Karonga",152,45662.49256,"Pediatrics",79268.256661,16
"17",17,45649.5704506965,2.93336401502681,2.33971869159966,0.00072111898173445,0.0000241389957949609,7.64827282612126,0.0000085128189764602,11.9221093035442,0.00137415527716287,0.0000326518147714211,"Malawi","Salima","TA Karonga",152,45662.49256,"Pediatrics",79268.256661,16
"18",18,45648.0697387878,3.24651264868335,2.58172576218184,0.000796231126241082,0.0000272717339587156,8.59374918052475,0.0000101179794716262,13.4228212122296,0.00154402539484792,0.0000373897134303418,"Malawi","Salima","TA Karonga",152,45662.49256,"Pediatrics",79268.256661,16
"19",19,45646.4129563484,3.5896854947051,2.85140741173434,0.000879148708446745,0.0000306931713760855,9.637588975495,0.0000119277978956284,15.0796036516122,0.00173156809388102,0.0000426209692717139,"Malawi","Salima","TA Karonga",152,45662.49256,"Pediatrics",79268.256661,16
