"","time","S","E","I","H","C","R","D","inci","hosp","crits","lvl2","lvl3","lvl4","ID","POP","age","tot_pop","start"
"1",1,20148.22674,0,1,0,0,0,0,0,0,0,"Malawi","Nsanje","TA Ndamera",212,20149.22674,"Pediatrics",33881.162686,146
"2",2,20147.7062492477,0.421353704567129,0.745201617166655,5.29621858322227e-05,4.63739035481452e-07,0.353881977062454,2.76120326382785e-08,0.520490752333138,6.27892071946173e-05,4.91351068119731e-07,"Malawi","Nsanje","TA Ndamera",212,20149.22674,"Pediatrics",33881.162686,146
"3",3,20147.2766183964,0.627976857019206,0.676052029299468,8.19086466084175e-05,1.45255422187908e-06,0.646009173090125,1.82952763559426e-07,0.950121603562393,0.000114618786317188,1.63550698543851e-06,"Malawi","Nsanje","TA Ndamera",212,20149.22674,"Pediatrics",33881.162686,146
"4",4,20146.8625033478,0.752810235600462,0.68372156193074,0.000101190366711343,2.64649677903666e-06,0.927600494975703,5.22866102360367e-07,1.3642366522365,0.000164577624339284,3.16936288139703e-06,"Malawi","Nsanje","TA Ndamera",212,20149.22674,"Pediatrics",33881.162686,146
"5",5,20146.4320308159,0.84905963885715,0.725202779250225,0.000116743406304581,3.91902648699989e-06,1.22032503418174,1.0693490788832e-06,1.79470918407099,0.000216510917622243,4.98837556588309e-06,"Malawi","Nsanje","TA Ndamera",212,20149.22674,"Pediatrics",33881.162686,146
"6",6,20145.9704385438,0.938252588015788,0.783690329298316,0.000131110693993309,5.22352863324965e-06,1.53422037372828,1.8309270607133e-06,2.25630145619207,0.000272199807872568,7.05445569396295e-06,"Malawi","Nsanje","TA Ndamera",212,20149.22674,"Pediatrics",33881.162686,146
"7",7,20145.4695775527,1.02935032934332,0.852828471375855,0.000145453830394735,6.54713331542527e-06,1.87482883401628,2.81156135720673e-06,2.75716244726053,0.000332627723847375,9.35869467263201e-06,"Malawi","Nsanje","TA Ndamera",212,20149.22674,"Pediatrics",33881.162686,146
"8",8,20144.9237195397,1.12635169535562,0.930448830909149,0.000160364007099627,7.89165206671645e-06,2.24604766392746,4.01445532624442e-06,3.30302046030672,0.000398486154958844,1.19061073929609e-05,"Malawi","Nsanje","TA Ndamera",212,20149.22674,"Pediatrics",33881.162686,146
"9",9,20144.3278690407,1.23132255751549,1.01608096703009,0.000176192646153074,9.26554320707251e-06,2.65127653280923,5.44373835150566e-06,3.89887095928251,0.000470378277324637,1.47092815585782e-05,"Malawi","Nsanje","TA Ndamera",212,20149.22674,"Pediatrics",33881.162686,146
"10",10,20143.6770714867,1.34560356720638,1.10996593919483,0.000193188682042907,1.06804428902479e-05,3.09388803252749,7.1052453136407e-06,4.54966851329895,0.000548902446120679,1.77856882038886e-05,"Malawi","Nsanje","TA Ndamera",212,20149.22674,"Pediatrics",33881.162686,146
"11",11,20142.9661153198,1.47029392246693,1.21266772816991,0.00021155747605657,1.21496327060802e-05,3.57743031554196,9.00690121267131e-06,5.26062468018877,0.000634688154431601,2.11565339187515e-05,"Malawi","Nsanje","TA Ndamera",212,20149.22674,"Pediatrics",33881.162686,146
"12",12,20142.1893837172,1.60645032599105,1.32492155946025,0.000231487855148627,1.36873557909019e-05,4.1057280632078,1.11589489539779e-05,6.03735628281899,0.000728413950046221,2.48463047448797e-05,"Malawi","Nsanje","TA Ndamera",212,20149.22674,"Pediatrics",33881.162686,146
"13",13,20141.3407814925,1.75516764784806,1.44757646861234,0.000253165304988393,1.53085208944027e-05,4.68293234319726,1.35740279869599e-05,6.88595850751153,0.000830816282615644,2.88825488813625e-05,"Malawi","Nsanje","TA Ndamera",212,20149.22674,"Pediatrics",33881.162686,146
"14",14,20140.4136669135,1.91761681924825,1.58157899213656,0.000276779223106702,1.7028622210848e-05,5.31356719995674,1.6267305145609e-05,7.81307308649201,0.000942697770235843,3.32959273564571e-05,"Malawi","Nsanje","TA Ndamera",212,20149.22674,"Pediatrics",33881.162686,146
"15",15,20139.4007849018,2.09506861649377,1.72797047644378,0.000302527979766046,1.8863753730944e-05,6.00257535690014,1.92566126846894e-05,8.82595509818387,0.00106493530807871,3.81203664156334e-05,"Malawi","Nsanje","TA Ndamera",212,20149.22674,"Pediatrics",33881.162686,146
"16",16,20138.2942115326,2.28890693812471,1.88789124778266,0.000330622485156399,2.08306833066131e-05,6.75535626575064,2.25625333915928e-05,9.93252846735987,0.00119848681912052,4.33932166982059e-05,"Malawi","Nsanje","TA Ndamera",212,20149.22674,"Pediatrics",33881.162686,146
"17",17,20137.0853038687,2.50064032737219,2.06258479400868,0.000361289075119901,2.29469433685049e-05,7.57780056541271,2.62084712649864e-05,11.1414361312833,0.00134439736778973,4.91554146334913e-05,"Malawi","Nsanje","TA Ndamera",212,20149.22674,"Pediatrics",33881.162686,146
"18",18,20135.7646239525,2.73191279930313,2.25341078328818,0.000394771685312227,2.5230997459972e-05,8.47634224137622,3.02208389569312e-05,12.4621160474893,0.00150380841365029,5.54518364169032e-05,"Malawi","Nsanje","TA Ndamera",212,20149.22674,"Pediatrics",33881.162686,146
"19",19,20134.3218683538,2.98451807799126,2.46185283894786,0.000431334626545824,2.77023759778593e-05,9.45800706302425,3.46292129383152e-05,13.9048716461788,0.00167796640486931,6.23315889161745e-05,"Malawi","Nsanje","TA Ndamera",212,20149.22674,"Pediatrics",33881.162686,146
"20",20,20132.7457886345,3.26041411639243,2.68952882301322,0.000471265083539342,3.03818434245721e-05,10.5304673126708,3.94665267894499e-05,15.4809513655303,0.00186823248781978,6.9848370214022e-05,"Malawi","Nsanje","TA Ndamera",212,20149.22674,"Pediatrics",33881.162686,146
"21",21,20131.0241081864,3.56173475791353,2.93820502416487,0.000514875251900217,3.32915822098311e-05,11.7020990954329,4.47692889188639e-05,17.2026318136343,0.00207609267447412,7.80608711286951e-05,"Malawi","Nsanje","TA Ndamera",212,20149.22674,"Pediatrics",33881.162686,146
"22",22,20129.1434269595,3.89080795874951,3.20980749364606,0.000562505171190016,3.64553781203199e-05,12.9820480496968,5.05778383311267e-05,19.08331304048,0.00230316950021895,8.70332164514466e-05,"Malawi","Nsanje","TA Ndamera",212,20149.22674,"Pediatrics",33881.162686,146
"23",23,20127.0891213644,4.25017194229945,3.50643683224171,0.000614525310853061,3.9898822054054e-05,14.3802985003231,5.69366270225783e-05,21.1376186356242,0.00255123429238571,9.68354490766322e-05,"Malawi","Nsanje","TA Ndamera",212,20149.22674,"Pediatrics",33881.162686,146
"24",24,20124.8452380013,4.64259212154814,3.83038400213823,0.000671339256536021,4.36495185895812e-05,15.9077469917354,6.38945293741032e-05,23.3815019987263,0.00282222021580971,0.000107544047963684,"Malawi","Nsanje","TA Ndamera",212,20149.22674,"Pediatrics",33881.162686,146
"25",25,20122.3943695006,5.07108308515262,4.18414647051782,0.000733387024506628,4.77373162330059e-05,17.5762883141499,7.15052092834224e-05,25.8323704993704,0.0031182375348352,0.000119242525516428,"Malawi","Nsanje","TA Ndamera",212,20149.22674,"Pediatrics",33881.162686,146
"26",26,20119.7175270722,5.53892990832613,4.5704458509977,0.000801148307330619,5.219454230036e-05,19.3989039981585,7.98275079934223e-05,28.50921292784,0.00344158931320627,0.000132022050293782,"Malawi","Nsanje","TA Ndamera",212,20149.22674,"Pediatrics",33881.162686,146
"27",27,20116.7940011826,6.04970968492067,4.99224875036796,0.000875145843475122,5.70562611791744e-05,21.3897592541023,8.89258772532134e-05,31.4327388173728,0.00379478861212288,0.000145982138432388,"Malawi","Nsanje","TA Ndamera",212,20149.22674,"Pediatrics",33881.162686,146
"28",28,20113.6012117348,6.6073166822896,5.45278696694202,0.000955949232415607,6.23605402150658e-05,23.5643074353332,9.88708493213686e-05,34.6255282651868,0.0041805770231443,0.000161231389536434,"Malawi","Nsanje","TA Ndamera",212,20149.22674,"Pediatrics",33881.162686,146
"29",29,20110.1145316465,7.21599242858563,5.95558054945962,0.00104417946749395,6.81487569216194e-05,25.9394133075952,0.000109739596578931,38.1122083534614,0.00460194653750495,0.00017788835350055,"Malawi","Nsanje","TA Ndamera",212,20149.22674,"Pediatrics",33881.162686,146
"30",30,20106.3071188598,7.88035142762682,6.50446226635208,0.00114051296181336,7.44658975690236e-05,28.5334708508476,0.000121616476609074,41.9196211401625,0.00506216044537531,0.000196082374178098,"Malawi","Nsanje","TA Ndamera",212,20149.22674,"Pediatrics",33881.162686,146
"31",31,20102.1497242282,8.6054113116846,7.10360449178402,0.0012456862493186,8.13608929705752e-05,31.3665383274895,0.000134593659482234,46.0770157717599,0.00556477729837478,0.000215954552452809,"Malawi","Nsanje","TA Ndamera",212,20149.22674,"Pediatrics",33881.162686,146
"32",32,20097.610477468,9.39662929681402,7.7575458991541,0.00136050151656662,8.88869793662446e-05,34.4604891756941,0.000148771828789012,50.616262531987,0.00611367767967175,0.000237658808155256,"Malawi","Nsanje","TA Ndamera",212,20149.22674,"Pediatrics",33881.162686,146
"33",33,20092.6546648328,10.2599358759104,8.47122267619719,0.00148583194149901,9.71020851555429e-05,37.8391694201723,0.000164260924283142,55.5720751672309,0.00671309213027271,0.000261363009438685,"Malawi","Nsanje","TA Ndamera",212,20149.22674,"Pediatrics",33881.162686,146
"34",34,20087.2444858864,11.2017699329547,9.25000371474608,0.00162262739705213,0.000106069256838718,41.5285705882788,0.000181180964613255,60.9822541135981,0.00736763182609158,0.000287250221451973,"Malawi","Nsanje","TA Ndamera",212,20149.22674,"Pediatrics",33881.162686,146
"35",35,20081.3387916947,12.2291242608999,10.0997200513469,0.00177192137728545,0.000115857087605465,45.5570165516691,0.000199662929814338,66.8879483053107,0.00808232172568151,0.000315520017419803,"Malawi","Nsanje","TA Ndamera",212,20149.22674,"Pediatrics",33881.162686,146
"36",36,20074.8928057693,13.3495829411122,11.0267062414319,0.00193483731796993,0.000126540210685224,49.9553638209178,0.00021984972864035,73.3339342307193,0.00886263610448141,0.000346389939325574,"Malawi","Nsanje","TA Ndamera",212,20149.22674,"Pediatrics",33881.162686,146
"37",37,20067.8578212573,14.5713689858946,12.037837105941,0.00211259619131686,0.00013819980697707,54.7572199576216,0.000241897248627188,80.3689187427041,0.00971453730340202,0.000380097055604258,"Malawi","Nsanje","TA Ndamera",212,20149.22674,"Pediatrics",33881.162686,146
"38",38,20060.1808815481,15.9033890816657,13.140570456014,0.00230652403078848,0.000150924156625564,59.999175490564,0.00026597548548913,88.0458584519165,0.0106445168730824,0.000416899642114694,"Malawi","Nsanje","TA Ndamera",212,20149.22674,"Pediatrics",33881.162686,146
"39",39,20051.8044315785,17.3552844833959,14.3429900547232,0.00251806040163088,0.000164809230979906,65.7210587439623,0.000292269788089241,96.4223084215021,0.0116596407830138,0.000457079019069146,"Malawi","Nsanje","TA Ndamera",212,20149.22674,"Pediatrics",33881.162686,146
"40",40,20042.6659544907,18.9374804614134,15.6538517759563,0.00274876694823842,0.000179959318259528,71.966203563515,0.000320982180268842,105.560785509331,0.0127675969188058,0.000500941498528371,"Malawi","Nsanje","TA Ndamera",212,20149.22674,"Pediatrics",33881.162686,146
"41",41,20032.6975874569,20.6612382041181,17.082630479379,0.0030003364796905,0.000196487682372016,78.7817347026673,0.000352332779270767,115.529152543106,0.0139767457125462,0.000548820461642783,"Malawi","Nsanje","TA Ndamera",212,20149.22674,"Pediatrics",33881.162686,146
"42",42,20021.8256828479,22.538711894492,18.6395727080636,0.00327460325812115,0.000214517317299788,86.2188968675131,0.000386561445724405,126.40105715209,0.015296178518605,0.000601078763024193,"Malawi","Nsanje","TA Ndamera",212,20149.22674,"Pediatrics",33881.162686,146
"43",43,20009.9704025715,24.5829988234288,20.3357438913331,0.0035735522985844,0.000234181650767726,94.3333630503949,0.00042392935005273,138.256337428456,0.0167357723149935,0.000658111000820456,"Malawi","Nsanje","TA Ndamera",212,20149.22674,"Pediatrics",33881.162686,146
"44",44,19997.045244281,26.8081956673105,22.1830822480634,0.00389933025051273,0.000255625364584901,103.185598127153,0.000464720833340074,151.181495718975,0.0183062542090122,0.000720346197924975,"Malawi","Nsanje","TA Ndamera",212,20149.22674,"Pediatrics",33881.162686,146
"45",45,19982.9565616867,29.229450822241,24.1944522909399,0.00425425613017176,0.000279005231229811,112.841232693438,0.000509245350228209,165.270178313331,0.0200192677593321,0.000788250581458019,"Malawi","Nsanje","TA Ndamera",212,20149.22674,"Pediatrics",33881.162686,146
"46",46,19967.6030613229,31.8630167989231,26.3836967924843,0.00464083245651983,0.00030449099720804,123.371461922701,0.000557839566821086,180.623678677129,0.0218874437371023,0.000862330564029126,"Malawi","Nsanje","TA Ndamera",212,20149.22674,"Pediatrics",33881.162686,146
"47",47,19950.8752856671,34.726299129619,28.7656876874386,0.0050617565295115,0.000332266290120749,134.853462623405,0.000610869589189072,197.351454332872,0.0239244741157079,0.000943135879309822,"Malawi","Nsanje","TA Ndamera",212,20149.22674,"Pediatrics",33881.162686,146
