"","time","S","E","I","H","C","R","D","inci","hosp","crits","lvl2","lvl3","lvl4","ID","POP","age","tot_pop","start"
"1",1,3250.727719,0,1,0,0,0,0,0,0,0,"Malawi","Kasungu","TA Lukwa",69,3251.727719,"Elderly",39170.340239,181
"2",2,3235.46761368916,13.1069399321549,2.59613814675718,0.0586986784574427,0.000823891878730354,0.497495136080717,9.52551407243272e-06,15.260105310843,0.0617519007891129,0.000839884218576983,"Malawi","Kasungu","TA Lukwa",69,3251.727719,"Elderly",39170.340239,181
"3",3,3168.73351655587,67.0502645605041,12.91969550705,0.313061848665738,0.00592340013303238,2.7051470824249,0.000110045353273818,81.994202444131,0.335266759855211,0.00610815474834394,"Malawi","Kasungu","TA Lukwa",69,3251.727719,"Elderly",39170.340239,181
"4",4,2857.59608282224,315.803614080693,63.0690549094133,1.57152906720268,0.0318734642673609,13.6548753570133,0.000689299172936049,393.131636177762,1.69160531819971,0.0330307253396526,"Malawi","Kasungu","TA Lukwa",69,3251.727719,"Elderly",39170.340239,181
"5",5,1794.03435434473,1124.33892112827,262.988054349253,7.21207048743535,0.155868102722555,62.9948288768179,0.00362171076147826,1456.69336465526,7.80080045337943,0.161948575533085,"Malawi","Kasungu","TA Lukwa",69,3251.727719,"Elderly",39170.340239,181
"6",6,391.108986986684,1911.08129443218,698.850299015868,25.341265672514,0.645850588426567,224.683310863804,0.016711440522954,2859.61873201332,27.7911140109352,0.673907345693163,"Malawi","Kasungu","TA Lukwa",69,3251.727719,"Elderly",39170.340239,181
"7",7,21.2692636824719,1586.6617221497,1048.41999704776,58.4307237586621,1.97854243322264,534.905205127485,0.0622648006985171,3229.45845531753,66.0033173128402,2.08307850819785,"Malawi","Kasungu","TA Lukwa",69,3251.727719,"Elderly",39170.340239,181
"8",8,0.578613202664266,1095.65719901115,1133.42814080464,96.064718509865,4.44342265712735,921.377377893886,0.178246920666652,3250.14910579734,113.3057356249,4.74268055651629,"Malawi","Kasungu","TA Lukwa",69,3251.727719,"Elderly",39170.340239,181
"9",9,0.015982242959145,746.249936929703,1058.51473155732,129.02230063441,7.95183013496424,1309.56681302006,0.406124480582485,3250.71173675704,160.408193145541,8.63367057571345,"Malawi","Kasungu","TA Lukwa",69,3251.727719,"Elderly",39170.340239,181
"10",10,0.000640344385005922,507.993167394267,915.924841730342,153.491868570359,12.2082579800229,1661.32935455539,0.779588425229509,3250.72707865562,202.630460151558,13.5171052445342,"Malawi","Kasungu","TA Lukwa",69,3251.727719,"Elderly",39170.340239,181
"11",11,4.2272401537802e-05,345.797682127989,756.480518507662,168.907817509667,16.868766738649,1962.35281810051,1.32007374312068,3250.7276767276,238.287435856083,19.0850322086348,"Malawi","Kasungu","TA Lukwa",69,3251.727719,"Elderly",39170.340239,181
"12",12,4.6535827499634e-06,235.388753798345,605.479926487656,176.239269023367,21.6207826474237,2210.96234305252,2.03663933710735,3250.72771434642,267.267234622897,25.0400866531039,"Malawi","Kasungu","TA Lukwa",69,3251.727719,"Elderly",39170.340239,181
"13",13,8.1939844828155e-07,160.231992312878,473.785492505934,177.031793988765,26.2145775130063,2411.53603255376,2.92782930625285,3250.7277181806,290.19870727835,31.1300960795077,"Malawi","Kasungu","TA Lukwa",69,3251.727719,"Elderly",39170.340239,181
"14",14,1.96391996931215e-07,109.071987330687,364.462220939652,172.90851323422,30.4693226976246,2570.83149581219,3.98417878923419,3250.72771880361,307.989843585728,37.1583413398371,"Malawi","Kasungu","TA Lukwa",69,3251.727719,"Elderly",39170.340239,181
"15",15,6.60886871977189e-08,74.2467061503764,276.650242026049,165.334751917183,34.2669932664613,2696.03833532945,5.19069024439263,3250.72771893391,321.585379840144,42.9816181985836,"Malawi","Kasungu","TA Lukwa",69,3251.727719,"Elderly",39170.340239,181
"16",16,3.34706728025464e-08,50.5406157879187,207.758069506808,155.528436261761,37.5415106271783,2793.83011114621,6.52897563664955,3250.72771896653,331.850800302456,48.5029764795917,"Malawi","Kasungu","TA Lukwa",69,3251.727719,"Elderly",39170.340239,181
"17",17,2.02498653466281e-08,34.4036145922988,154.655678735586,144.446732242149,40.2669761438836,2869.97574691705,7.97897034878322,3250.72771897975,339.526662125996,53.662831157441,"Malawi","Kasungu","TA Lukwa",69,3251.727719,"Elderly",39170.340239,181
"18",18,1.31079139211198e-08,23.4189650657894,114.283335387266,132.808930305638,42.4468684511625,2929.24939606904,9.52022370799175,3250.72771898689,345.220085620357,58.4303263303283,"Malawi","Kasungu","TA Lukwa",69,3251.727719,"Elderly",39170.340239,181
"19",19,1.00748911792062e-08,15.9415693101048,83.9254861442234,121.133667000685,44.1049413112855,2975.48923795243,11.1328172711971,3250.72771898993,349.414491498112,62.7957747820637,"Malawi","Kasungu","TA Lukwa",69,3251.727719,"Elderly",39170.340239,181
