"","time","S","E","I","H","C","R","D","inci","hosp","crits","lvl2","lvl3","lvl4","ID","POP","start","age","tot_pop"
"1",1,697.8243634,0,1,0,0,0,0,0,0,0,"Malawi","Chikwawa","STA Ndakwela and Lengwe National Park",16,698.8243634,1,"Adults",2116.4930981
"2",2,697.088394787292,0.606477081722262,0.794304168306777,0.00786395763922714,0.0000745342362397664,0.32724854405619,0.000000326747081921154,0.735968612707778,0.0083857864880934,0.0000761462002220331,"Malawi","Chikwawa","STA Ndakwela and Lengwe National Park",16,698.8243634,1,"Adults",2116.4930981
"3",3,696.425987365647,0.962862336157683,0.798338722744714,0.0140425460269449,0.000265312569772727,0.622864743312449,0.00000237354140040776,1.39837603435296,0.0159409747938672,0.000277022125755232,"Malawi","Chikwawa","STA Ndakwela and Lengwe National Park",16,698.8243634,1,"Adults",2116.4930981
"4",4,695.715250419812,1.24772411196058,0.899873539414215,0.0200298868560537,0.000550674177135472,0.940927321703372,0.00000744607611814527,2.10911298018748,0.0240553885683934,0.000587408419538172,"Malawi","Chikwawa","STA Ndakwela and Lengwe National Park",16,698.8243634,1,"Adults",2116.4930981
"5",5,694.894078979761,1.53457636527421,1.05904345941582,0.0265139917031943,0.000928333463680371,1.30920555549063,0.0000167148907872814,2.93028442023832,0.0334409502043339,0.00101079419066896,"Malawi","Chikwawa","STA Ndakwela and Lengwe National Park",16,698.8243634,1,"Adults",2116.4930981
"6",6,693.920431089865,1.85743056260143,1.26445469291315,0.0338922578940229,0.00140526243831206,1.74671814796575,0.0000313863221556548,3.90393231013482,0.0445836203141825,0.00156010275257978,"Malawi","Chikwawa","STA Ndakwela and Lengwe National Park",16,698.8243634,1,"Adults",2116.4930981
"7",7,692.756554353842,2.2361325951314,1.51640852939339,0.0424736925923455,0.00199406840158226,2.2707473678716,0.0000527927672466351,5.06780904615757,0.0579238498086007,0.00225451461222753,"Malawi","Chikwawa","STA Ndakwela and Lengwe National Park",16,698.8243634,1,"Adults",2116.4930981
"8",8,691.362342483744,2.68625986276751,1.82056547562223,0.0525611981776242,0.00271192816960672,2.89983999582717,0.0000824556918932649,6.46202091625603,0.073933691737348,0.00311871253837086,"Malawi","Chikwawa","STA Ndakwela and Lengwe National Park",16,698.8243634,1,"Adults",2116.4930981
"9",9,689.692134866883,3.22308857233102,2.18563651530884,0.0644883340098937,0.00358057082342536,3.65531239788481,0.000122142758847786,8.13222853311685,0.0931553762406528,0.00418314614498501,"Malawi","Chikwawa","STA Ndakwela and Lengwe National Park",16,698.8243634,1,"Adults",2116.4930981
"10",10,687.692788260107,3.86327226916595,2.62263462850035,0.0786391296533561,0.00462673426319376,4.5622284503618,0.000173927947892446,10.1315751398925,0.116226285091674,0.00548478504015474,"Malawi","Chikwawa","STA Ndakwela and Lengwe National Park",16,698.8243634,1,"Adults",2116.4930981
"11",11,685.302191618787,4.6256293968573,3.14472608911486,0.0954620474436949,0.00588288295974658,5.65023110548904,0.000240259348142552,12.5221717812128,0.143900124948487,0.00706817102209604,"Malawi","Chikwawa","STA Ndakwela and Lengwe National Park",16,698.8243634,1,"Adults",2116.4930981
"12",12,682.447945443261,5.5315436079008,3.76731069218298,0.115482162950277,0.00738811179872649,6.95436934455134,0.000324037354584157,15.3764179567387,0.177067945540306,0.00898670769567372,"Malawi","Chikwawa","STA Ndakwela and Lengwe National Park",16,698.8243634,1,"Adults",2116.4930981
"13",13,679.046145517962,6.60515187460514,4.50816393154732,0.139313012812824,0.00918920489872867,8.51597115295054,0.000428705223744363,18.7782178820383,0.21678030510434,0.0113041660350985,"Malawi","Chikwawa","STA Ndakwela and Lengwe National Park",16,698.8243634,1,"Adults",2116.4930981
"14",14,675.000328849467,7.87333901241422,5.38756066209406,0.16766826115204,0.0113418343290401,10.3835664269762,0.000558353566987939,22.8240345505326,0.264270684334161,0.0140963986056749,"Malawi","Chikwawa","STA Ndakwela and Lengwe National Park",16,698.8243634,1,"Adults",2116.4930981
"15",15,670.200695925671,9.3654868421636,6.42832414756024,0.201372913968295,0.0139119001000241,12.6138538286549,0.000717841881834333,27.6236674743289,0.320979992482286,0.0174532791130391,"Malawi","Chikwawa","STA Ndakwela and Lengwe National Park",16,698.8243634,1,"Adults",2116.4930981
"16",16,664.523809814473,11.1129027204175,7.65572276220509,0.241373072180035,0.0169769807741052,15.2726651119224,0.000912938027730599,33.3005535855268,0.388580976855648,0.0214808410996227,"Malawi","Chikwawa","STA Ndakwela and Lengwe National Park",16,698.8243634,1,"Adults",2116.4930981
"17",17,658.867518833866,12.2822707909452,8.94814914218199,0.288259790666615,0.0206255303677816,18.4163888467153,0.00115046525714813,38.956844566134,0.468501549112038,0.0263012002053456,"Malawi","Chikwawa","STA Ndakwela and Lengwe National Park",16,698.8243634,1,"Adults",2116.4930981
"18",18,652.391748245522,13.7582634558611,10.2567673478154,0.341319254148486,0.0249380945956688,22.0498886552675,0.00143834679007356,45.4326151544782,0.560847743310734,0.0320339903140794,"Malawi","Chikwawa","STA Ndakwela and Lengwe National Park",16,698.8243634,1,"Adults",2116.4930981
"19",19,645.082218973436,15.4560526980292,11.6578318959189,0.400370678008094,0.0299808744870522,26.196122858237,0.0017854218836855,52.7421444265639,0.666191289913907,0.0387890197740123,"Malawi","Chikwawa","STA Ndakwela and Lengwe National Park",16,698.8243634,1,"Adults",2116.4930981
"20",20,636.895046940646,17.3416792067761,13.1861083074424,0.465726316086765,0.035817938533271,30.8977833450547,0.00220134546073139,60.9293164593539,0.785609919864362,0.0466779883747614,"Malawi","Chikwawa","STA Ndakwela and Lengwe National Park",16,698.8243634,1,"Adults",2116.4930981
"21",21,627.777692051735,19.39884574711,14.8579607417489,0.537880983442124,0.0425169152743119,36.2067703572224,0.00269660346685323,70.0466713482645,0.920416417764772,0.0558202556973238,"Malawi","Chikwawa","STA Ndakwela and Lengwe National Park",16,698.8243634,1,"Adults",2116.4930981
"22",22,617.679416811382,21.6147571045966,16.6801599378321,0.617371323189277,0.0501506005399894,42.1792250515218,0.00328257093833379,80.1449465886181,1.07203086629265,0.0663447348248864,"Malawi","Chikwawa","STA Ndakwela and Lengwe National Park",16,698.8243634,1,"Adults",2116.4930981
"23",23,606.557757564623,23.9736876083067,18.6528469894918,0.704700547988264,0.0587966580341373,48.8726024547096,0.00397157684653741,91.2666058353771,1.24190552807642,0.0783899128285824,"Malawi","Chikwawa","STA Ndakwela and Lengwe National Park",16,698.8243634,1,"Adults",2116.4930981
"24",24,594.383579916746,26.4537430816697,20.770110882098,0.800286101854741,0.0685362469255481,56.3433302125676,0.00477695813788071,103.440783483253,1.43146492940598,0.0921027449575566,"Malawi","Chikwawa","STA Ndakwela and Lengwe National Park",16,698.8243634,1,"Adults",2116.4930981
"25",25,581.145575516081,29.0251050244996,23.0196264136319,0.904413744990843,0.0794518823146518,64.6444777273384,0.00571309114340996,116.678787883919,1.64204634477634,0.107636670060685,"Malawi","Chikwawa","STA Ndakwela and Lengwe National Park",16,698.8243634,1,"Adults",2116.4930981
"26",26,566.854402420982,31.6491617616516,25.3819976109079,1.01719168169409,0.0916245849891011,73.8231899486731,0.00679539110176692,130.969960979018,1.8748343759835,0.125148757988776,"Malawi","Chikwawa","STA Ndakwela and Lengwe National Park",16,698.8243634,1,"Adults",2116.4930981
"27",27,551.54614403052,34.2783890087231,27.8301881101133,1.13850568089928,0.105130510326584,83.9179657861785,0.00804027323942569,146.27821936948,2.13079165477291,0.144796146491819,"Malawi","Chikwawa","STA Ndakwela and Lengwe National Park",16,698.8243634,1,"Adults",2116.4930981
"28",28,535.285016535287,36.8570570189551,30.3291841001789,1.26797334757499,0.120036820147408,94.9556305131064,0.00946506475042349,162.539346864713,2.41058184828269,0.166731478835091,"Malawi","Chikwawa","STA Ndakwela and Lengwe National Park",16,698.8243634,1,"Adults",2116.4930981
"29",29,518.164665418826,39.3227803364646,32.836169849778,1.40490431725615,0.136397157730307,106.948358456665,0.0110878632798259,179.659697981174,2.71449405948764,0.191097680661647,"Malawi","Chikwawa","STA Ndakwela and Lengwe National Park",16,698.8243634,1,"Adults",2116.4930981
"30",30,500.307833845463,41.6089674686802,35.3012943599757,1.54826866886814,0.154246721753554,119.890825000207,0.0129273350516644,197.516529554537,3.04237065685724,0.218022038024029,"Malawi","Chikwawa","STA Ndakwela and Lengwe National Park",16,698.8243634,1,"Adults",2116.4930981
"31",31,481.864073846891,43.6481290693869,37.6691028273292,1.69667939449922,0.17359718980733,133.757778623309,0.0150024487772148,215.960289553108,3.3935459589175,0.247609808167933,"Malawi","Chikwawa","STA Ndakwela and Lengwe National Park",16,698.8243634,1,"Adults",2116.4930981
"32",32,463.005439305689,45.3757820642007,39.8807095349208,1.8483931195854,0.194431786223518,148.502275445073,0.0173321443069809,234.81892409431,3.76680195202573,0.279937652699912,"Malawi","Chikwawa","STA Ndakwela and Lengwe National Park",16,698.8243634,1,"Adults",2116.4930981
"33",33,443.92039823066,46.7345898946885,41.8765396107725,2.00133322105072,0.216700914618212,164.054866581858,0.019934946352224,253.90396516934,4.16034841896307,0.315047364475591,"Malawi","Chikwawa","STA Ndakwela and Lengwe National Park",16,698.8243634,1,"Adults",2116.4930981
"34",34,424.806294439205,47.6783777414004,43.5995209763774,2.15313718001523,0.240318625734415,180.323885912385,0.0228285248829002,273.018068960795,4.57183122361487,0.352940166723092,"Malawi","Chikwawa","STA Ndakwela and Lengwe National Park",16,698.8243634,1,"Adults",2116.4930981
"35",35,405.861002685387,48.1755066300511,44.9984529819168,2.30122821627754,0.265160364275568,197.196983303508,0.0260292185841109,291.963360714613,4.9983723934026,0.393572108911311,"Malawi","Chikwawa","STA Ndakwela and Lengwe National Park",16,698.8243634,1,"Adults",2116.4930981
"36",36,387.274479331522,48.2112085214765,46.0312144435469,2.44290921889618,0.291062327626749,214.543938019822,0.0295515371096235,310.549884068478,5.43664282722322,0.436850969903974,"Malawi","Chikwawa","STA Ndakwela and Lengwe National Park",16,698.8243634,1,"Adults",2116.4930981
"37",37,369.221129982972,47.7885342013466,46.6674348997861,2.57547136395759,0.317822677789947,232.220562601692,0.0334076724564114,328.603233417028,5.88296269899153,0.482635059325133,"Malawi","Chikwawa","STA Ndakwela and Lengwe National Park",16,698.8243634,1,"Adults",2116.4930981
"38",38,351.853490658274,46.9278710619074,46.8903913095226,2.69631107292464,0.345204667205395,250.073487595037,0.0376070351284891,345.970872741725,6.33342415568179,0.530734055105454,"Malawi","Chikwawa","STA Ndakwela and Lengwe National Park",16,698.8243634,1,"Adults",2116.4930981
"39",39,335.297714989412,45.6650935649274,46.6979095354137,2.80304623132409,0.372941654302301,267.945501583678,0.0421558409417041,362.526648410588,6.78402793808268,0.580911980588451,"Malawi","Chikwawa","STA Ndakwela and Lengwe National Park",16,698.8243634,1,"Adults",2116.4930981
"40",40,319.651113908179,44.0485951326061,46.1021936038482,2.89362184882549,0.400743795630156,285.681038338271,0.0470567726408348,378.173249491821,7.23082346180469,0.632892227294014,"Malawi","Chikwawa","STA Ndakwela and Lengwe National Park",16,698.8243634,1,"Adults",2116.4930981
"41",41,304.981692968417,42.1356001397442,45.1285923421369,2.96639762864388,0.428306137587108,303.131465449744,0.052308733727205,392.842670431583,7.6700435165121,0.686364432187516,"Malawi","Chikwawa","STA Ndakwela and Lengwe National Park",16,698.8243634,1,"Adults",2116.4930981
"42",42,291.329416533949,39.9883296816758,43.8135815927121,3.02020786067568,0.455317279081989,320.159603735928,0.0579067159775407,406.494946866051,8.09821904519757,0.740992486763465,"Malawi","Chikwawa","STA Ndakwela and Lengwe National Park",16,698.8243634,1,"Adults",2116.4930981
"43",43,278.708851554077,37.6701162667153,42.2021390215834,3.05439524426753,0.481468676346676,336.643550862708,0.0638417743013106,419.115511845922,8.51227588266948,0.796423717819837,"Malawi","Chikwawa","STA Ndakwela and Lengwe National Park",16,698.8243634,1,"Adults",2116.4930981
"44",44,267.112560941228,35.2422430896945,40.3448615851696,3.0688147463657,0.506463306679645,352.479318613475,0.0701011173879757,430.711802458772,8.90960105084556,0.852297998397972,"Malawi","Chikwawa","STA Ndakwela and Lengwe National Park",16,698.8243634,1,"Adults",2116.4930981
"45",45,256.515161542975,32.7611954087209,38.29497847069,3.06381072981229,0.530024134526158,367.582524803633,0.0766683096422267,441.309201857025,9.2880847320677,0.908257210083848,"Malawi","Chikwawa","STA Ndakwela and Lengwe National Park",16,698.8243634,1,"Adults",2116.4930981
"46",46,246.877316130442,30.2769431602863,36.1056426613983,3.04016974680945,0.551901097228377,381.888867031336,0.0835235724994729,450.947047269558,9.64613112278195,0.963953715258731,"Malawi","Chikwawa","STA Ndakwela and Lengwe National Park",16,698.8243634,1,"Adults",2116.4930981
"47",47,244.302295247111,22.7404023421565,32.8950868381948,2.99594100389169,0.57186183530737,395.228132016743,0.0906441165958806,453.522068152888,9.9794266033702,1.01904272609861,"Malawi","Chikwawa","STA Ndakwela and Lengwe National Park",16,698.8243634,1,"Adults",2116.4930981
"48",48,242.032913587953,17.3547968356555,28.6921058787373,2.92238395421729,0.589577573842194,407.134581829634,0.0980037399601445,455.791449812046,10.2760916926658,1.07306620368497,"Malawi","Chikwawa","STA Ndakwela and Lengwe National Park",16,698.8243634,1,"Adults",2116.4930981
"49",49,240.097774866031,13.4112872984723,24.3711110626663,2.81845967019828,0.604644030698645,417.415515041214,0.105571430719854,457.726588533969,10.5312684642471,1.12546687286815,"Malawi","Chikwawa","STA Ndakwela and Lengwe National Park",16,698.8243634,1,"Adults",2116.4930981
"50",50,238.480652716505,10.4636557162692,20.3491559398837,2.68884278368487,0.616721538798349,426.112023344482,0.113311360376884,459.343710683495,10.7460925152312,1.17572831136152,"Malawi","Chikwawa","STA Ndakwela and Lengwe National Park",16,698.8243634,1,"Adults",2116.4930981
"51",51,237.146679066448,8.22315517101318,16.7964625640345,2.54017565959128,0.625595055356137,433.371111725526,0.12118415803125,460.677684333552,10.9244014617231,1.22344124519549,"Malawi","Chikwawa","STA Ndakwela and Lengwe National Park",16,698.8243634,1,"Adults",2116.4930981
"52",52,236.055673130158,6.49739101051685,13.754329177006,2.37919886407189,0.631182757023435,439.377439882417,0.129148578806001,461.768690269841,11.0709807160153,1.26832037481688,"Malawi","Chikwawa","STA Ndakwela and Lengwe National Park",16,698.8243634,1,"Adults",2116.4930981
"53",53,235.168542296473,5.15438874852615,11.2004097912862,2.21190530110041,0.63352102597763,444.31843312391,0.137163112725693,462.655821103526,11.1906691265096,1.31019729836973,"Malawi","Chikwawa","STA Ndakwela and Lengwe National Park",16,698.8243634,1,"Adults",2116.4930981
"54",54,234.450059961635,4.10105957042343,9.08439828385831,2.04323321502126,0.632740783312478,448.367684249578,0.145187336171153,463.374303438365,11.2879354837248,1.34900351231098,"Malawi","Chikwawa","STA Ndakwela and Lengwe National Park",16,698.8243634,1,"Adults",2116.4930981
"55",55,233.869777794954,3.27006140730128,7.3469717220398,1.87703393420227,0.629042551112236,451.678293039811,0.153182950579206,463.954585605045,11.366710481373,1.38475059777385,"Malawi","Chikwawa","STA Ndakwela and Lengwe National Park",16,698.8243634,1,"Adults",2116.4930981
"56",56,233.402025494418,2.61159448013069,5.92939746541195,1.71616749799219,0.622673754653263,454.381390190364,0.161114517030228,464.422337905582,11.4303516307855,1.41751114676099,"Malawi","Chikwawa","STA Ndakwela and Lengwe National Park",16,698.8243634,1,"Adults",2116.4930981
"57",57,233.025500310625,2.08814763720016,4.77799322446017,1.56264787174153,0.613909613846929,456.587214816775,0.168949925351027,464.798863089375,11.4816733848337,1.44740196784511,"Malawi","Chikwawa","STA Ndakwela and Lengwe National Park",16,698.8243634,1,"Adults",2116.4930981
"58",58,232.722706900691,1.67104062091736,3.84581521219644,1.41779732769283,0.60303787938647,458.387304813356,0.176660645759758,465.101656499309,11.5230054235358,1.47457006377311,"Malawi","Chikwawa","STA Ndakwela and Lengwe National Park",16,698.8243634,1,"Adults",2116.4930981
"59",59,232.479377381596,1.33808718996637,3.0929035138465,1.28239053749959,0.590347159936437,459.85703580736,0.184221809795607,465.344986018404,11.5562594890635,1.49918135791149,"Malawi","Chikwawa","STA Ndakwela and Lengwe National Park",16,698.8243634,1,"Adults",2116.4930981
"60",60,232.283932100173,1.07196596958045,2.48583652014886,1.15678037944176,0.576118334802978,461.05811793174,0.191612164113757,465.540431299827,11.5829947819926,1.52141187897021,"Malawi","Chikwawa","STA Ndakwela and Lengwe National Park",16,698.8243634,1,"Adults",2116.4930981
