"","time","S","E","I","H","C","R","D","inci","hosp","crits","lvl2","lvl3","lvl4","ID","POP","start","age","tot_pop"
"1",1,9339.968165,0,1,0,0,0,0,0,0,0,"Malawi","Blantyre","TA Kapeni",149,9340.968165,1,"Elderly",105171.556255
"2",2,9121.70786014205,198.188745392826,19.0636076607381,0.220898165303832,0.00202850438913871,1.7850074366461,0.000017698049319381,218.260304857953,0.228082488462646,0.00205821507385007,"Malawi","Blantyre","TA Kapeni",149,9340.968165,1,"Elderly",105171.556255
"3",3,4245.11447624684,4477.68719607454,551.206019294647,7.33578748821395,0.0760743083130565,59.5478119853766,0.000799602068802753,5094.85368875316,7.60601492758695,0.0774166441000143,"Malawi","Blantyre","TA Kapeni",149,9340.968165,1,"Elderly",105171.556255
"4",4,4.22357260938472,6226.73278739768,2456.02734751953,70.0075195465573,1.19601304722979,582.763249659544,0.0176752200773358,9335.74459239061,74.285847972264,1.22568540724218,"Malawi","Blantyre","TA Kapeni",149,9340.968165,1,"Elderly",105171.556255
"5",5,0.0000060577344201382,4241.58750207749,3303.12653358595,184.105923710327,5.49105631893998,1606.52692646635,0.130216783208378,9339.96815894226,204.035828675438,5.70965836486121,"Malawi","Blantyre","TA Kapeni",149,9340.968165,1,"Elderly",105171.556255
"6",6,-0.0000000404097418488116,2887.30004140686,3358.98188997417,301.136192710028,13.6383626245788,2779.43682766286,0.474850661918261,9339.96816504041,351.52424258466,14.4355204382246,"Malawi","Blantyre","TA Kapeni",149,9340.968165,1,"Elderly",105171.556255
"7",7,-0.0000000186373206900771,1965.42291907513,3042.42822793775,397.850541244031,25.0376329648553,3909.04258580268,1.18625799419051,9339.96816501864,492.197128490158,27.0290692308356,"Malawi","Blantyre","TA Kapeni",149,9340.968165,1,"Elderly",105171.556255
"8",8,0.000000151203724837688,1337.8889800099,2585.58891767404,466.691752075218,38.6221833642626,4909.81005792021,2.36627380516108,9339.96816484879,615.370677053425,42.5945768013688,"Malawi","Blantyre","TA Kapeni",149,9340.968165,1,"Elderly",105171.556255
"9",9,0.0000000134111815234582,910.717100168708,2110.31957511164,508.010403863126,53.2830011212082,5754.56273335791,4.07535136400569,9339.96816498658,717.878635301561,60.1245166622111,"Malawi","Blantyre","TA Kapeni",149,9340.968165,1,"Elderly",105171.556255
"10",10,-0.0000000907238806503205,619.936239691589,1674.95818100529,525.666645948434,68.0612555148108,6446.0107535801,6.3350893505105,9339.96816509072,800.360860255896,78.6963169791944,"Malawi","Blantyre","TA Kapeni",149,9340.968165,1,"Elderly",105171.556255
"11",11,-0.0000000491011946713179,421.998244248804,1302.47192017251,524.648143795911,82.2148169828334,7000.49969461849,9.13534523056082,9339.9681650491,865.155136471565,97.5508213625583,"Malawi","Blantyre","TA Kapeni",149,9340.968165,1,"Elderly",105171.556255
"12",12,0.000000104990704847213,287.259316037867,997.093350837312,509.864312354401,95.220609375971,7439.08809893604,12.4424773534132,9339.968164895,915.14791707603,116.108477581348,"Malawi","Blantyre","TA Kapeni",149,9340.968165,1,"Elderly",105171.556255
"13",13,-0.0000000847814240952647,195.540771590011,753.942105579087,485.606224859204,106.747750221778,7782.92425887292,16.2070539617763,9339.96816508478,953.18565026439,133.955419364784,"Malawi","Blantyre","TA Kapeni",149,9340.968165,1,"Elderly",105171.556255
"14",14,-0.000000200436343879857,133.10689776686,564.412816070649,455.368941151568,116.620587202345,8051.08859061646,20.370332392552,9339.96816520043,981.806051010249,150.81737986909,"Malawi","Blantyre","TA Kapeni",149,9340.968165,1,"Elderly",105171.556255
"15",15,-0.000000060571568323669,90.607602785192,419.051778589412,421.858777842048,124.781428895316,8259.79924010127,24.8693368473268,9339.96816506057,1003.14503533548,166.53094674994,"Malawi","Blantyre","TA Kapeni",149,9340.968165,1,"Elderly",105171.556255
