"","time","S","E","I","H","C","R","D","inci","hosp","crits","lvl2","lvl3","lvl4","ID","POP","start","age","tot_pop"
"1",1,4761.961036,0,1,0,0,0,0,0,0,0,"Malawi","Salima","TA Maganga",174,4762.961036,1,"Elderly",60692.076406
"2",2,4743.17213621712,16.21431591507,2.97544690234891,0.0663363220970356,0.000982580201878651,0.531806871476557,0.0000111916833415217,18.7888997828777,0.0696785620199245,0.00100135177204369,"Malawi","Salima","TA Maganga",174,4762.961036,1,"Elderly",60692.076406
"3",3,4647.05629929056,95.0870086492055,17.116056494058,0.40364167253728,0.00781311447651679,3.29007779296066,0.000138986199019036,114.904736709437,0.430497810468916,0.00804623304387108,"Malawi","Salima","TA Maganga",174,4762.961036,1,"Elderly",60692.076406
"4",4,4135.35123784683,510.528650387951,95.6995232787886,2.3221574099781,0.0476597667697683,19.010840570521,0.000966739163746254,626.609798153172,2.4866448470989,0.0492812576116535,"Malawi","Salima","TA Maganga",174,4762.961036,1,"Elderly",60692.076406
"5",5,2296.00880937977,1918.60238415071,437.797183087149,11.9458484164489,0.263419821407366,98.3376741868676,0.00571695764785471,2465.95222662023,12.8570773918835,0.273008751717709,"Malawi","Salima","TA Maganga",174,4762.961036,1,"Elderly",60692.076406
"6",6,319.483997608209,2898.26384164664,1135.77290737666,43.5300249368504,1.17582867870417,364.705399238026,0.0290365149080066,4442.47703839179,47.6171764403999,1.22453100169804,"Malawi","Salima","TA Maganga",174,4762.961036,1,"Elderly",60692.076406
"7",7,9.06201870898789,2208.87914476235,1595.6694471444,97.6409398322432,3.63576834898722,847.960894061352,0.112823141680616,4752.89901729101,110.407763679082,3.82500418203128,"Malawi","Salima","TA Maganga",174,4762.961036,1,"Elderly",60692.076406
"8",8,0.135648789686708,1510.26127964341,1666.44002621251,155.811180811379,8.04019223355117,1421.94827951281,0.324428796658322,4761.82538721031,184.463405774527,8.58434968817084,"Malawi","Salima","TA Maganga",174,4762.961036,1,"Elderly",60692.076406
"9",9,0.00228500359736754,1028.15278244524,1529.80063744422,205.100131073386,14.151138983329,1985.02072982386,0.733331226374751,4761.9587509964,256.438192893243,15.38113970351,"Malawi","Salima","TA Maganga",174,4762.961036,1,"Elderly",60692.076406
"10",10,0.0000616163949452992,699.87799767497,1310.53798928001,240.762505334984,21.4371730053315,2488.95165016809,1.39365892021899,4761.9609743836,320.116079755326,23.7747271880851,"Malawi","Salima","TA Maganga",174,4762.961036,1,"Elderly",60692.076406
"11",11,0.00000299189565474443,476.416230445033,1075.33531012733,262.511614444434,29.3180882676162,2917.04148615133,2.3383035723632,4761.9610330081,373.457944806171,33.2400746423501,"Malawi","Salima","TA Maganga",174,4762.961036,1,"Elderly",60692.076406
"12",12,0.00000027043239898767,324.302007207653,856.726605096749,272.098521009163,37.281137971996,3268.97318835291,3.57957609109592,4761.96103572956,416.572361422701,43.2850840902551,"Malawi","Salima","TA Maganga",174,4762.961036,1,"Elderly",60692.076406
"13",13,0.0000000357224901954575,220.756577849158,668.090127433401,271.985788275798,44.9241272817235,3552.09173992572,5.11267519848434,4761.96103596427,450.552596860661,53.4995076146672,"Malawi","Salima","TA Maganga",174,4762.961036,1,"Elderly",60692.076406
"14",14,-0.0000000107923326087984,150.271737679402,512.574069755994,264.66570690457,51.9605558220174,3776.56897434715,6.91999150165775,4761.96103601079,476.836098778097,63.5673089842455,"Malawi","Salima","TA Maganga",174,4762.961036,1,"Elderly",60692.076406
"15",15,-0.0000000107140461123624,102.29187227449,388.258454279661,252.348183581637,58.2071466162101,3952.88016381884,8.97521543988118,4761.96103601071,496.873756346325,73.2610827610109,"Malawi","Salima","TA Maganga",174,4762.961036,1,"Elderly",60692.076406
"16",16,0.00000000192356055759584,69.6313835941599,291.073573259579,236.849102877994,63.564871930126,4090.59526419352,11.2468401427027,4761.96103599807,511.97454158641,82.4289554134823,"Malawi","Salima","TA Maganga",174,4762.961036,1,"Elderly",60692.076406
"17",17,0.000000000857110729031639,47.3989766111976,216.367719055441,219.583538236945,67.9992006654503,4197.91067180452,13.7009296255922,4761.96103599914,523.24828871555,90.979475745154,"Malawi","Salima","TA Maganga",174,4762.961036,1,"Elderly",60692.076406
"18",18,-0.0000000000670629924345231,32.2650524454738,159.693878437725,201.607273991124,71.5223122753392,4281.5693364304,16.303182420011,4761.96103600006,531.599403870343,98.8672900925106,"Malawi","Salima","TA Maganga",174,4762.961036,1,"Elderly",60692.076406
"19",19,-0.000000000468172609278168,21.9632185458247,117.15298831278,183.676138936207,74.1782894725333,4346.97001468328,19.02038604985,4761.96103600046,537.744918561559,106.080774595241,"Malawi","Salima","TA Maganga",174,4762.961036,1,"Elderly",60692.076406
"20",20,-0.000000000410829839862371,14.9506334043383,85.4977360173442,166.307082413885,76.0314240117651,4398.35278112432,21.8213790287616,4761.96103600041,542.241919188048,112.631954516114,"Malawi","Salima","TA Maganga",174,4762.961036,1,"Elderly",60692.076406
"21",21,-0.000000000368003946122574,10.1770764068401,62.1136364266674,149.833552842965,77.1573583716477,4439.00178134647,24.6776306057774,4761.96103600036,545.516604500461,118.548618317746,"Malawi","Salima","TA Maganga",174,4762.961036,1,"Elderly",60692.076406
"22",22,-0.000000000326356512799314,6.92765993236076,44.9460041254815,134.452203091963,77.636621566184,4471.43501077926,27.5635365050823,4761.96103600032,547.891070910302,123.86834951208,"Malawi","Salima","TA Maganga",174,4762.961036,1,"Elderly",60692.076406
"23",23,-0.000000000300181278154803,4.71574237994003,32.4090465990017,120.26057021356,77.5500842533726,4497.56908142159,30.4565111328428,4761.96103600029,549.606338814229,128.634136425529,"Malawi","Salima","TA Maganga",174,4762.961036,1,"Elderly",60692.076406
"24",24,-0.000000000282871224746546,3.21006292154666,23.2958783249484,107.286486262232,76.975902321368,4518.85576682907,33.3369393411222,4761.96103600028,550.841291893342,132.89123487978,"Malawi","Salima","TA Maganga",174,4762.961036,1,"Elderly",60692.076406
"25",25,-0.000000000271034980650271,2.18512885881484,16.6982258919184,95.5104355017924,75.9875801722756,4536.3916293619,36.1880362135716,4761.96103600026,551.727785126972,136.684996297148,"Malawi","Salima","TA Maganga",174,4762.961036,1,"Elderly",60692.076406
"26",26,-0.000000000262864784456453,1.48744385811549,11.9387818309689,84.8821754770867,74.6528539471899,4551.00413010528,38.9956507816308,4761.96103600026,552.362439517694,140.059421703004,"Malawi","Salima","TA Maganga",174,4762.961036,1,"Elderly",60692.076406
"27",27,-0.00000000025718099677903,1.01252115154441,8.51630711512738,75.3328380930591,73.0331594199012,4563.31817055905,41.7480396615754,4761.96103600025,552.815699896655,143.056249945769,"Malawi","Salima","TA Maganga",174,4762.961036,1,"Elderly",60692.076406
"28",28,-0.00000000025320579654103,0.689235466533752,6.06224566538802,66.7835529607576,71.1835048039185,4573.80686821289,44.4356288907669,4761.96103600025,553.13870042197,145.714431036986,"Malawi","Salima","TA Maganga",174,4762.961036,1,"Elderly",60692.076406
"29",29,-0.000000000250416130270938,0.469170956020376,4.30709554832304,59.1514488951863,69.152613945478,4582.82993023732,47.0507764179287,4761.96103600024,553.3684143653,148.069870974372,"Malawi","Salima","TA Maganga",174,4762.961036,1,"Elderly",60692.076406
"30",30,-0.000000000248454472338358,0.319370360555455,3.05472763489055,52.3537130577723,66.9832412746726,4590.66244028329,49.5875433890715,4761.96103600024,553.531484065623,150.15536307574,"Malawi","Salima","TA Maganga",174,4762.961036,1,"Elderly",60692.076406
"31",31,-0.000000000247073588600317,0.217399145317793,2.16300540758957,46.3102339761004,64.7125876709931,4597.51633056656,52.0414792336947,4761.96103600024,553.647048843222,152.000643374243,"Malawi","Salima","TA Maganga",174,4762.961036,1,"Elderly",60692.076406
"32",32,-0.000000000246101143409635,0.147986222245314,1.52930180251148,40.9452282713683,62.3727674529216,4603.55632892668,54.409423324523,4761.96103600024,553.728820043195,153.632524936096,"Malawi","Salima","TA Maganga",174,4762.961036,1,"Elderly",60692.076406
"33",33,-0.000000000245416361991488,0.100735951506295,1.07975875404296,36.188151872836,59.9912921350311,4608.91177284238,56.6893244444531,4761.96103600024,553.78659622143,155.07507881347,"Malawi","Salima","TA Maganga",174,4762.961036,1,"Elderly",60692.076406
"34",34,-0.000000000244934318934651,0.0685722069684474,0.761378808177029,31.9741154659287,57.5915483975003,4613.68534290175,58.8800782199301,4761.96103600024,553.827363828306,156.34983934449,"Malawi","Salima","TA Maganga",174,4762.961036,1,"Elderly",60692.076406
"35",35,-0.00000000024459517530525,0.0466779080543425,0.536232780237886,28.2439667902214,55.1932555762726,4617.95952092323,60.981382022232,4761.96103600024,553.85609417834,157.476018272444,"Malawi","Salima","TA Maganga",174,4762.961036,1,"Elderly",60692.076406
"36",36,-0.000000000244356728585799,0.0317742137814578,0.377240960947618,24.9441545964141,52.8128941863812,4621.80136564727,62.9936063954597,4761.96103600024,553.876317916859,158.470717618029,"Malawi","Salima","TA Maganga",174,4762.961036,1,"Elderly",60692.076406
"37",37,-0.000000000244189203845433,0.021629087687088,0.265111342422201,22.0264576698436,50.4641008186173,4625.2660552469,64.9176818347794,4761.96103600024,553.890538251887,159.349134671598,"Malawi","Salima","TA Maganga",174,4762.961036,1,"Elderly",60692.076406
"38",38,-0.000000000244071597383525,0.0147231794593935,0.186127247164318,19.4476359455915,48.1580277184315,4628.39952228535,66.7549996242564,4761.96103600024,553.900527106322,160.124755249493,"Malawi","Salima","TA Maganga",174,4762.961036,1,"Elderly",60692.076406
"39",39,-0.000000000243989099370526,0.0100222459121591,0.130553767947701,17.1690436055557,45.9036671148677,4631.24042385243,68.5073254135379,4761.96103600024,553.907536913178,160.809533066999,"Malawi","Salima","TA Maganga",174,4762.961036,1,"Elderly",60692.076406
"40",40,-0.000000000243931273915288,0.00682224799850778,0.0914933860519182,15.1562307803286,43.7081415811881,4633.82162376356,70.1767242411261,4761.96103600024,553.912451720084,161.414054342118,"Malawi","Salima","TA Maganga",174,4762.961036,1,"Elderly",60692.076406
"41",41,-0.000000000243890773192185,0.00464397693504782,0.0640666927954254,13.3785512364338,41.5769624069427,4636.17131590949,71.7654957776571,4761.96103600024,553.915894724708,161.94768755258,"Malawi","Salima","TA Maganga",174,4762.961036,1,"Elderly",60692.076406
"42",42,-0.000000000243862427860111,0.00316122032186442,0.0448268261925173,11.8087870723079,39.5142583520743,4638.31388389194,73.2761186374108,4761.96103600024,553.918304728881,162.41871878484,"Malawi","Salima","TA Maganga",174,4762.961036,1,"Elderly",60692.076406
"43",43,-0.000000000243842603766586,0.00215188188592946,0.0313417911309155,10.42279668319,37.5229773566598,4640.27056559445,74.71120269293,4761.96103600024,553.919990398704,162.834473462153,"Malawi","Salima","TA Maganga",174,4762.961036,1,"Elderly",60692.076406
"44",44,-0.000000000243828748809857,0.00146481548687318,0.0218981146595867,9.19918917455626,35.6050637064364,4642.05997173754,76.0734484515652,4761.96103600024,553.921168586057,163.201425373251,"Malawi","Salima","TA Maganga",174,4762.961036,1,"Elderly",60692.076406
"45",45,-0.000000000243819072024867,0.000997116435689938,0.0152898076001746,8.11902662601361,33.7616131519612,4643.69849668628,77.365612611962,4761.96103600024,553.921991512966,163.525294020137,"Malawi","Salima","TA Maganga",174,4762.961036,1,"Elderly",60692.076406
"46",46,-0.000000000243812339739678,0.000678752978394783,0.0106690182555604,7.1655537853616,31.9930083400264,4645.20064707897,78.5904790246621,4761.96103600024,553.92256592764,163.811131342345,"Malawi","Salima","TA Maganga",174,4762.961036,1,"Elderly",60692.076406
"47",47,-0.00000000024381010704661,0.000462034619324672,0.00744023313309109,6.32395427405756,30.2990367085152,4646.57930838259,79.7508343673328,4761.96103600024,553.922966633559,164.063398812374,"Malawi","Salima","TA Maganga",174,4762.961036,1,"Elderly",60692.076406
"48",48,-0.000000000243809647209171,0.000314510769842703,0.00518558906828288,5.58113167191711,28.6789928493318,4647.84596346061,80.849447918557,4761.96103600024,553.923246001409,164.286035873634,"Malawi","Salima","TA Maganga",174,4762.961036,1,"Elderly",60692.076406
"49",49,-0.000000000243809133432759,0.000214095877176912,0.00361228402600555,4.92551379342906,27.1317670878055,4649.01087383764,81.8890549014702,4761.96103600024,553.923440652056,164.482520582491,"Malawi","Salima","TA Maganga",174,4762.961036,1,"Elderly",60692.076406
"50",50,-0.000000000243808689831068,0.000145744386785686,0.00251504475617834,4.34687775722283,25.6559221972465,4650.08323241455,82.8723428420912,4761.96103600024,553.923576208186,164.65592344194,"Malawi","Salima","TA Maganga",174,4762.961036,1,"Elderly",60692.076406
"51",51,-0.00000000024380836348784,0.0000992083288215068,0.00175017494322569,3.83619465410537,24.2497592460116,4651.07129207384,83.8019406430235,4761.96103600024,553.923670573243,164.808954922228,"Malawi","Salima","TA Maganga",174,4762.961036,1,"Elderly",60692.076406
