"","time","S","E","I","H","C","R","D","inci","hosp","crits","lvl2","lvl3","lvl4","ID","POP","start","age","tot_pop"
"1",1,50961.30001,0,1,0,0,0,0,0,0,0,"Malawi","Kasungu","TA Chulu",129,50962.30001,1,"Pediatrics",89251.083792
"2",2,50960.592236304,0.583158751265913,0.790022126786765,0.0000583848880513436,0.000000189784813197921,0.334534239144107,0.0000000041060103947989,0.707773695975659,0.000062262704523198,0.00000019389082359272,"Malawi","Kasungu","TA Chulu",129,50962.30001,1,"Pediatrics",89251.083792
"3",3,50959.9604190501,0.921407571521923,0.784901452304408,0.000103770285744523,0.000000673916532773174,0.633177452122432,0.0000000297825409840597,1.33959094993358,0.000117844267219668,0.000000703699073757234,"Malawi","Kasungu","TA Chulu",129,50962.30001,1,"Pediatrics",89251.083792
"4",4,50959.2900840911,1.1856385697294,0.874103163463357,0.000147073939904606,0.00000139382733249081,0.950035614746417,0.0000000932267894119327,2.0099259089332,0.00017681502234266,0.00000148705412190275,"Malawi","Kasungu","TA Chulu",129,50962.30001,1,"Pediatrics",89251.083792
"5",5,50958.5237011006,1.44639428637589,1.01741617310562,0.000193270541684061,0.00000233958517419883,1.31230262111354,0.000000208701351426133,2.77630889942326,0.000244236272196561,0.00000254828652562497,"Malawi","Kasungu","TA Chulu",129,50962.30001,1,"Pediatrics",89251.083792
"6",6,50957.6234118183,1.73595371058856,1.20251943558148,0.0002451429279799,0.00000352416201184254,1.73787597781322,0.000000390641451128855,3.67659818171469,0.000323438997239328,0.0000039148034629714,"Malawi","Kasungu","TA Chulu",129,50962.30001,1,"Pediatrics",89251.083792
"7",7,50956.5560590909,2.07263051688616,1.42857702166099,0.000304766383185365,0.00000497398534194656,2.24243297540456,0.000000654740503886296,4.74395090906074,0.000417340900102022,0.00000562872584583285,"Malawi","Kasungu","TA Chulu",129,50962.30001,1,"Pediatrics",89251.083792
"8",8,50955.2868001126,2.4704011013638,1.69997697154779,0.000374115703899659,0.00000672595531372039,2.84244995419692,0.00000101867740167027,6.01320988744511,0.000529008358207472,0.00000774463271539066,"Malawi","Kasungu","TA Chulu",129,50962.30001,1,"Pediatrics",89251.083792
"9",9,50953.7759502592,2.94286120470296,2.02403789844222,0.000455336569835737,0.00000882713059652127,3.55669497116943,0.00000150275277429228,7.52405974076782,0.000661934237252008,0.0000103298833708135,"Malawi","Kasungu","TA Chulu",129,50962.30001,1,"Pediatrics",89251.083792
"10",10,50951.9769607661,3.50501114883057,2.41028876396541,0.000550892448398969,0.0000113356320371987,4.4071849624375,0.00000213054716337284,9.32304923386109,0.0008202160324104,0.0000134661792005716,"Malawi","Kasungu","TA Chulu",129,50962.30001,1,"Pediatrics",89251.083792
"11",11,50949.8346833372,4.17424742346046,2.87039047453393,0.000663671063477831,0.0000143222314282298,5.42000784181951,0.00000292965883752019,11.4653266627676,0.00100870886879283,0.00001725189026575,"Malawi","Kasungu","TA Chulu",129,50962.30001,1,"Pediatrics",89251.083792
"12",12,50947.2835668155,4.97109776547823,3.41834903820603,0.000797084199349899,0.0000178724623179662,6.62617749163152,0.00000393255879108087,14.0164431845362,0.00123318462153084,0.0000218050211090471,"Malawi","Kasungu","TA Chulu",129,50962.30001,1,"Pediatrics",89251.083792
"13",13,50944.2456158899,5.91992449858791,4.07088484487107,0.000955175855117477,0.0000220892241216614,8.06260232393572,0.00000517759168716463,17.0543941100656,0.001500512171294,0.000027266815808826,"Malawi","Kasungu","TA Chulu",129,50962.30001,1,"Pediatrics",89251.083792
"14",14,50940.6280017089,7.04969303121188,4.84791877268871,0.0011427467342033,0.0000270959342429484,9.77321993438403,0.00000671015756301047,20.6720082911106,0.00181886857032248,0.0000338060918059589,"Malawi","Kasungu","TA Chulu",129,50962.30001,1,"Pediatrics",89251.083792
"15",15,50936.3202593341,8.39485219922692,5.77316216838099,0.0013654994334725,0.0000330402770458259,11.8103291744962,0.00000858409873405791,24.9797506659134,0.00219798694907017,0.0000416243757798838,"Malawi","Kasungu","TA Chulu",129,50962.30001,1,"Pediatrics",89251.083792
"16",16,50931.1908996265,9.99638276070311,6.87484121430542,0.0016302138678032,0.0000400987823133943,14.2362052224533,0.0000108633788195243,30.1091103734908,0.00264945709046157,0.0000509621611329186,"Malawi","Kasungu","TA Chulu",129,50962.30001,1,"Pediatrics",89251.083792
"17",17,50926.0321258972,11.1087052381752,8.05034855919165,0.00194167894406273,0.0000484769336052574,17.1068265255875,0.0000136239535607986,35.2678841027856,0.00318369668738385,0.000062100887166056,"Malawi","Kasungu","TA Chulu",129,50962.30001,1,"Pediatrics",89251.083792
"18",18,50920.0549118873,12.5460232305276,9.26345595941034,0.0022963117294383,0.000058367988160934,20.4332472884268,0.0000169545327284692,41.245098112615,0.00380276214722637,0.0000753225208894032,"Malawi","Kasungu","TA Chulu",129,50962.30001,1,"Pediatrics",89251.083792
"19",19,50913.2028400727,14.2528548996316,10.5945000049822,0.00269461664890865,0.000069940531892885,24.2470295104472,0.0000209549770857561,48.0971699272189,0.00451252682848147,0.0000908955089786411,"Malawi","Kasungu","TA Chulu",129,50962.30001,1,"Pediatrics",89251.083792
"20",20,50905.3774874213,16.2257021349759,12.0904059883796,0.00314111480467997,0.0000833697289974737,28.6031642350179,0.0000257357624643834,55.9225225786695,0.00532322463391711,0.000109105491461857,"Malawi","Kasungu","TA Chulu",129,50962.30001,1,"Pediatrics",89251.083792
"21",21,50896.4529166951,18.4848172853425,13.7864782287533,0.00364247927417628,0.000098854654566452,33.5720250378628,0.0000314189983196908,64.8470933048857,0.00624795233189913,0.000130273652886143,"Malawi","Kasungu","TA Chulu",129,50962.30001,1,"Pediatrics",89251.083792
"22",22,50886.2801564663,21.0630607786735,15.7155313724037,0.00420685651262102,0.000116627446371431,39.2368997584199,0.0000381402342166964,75.0198535336904,0.00730221012438356,0.000154767680588127,"Malawi","Kasungu","TA Chulu",129,50962.30001,1,"Pediatrics",89251.083792
"23",23,50874.6874179606,24.0017723151282,17.9118925198989,0.00484368049792395,0.000136959495582728,45.6939005136447,0.000046050722962252,86.6125920393882,0.00850388486882354,0.00018301021854498,"Malawi","Kasungu","TA Chulu",129,50962.30001,1,"Pediatrics",89251.083792
"24",24,50861.4783670566,27.3495297886848,20.4133691338201,0.00556369771599137,0.000160166884161206,53.0529648362201,0.0000553200490953991,99.8216429433743,0.00987343638112347,0.000215486933256605,"Malawi","Kasungu","TA Chulu",129,50962.30001,1,"Pediatrics",89251.083792
"25",25,50846.4293819508,31.1621364047885,23.2624268953749,0.00637908978097531,0.000186615967160972,61.4394329041109,0.0000661390917306883,114.870628049114,0.0114341909588085,0.00025275505889166,"Malawi","Kasungu","TA Chulu",129,50962.30001,1,"Pediatrics",89251.083792
"26",26,50829.286110663,35.5031764260415,26.5070936405134,0.00730365133708056,0.000216729575544064,70.9960301661085,0.0000787233752409926,132.013899336951,0.0132127103527817,0.000295452950785057,"Malawi","Kasungu","TA Chulu",129,50962.30001,1,"Pediatrics",89251.083792
"27",27,50809.7595407732,40.4448363649603,30.2017957293229,0.0083530009270374,0.00025099392075731,81.8851398207953,0.0000933167670300462,151.540469226693,0.0152392146827845,0.000344310687787357,"Malawi","Kasungu","TA Chulu",129,50962.30001,1,"Pediatrics",89251.083792
"28",28,50787.5214404506,46.0689318380925,34.4082401645253,0.00954482891920032,0.000289966612240212,94.291452555466,0.000110195719923817,173.778569549335,0.0175480755624809,0.000400162332164029,"Malawi","Kasungu","TA Chulu",129,50962.30001,1,"Pediatrics",89251.083792
"29",29,50762.1992921532,52.4680733110923,39.1963512393059,0.0108991745527417,0.000334285668928402,108.424930162152,0.00012967398533716,199.100717846757,0.020178367638053,0.000463959654265561,"Malawi","Kasungu","TA Chulu",129,50962.30001,1,"Pediatrics",89251.083792
"30",30,50733.3705500951,59.7469740921882,44.6453195987767,0.0124387404931277,0.000384679904827711,124.524190685465,0.000152107999261232,227.929459904827,0.0231744985749065,0.000536787904088943,"Malawi","Kasungu","TA Chulu",129,50962.30001,1,"Pediatrics",89251.083792
"31",31,50700.5564474373,68.0238409397684,50.8447212817087,0.0141892329459938,0.000441980314171869,142.860191225173,0.000177902760452992,260.743562562671,0.026586894438491,0.000619883074624862,"Malawi","Kasungu","TA Chulu",129,50962.30001,1,"Pediatrics",89251.083792
"32",32,50663.2145288566,77.4320286673536,57.895847338906,0.016179773114205,0.000507134021156852,163.740710710937,0.000207519020729702,298.085481143353,0.030472833951936,0.000714653041886555,"Malawi","Kasungu","TA Chulu",129,50962.30001,1,"Pediatrics",89251.083792
"33",33,50620.7313415557,88.1216195517533,65.912978307588,0.0184433021610572,0.000581218269882592,187.514804583958,0.00024148049830398,340.568668444228,0.0348972775247887,0.000822698768186572,"Malawi","Kasungu","TA Chulu",129,50962.30001,1,"Pediatrics",89251.083792
"34",34,50572.4135966468,100.261259969893,75.024938707725,0.0210170722596306,0.000665457639614088,214.578251762856,0.00028038279479937,388.886413353168,0.0399338809478998,0.000945840434413458,"Malawi","Kasungu","TA Chulu",129,50962.30001,1,"Pediatrics",89251.083792
"35",35,50517.478806053,114.040037932798,85.3767055080246,0.0239431704134288,0.000761242778570742,245.379431189738,0.000324903152421533,443.821203946905,0.0456660890332743,0.00108614593099228,"Malawi","Kasungu","TA Chulu",129,50962.30001,1,"Pediatrics",89251.083792
"36",36,50455.0450884167,129.669474717468,97.1310814560662,0.0272690954161692,0.000870151310206312,280.425850351538,0.000375811448348548,506.254921583247,0.0521883505872664,0.00124596275855486,"Malawi","Kasungu","TA Chulu",129,50962.30001,1,"Pediatrics",89251.083792
"37",37,50384.1201894276,147.385486210381,110.47050776147,0.0310483830716852,0.000993971200691953,320.291350263567,0.000433982609371008,577.179820572299,0.0596074592729444,0.00142795381006296,"Malawi","Kasungu","TA Chulu",129,50962.30001,1,"Pediatrics",89251.083792
"38",38,50303.5898092582,167.450281581053,125.598944598962,0.0353412784078297,0.00113472665295653,365.623998146136,0.000500410549218112,657.710200741761,0.0680440224513226,0.00163513720217465,"Malawi","Kasungu","TA Chulu",129,50962.30001,1,"Pediatrics",89251.083792
"39",39,50212.2052620519,190.154251785686,142.743677082101,0.0402154616824478,0.00129470660779828,417.154732688108,0.00057622381200638,749.094747947998,0.077634070078541,0.00187093041980466,"Malawi","Kasungu","TA Chulu",129,50962.30001,1,"Pediatrics",89251.083792
"40",40,50108.5707210385,215.817548471289,162.157128439175,0.0457468109872527,0.0014764961542239,475.706726040669,0.000662703145588578,852.729288961421,0.0885307969835022,0.00213919929981248,"Malawi","Kasungu","TA Chulu",129,50962.30001,1,"Pediatrics",89251.083792
"41",41,49991.1306213645,244.791138788402,184.118589956783,0.0520201707985927,0.00168301015739805,542.205195408573,0.000761300743206385,970.169388635457,0.100906388810681,0.00244431090060443,"Malawi","Kasungu","TA Chulu",129,50962.30001,1,"Pediatrics",89251.083792
"42",42,49858.1565452085,277.457537235173,208.935620213026,0.0591301869992668,0.00191753124439322,617.688385962279,0.000873662702741651,1103.14346479143,0.114954065941964,0.00279119394713487,"Malawi","Kasungu","TA Chulu",129,50962.30001,1,"Pediatrics",89251.083792
"43",43,49707.7358872736,314.230530593267,236.94496367639,0.0671820657614977,0.00218374792901617,703.318260990525,0.00100165242922668,1253.5641227263,0.130890072926355,0.00318540035824285,"Malawi","Kasungu","TA Chulu",129,50962.30001,1,"Pediatrics",89251.083792
"44",44,49537.7612824972,355.553654068875,268.513126155769,0.0762923264951302,0.00248579707585257,800.392021776843,0.00114737771485345,1423.53872750277,0.148955822309251,0.00363317479070602,"Malawi","Kasungu","TA Chulu",129,50962.30001,1,"Pediatrics",89251.083792
"45",45,49345.9224942195,401.897307275516,304.035821276425,0.086589474819026,0.00282830789577277,910.353656225218,0.00131322055314657,1615.37751578043,0.169420043797413,0.00414152844891934,"Malawi","Kasungu","TA Chulu",129,50962.30001,1,"Pediatrics",89251.083792
"46",46,49129.7024218245,453.753706761819,343.936651350223,0.0982144882900398,0.00321644385230251,1034.80429726396,0.00150186732851315,1831.59758817547,0.192580711906353,0.00471831118081565,"Malawi","Kasungu","TA Chulu",129,50962.30001,1,"Pediatrics",89251.083792
"47",47,49059.7508514576,367.040081014955,363.298108085991,0.110704933263794,0.00365496379139089,1172.09489321087,0.00171633345784432,1901.54915854233,0.218130878248499,0.00537129724923522,"Malawi","Kasungu","TA Chulu",129,50962.30001,1,"Pediatrics",89251.083792
"48",48,48989.2701900231,308.305020823894,353.97342553744,0.121924133958499,0.00413964474368081,1310.6233501298,0.00195970702635648,1972.02981997686,0.243911169359244,0.00609935177003729,"Malawi","Kasungu","TA Chulu",129,50962.30001,1,"Pediatrics",89251.083792
"49",49,48922.1444061384,265.473013809189,331.799894539995,0.130695041208569,0.00465574387265242,1442.74511028191,0.0022344453866401,2039.15560386156,0.26849882639442,0.00689018925929253,"Malawi","Kasungu","TA Chulu",129,50962.30001,1,"Pediatrics",89251.083792
"50",50,48859.997372457,232.159482838418,304.767652826775,0.136745975672256,0.00518538979388474,1565.23102855581,0.00254195643584817,2101.30263754291,0.291292900266914,0.00772734622973291,"Malawi","Kasungu","TA Chulu",129,50962.30001,1,"Pediatrics",89251.083792
"51",51,48803.3260070242,204.933034827871,276.8293973045,0.140221174619811,0.00571159150533653,1677.06275553172,0.00288254552169229,2157.97400297574,0.312103915160387,0.00859413702702882,"Malawi","Kasungu","TA Chulu",129,50962.30001,1,"Pediatrics",89251.083792
"52",52,48752.0812023354,181.900451718748,249.867702061064,0.141435051792333,0.00621986710260625,1778.299743436,0.0032555298041838,2209.21880766452,0.330942989928134,0.00947539690679005,"Malawi","Kasungu","TA Chulu",129,50962.30001,1,"Pediatrics",89251.083792
"53",53,48705.9638660653,161.975130502825,224.710070177244,0.140751535182852,0.00669870935044361,1869.49983359642,0.0036594136791907,2255.33614393471,0.347913995775538,0.0103581230296343,"Malawi","Kasungu","TA Chulu",129,50962.30001,1,"Pediatrics",89251.083792
"54",54,48664.5745010302,144.497991115054,201.652624634603,0.138527148613554,0.00713950916360104,1951.4251344882,0.00409207410596414,2296.72550896974,0.363158814004858,0.0112315832695652,"Malawi","Kasungu","TA Chulu",129,50962.30001,1,"Pediatrics",89251.083792
"55",55,48627.4873566214,129.040895820837,180.729294564722,0.135086402493876,0.00753624837884692,2024.89528940925,0.00455093283276145,2333.81265337852,0.376830026726043,0.0120871812116084,"Malawi","Kasungu","TA Chulu",129,50962.30001,1,"Pediatrics",89251.083792
"56",56,48594.2861634049,115.303887899602,161.850230079054,0.13071316099635,0.00788511703604545,2090.71609723184,0.00503310654411635,2367.01384659508,0.389077632599586,0.0129182235801618,"Malawi","Kasungu","TA Chulu",129,50962.30001,1,"Pediatrics",89251.083792
"57",57,48564.580129042,103.061401095869,144.87207841553,0.125649787380031,0.00818412805123095,2149.64703199845,0.00553553270542692,2396.71988095799,0.400043002513188,0.0137196607566579,"Malawi","Kasungu","TA Chulu",129,50962.30001,1,"Pediatrics",89251.083792
