"","time","S","E","I","H","C","R","D","inci","hosp","crits","lvl2","lvl3","lvl4","ID","POP","start","age","tot_pop"
"1",1,67390.12036,0,1,0,0,0,0,0,0,0,"Malawi","Mulanje","TA Mabuka",171,67391.12036,1,"Adults",194761.28972
"2",2,67389.3829024798,0.607729601526797,0.794513146678405,0.00796303260175129,0.0000739554071970439,0.327177455536377,0.000000328446877653858,0.737457520197406,0.00849141254517522,0.0000755548261086967,"Malawi","Mulanje","TA Mabuka",171,67391.12036,1,"Adults",194761.28972
"3",3,67388.7181518069,0.965690391749888,0.799134351792282,0.014223222271439,0.000263285971415757,0.622894555266312,0.00000238606605172879,1.40220819311739,0.0161457258808867,0.00027490526033958,"Malawi","Mulanje","TA Mabuka",171,67391.12036,1,"Adults",194761.28972
"4",4,67388.0035632266,1.25289764230109,0.901689389653286,0.0202965682921028,0.0005465878726867,0.941359099023517,0.00000748631579485735,2.11679677345848,0.0243739851365732,0.000583043555098511,"Malawi","Mulanje","TA Mabuka",171,67391.12036,1,"Adults",194761.28972
"5",5,67387.1760980414,1.54340322959374,1.06250874335749,0.0268836776536179,0.000921736338077997,1.31052776347789,0.0000168082702417673,2.94426195869106,0.0339020914597718,0.00100358660710441,"Malawi","Mulanje","TA Mabuka",171,67391.12036,1,"Adults",194761.28972
"6",6,67386.1923677616,1.87193242676743,1.27053026244054,0.03439285435456,0.00139586782675367,1.74970925780469,0.0000315692762174382,3.9279922384702,0.0452297132500442,0.00154959891949548,"Malawi","Mulanje","TA Mabuka",171,67391.12036,1,"Adults",194761.28972
"7",7,67385.0126400422,2.25934972277799,1.52655690340538,0.0431460016535927,0.00198182491732824,2.27663238817342,0.0000531168881525802,5.10771995781586,0.0588144571750489,0.00224048517936585,"Malawi","Mulanje","TA Mabuka",171,67391.12036,1,"Adults",194761.28972
"8",8,67383.5938886954,2.72271577369191,1.83698998189369,0.0534634265837502,0.00269715788204798,2.91052197059981,0.0000829940308925897,6.52647130468211,0.0751519094832064,0.00310130915153819,"Malawi","Mulanje","TA Mabuka",171,67391.12036,1,"Adults",194761.28972
"9",9,67381.8861592149,3.27947069703685,2.21162732461019,0.065703180651848,0.00356419385253809,3.67371238984922,0.000122999164307239,8.23420078516495,0.0948175093093908,0.00416315582445798,"Malawi","Mulanje","TA Mabuka",171,67391.12036,1,"Adults",194761.28972
"10",10,67379.8300208581,3.94941571120001,2.66306997788513,0.0802841883466285,0.00461061547707404,4.59278339817691,0.000175250829722865,10.2903391419155,0.118495922055543,0.00546402438552161,"Malawi","Mulanje","TA Mabuka",171,67391.12036,1,"Adults",194761.28972
"11",11,67377.3541952221,4.75592960017523,3.20679718111018,0.0977048142919119,0.00587035630378981,5.6996205642175,0.000242261898383255,12.766164777997,0.14700839678858,0.00705008516775373,"Malawi","Mulanje","TA Mabuka",171,67391.12036,1,"Adults",194761.28972
"12",12,67374.372978516,5.72697536296495,3.86156276219227,0.11856154221373,0.00738475945840052,7.03257003032788,0.000327026906544014,15.7473814840638,0.181342522423735,0.00897726361822705,"Malawi","Mulanje","TA Mabuka",171,67391.12036,1,"Adults",194761.28972
"13",13,67370.7832394138,6.89614115280679,4.64998739369965,0.143570091922843,0.0092040099735024,8.63778481173868,0.000433126109310541,19.3371205862508,0.222686905016694,0.0113131793323658,"Malawi","Mulanje","TA Mabuka",171,67391.12036,1,"Adults",194761.28972
"14",14,67366.4608611868,8.30381914310247,5.59931410595791,0.173590174653759,0.0113888717912596,10.57082166825,0.000564849463003715,23.6594988132184,0.272472292760734,0.0141394868064438,"Malawi","Mulanje","TA Mabuka",171,67391.12036,1,"Adults",194761.28972
"15",15,67361.2564550077,9.99860470548043,6.74233817589573,0.209655216847459,0.0140128007817102,12.8985667472919,0.000727346042054753,28.8639049923393,0.332421165202957,0.0175547160627688,"Malawi","Mulanje","TA Mabuka",171,67391.12036,1,"Adults",194761.28972
"16",16,67354.9902104613,12.0389511114218,8.11853840275012,0.253008162451524,0.0171645089623049,15.7015605489778,0.000926804217800488,35.1301495387813,0.404607603974987,0.0216777142755607,"Malawi","Mulanje","TA Mabuka",171,67391.12036,1,"Adults",194761.28972
"17",17,67348.6192315937,13.5122439087458,9.60729732216233,0.304594023930979,0.0209484392208407,19.0548740592287,0.00117065310470858,41.5011284063933,0.490960023954881,0.0266491014650079,"Malawi","Mulanje","TA Mabuka",171,67391.12036,1,"Adults",194761.28972
"18",18,67341.1613798614,15.4188022625021,11.1676969522875,0.363983191656906,0.0254656248488248,22.9815644342939,0.00146767309032465,48.9589801386795,0.592054391128096,0.0326126682719717,"Malawi","Mulanje","TA Mabuka",171,67391.12036,1,"Adults",194761.28972
"19",19,67332.5249290244,17.6983667373875,12.9024376972568,0.431442025487698,0.0308078002840715,27.5305488505493,0.00182786472024374,57.5954309756856,0.709139163514018,0.0397088482172529,"Malawi","Mulanje","TA Mabuka",171,67391.12036,1,"Adults",194761.28972
"20",20,67322.5610365475,20.3565938793382,14.874786777001,0.507931329056165,0.0370725070808076,32.7806765297199,0.00226243042557945,67.5593234526217,0.844238784237757,0.0480897346910027,"Malawi","Mulanje","TA Mabuka",171,67391.12036,1,"Adults",194761.28972
"21",21,67311.0810793827,23.4301239002277,17.1354235805449,0.594807046816589,0.0443717277227609,38.8317704513015,0.00278391076012265,79.0392806173735,0.999919397253855,0.0579283781920839,"Malawi","Mulanje","TA Mabuka",171,67391.12036,1,"Adults",194761.28972
"22",22,67297.8611514838,26.9731617073253,19.7337320282227,0.693718419706563,0.0528367935168481,45.80235316401,0.00340640356855039,92.2592085163499,1.17922878931434,0.0694247614926095,"Malawi","Mulanje","TA Mabuka",171,67391.12036,1,"Adults",194761.28972
