"","time","S","E","I","H","C","R","D","inci","hosp","crits","lvl2","lvl3","lvl4","ID","POP","start","age","tot_pop"
"1",1,89545.48448,0,1,0,0,0,0,0,0,0,"Malawi","Zomba","TA Mwambo",202,89546.48448,1,"Pediatrics",155523.52715
"2",2,89544.7470186176,0.607732850670591,0.794513688679821,0.0000576183168709216,0.000000187113910572353,0.335157033595972,0.00000000404667522800573,0.737461382423841,0.0000614415285869288,0.000000191160585800359,"Malawi","Zomba","TA Mwambo",202,89546.48448,1,"Pediatrics",155523.52715
"3",3,89544.0822618596,0.965697733619236,0.799136416400002,0.000102915400543548,0.000000666137690076349,0.63728037946614,0.0000000293978627875641,1.40221814042147,0.000116826111600826,0.000000695535552863913,"Malawi","Zomba","TA Mwambo",202,89546.48448,1,"Pediatrics",155523.52715
"4",4,89543.3676632643,1.25291108687556,0.901694105015979,0.000146860662912593,0.00000138291830922643,0.962063207978671,0.0000000922362382635373,2.11681673568767,0.000176363753862393,0.00000147515454748997,"Malawi","Zomba","TA Mwambo",202,89546.48448,1,"Pediatrics",155523.52715
"5",5,89542.5401816893,1.54342619762224,1.06251775041299,0.000194523577814814,0.00000233208083995431,1.33815729992208,0.000000207088825990148,2.94429831070479,0.000245306971133703,0.00000253916966594446,"Malawi","Zomba","TA Mwambo",202,89546.48448,1,"Pediatrics",155523.52715
"6",6,89541.5564251049,1.87197022155997,1.27054607329316,0.000248858632420502,0.00000353168261326745,1.78528582097567,0.000000388954267652473,3.9280548950981,0.0003272713700389,0.00000392063688091992,"Malawi","Zomba","TA Mwambo",202,89546.48448,1,"Pediatrics",155523.52715
"7",7,89540.376655937,2.25941034998494,1.52658335325449,0.000312195201063961,0.00000501421872110506,2.32151249592313,0.000000654435557886732,5.10782406301791,0.000425568286643797,0.00000566865427899179,"Malawi","Zomba","TA Mwambo",202,89546.48448,1,"Pediatrics",155523.52715
"8",8,89538.9578402436,2.72281120074701,1.83703286991562,0.000386851196145027,0.00000682409630363369,2.9664009878678,0.00000102254295074192,6.52663975636583,0.000543783981232539,0.0000078466392543756,"Malawi","Zomba","TA Mwambo",202,89546.48448,1,"Pediatrics",155523.52715
"9",9,89537.2500120389,3.27961871866717,2.21169534986653,0.000475417768104343,0.00000901781012779708,3.74266794158423,0.00000151543531569809,8.23446796113148,0.000686082676974247,0.0000105332454434952,"Malawi","Zomba","TA Mwambo",202,89546.48448,1,"Pediatrics",155523.52715
"10",10,89535.1937236378,3.94964267943859,2.66317611025314,0.000580926717338865,0.0000116654074924808,4.67734282113788,0.00000215921552355272,10.29075636217,0.000857419177659535,0.0000138246230160335,"Malawi","Zomba","TA Mwambo",202,89546.48448,1,"Pediatrics",155523.52715
