"","time","S","E","I","H","C","R","D","inci","hosp","crits","lvl2","lvl3","lvl4","ID","POP","start","age","tot_pop"
"1",1,10230.20495,0,1,0,0,0,0,0,0,0,"Malawi","Mzimba","TA Mzikubola",207,10231.20495,1,"Elderly",102128.21308
"2",2,10211.3884821529,16.2395478975026,2.97760428410586,0.0647487320126296,0.00092013262608229,0.533636324327047,0.0000104765232719595,18.8164678470975,0.0680104531924089,0.000937710007266087,"Malawi","Mzimba","TA Mzikubola",207,10231.20495,1,"Elderly",102128.21308
"3",3,10114.2339512842,96.0503083552788,17.2092660849533,0.394932544828269,0.00732545739554488,3.30903608589899,0.000130187462626317,115.970998715817,0.421173117118349,0.00754388431032671,"Malawi","Mzimba","TA Mzikubola",207,10231.20495,1,"Elderly",102128.21308
"4",4,9569.76248938509,540.925651234472,98.7915934650073,2.30354190913392,0.0450023514112301,19.3757628300711,0.000908824813092741,660.442460614908,2.46538154297309,0.0465271664433106,"Malawi","Mzimba","TA Mzikubola",207,10231.20495,1,"Elderly",102128.21308
"5",5,7081.10390529567,2519.82658389526,510.50413308729,12.6630058923303,0.257761009733624,106.844084493734,0.00547632598183043,3149.10104470433,13.5915590671485,0.266949121740879,"Malawi","Mzimba","TA Mzikubola",207,10231.20495,1,"Elderly",102128.21308
"6",6,2011.81989478373,5922.87676963711,1767.08345570855,55.418401247426,1.28995524972492,472.686682525306,0.0297908481496554,8218.38505521627,60.0792281667348,1.3399379663306,"Malawi","Mzimba","TA Mzikubola",207,10231.20495,1,"Elderly",102128.21308
"7",7,104.238798284514,5511.55478762839,3122.35739500545,152.2876099861,4.70855221776825,1335.92650960819,0.131297269584514,10125.9661517155,169.432042119423,4.9288411529397,"Malawi","Mzimba","TA Mzikubola",207,10231.20495,1,"Elderly",102128.21308
"8",8,1.82121604280953,3828.48835769513,3590.32826221665,275.133935648747,11.8770191178491,2523.12832550588,0.427833772929669,10228.3837339572,318.943678867355,12.594833331102,"Malawi","Mzimba","TA Mzikubola",207,10231.20495,1,"Elderly",102128.21308
"9",9,0.0273773500065443,2607.43290689595,3446.71813433706,388.506678012074,22.7975328015812,3764.65920235481,1.06311824851557,10230.17757265,474.009747712134,24.5812194514859,"Malawi","Mzimba","TA Mzikubola",207,10231.20495,1,"Elderly",102128.21308
"10",10,0.000587955848191185,1774.93189695762,3028.88797648732,476.056890114616,36.5763574784262,4912.58933683354,2.16190417261685,10230.2043620442,615.900601259752,40.2035735632353,"Malawi","Mzimba","TA Mzikubola",207,10231.20495,1,"Elderly",102128.21308
"11",11,0.0000220277256497118,1208.21853905399,2526.5011058979,533.948854305721,52.048018561822,5906.67926116276,3.80914899007695,10230.2049279723,737.222358263415,58.4389616300883,"Malawi","Mzimba","TA Mzikubola",207,10231.20495,1,"Elderly",102128.21308
"12",12,0.00000146308345597768,822.4496150354,2036.14730372213,564.458093114166,68.105531789396,6733.99758638548,6.04681849034392,10230.2049485369,836.644930524458,78.2508090722223,"Malawi","Mzimba","TA Mzikubola",207,10231.20495,1,"Elderly",102128.21308
"13",13,0.000000200547840313095,559.851050977591,1601.35944325608,572.339851975033,83.8394339760584,7404.93608009527,8.87908951940917,10230.2049497995,915.784471836573,98.7366605650972,"Malawi","Mzimba","TA Mzikubola",207,10231.20495,1,"Elderly",102128.21308
"14",14,-0.000000000979875110854189,381.097999295288,1236.64010117236,562.906868456512,98.5747235721543,7939.7046519889,12.2806055157569,10230.204950001,977.457820189876,119.178971633728,"Malawi","Mzimba","TA Mzikubola",207,10231.20495,1,"Elderly",102128.21308
"15",15,0.00000000326676225830913,259.418229110459,941.572222913776,541.093826552555,111.857432266075,8361.05816463258,16.2050745212856,10230.2049499967,1024.75042084982,139.046105891692,"Malawi","Mzimba","TA Mzikubola",207,10231.20495,1,"Elderly",102128.21308
"16",16,-0.00000000136686197824858,176.589282241058,708.858660437303,511.074556126176,123.420199382168,8690.66936382336,20.5928879912896,10230.2049500014,1060.55824350182,157.970692184199,"Malawi","Mzimba","TA Mzikubola",207,10231.20495,1,"Elderly",102128.21308
"17",17,0.000000000708607558885939,120.206587338504,528.762055880619,476.171109423403,133.142266999108,8947.54559773862,25.3773326190275,10230.2049499993,1087.39395838937,175.72004182891,"Malawi","Mzimba","TA Mzikubola",207,10231.20495,1,"Elderly",102128.21308
"18",18,0.000000000927275545905716,81.8261527401113,391.406442479164,438.907435625369,141.011598625803,9147.56398842464,30.4893321039795,10230.2049499991,1107.33651780327,192.166222971978,"Malawi","Mzimba","TA Mzikubola",207,10231.20495,1,"Elderly",102128.21308
"19",19,0.000000000279584545773362,55.7000352545814,287.858398159086,401.123176977254,147.092398773008,9303.57006784535,35.8608729904335,10230.2049499997,1122.05196580444,207.259327989279,"Malawi","Mzimba","TA Mzikubola",207,10231.20495,1,"Elderly",102128.21308
"20",20,0.000000000207478496514874,37.9157008588577,210.531737570314,364.102875169631,151.498929481415,9425.72837001599,41.4273369035764,10230.2049499998,1132.84517920593,221.005203011371,"Malawi","Mzimba","TA Mzikubola",207,10231.20495,1,"Elderly",102128.21308
"21",21,0.000000000185887346704116,25.8096852681702,153.238364858182,328.698353878443,154.375326445576,9521.95424676206,47.1289727873715,10230.2049499998,1140.72063469882,233.447734149922,"Malawi","Mzimba","TA Mzikubola",207,10231.20495,1,"Elderly",102128.21308
"22",22,0.000000000155982671105222,17.5689602483724,111.068555687832,295.434804148151,155.880637423011,9598.34027661788,52.9117158745881,10230.2049499998,1146.44123149508,244.655259964606,"Malawi","Mzimba","TA Mzikubola",207,10231.20495,1,"Elderly",102128.21308
"23",23,0.000000000141534635666718,11.9594041391289,80.2055091240876,264.597828303734,156.178128816977,9659.53654753791,58.7275320780164,10230.2049499999,1150.58014923032,254.710455861188,"Malawi","Mzimba","TA Mzikubola",207,10231.20495,1,"Elderly",102128.21308
"24",24,0.000000000132195212099568,8.14091238684029,57.7279959008714,236.302287749873,155.427943639165,9709.07138077118,64.5344295519302,10230.2049499999,1153.564224766,263.703011451911,"Malawi","Mzimba","TA Mzikubola",207,10231.20495,1,"Elderly",102128.21308
"25",25,0.000000000125821568129247,5.54161764182677,41.4275500401714,210.545203726552,153.782316979658,9749.61201533184,70.2962462798208,10230.2049499999,1155.70897084529,271.724489642767,"Malawi","Mzimba","TA Mzikubola",207,10231.20495,1,"Elderly",102128.21308
"26",26,0.000000000121448017259148,3.77224604070699,29.6511072494021,187.245459712299,151.38268286159,9783.17115749299,75.982296642879,10230.2049499999,1157.246152382,278.864840505142,"Malawi","Mzimba","TA Mzikubola",207,10231.20495,1,"Elderly",102128.21308
"27",27,0.000000000118415556787503,2.56781359134006,21.1714934375097,166.272962116861,148.358146948554,9811.26759683807,81.5669370675352,10230.2049499999,1158.34509975296,285.210145232021,"Malawi","Mzimba","TA Mzikubola",207,10231.20495,1,"Elderly",102128.21308
"28",28,0.000000000116298997269825,1.74794195329118,15.0839812803772,147.469619267471,144.824917168074,9835.04939660128,87.0290937293818,10230.2049499999,1159.12895095081,290.841254348958,"Malawi","Mzimba","TA Mzikubola",207,10231.20495,1,"Elderly",102128.21308
