"","time","S","E","I","H","C","R","D","inci","hosp","crits","lvl2","lvl3","lvl4","ID","POP","start","age","tot_pop"
"1",1,45806.51556,0,1,0,0,0,0,0,0,0,"Malawi","Dedza","TA Tambala",232,45807.51556,1,"Pediatrics",81038.062288
"2",2,45805.778109835,0.607723413903617,0.794512114497103,0.0000582900586087796,0.000000189295435691853,0.335156153177932,0.00000000409385515007391,0.737450165026552,0.0000621578444256181,0.000000193389290841927,"Malawi","Dedza","TA Tambala",232,45807.51556,1,"Pediatrics",81038.062288
"3",3,45805.1133707503,0.965676410079332,0.799130419992442,0.000104115029857407,0.00000067390340946361,0.637277600958472,0.0000000297405939242536,1.40218924970411,0.000118187909925165,0.000000703644003387863,"Malawi","Dedza","TA Tambala",232,45807.51556,1,"Pediatrics",81038.062288
"4",4,45804.3988012419,1.25287203898874,0.90168040985378,0.000148572043461539,0.00000139903781896299,0.962056244865329,0.0000000933114732999795,2.1167587581006,0.000178419029306798,0.00000149234929226297,"Malawi","Dedza","TA Tambala",232,45807.51556,1,"Pediatrics",81038.062288
"5",5,45803.5713672682,1.54335949061712,1.0624915907046,0.000196789457938373,0.00000235925830654485,1.33814229222823,0.000000209502657409535,2.94419273176885,0.000248164677217461,0.00000256876096395438,"Malawi","Dedza","TA Tambala",232,45807.51556,1,"Pediatrics",81038.062288
"6",6,45802.5876870804,1.87186045342717,1.27050015319999,0.000251755877446868,0.00000357282849956651,1.78525659075155,0.000000393487210709964,3.92787291957187,0.000331082191652398,0.00000396631571027647,"Malawi","Dedza","TA Tambala",232,45807.51556,1,"Pediatrics",81038.062288
"7",7,45801.4080382904,2.25923427094504,1.52650653447311,0.000315827331551611,0.00000507261588210262,2.32145934216586,0.00000066206092623248,5.10752170959237,0.000430520867718313,0.0000057346768083351,"Malawi","Dedza","TA Tambala",232,45807.51556,1,"Pediatrics",81038.062288
"8",8,45799.9894094741,2.72253405613186,1.836908310608,0.000391347995962819,0.00000690353547353917,2.96630887315574,0.00000103445441957726,6.52615052588145,0.000550107793825148,0.00000793798989311644,"Malawi","Dedza","TA Tambala",232,45807.51556,1,"Pediatrics",81038.062288
"9",9,45798.2818679827,3.27918883221862,2.21149778698095,0.000480938089828135,0.00000912272574163245,3.74251380424759,0.00000153308286506194,8.23369201734559,0.000694054261962023,0.0000106558086066944,"Malawi","Dedza","TA Tambala",232,45807.51556,1,"Pediatrics",81038.062288
"10",10,45796.2260153286,3.94898352696002,2.66286787884452,0.000587663062042275,0.0000118010280907838,4.67709161717814,0.0000021843502652949,10.2895446714231,0.000867370629163849,0.0000139853783560786,"Malawi","Dedza","TA Tambala",232,45807.51556,1,"Pediatrics",81038.062288
"11",11,45793.750620596,4.75527303895888,3.20648587538914,0.000715169333005644,0.0000150252762624967,5.80244727547944,0.00000301957452006026,12.7649394040113,0.00107606634865678,0.000018044850782557,"Malawi","Dedza","TA Tambala",232,45807.51556,1,"Pediatrics",81038.062288
"12",12,45790.7700497219,5.72598542039789,3.86108807501512,0.000867820777392627,0.0000189012585621763,7.1575459845967,0.00000407607543355302,15.7455102781211,0.00132736745730721,0.0000229773339957293,"Malawi","Dedza","TA Tambala",232,45807.51556,1,"Pediatrics",81038.062288
"13",13,45787.1812735418,6.89465776992862,4.64926948974175,0.00105085293956587,0.0000235573789250696,8.78927938970413,0.00000539847085158952,19.3342864581638,0.00162996993509905,0.0000289558497766591,"Malawi","Dedza","TA Tambala",232,45807.51556,1,"Pediatrics",81038.062288
"14",14,45782.8603248443,8.30160775710103,5.59823561663327,0.00127055371100038,0.0000291490953006666,10.7540850389658,0.00000704022074729366,23.6552351557271,0.00199434003195958,0.0000361893160479602,"Malawi","Dedza","TA Tambala",232,45807.51556,1,"Pediatrics",81038.062288
"15",15,45777.6580331935,9.99532214794772,6.74072696069325,0.00153448014323607,0.0000358643172496213,13.1198982879324,0.00000906548784282152,28.8575268065217,0.00243307624508493,0.0000449298050924428,"Malawi","Dedza","TA Tambala",232,45807.51556,1,"Pediatrics",81038.062288
"16",16,45771.394909684,12.0341069075152,8.11613796812201,0.00185171838004586,0.0000439299274913992,15.9684982407327,0.0000115513719862738,35.1206503160495,0.00296134436959932,0.000055481299477673,"Malawi","Dedza","TA Tambala",232,45807.51556,1,"Pediatrics",81038.062288
"17",17,45765.027735765,13.5057457308348,9.60386210188539,0.00222917394935216,0.0000536130786566295,19.3759190248094,0.0000145904505171146,41.4878242350081,0.00359324453282704,0.0000682035291737441,"Malawi","Dedza","TA Tambala",232,45807.51556,1,"Pediatrics",81038.062288
"18",18,45757.5752275498,15.4098979084164,11.1628948909772,0.00266368954182742,0.0000651720571620853,23.3647924971343,0.0000182921044883386,48.9403324502314,0.00433297277483589,0.0000834641616504238,"Malawi","Dedza","TA Tambala",232,45807.51556,1,"Pediatrics",81038.062288
"19",19,45748.9461313997,17.6861386250028,12.8957884617349,0.00315719417896985,0.0000788413035051798,27.9842426971539,0.000022780909703943,57.5694286002837,0.00518963844315231,0.000101622213209123,"Malawi","Dedza","TA Tambala",232,45807.51556,1,"Pediatrics",81038.062288
"20",20,45738.9922976924,20.3398366418595,14.8656239603776,0.00371669231013025,0.0000948699890295415,33.3139619466772,0.0000281963963050532,67.5232623076098,0.00617802001682214,0.000123066385334595,"Malawi","Dedza","TA Tambala",232,45807.51556,1,"Pediatrics",81038.062288
"21",21,45727.5260442983,23.4072293223276,17.1228423982268,0.00435207015379629,0.000113544071432472,39.4549436722558,0.0000346947368329782,78.9895157017723,0.00731684631910529,0.00014823880826545,"Malawi","Dedza","TA Tambala",232,45807.51556,1,"Pediatrics",81038.062288
"22",22,45714.3247305391,26.9419730364226,19.7165162927136,0.00507534692903863,0.000135198798847268,46.5270871345695,0.000042451466381428,92.1908294609,0.00862835223361255,0.000177650265228696,"Malawi","Dedza","TA Tambala",232,45807.51556,1,"Pediatrics",81038.062288
"23",23,45699.1298320613,31.0104574438722,22.6993981325924,0.00590052641420439,0.000160227977179673,54.6697599429986,0.0000516648513357737,107.385727938706,0.0101383829845133,0.000211892828515446,"Malawi","Dedza","TA Tambala",232,45807.51556,1,"Pediatrics",81038.062288
