"","time","S","E","I","H","C","R","D","inci","hosp","crits","lvl2","lvl3","lvl4","ID","POP","start","age","tot_pop"
"1",1,41506.19818,0,1,0,0,0,0,0,0,0,"Malawi","Dowa","TA Mponela",86,41507.19818,1,"Pediatrics",78561.853563
"2",2,41505.490410762,0.583155003900998,0.790021498767078,0.0000619014255876949,0.000000201215630084642,0.334530628355238,0.00000000435331729875254,0.707769238017849,0.0000660128045353628,0.000000205568947383394,"Malawi","Dowa","TA Mponela",86,41507.19818,1,"Pediatrics",78561.853563
"3",3,41504.8586003668,0.921399242382639,0.784899087879023,0.000110020310597961,0.000000714506525343093,0.633170536580736,0.0000000315763501434176,1.33957963323587,0.000124941968107691,0.00000074608287548651,"Malawi","Dowa","TA Mponela",86,41507.19818,1,"Pediatrics",78561.853563
"4",4,41504.1882764547,1.18562358867687,0.874097837596739,0.000155931912722827,0.00000147777658176828,0.95002461048831,0.0000000988418224754675,2.00990354529304,0.000187464280807702,0.00000157661840424375,"Malawi","Dowa","TA Mponela",86,41507.19818,1,"Pediatrics",78561.853563
"5",5,41503.4219111874,1.44636915748238,1.01740615549343,0.000204910465965196,0.00000248049442529745,1.3122858873821,0.00000022127127740768,2.77626881258957,0.000258945780019298,0.00000270176570270513,"Malawi","Dowa","TA Mponela",86,41507.19818,1,"Pediatrics",78561.853563
"6",6,41502.5216498118,1.73591310916195,1.20250213633774,0.000259906294714102,0.00000373641163633339,1.73785088580942,0.000000414169197318786,3.67653018818465,0.000342917911387145,0.00000415058083365218,"Malawi","Dowa","TA Mponela",86,41507.19818,1,"Pediatrics",78561.853563
"7",7,41501.4543402354,2.0725665672821,1.42854856828247,0.000323119493156116,0.00000527354494565189,2.24239554180745,0.00000069417390819917,4.74383976458403,0.000442473870233137,0.00000596771885385106,"Malawi","Dowa","TA Mponela",86,41507.19818,1,"Pediatrics",78561.853563
"8",8,41500.1851469939,2.47030227535545,1.69993162816856,0.000396643525627846,0.00000713101327926203,2.84239424797628,0.00000108002860625434,6.0130330060678,0.000560864363338173,0.00000821104188551638,"Malawi","Dowa","TA Mponela",86,41507.19818,1,"Pediatrics",78561.853563
"9",9,41498.6743961016,2.94271071945938,2.02396723777793,0.000482752903016352,0.00000935870412378482,3.55661223627414,0.00000159325584763599,7.52378389837444,0.000701792102444768,0.0000109519599714208,"Malawi","Dowa","TA Mponela",86,41507.19818,1,"Pediatrics",78561.853563
"10",10,41496.8755541659,3.50478466893928,2.41018048077787,0.000584058879276541,0.0000120182307790136,4.40706234836319,0.00000225885522682017,9.32262583404562,0.000869600599393217,0.0000142770860058338,"Malawi","Dowa","TA Mponela",86,41507.19818,1,"Pediatrics",78561.853563
"11",11,41494.7334950478,4.17390977752248,2.87022668494763,0.000703622252238536,0.0000151846156186182,5.41982657670387,0.00000310608542795148,11.4646849521273,0.00106943627316993,0.0000182907010465697,"Malawi","Dowa","TA Mponela",86,41507.19818,1,"Pediatrics",78561.853563
"12",12,41492.182699443,4.97059826389013,3.41810385005107,0.000845059063948405,0.0000189485263363897,6.62591026607071,0.00000416937043424012,14.0154805569726,0.001307416999361,0.0000231178967706298,"Malawi","Dowa","TA Mponela",86,41507.19818,1,"Pediatrics",78561.853563
"13",13,41489.1452177375,5.91919026195797,4.07052089046957,0.00101265510514673,0.000023419034463959,8.06220954648473,0.00000548936034081467,17.0529622624122,0.00159082300124221,0.0000289083948047736,"Malawi","Dowa","TA Mponela",86,41507.19818,1,"Pediatrics",78561.853563
"14",14,41485.5282864963,7.04861950353208,4.84738226724716,0.00121149767056629,0.0000287269539026315,9.77264439406738,0.00000711418365176418,20.6698935036547,0.00192832042165421,0.0000358411375543957,"Malawi","Dowa","TA Mponela",86,41507.19818,1,"Pediatrics",78561.853563
"15",15,41481.2215344631,8.39328960182599,5.77237584909552,0.00144762915027377,0.0000350288104433697,11.8094883270154,0.00000910091674724464,24.9766455368144,0.00233022369408606,0.0000441297271906144,"Malawi","Dowa","TA Mponela",86,41507.19818,1,"Pediatrics",78561.853563
