"","time","S","E","I","H","C","R","D","inci","hosp","crits","lvl2","lvl3","lvl4","ID","POP","start","age","tot_pop"
"1",1,16280.7518,0,1,0,0,0,0,0,0,0,"Malawi","Machinga","TA Sitola",104,16281.7518,1,"Adults",52182.19746
"2",2,16279.2269974427,1.26233314839273,0.911264743056513,0.00817908214433114,0.0000744723128765191,0.342950785003195,0.000000326373145081463,1.5248025572828,0.00870892394802758,0.0000760674008499339,"Malawi","Machinga","TA Sitola",104,16281.7518,1,"Adults",52182.19746
"3",3,16277.5063653129,2.30047763129375,1.197403191452,0.0164838305285882,0.000282756508143647,0.730784810942041,0.00000246635154255704,3.24543468707606,0.0185373099644195,0.000294810342054412,"Malawi","Machinga","TA Sitola",104,16281.7518,1,"Adults",52182.19746
"4",4,16275.0773603891,3.60735076747079,1.75994012790712,0.0276436078121739,0.000644715609330939,1.27885218405271,0.00000820802820689222,5.67443961088033,0.0324137457714409,0.000684830818794621,"Malawi","Machinga","TA Sitola",104,16281.7518,1,"Adults",52182.19746
"5",5,16271.4486066918,5.50749151933512,2.65240415142358,0.0439692634892447,0.0012206786169837,2.09808783281288,0.0000198625056030683,9.30319330818341,0.0531479730715354,0.00131775291456854,"Malawi","Machinga","TA Sitola",104,16281.7518,1,"Adults",52182.19746
"6",6,16265.9627756346,8.36348475055773,4.01782530146501,0.0684036083316068,0.00211196573216055,3.33715797428034,0.0000407650283815755,14.7890243653952,0.0845020800658484,0.00231119721761606,"Malawi","Machinga","TA Sitola",104,16281.7518,1,"Adults",52182.19746
"7",7,16257.6512409231,12.6846125621856,6.0917128201487,0.105233408759193,0.00347573593028812,5.2154486682295,0.0000758816259359751,23.1005590768792,0.132026566951402,0.00384659324731225,"Malawi","Machinga","TA Sitola",104,16281.7518,1,"Adults",52182.19746
"8",8,16245.0571207129,19.2283801449923,9.23617579313191,0.160897614598931,0.00555176279708003,8.06354129072654,0.000132680872660789,35.6946792871194,0.204084755420806,0.0062002158560184,"Malawi","Machinga","TA Sitola",104,16281.7518,1,"Adults",52182.19746
"9",9,16225.9830587909,29.1332032900383,14.0000903479116,0.245123911009582,0.00870422728969829,12.3813969942801,0.000222438525404672,54.7687412090547,0.313324857700482,0.00979135416286233,"Malawi","Machinga","TA Sitola",104,16281.7518,1,"Adults",52182.19746
"10",10,16197.1200162784,44.1087571854179,21.2115451998573,0.372611800139207,0.0134852181701512,18.9250221112291,0.000362206763107617,83.6317837215768,0.478872403025858,0.0152554362791757,"Malawi","Machinga","TA Sitola",104,16281.7518,1,"Adults",52182.19746
"11",11,16153.5027126005,66.711142893221,32.1151573024453,0.565540048132308,0.0207304189591098,28.8359389497258,0.000577787022275911,127.249087399506,0.729605386901898,0.0235542454421295,"Malawi","Machinga","TA Sitola",104,16281.7518,1,"Adults",52182.19746
"12",12,16087.7224356256,100.733466883029,48.5722574732959,0.857284806528224,0.0317026748250039,43.8337443218649,0.000908214852346017,193.029364374396,1.1090250713837,0.0361414057993072,"Malawi","Machinga","TA Sitola",104,16281.7518,1,"Adults",52182.19746
"13",13,15988.8211469869,151.738549385614,73.3453306635187,1.29786159766091,0.0483057298965928,66.499193138922,0.00141249751917237,291.930653013131,1.68241610475243,0.0552090485037282,"Malawi","Machinga","TA Sitola",104,16281.7518,1,"Adults",52182.19746
"14",14,15840.8062122491,227.737165438639,110.487141840578,1.96174754682658,0.0733996831380492,100.683953541883,0.00217969980418464,439.945587750869,2.54720938102689,0.0840525600542606,"Malawi","Machinga","TA Sitola",104,16281.7518,1,"Adults",52182.19746
"15",15,15620.8145752156,339.93787386015,165.838009181499,2.95877683380888,0.111259428344311,152.087961553215,0.00334392736706683,659.937224784384,3.8475807879837,0.127602250686051,"Malawi","Machinga","TA Sitola",104,16281.7518,1,"Adults",52182.19746
"16",16,15297.1978186325,503.310045385361,247.583036030788,4.44856146553202,0.168225764415513,229.039006367358,0.00510635403808506,983.553981367493,5.79415709775446,0.193182118934555,"Malawi","Machinga","TA Sitola",104,16281.7518,1,"Adults",52182.19746
"17",17,14902.246047468,674.002535911619,356.448888647993,6.62581364645454,0.253450879757616,342.167296779809,0.00776666639858308,1378.50575253203,8.65560139648719,0.291409015568125,"Malawi","Machinga","TA Sitola",104,16281.7518,1,"Adults",52182.19746
"18",18,14362.3241241898,911.225074294356,496.349934602137,9.65515173425074,0.378601510994145,501.807155130986,0.0117585375122584,1918.42767581024,12.6925590187335,0.436069173555871,"Malawi","Machinga","TA Sitola",104,16281.7518,1,"Adults",52182.19746
"19",19,13649.7464511523,1216.78248193505,678.882479326547,13.7705038804932,0.558020663980083,721.994182321347,0.0176807202532795,2631.00534884768,18.2592461296843,0.644431891932919,"Malawi","Machinga","TA Sitola",104,16281.7518,1,"Adults",52182.19746
