"","time","S","E","I","H","C","R","D","inci","hosp","crits","lvl2","lvl3","lvl4","ID","POP","start","age","tot_pop"
"1",1,29775.72788,0,1,0,0,0,0,0,0,0,"Malawi","Lilongwe","TA Tsabango",106,29776.72788,1,"Adults",73435.912099
"2",2,29774.9904421986,0.60771301285829,0.794510379454086,0.00773901891434054,0.0000711274599224308,0.32740394530377,0.000000317403688031691,0.737437801394097,0.00825253492771435,0.0000726657197188022,"Malawi","Lilongwe","TA Tsabango",106,29776.72788,1,"Adults",73435.912099
"3",3,29774.3257225928,0.965652907919302,0.799123810887505,0.0138230503755369,0.000253217867965973,0.623302114275726,0.00000230583839286508,1.40215740716443,0.0156914686553333,0.000264392843652833,"Malawi","Lilongwe","TA Tsabango",106,29776.72788,1,"Adults",73435.912099
"4",4,29773.6111851423,1.25282900228172,0.901665315524687,0.0197254066265143,0.000525684723461612,0.941942213947202,0.0000072345882462672,2.11669485769183,0.0236881033384644,0.000560746308005717,"Malawi","Lilongwe","TA Tsabango",106,29776.72788,1,"Adults",73435.912099
"5",5,29772.7838036308,1.54328597084989,1.0624627588178,0.0261269345918832,0.000886482675855064,1.31129797917691,0.0000162430526951627,2.94407636916503,0.0329478545386298,0.000965202728184187,"Malawi","Lilongwe","TA Tsabango",106,29776.72788,1,"Adults",73435.912099
"6",6,29771.8002076384,1.87173947776369,1.27044954339952,0.0334243754773702,0.00134247250220061,1.7506859848249,0.000030507587673979,3.92767236155536,0.043956235860512,0.00149032395249149,"Malawi","Lilongwe","TA Tsabango",106,29776.72788,1,"Adults",73435.912099
"7",7,29770.6206915101,2.25904021993914,1.52642187241135,0.0419304597707717,0.00190600143163224,2.27783860598056,0.0000513303339286186,5.10718848986737,0.0571578299411155,0.00215476788266614,"Malawi","Lilongwe","TA Tsabango",106,29776.72788,1,"Adults",73435.912099
"8",8,29769.2022686314,2.72222863570239,1.83677103776022,0.0519563063704794,0.00259394213060338,2.91198124442934,0.0000802021652482799,6.52561136855828,0.0730340521393711,0.00298263253035402,"Malawi","Lilongwe","TA Tsabango",106,29776.72788,1,"Adults",73435.912099
"9",9,29767.4950430786,3.27871510903204,2.2112800673182,0.0638496281448832,0.0034277580933638,3.67544549801115,0.000118860794344131,8.23283692139399,0.0921438082405065,0.00400380301092031,"Malawi","Lilongwe","TA Tsabango",106,29776.72788,1,"Adults",73435.912099
"10",10,29765.4396705567,3.94825720043608,2.66252821524097,0.0780171684021496,0.00443405852338451,4.59480344758952,0.000169353095903001,10.288209443288,0.115151986650369,0.00525480846625414,"Malawi","Lilongwe","TA Tsabango",106,29776.72788,1,"Adults",73435.912099
"11",11,29762.9649999234,4.75416969006067,3.20596269443762,0.0949426847791901,0.00564545704887525,5.70192544347185,0.000234106778632489,12.7628800765768,0.14285596534103,0.00678002813045773,"Malawi","Lilongwe","TA Tsabango",106,29776.72788,1,"Adults",73435.912099
"12",12,29759.9855142297,5.72432194368994,3.86029035990941,0.115205014242104,0.00710168256047561,7.03513075518588,0.000316014667243875,15.7423657702551,0.176214413483474,0.00863321063029568,"Malawi","Lilongwe","TA Tsabango",106,29776.72788,1,"Adults",73435.912099
"13",13,29756.3983558732,6.89216534230087,4.6480631294482,0.139498467000674,0.0088509516240573,8.64052770129019,0.000418535087264947,19.3295241267513,0.216380821998707,0.0108793329012345,"Malawi","Lilongwe","TA Tsabango",106,29776.72788,1,"Adults",73435.912099
