"","time","S","E","I","H","C","R","D","inci","hosp","crits","lvl2","lvl3","lvl4","ID","POP","start","age","tot_pop"
"1",1,29501.90133,0,1,0,0,0,0,0,0,0,"Malawi","Kasungu","Kasungu Boma",13,29502.90133,1,"Pediatrics",56791.390596
"2",2,29501.1935705386,0.583146785671452,0.790020121474007,0.000060522443848744,0.000000196733194262092,0.334531830827138,0.00000000425633988800153,0.707759461405979,0.0000645422345317459,0.000000200989534150093,"Malawi","Kasungu","Kasungu Boma",13,29502.90133,1,"Pediatrics",56791.390596
"3",3,29500.5617751849,0.921380976141043,0.784893902547442,0.000107569194164319,0.000000698589031269517,0.63317163774501,0.000000030872919109743,1.33955481508961,0.000122158433171904,0.00000072946195037926,"Malawi","Kasungu","Kasungu Boma",13,29502.90133,1,"Pediatrics",56791.390596
"4",4,29499.891475499,1.18559073475704,0.874086157719598,0.00015245750020534,0.00000144485317788985,0.95002360951726,0.0000000966398281658045,2.00985450098711,0.000183287360326453,0.00000154149300605565,"Malawi","Kasungu","Kasungu Boma",13,29502.90133,1,"Pediatrics",56791.390596
"5",5,29499.1251490985,1.44631404969691,1.01738418659205,0.000200343921149316,0.00000242522645252755,1.31227967975916,0.000000216341548060048,2.77618090153726,0.000253175281161068,0.0000026415680005876,"Malawi","Kasungu","Kasungu Boma",13,29502.90133,1,"Pediatrics",56791.390596
"6",6,29498.2249489208,1.73582407136578,1.20246419904646,0.000254112791991143,0.00000365315049332208,1.73783463785825,0.000000404941238156231,3.67638107915421,0.000335274626620709,0.00000405809173147831,"Malawi","Kasungu","Kasungu Boma",13,29502.90133,1,"Pediatrics",56791.390596
"7",7,29497.1577339703,2.07242633014245,1.42848617082343,0.000315914798338983,0.00000515601253831823,2.24236177921981,0.00000067870591104424,4.74359602970247,0.000432609167326233,0.00000583471844936247,"Malawi","Kasungu","Kasungu Boma",13,29502.90133,1,"Pediatrics",56791.390596
"8",8,29495.8886848798,2.47008556144387,1.69983219314392,0.000387796179163796,0.00000697205206346487,2.84233154144378,0.00000105596014715984,6.01264512022294,0.00054835642337629,0.00000802801221062471,"Malawi","Kasungu","Kasungu Boma",13,29502.90133,1,"Pediatrics",56791.390596
"9",9,29494.3781509871,2.9423807317705,2.02381228692313,0.000471979910488581,0.00000915003333320735,3.55650330653005,0.00000155774535800864,7.52317901291286,0.000686135484312901,0.000010707778691216,"Malawi","Kasungu","Kasungu Boma",13,29502.90133,1,"Pediatrics",56791.390596
"10",10,29492.5796326,3.50428805456654,2.40994303412461,0.000571017813079435,0.0000117501795441964,4.40688133477162,0.00000220850162736004,9.32169739995702,0.000850191436510563,0.0000139586811715564,"Malawi","Kasungu","Kasungu Boma",13,29502.90133,1,"Pediatrics",56791.390596
