"","time","S","E","I","H","C","R","D","inci","hosp","crits","lvl2","lvl3","lvl4","ID","POP","start","age","tot_pop"
"1",1,11041.4054,0,1,0,0,0,0,0,0,0,"Malawi","Nkhotakota","Nkhotakota Boma",33,11042.4054,1,"Adults",29045.480898
"2",2,11040.668022135,0.60766259080785,0.794501968255448,0.0076825445791613,0.000069809453021025,0.327460638376277,0.000000313572238288566,0.737377865043997,0.00819231418789932,0.0000713192095491061,"Malawi","Nkhotakota","Nkhotakota Boma",33,11042.4054,1,"Adults",29045.480898
"3",3,11040.0033969539,0.965538978706754,0.799091771865414,0.013722032698731,0.000248524402655282,0.623399460428672,0.00000227799730640771,1.40200304609953,0.0155768103666012,0.000259492278265288,"Malawi","Nkhotakota","Nkhotakota Boma",33,11042.4054,1,"Adults",29045.480898
"4",4,11039.2890148954,1.25262038755848,0.901592145115151,0.0195809064711854,0.000515936444560932,0.942068581777285,0.00000714720013657982,2.1163851045668,0.0235146393991349,0.000550348075267134,"Malawi","Nkhotakota","Nkhotakota Boma",33,11042.4054,1,"Adults",29045.480898
"5",5,11038.4618876618,1.54292961572088,1.06232300138855,0.0259348912126363,0.000870032682595621,1.31143875044715,0.000016046732178996,2.94351233818399,0.0327058738553911,0.000947292897957268,"Malawi","Nkhotakota","Nkhotakota Boma",33,11042.4054,1,"Adults",29045.480898
"6",6,11037.4786997176,1.87115314609513,1.27020423579249,0.0331776022175911,0.0013175384277848,1.75081762129529,0.0000301385670476194,3.92670028239533,0.0436321879625413,0.00146264661272967,"Malawi","Nkhotakota","Nkhotakota Boma",33,11042.4054,1,"Adults",29045.480898
"7",7,11036.2998264556,2.25809980426955,1.52601154244422,0.0416191347840596,0.00187055938414323,2.2779217946674,0.0000507088100117864,5.10557354435939,0.0567344653661785,0.00211470713575658,"Malawi","Nkhotakota","Nkhotakota Boma",33,11042.4054,1,"Adults",29045.480898
"8",8,11034.8824013964,2.72074867165318,1.83610578101963,0.0515678027352739,0.00254563615513381,2.91195148218378,0.0000792298154111801,6.52299860356241,0.0724899172471593,0.00292710401621917,"Malawi","Nkhotakota","Nkhotakota Boma",33,11042.4054,1,"Adults",29045.480898
"9",9,11033.1767063658,3.27641994866271,2.21022506754611,0.063367979824251,0.00336380506555514,3.67519941564546,0.000117417484441783,8.22869363422853,0.0914523303170344,0.00392913512989491,"Malawi","Nkhotakota","Nkhotakota Boma",33,11042.4054,1,"Adults",29045.480898
"10",10,11031.1236593171,3.94473880863083,2.66088255376311,0.077422247301538,0.00435113782626633,4.59417864272634,0.000167292674189194,10.2817406829223,0.114280185095279,0.00515660201000841,"Malawi","Nkhotakota","Nkhotakota Boma",33,11042.4054,1,"Adults",29045.480898
"11",11,11028.6524949625,4.74882610794929,3.20342832007365,0.0942090638245252,0.00553957709938451,5.70067071679504,0.000231251764941371,12.7529050375068,0.141762726715443,0.00665298517293093,"Malawi","Nkhotakota","Nkhotakota Boma",33,11042.4054,1,"Adults",29045.480898
"12",12,11025.678262414,5.71626772943817,3.85642689392212,0.114300433052431,0.00696801630423307,7.03286236369421,0.000312149578898633,15.7271375859901,0.174848204243549,0.00847092315291362,"Malawi","Nkhotakota","Nkhotakota Boma",33,11042.4054,1,"Adults",29045.480898
"13",13,11022.0989328694,6.88010130969303,4.6422219747847,0.138381760299502,0.00868363118915208,8.63666505662644,0.000413398034790577,19.3064671306276,0.214676640143592,0.0106740190663678,"Malawi","Nkhotakota","Nkhotakota Boma",33,11042.4054,1,"Adults",29045.480898
"14",14,11017.7920009079,8.27991676947008,5.58765199733756,0.167274985360393,0.0107434895924171,10.567272766833,0.000539083502280827,23.6133990920958,0.262618507869392,0.0133390153991383,"Malawi","Nkhotakota","Nkhotakota Boma",33,11042.4054,1,"Adults",29045.480898
"15",15,11012.6104313406,9.96314065533271,6.72492187380139,0.201966151451093,0.0132165014212067,12.8910293694639,0.000694107899761789,28.7949686593701,0.320321094462699,0.0165584233291457,"Malawi","Nkhotakota","Nkhotakota Boma",33,11042.4054,1,"Adults",29045.480898
"16",16,11006.377853792,11.9865368673652,8.09264368336013,0.243638170963538,0.0161857622973583,15.6876573664746,0.000884357598721628,35.0275462080595,0.389763830723083,0.0204436795961449,"Malawi","Nkhotakota","Nkhotakota Boma",33,11042.4054,1,"Adults",29045.480898
