"","time","S","E","I","H","C","R","D","inci","hosp","crits","lvl2","lvl3","lvl4","ID","POP","start","age","tot_pop"
"1",1,8123.644829,0,1,0,0,0,0,0,0,0,"Malawi","Rumphi","TA Chikulamayembe",117,8124.644829,1,"Elderly",87018.344239
"2",2,8104.83459189893,16.2338448735417,2.97711691202797,0.0644456160487737,0.000908133022375154,0.533911226365991,0.0000103400584720187,18.8102371010653,0.0676921871994064,0.000925481435058175,"Malawi","Rumphi","TA Chikulamayembe",117,8124.644829,1,"Elderly",87018.344239
"3",3,8007.91611607521,95.8313742662101,17.1881235499033,0.392869248102356,0.00722793526113566,3.3089894521138,0.000128473200175603,115.728712924791,0.418980854053383,0.00744348588895716,"Malawi","Rumphi","TA Chikulamayembe",117,8124.644829,1,"Elderly",87018.344239
"4",4,7471.11769027072,533.805431470905,98.0754145669794,2.28430582842932,0.0443316654144399,19.3167590785625,0.000896118995866986,652.527138729286,2.4450946987992,0.0458351619561146,"Malawi","Rumphi","TA Chikulamayembe",117,8124.644829,1,"Elderly",87018.344239
"5",5,5156.29015927922,2358.85792371776,491.987496795985,12.3585760442955,0.251781397946651,104.893515703884,0.00537606091517246,2967.35466972079,13.2734619452934,0.260801281501261,"Malawi","Rumphi","TA Chikulamayembe",117,8124.644829,1,"Elderly",87018.344239
"6",6,1198.09204639664,4863.1029243828,1568.64628555899,51.4340766178774,1.22241338538752,442.118348310107,0.0287343482061471,6925.55278260336,55.8913994978121,1.27062349292287,"Malawi","Rumphi","TA Chikulamayembe",117,8124.644829,1,"Elderly",87018.344239
"7",7,50.7654973375099,4194.20030690925,2567.65147551953,132.593656539553,4.24461879852358,1175.06717010868,0.122103786958615,8072.8793316625,148.202357375685,4.44948290950033,"Malawi","Rumphi","TA Chikulamayembe",117,8124.644829,1,"Elderly",87018.344239
"8",8,0.832065449708207,2892.36527500614,2856.66411031269,229.978904666421,10.2669369554833,2134.15479674153,0.382739868023856,8122.8127635503,268.247793360779,10.9090928193685,"Malawi","Rumphi","TA Chikulamayembe",117,8124.644829,1,"Elderly",87018.344239
"9",9,0.0128385470249137,1969.47788269201,2702.00258858834,317.391314116077,19.1657448921682,3115.67147443812,0.922985726259777,8123.63199045298,390.05674523809,20.714318077032,"Malawi","Rumphi","TA Chikulamayembe",117,8124.644829,1,"Elderly",87018.344239
"10",10,0.00029444773939956,1340.65738227167,2354.9232137084,383.572664227919,30.1904326845062,4013.46374289212,1.83709876765647,8123.64453455227,500.292632610804,33.2726925814902,"Malawi","Rumphi","TA Chikulamayembe",117,8124.644829,1,"Elderly",87018.344239
"11",11,0.0000119621157752971,912.602937676094,1954.02516447125,426.350672048554,42.4229518668121,4786.05586730884,3.18722366633722,8123.6448170379,593.928437495579,47.7704333753874,"Malawi","Rumphi","TA Chikulamayembe",117,8124.644829,1,"Elderly",87018.344239
