"","time","S","E","I","H","C","R","D","inci","hosp","crits","lvl2","lvl3","lvl4","ID","POP","start","age","tot_pop"
"1",1,2001.950242,0,1,0,0,0,0,0,0,0,"Malawi","Rumphi","TA Katumbi",156,2002.950242,1,"Elderly",19534.813182
"2",2,2001.21329398824,0.607300976372066,0.79444164133973,0.0359575516324101,0.000681873171331692,0.29855717627816,0.00000879296994478268,0.736948011763643,0.0383435188619147,0.000696619991075616,"Malawi","Rumphi","TA Katumbi",156,2002.950242,1,"Elderly",19534.813182
"3",3,2000.54934576101,0.964722113061651,0.798862020706434,0.0642200038210357,0.00242740536385578,0.570600819426836,0.0000638766137601672,1.40089623899357,0.072900941217731,0.0025345337760861,"Malawi","Rumphi","TA Katumbi",156,2002.950242,1,"Elderly",19534.813182
"4",4,1999.83607727854,1.25112513141659,0.901067563822175,0.0916282164100968,0.0050389718499745,0.865104432875104,0.000200405084596384,2.11416472145854,0.110038183115535,0.00537507417681826,"Malawi","Rumphi","TA Katumbi",156,2002.950242,1,"Elderly",19534.813182
"5",5,1999.01077134829,1.54037649930908,1.06132134694691,0.121339733914104,0.00849653011281512,1.20748662004373,0.000449921387067266,2.93947065171371,0.153025332256707,0.00925109991524621,"Malawi","Rumphi","TA Katumbi",156,2002.950242,1,"Elderly",19534.813182
"6",6,1998.03050433133,1.86695455242289,1.26844679075057,0.155189115494063,0.0128651873845559,1.61543705049677,0.000844972126257502,3.91973766867511,0.204106899133877,0.0142823026155653,"Malawi","Rumphi","TA Katumbi",156,2002.950242,1,"Elderly",19534.813182
"7",7,1996.85622945982,2.25137003205653,1.52307330126922,0.194615926719034,0.0182622977830823,2.10526942469481,0.00142155765579408,5.09401254017846,0.265331188616604,0.0206464131203614,"Malawi","Rumphi","TA Katumbi",156,2002.950242,1,"Elderly",19534.813182
"8",8,1995.44593522463,2.71016618796458,1.8313450398814,0.241045340180624,0.024848067938677,2.6946812796924,0.00222085971473772,6.50430677537243,0.338908648179467,0.0285727045626441,"Malawi","Rumphi","TA Katumbi",156,2002.950242,1,"Elderly",19534.813182
"9",9,1993.75116571024,3.26002431825739,2.20268098786907,0.296062422231746,0.0328259178733559,3.40419181674827,0.00329082677699982,8.19907628975684,0.427396497276481,0.0383450120581017,"Malawi","Rumphi","TA Katumbi",156,2002.950242,1,"Elderly",19534.813182
"10",10,1991.71469618039,3.91963474854581,2.64912579892087,0.361511665003866,0.0424474105987866,4.25813833276364,0.00468786378108238,10.2355458196141,0.533824849726049,0.0503094961737192,"Malawi","Rumphi","TA Katumbi",156,2002.950242,1,"Elderly",19534.813182
"11",11,1989.26848524241,4.71075429841155,3.18534329446889,0.439573684389494,0.0540199134650955,5.28558680375534,0.0064787631040485,12.6817567575944,0.661810744240312,0.064885542741547,"Malawi","Rumphi","TA Katumbi",156,2002.950242,1,"Elderly",19534.813182
"12",12,1986.33156266911,5.65898419501834,3.82889615501542,0.532839229362365,0.0679164258880209,6.52130036473072,0.00874296087334985,15.6186793308882,0.815678775087445,0.0825793746797396,"Malawi","Rumphi","TA Katumbi",156,2002.950242,1,"Elderly",19534.813182
"13",13,1982.807700779,6.79448187652146,4.60066901841276,0.644389500058712,0.0845875293009798,8.00683809623622,0.0115752004712039,19.1425412210013,1.00059763927369,0.104000468947147,"Malawi","Rumphi","TA Katumbi",156,2002.950242,1,"Elderly",19534.813182
"14",14,1978.58282166308,8.15267030985897,5.52538116516378,0.77788627564892,0.104575584966387,9.79181832758104,0.0150886737008395,23.3674203369199,1.22273693637138,0.12988102245093,"Malawi","Rumphi","TA Katumbi",156,2002.950242,1,"Elderly",19534.813182
"15",15,1973.52211008148,9.77495863417932,6.63216745510231,0.93767441306583,0.128531511284506,11.935381158098,0.0194187467876988,28.4281319185177,1.48944853356742,0.161098978287053,"Malawi","Rumphi","TA Katumbi",156,2002.950242,1,"Elderly",19534.813182
"16",16,1967.46683968856,11.7094557291555,7.955206742062,1.12889814049928,0.157234564748563,14.5078797369636,0.024727398010678,34.4834023114396,1.80947610091698,0.19870524911228,"Malawi","Rumphi","TA Katumbi",156,2002.950242,1,"Elderly",19534.813182
"17",17,1961.35403772105,13.0712816638883,9.37318381507101,1.35524816219436,0.191592630394544,17.5736898430039,0.0312081643990543,40.5962042789511,2.19073162588299,0.243932303772443,"Malawi","Rumphi","TA Katumbi",156,2002.950242,1,"Elderly",19534.813182
"18",18,1954.25460693115,14.818065401635,10.8417946094876,1.61427570191493,0.232466274071943,21.1499447720456,0.0390883096932691,47.6956350688485,2.63501927802544,0.298021855492227,"Malawi","Rumphi","TA Katumbi",156,2002.950242,1,"Elderly",19534.813182
"19",19,1946.10812345625,16.8786807920205,12.4533702857165,1.9063974768087,0.280612595994548,25.2744325466179,0.0486248465887767,55.842118543747,3.14682522863085,0.362162044272388,"Malawi","Rumphi","TA Katumbi",156,2002.950242,1,"Elderly",19534.813182
"20",20,1936.80914504121,19.2413034036979,14.2595002591867,2.23480895701354,0.336813460160654,30.0085677218312,0.060103156899897,65.1410969587899,3.73366217805073,0.437613352166366,"Malawi","Rumphi","TA Katumbi",156,2002.950242,1,"Elderly",19534.813182
"21",21,1926.22698154147,21.9185250799821,16.2962360826262,2.60408373731061,0.401943523859283,35.4286326811851,0.0738393535669707,75.7232604585302,4.40491530058383,0.525780594143605,"Malawi","Rumphi","TA Katumbi",156,2002.950242,1,"Elderly",19534.813182
