"","time","S","E","I","H","C","R","D","inci","hosp","crits","lvl2","lvl3","lvl4","ID","POP","start","age","tot_pop"
"1",1,6037.117356,0,1,0,0,0,0,0,0,0,"Malawi","Phalombe","TA Nazombe",209,6038.117356,1,"Elderly",64724.737406
"2",2,6036.38005708403,0.607596174320907,0.79449088872844,0.0369604524751379,0.000727794480525964,0.297514225583825,0.0000093803845727823,0.737298915973408,0.0394129418955834,0.0007435343752022,"Malawi","Phalombe","TA Nazombe",209,6038.117356,1,"Elderly",64724.737406
"3",3,6035.71555626793,0.965388920628617,0.799049570997988,0.066015292564805,0.00259095937919193,0.568686843420917,0.0000681450846389265,1.40179973207616,0.074938524151847,0.002705303993381,"Malawi","Phalombe","TA Nazombe",209,6038.117356,1,"Elderly",64724.737406
"4",4,6035.00137884895,1.2523456436042,0.901495773546705,0.0941995249446363,0.00537876676964115,0.862343638914191,0.000213803275616972,2.11597715105499,0.113124280795097,0.00573751976249922,"Malawi","Phalombe","TA Nazombe",209,6038.117356,1,"Elderly",64724.737406
"5",5,6034.17458643234,1.54246035491797,1.06213894527332,0.124763069822138,0.0090701565386796,1.20385701944703,0.000480021660493553,2.94276956765964,0.157336999088976,0.00987561289495769,"Malawi","Phalombe","TA Nazombe",209,6038.117356,1,"Elderly",64724.737406
"6",6,6033.19193568736,1.87038115876204,1.26988120978857,0.159598135305578,0.0137351286201602,1.61092312714696,0.000901553021250637,3.92542031264457,0.209892119599222,0.0152478970455296,"Malawi","Phalombe","TA Nazombe",209,6038.117356,1,"Elderly",64724.737406
"7",7,6032.01390858563,2.25686184257757,1.52547128811793,0.200194343650404,0.019499715643193,2.09990336620047,0.00151685817877678,5.10344741436835,0.272907839020032,0.0220449404991129,"Malawi","Phalombe","TA Nazombe",209,6038.117356,1,"Elderly",64724.737406
"8",8,6030.59779654553,2.71880088757077,1.83523003543582,0.248031597673181,0.0265360944003391,2.68859087797613,0.00236996141689723,6.51955945447314,0.348675629100931,0.0305127909631796,"Malawi","Phalombe","TA Nazombe",209,6038.117356,1,"Elderly",64724.737406
"9",9,6028.89411487182,3.2734001153213,2.2088365642258,0.304761595567064,0.0350631739526989,3.39766751879217,0.00351216032389806,8.22324112818294,0.439853154591776,0.0409564327157363,"Malawi","Phalombe","TA Nazombe",209,6038.117356,1,"Elderly",64724.737406
"10",10,6026.84412572492,3.94011108264003,2.65871724710464,0.372313592812207,0.0453521543344381,4.25173234173081,0.00500385646134616,10.2732302750835,0.549598502144778,0.0537484170958944,"Malawi","Phalombe","TA Nazombe",209,6038.117356,1,"Elderly",64724.737406
"11",11,6024.37756979405,4.74180061125161,3.20009476316581,0.452978260407933,0.0577351386775695,5.28026077551491,0.00691665693623359,12.7397862059541,0.681694076348954,0.0693410009791917,"Malawi","Phalombe","TA Nazombe",209,6038.117356,1,"Elderly",64724.737406
