"","time","S","E","I","H","C","R","D","inci","hosp","crits","lvl2","lvl3","lvl4","ID","POP","start","age","tot_pop"
"1",1,2685.405595,0,1,0,0,0,0,0,0,0,"Malawi","Machinga","TA Ngokwe",98,2686.405595,1,"Elderly",35668.864125
"2",2,2475.50831909004,190.243556610215,18.6661156446337,0.22430965911745,0.00216587721821489,1.76110916597565,0.0000189528001611497,209.89727590996,0.231643479141677,0.00219767816216228,"Malawi","Machinga","TA Ngokwe",98,2686.405595,1,"Elderly",35668.864125
"3",3,323.575653872617,1965.21429070481,345.935210868891,5.78363943306557,0.0704152895667089,45.8255937164437,0.000791114605433078,2361.82994112738,6.0230503153882,0.071742702456067,"Malawi","Machinga","TA Ngokwe",98,2686.405595,1,"Elderly",35668.864125
"4",4,0.0192787559862129,1571.28580710128,825.839693684347,31.3437763915854,0.689347205972124,257.215643776722,0.0120480841037076,2685.38631624401,33.7116414028633,0.709562712071367,"Malawi","Machinga","TA Ngokwe",98,2686.405595,1,"Elderly",35668.864125
"5",5,-0.00000000407745755354539,1069.60727171359,973.546234706379,66.5054191954907,2.4245060029042,574.255895193567,0.0662681921438783,2685.40559500408,74.9672357371549,2.53569754430937,"Malawi","Machinga","TA Ngokwe",98,2686.405595,1,"Elderly",35668.864125
"6",6,0.0000000371399915334982,728.095193757795,942.740918302166,99.4654898330027,5.31406645126818,910.582811780184,0.20711483844565,2685.40559496286,118.358631372384,5.66158488190008,"Malawi","Machinga","TA Ngokwe",98,2686.405595,1,"Elderly",35668.864125
"7",7,0.00000000134778683481861,495.623774137213,832.359200603598,125.290172853089,9.10244995176519,1223.55665197107,0.47334548191674,2685.40559499865,158.316141697592,9.89667734878277,"Malawi","Machinga","TA Ngokwe",98,2686.405595,1,"Elderly",35668.864125
"8",8,0.0000000631336513130129,337.377164429872,696.357987755168,142.744431543025,13.4457175369511,1495.58818545812,0.892108213735903,2685.40559493686,192.608989347113,14.9425878177962,"Malawi","Machinga","TA Ngokwe",98,2686.405595,1,"Elderly",35668.864125
"9",9,0.0000000349487680792208,229.6569132419,562.348950288785,152.395125486858,18.0132124111887,1722.51361280958,1.47778072673603,2685.40559496505,220.78111174026,20.4927838548743,"Malawi","Machinga","TA Ngokwe",98,2686.405595,1,"Elderly",35668.864125
"10",10,0.00000000403531444508782,156.330284220113,442.924994400762,155.552473498746,22.5308322053842,1906.83360653924,2.23340413172074,2685.40559499596,243.24505518665,26.2782657772481,"Malawi","Machinga","TA Ngokwe",98,2686.405595,1,"Elderly",35668.864125
"11",11,-0.000000278943749377438,106.415906345569,342.43385221813,153.70807816498,26.7931666101418,2053.90151090052,3.15308103960061,2685.40559527894,260.773931189725,32.0837280337491,"Malawi","Machinga","TA Ngokwe",98,2686.405595,1,"Elderly",35668.864125
"12",12,0.0000000454166428821696,72.4386107635053,260.960000369186,148.259358502472,30.6602217210527,2169.86289856735,4.22450503101845,2685.40559495458,274.229081223237,37.7485277525945,"Malawi","Machinga","TA Ngokwe",98,2686.405595,1,"Elderly",35668.864125
"13",13,0.0000000443137069817463,49.3098431446827,196.604067133097,140.394548675811,34.0475758282859,2260.61833451818,5.43122565562989,2685.40559495568,284.424906948271,43.1606409781184,"Malawi","Machinga","TA Ngokwe",98,2686.405595,1,"Elderly",35668.864125
"14",14,0.0000000354739591442004,33.5657861671525,146.740773806,131.063479535871,36.9147010822927,2331.36635279712,6.75450157609331,2685.40559496452,292.071056543938,48.2480937307419,"Malawi","Machinga","TA Ngokwe",98,2686.405595,1,"Elderly",35668.864125
"15",15,-0.0000000221613108522276,22.8486781597611,108.676175348102,120.990684903696,39.253808950478,2386.46152383966,8.17472382046239,2685.40559502216,297.756276627117,52.9701955418802,"Malawi","Machinga","TA Ngokwe",98,2686.405595,1,"Elderly",35668.864125
"16",16,-0.0000000135063833680127,15.5533787071999,79.9592886755733,110.706617665137,41.080218292017,2429.43364030063,9.67245137295166,2685.4055950135,301.953284447089,57.3096451487202,"Malawi","Machinga","TA Ngokwe",98,2686.405595,1,"Elderly",35668.864125
"17",17,0.00000000713403206796329,10.5873842798835,58.5013452007914,100.583705967844,42.4245774423479,2463.07946192324,11.2291201787643,2685.40559499286,305.03283850594,61.2659422194314,"Malawi","Machinga","TA Ngokwe",98,2686.405595,1,"Elderly",35668.864125
"18",18,0.00000000370271153012133,7.20696739684583,42.5945011623174,90.8708458823027,43.3268351370765,2489.57894806587,12.8274973518871,2685.4055949963,307.280654971902,64.8501203933016,"Malawi","Machinga","TA Ngokwe",98,2686.405595,1,"Elderly",35668.864125
"19",19,0.00000000100665816681735,4.90587148992779,30.8814819227864,81.7234183476155,43.8317593383412,2510.61112433467,14.4519395656514,2685.40559499899,308.913917409256,68.0806996611768,"Malawi","Machinga","TA Ngokwe",98,2686.405595,1,"Elderly",35668.864125
"20",20,-0.000000000640435108935692,3.33948599000614,22.3058243342852,73.2280140062078,43.9857191587953,2527.45804236421,16.0885091471407,2685.40559500064,310.095912693349,70.9806630844983,"Malawi","Machinga","TA Ngokwe",98,2686.405595,1,"Elderly",35668.864125
"21",21,-0.000000000517072426615752,2.27322927566259,16.0581697455849,65.4220311011785,43.8344642678374,2541.09271094415,17.7249896661077,2685.40559500051,310.948305903628,73.5752623582112,"Malawi","Machinga","TA Ngokwe",98,2686.405595,1,"Elderly",35668.864125
"22",22,-0.000000000470564628827263,1.54741388027795,11.5261552795949,58.3087740676516,43.4216651239724,2552.25075297172,19.3508336772537,2685.40559500047,311.561074952769,75.8904703597829,"Malawi","Machinga","TA Ngokwe",98,2686.405595,1,"Elderly",35668.864125
"23",23,-0.000000000412250834311383,1.0533434415498,8.25112666991107,51.8688002062655,42.7880198005678,2561.48723779196,20.957067090158,2685.40559500041,312.000341209171,77.951927517061,"Malawi","Machinga","TA Ngokwe",98,2686.405595,1,"Elderly",35668.864125
"24",24,-0.000000000374848590373778,0.717023497812141,5.89242136163649,46.0682748884144,41.97076915139,2569.22093770986,22.5361683912592,2685.40559500037,312.314430501639,79.7842543201113,"Malawi","Machinga","TA Ngokwe",98,2686.405595,1,"Elderly",35668.864125
"25",25,-0.000000000350402989205172,0.488086495916217,4.19876853427405,40.8649967396657,41.0035003620956,2575.76830740866,24.0819354597412,2685.40559500035,312.538497002957,81.4106314028016,"Malawi","Machinga","TA Ngokwe",98,2686.405595,1,"Elderly",35668.864125
