"","time","S","E","I","H","C","R","D","inci","hosp","crits","lvl2","lvl3","lvl4","ID","POP","start","age","tot_pop"
"1",1,41140.19948,0,1,0,0,0,0,0,0,0,"Malawi","Kasungu","TA Santhe",229,41141.19948,1,"Adults",114907.725644
"2",2,39558.3189232659,1474.78095721635,100.767161111442,0.177291893758916,0.000591107690853129,7.15455404818645,0.00000135662038473996,1581.88055673405,0.181428393257801,0.000597765190981336,"Malawi","Kasungu","TA Santhe",229,41141.19948,1,"Adults",114907.725644
"3",3,823.2870770052,33716.7087313565,5869.74393911293,17.5349533063101,0.0803331985540393,713.844215141357,0.000230879165463628,40316.9124029948,18.0986946841074,0.0814662185874724,"Malawi","Kasungu","TA Santhe",229,41141.19948,1,"Adults",114907.725644
"4",4,0.000000881024651629889,23528.1843653235,13028.0898502831,105.763704731299,1.08083835342524,4478.07474460143,0.00597582618504118,41140.199479119,113.445974951028,1.11016421646,"Malawi","Kasungu","TA Santhe",229,41141.19948,1,"Adults",114907.725644
"5",5,0.000000307792004628389,16015.9363676117,15028.33162402,221.723190941497,3.88732077557146,9871.28541196803,0.0355643753881944,41140.1994796922,249.83095052661,4.06184994848511,"Malawi","Kasungu","TA Santhe",229,41141.19948,1,"Adults",114907.725644
"6",6,-0.0000000284619209990103,10902.2512839899,14423.1334276801,328.628188373395,8.50839639333979,15478.5654314268,0.112752165017843,41140.1994800285,391.334737846261,9.06171813426711,"Malawi","Kasungu","TA Santhe",229,41141.19948,1,"Adults",114907.725644
"7",7,0.0000000637162059185487,7421.29646528445,12672.3493594724,411.535418759133,14.5205149692522,20621.2395140831,0.258207367920064,41140.1994799363,520.784987216287,15.7876458515299,"Malawi","Kasungu","TA Santhe",229,41141.19948,1,"Adults",114907.725644
"8",8,-0.0000000203754037851211,5051.77588107449,10569.2039291914,467.01308008152,21.3772874830249,25031.3431083746,0.486193815269485,41140.1994800204,631.45330294475,23.7632426285463,"Malawi","Kasungu","TA Santhe",229,41141.19948,1,"Adults",114907.725644
"9",9,0.00000024845611581478,3438.80870534842,8517.20206088317,497.190698289559,28.5608777581369,28658.633042035,0.804095437283079,41140.1994797515,722.136566561746,32.5069083036149,"Malawi","Kasungu","TA Santhe",229,41141.19948,1,"Adults",114907.725644
"10",10,-0.0000000794296865845808,2340.8422456477,6698.08570600427,506.448942122905,35.6455300238358,31558.9638057202,1.2132505604607,41140.1994800794,794.31469050712,41.5994548304141,"Malawi","Kasungu","TA Santhe",229,41141.19948,1,"Adults",114907.725644
"11",11,-0.0000000439493759421346,1593.44034153434,5172.33180603536,499.669496173381,42.3141694088358,33831.7334016781,1.71026521394943,41140.1994800439,850.55996422138,50.7071517119265,"Malawi","Kasungu","TA Santhe",229,41141.19948,1,"Adults",114907.725644
"12",12,-0.000000102311707694616,1084.67431819115,3938.05329121078,481.383850979144,48.3521218349369,35586.4475250761,2.2883728102328,41140.1994801023,893.688559707066,59.5821184123717,"Malawi","Kasungu","TA Santhe",229,41141.19948,1,"Adults",114907.725644
"13",13,-0.0000000702779903559405,738.351030763294,2964.66316094974,455.424764119107,53.631151605564,36926.1907302183,2.93864241425002,41140.1994800703,926.342565327072,68.0522914245497,"Malawi","Kasungu","TA Santhe",229,41141.19948,1,"Adults",114907.725644
"14",14,-0.00000000126116681000729,502.604944379936,2211.39258747665,424.844673248899,58.0910013265965,37940.6153112714,3.65096229777139,41140.1994800012,950.814056739441,76.0077909008204,"Malawi","Kasungu","TA Santhe",229,41141.19948,1,"Adults",114907.725644
"15",15,-0.00000000349155896851994,342.129045900875,1636.91056174875,391.965273375605,61.7219180676475,38704.0578885402,4.41479237041559,41140.1994800035,968.999308072419,83.3871393061436,"Malawi","Kasungu","TA Santhe",229,41141.19948,1,"Adults",114907.725644
"16",16,-0.0000000280823276918717,232.891654833551,1203.8386363548,358.481586613174,64.5496888821394,39276.2182044669,5.21970887753482,41140.1994800281,982.417805779105,90.1649699970898,"Malawi","Kasungu","TA Santhe",229,41141.19948,1,"Adults",114907.725644
"17",17,-0.0000000106704725012407,158.532264402893,880.441825405029,325.580339424225,66.6235456317042,39703.9657279175,6.055777229316,41140.1994800106,992.259588897261,96.3417616736122,"Malawi","Kasungu","TA Santhe",229,41141.19948,1,"Adults",114907.725644
"18",18,-0.00000000276182768464573,107.914892409285,640.833400010203,294.051804996886,68.0068590154348,40023.4787352517,6.91378831930031,41140.1994800027,999.440719809426,101.935692121502,"Malawi","Kasungu","TA Santhe",229,41141.19948,1,"Adults",114907.725644
"19",19,-0.000000000979254255911475,73.4590490215547,464.476725470626,264.386757022006,68.7702203038171,40262.3213358601,7.78539232288253,41140.1994800009,1004.65690769765,106.976376551174,"Malawi","Kasungu","TA Santhe",229,41141.19948,1,"Adults",114907.725644
"20",20,-0.000000000353966973392322,50.0045134196241,335.407588780927,236.856085160884,68.986488518488,40441.2816468518,8.66315726861681,41140.1994800003,1008.43083981468,111.500202211166,"Malawi","Kasungu","TA Santhe",229,41141.19948,1,"Adults",114907.725644
"21",21,-0.0000000000670284804250554,34.0386940812511,241.407927448078,211.573741240027,68.7273830981488,40575.9111593635,9.54057476907077,41140.19948,1011.15174374412,115.546949177736,"Malawi","Kasungu","TA Santhe",229,41141.19948,1,"Adults",114907.725644
"22",22,0.000000000122702381507856,23.1705481317925,173.241104872165,188.545132129771,68.0612523339834,40677.7694123079,10.4120302243021,41140.1994799998,1013.10732612426,119.157412566356,"Malawi","Kasungu","TA Santhe",229,41141.19948,1,"Adults",114907.725644
"23",23,0.000000000088609068145148,15.7724777660798,123.993701850265,167.703450750111,67.0517141690359,40755.405385016,11.2727504484538,41140.1994799999,1014.50891951688,122.371786313021,"Malawi","Kasungu","TA Santhe",229,41141.19948,1,"Adults",114907.725644
"24",24,0.0000000000738955429598093,10.7365137824474,88.5334764693741,148.936392562949,65.7569264906613,40815.1174324657,12.1187382288289,41140.1994799999,1015.51092705686,125.228612320879,"Malawi","Kasungu","TA Santhe",229,41141.19948,1,"Adults",114907.725644
