"","time","S","E","I","H","C","R","D","inci","hosp","crits","lvl2","lvl3","lvl4","ID","POP","start","age","tot_pop"
"1",1,14343.1246,0,1,0,0,0,0,0,0,0,"Malawi","Balaka","Balaka Town",2,14344.1246,1,"Adults",34847.128858
"2",2,14342.3872002075,0.60768103751742,0.794505045474895,0.00764501481475034,0.0000681055323481242,0.32750027961055,0.000000309591251591103,0.737399792541213,0.00815229383519299,0.000069578438128142,"Malawi","Balaka","Balaka Town",2,14344.1246,1,"Adults",34847.128858
"3",3,14341.7225404824,0.965580658445535,0.799103493118067,0.0136550527784701,0.000242458836424343,0.623475605313369,0.00000224907922876447,1.40205951757109,0.0155007719523141,0.00025315901538205,"Malawi","Balaka","Balaka Town",2,14344.1246,1,"Adults",34847.128858
"4",4,14341.0081015778,1.25269670496466,0.901618913514998,0.0194854551396914,0.000503345962853128,0.942186946154007,0.00000705648304421526,2.11649842221925,0.0233999884724606,0.000536917759888756,"Malawi","Balaka","Balaka Town",2,14344.1246,1,"Adults",34847.128858
"5",5,14340.1808813268,1.54305997665021,1.06237412851714,0.0258087020270849,0.00084880509039743,1.31161121784057,0.0000158430985729423,2.94371867322398,0.0325466671652056,0.000924179931713358,"Malawi","Balaka","Balaka Town",2,14344.1246,1,"Adults",34847.128858
"6",6,14339.1975441215,1.87136762774713,1.27029397332757,0.033016569888184,0.0012854003519826,1.75106255095979,0.0000297562133133065,3.92705587848796,0.0434202371398589,0.00142696797818445,"Malawi","Balaka","Balaka Town",2,14344.1246,1,"Adults",34847.128858
"7",7,14338.0184357174,2.25844379353913,1.526161642044,0.0414177676936427,0.00182494651589409,2.27826606713074,0.0000500657191704875,5.10616428264257,0.0564595937988021,0.00206313828251532,"Malawi","Balaka","Balaka Town",2,14344.1246,1,"Adults",34847.128858
"8",8,14336.6006457102,2.72128998589707,1.83634912167973,0.0513192977359388,0.0024835873857077,2.91243407164751,0.0000782254668752913,6.52395428981283,0.072139868640589,0.00285575146241549,"Malawi","Balaka","Balaka Town",2,14344.1246,1,"Adults",34847.128858
"9",9,14334.8943909466,3.27725936718401,2.2106109473025,0.0630641432182281,0.00328185633498358,3.67587680945836,0.000115929874860914,8.23020905337294,0.0910125217470477,0.00383340222616048,"Malawi","Balaka","Balaka Town",2,14344.1246,1,"Adults",34847.128858
"10",10,14332.8404935312,3.94602548577946,2.6614844317549,0.0770533531381017,0.0042452045594084,4.59513281896025,0.000165174617043226,10.2841064688092,0.113733383058669,0.00503103635182779,"Malawi","Balaka","Balaka Town",2,14344.1246,1,"Adults",34847.128858
"11",11,14330.3680471859,4.75078003736089,3.2043551496555,0.0937636922980481,0.00540481882804604,5.70202078953824,0.000228326380720428,12.7565528140614,0.141088684051689,0.00649110031747859,"Malawi","Balaka","Balaka Town",2,14344.1246,1,"Adults",34847.128858
"12",12,14327.391894248,5.71921242171727,3.85783962286244,0.113765319082053,0.00679867865722202,7.03478150484662,0.000308204857416119,15.732705752023,0.174023287068026,0.00826498855320495,"Malawi","Balaka","Balaka Town",2,14344.1246,1,"Adults",34847.128858
"13",13,14323.8097032774,6.88451129125321,4.64435758900164,0.137741686150348,0.00847286087092782,8.63940511503595,0.000408180332011135,19.3148967226441,0.213673482244303,0.0104148122898357,"Malawi","Balaka","Balaka Town",2,14344.1246,1,"Adults",34847.128858
"14",14,14319.4985269323,8.28648643272576,5.59085846900336,0.16651276431545,0.0104831180258272,10.5711999937845,0.000532289819180142,23.6260730676741,0.261405747638779,0.0130155305125682,"Malawi","Balaka","Balaka Town",2,14344.1246,1,"Adults",34847.128858
"15",15,14314.3106848199,9.97288447337392,6.72970903698645,0.201062780296762,0.0128967928464871,12.8966767197518,0.000685376800041966,28.8139151800554,0.318863291608588,0.0161575292047782,"Malawi","Balaka","Balaka Town",2,14344.1246,1,"Adults",34847.128858
"16",16,14308.0688757282,12.0009323710297,8.09975478994484,0.242573184859792,0.0157951168507709,15.6957955509393,0.000873258226714632,35.0557242718512,0.388021572430052,0.0199497145112853,"Malawi","Balaka","Balaka Town",2,14344.1246,1,"Adults",34847.128858
"17",17,14300.560398709,14.4391486250667,9.74757266514982,0.292461768240311,0.0192759543515572,19.064639354581,0.00110292363307358,42.5642012910225,0.471254325978281,0.0245232040258405,"Malawi","Balaka","Balaka Town",2,14344.1246,1,"Adults",34847.128858
"18",18,14291.5302506315,17.3694844150307,11.7289671839081,0.352429561814297,0.0234571168430099,23.1186283153142,0.00138277562606941,51.5943493685363,0.571412973524202,0.0300357853345713,"Malawi","Balaka","Balaka Town",2,14344.1246,1,"Adults",34847.128858
"19",19,14280.6730361041,20.8898049859209,14.1107192759387,0.424516108214873,0.0284802972824363,27.9963203127409,0.00172291578528266,62.4515638958831,0.691920492528205,0.0366772104884287,"Malawi","Balaka","Balaka Town",2,14344.1246,1,"Adults",34847.128858
"20",20,14267.6233587846,25.1167968161881,16.9726536233697,0.511165585526051,0.034515813283803,33.8639738865657,0.00213549050949129,75.5012412154428,0.836884118426174,0.0446755845901229,"Malawi","Balaka","Balaka Town",2,14344.1246,1,"Adults",34847.128858
"21",21,14251.9446602838,30.1892830281399,20.4100320364825,0.61530423651884,0.0417682191702777,40.9209170939584,0.00263510193268975,91.1799397162027,1.01122794311341,0.05430493281334,"Malawi","Balaka","Balaka Town",2,14344.1246,1,"Adults",34847.128858
"22",22,14233.1162367935,36.2720001022435,24.5363136081866,0.740431464160681,0.0504829768112112,49.4058957557564,0.00323929935867584,110.008363206517,1.22084969192954,0.0658942092800903,"Malawi","Balaka","Balaka Town",2,14344.1246,1,"Adults",34847.128858
"23",23,14210.5182151983,43.5598336656578,29.4863324058062,0.89072662888911,0.0609543901698654,59.604568542694,0.00396916844603187,132.606384801663,1.47280580641085,0.0798380347043248,"Malawi","Balaka","Balaka Town",2,14344.1246,1,"Adults",34847.128858
"24",24,14183.4144465102,52.2824488800522,35.4198835751027,1.07117272501972,0.0735349609057207,71.8582633164515,0.0048500322934986,159.710153489825,1.77552764814648,0.0966093874654297,"Malawi","Balaka","Balaka Town",2,14344.1246,1,"Adults",34847.128858
"25",25,14150.9332124661,62.7092696022668,42.5256839023783,1.28769906852407,0.0886463832154726,86.5741762915099,0.00591228605831092,192.191387533953,2.13907329705465,0.116774569214432,"Malawi","Balaka","Balaka Town",2,14344.1246,1,"Adults",34847.128858
"26",26,14112.0458853803,75.1545427295494,51.0256956942425,1.5473436371544,0.106792424336529,104.237147745163,0.00719238923181845,231.078714619678,2.57541821845479,0.141010806210172,"Malawi","Balaka","Balaka Town",2,14344.1246,1,"Adults",34847.128858
"27",27,14065.5438741796,89.9822083895036,61.1796690544871,1.85843515891464,0.128573873314187,125.423105305769,0.00873403845910804,277.580725820447,3.09878702009127,0.170126777872062,"Malawi","Balaka","Balaka Town",2,14344.1246,1,"Adults",34847.128858
"28",28,14010.0144734087,107.610103768589,73.2896722018912,2.23079435458154,0.154705773790557,150.814260939658,0.0105895528244188,333.110126591335,3.72602838510084,0.205086440178027,"Malawi","Balaka","Balaka Town",2,14344.1246,1,"Adults",34847.128858
"29",29,13943.8168392585,128.512658135958,87.7043146206751,2.67594992013521,0.186037112142247,181.215979450314,0.0128215022730053,399.307760741498,4.47703107973842,0.247036461152806,"Malawi","Balaka","Balaka Town",2,14344.1246,1,"Adults",34847.128858
"30",30,13865.0598626393,153.221126741509,104.822058017552,3.20736303567062,0.223572958879952,217.575111997449,0.0155046096250564,478.064737360687,5.37517586361176,0.297337411254814,"Malawi","Balaka","Balaka Town",2,14344.1246,1,"Adults",34847.128858
"31",31,13771.5847095335,182.319755505739,125.092950050419,3.84064767490434,0.26849899590256,260.999310280871,0.0187279586910414,571.539890466527,6.44781121272004,0.357598795920174,"Malawi","Balaka","Balaka Town",2,14344.1246,1,"Adults",34847.128858
"32",32,13660.9559250186,216.435998566024,149.017547741942,4.59376898177956,0.322208079102249,312.776554069824,0.0225975427670624,682.168674981439,7.72673375536411,0.429717742843545,"Malawi","Balaka","Balaka Town",2,14344.1246,1,"Adults",34847.128858
"33",33,13530.4660286596,256.222400579374,177.141836068487,5.48719219604737,0.3863280809087,374.393575252993,0.0272391625479159,812.658571340358,9.2486407087721,0.515920631581485,"Malawi","Balaka","Balaka Town",2,14344.1246,1,"Adults",34847.128858
"34",34,13377.1607790285,302.326990150182,210.046042481017,6.54394255024068,0.462749881481991,447.551294205884,0.0328017026618998,965.963820971468,11.0555075038817,0.618806673128513,"Malawi","Balaka","Balaka Town",2,14344.1246,1,"Adults",34847.128858
"35",35,13197.8925808582,355.34952728644,248.325192460924,7.78952659540921,0.553653551633564,534.174658487017,0.0394607603858122,1145.23201914181,13.1948258710674,0.741391356747409,"Malawi","Balaka","Balaka Town",2,14344.1246,1,"Adults",34847.128858
"36",36,12989.4117644802,415.780018885223,292.559088446969,9.25164301957766,0.661529983512728,636.41313258983,0.0474225946778027,1353.71283551979,15.7196093400404,0.8871468685035,"Malawi","Balaka","Balaka Town",2,14344.1246,1,"Adults",34847.128858
"37",37,12748.5039225718,483.918417780941,343.268976308598,10.9596079524999,0.789194118556762,756.627552960542,0.0569283070339999,1594.62067742817,18.688060004911,1.06003520998319,"Malawi","Balaka","Balaka Town",2,14344.1246,1,"Adults",34847.128858
"38",38,12472.1806065067,559.775495490085,400.859167561276,12.9434007290535,0.9397847815893,897.357886816019,0.0682581153242094,1870.94399349335,22.162761321766,1.26452836551634,"Malawi","Balaka","Balaka Town",2,14344.1246,1,"Adults",34847.128858
"39",39,12157.9257853811,642.95893813714,465.543163109728,15.2322369451658,1.11674491745863,1061.26599600451,0.0817355048799772,2185.19881461888,26.209251060923,1.50560828795658,"Malawi","Balaka","Balaka Town",2,14344.1246,1,"Adults",34847.128858
"40",40,11803.9919480888,732.555198562521,537.255536260739,17.8525963408065,1.32377470087204,1251.04781509387,0.0977309524004203,2539.13265191121,30.8938364941065,1.7887377253032,"Malawi","Balaka","Balaka Town",2,14344.1246,1,"Adults",34847.128858
"41",41,11409.7293349401,827.023125976698,615.555402867463,20.8256518874779,1.56474911883362,1469.30967041617,0.116664793286103,2933.39526505993,36.280522053396,2.11979144471511,"Malawi","Balaka","Balaka Town",2,14344.1246,1,"Adults",34847.128858
"42",42,10975.9114421475,924.123080832857,699.533728708294,24.1641759850166,1.84359477843442,1718.40956877062,0.139008777255234,3367.21315785248,42.4270713230198,2.50494044127269,"Malawi","Balaka","Balaka Town",2,14344.1246,1,"Adults",34847.128858
"43",43,10505.0128857006,1020.91211287747,787.736080100937,27.8690471958806,2.16411785920694,2000.265070601,0.165285664959663,3838.11171429945,49.3802454252998,2.95047797119976,"Malawi","Balaka","Balaka Town",2,14344.1246,1,"Adults",34847.128858
"44",44,10001.3806777889,1113.83051219692,878.123497040683,31.9256473166395,2.52978300994711,2316.13841641132,0.196066235607134,4341.74392221112,57.1704842894328,3.46258421220301,"Malawi","Balaka","Balaka Town",2,14344.1246,1,"Adults",34847.128858
"45",45,9471.24224476461,1198.89579825646,968.094276903906,36.3005624409636,2.94344870203646,2666.41630581784,0.231963114188369,4871.8823552354,65.8064641307102,4.04703224932041,"Malawi","Balaka","Balaka Town",2,14344.1246,1,"Adults",34847.128858
"46",46,8922.50347942501,1272.01264269036,1054.57605799507,40.939232209666,3.40706939201133,3050.41249740952,0.273620878375351,5420.621120575,75.2702320866965,4.7088431702475,"Malawi","Balaka","Balaka Town",2,14344.1246,1,"Adults",34847.128858
"47",47,8364.33405111817,1329.35819099141,1134.20475659099,45.765030394214,3.92138881325729,3466.21947992703,0.321702164932419,5978.79054888184,85.5135687492734,5.45191325714255,"Malawi","Balaka","Balaka Town",2,14344.1246,1,"Adults",34847.128858
"48",48,7806.57074770473,1367.79230146941,1203.57846287201,50.6803329920201,4.48565331232047,3910.64023182884,0.376869820671516,6536.55385229527,96.4563471484635,6.27864240464312,"Malawi","Balaka","Balaka Town",2,14344.1246,1,"Adults",34847.128858
"49",49,7259.01061290343,1385.2312536638,1259.54632444751,55.5700347710738,5.09737830390019,4379.22923026047,0.439765649818076,7084.11398709657,107.987609402571,7.18959946370819,"Malawi","Balaka","Balaka Town",2,14344.1246,1,"Adults",34847.128858
