"","time","S","E","I","H","C","R","D","inci","hosp","crits","lvl2","lvl3","lvl4","ID","POP","start","age","tot_pop"
"1",1,7032.58343,0,1,0,0,0,0,0,0,0,"Malawi","Thyolo","STA Thukuta",105,7033.58343,1,"Adults",23217.675157
"2",2,7031.05886055343,1.26213378611573,0.911234700660162,0.00847541296258425,0.0000784731193209569,0.342646732611318,0.000000341099557050557,1.52456944656867,0.00902445424361992,0.000080153902475718,"Malawi","Thyolo","STA Thukuta",105,7033.58343,1,"Adults",23217.675157
"3",3,7029.33883181623,2.29982584263512,1.19725283886583,0.0170803977578224,0.00029794128424157,0.730138585620287,0.00000257760969096244,3.244598183773,0.0192082491700704,0.000310642570005705,"Malawi","Thyolo","STA Thukuta",105,7033.58343,1,"Adults",23217.675157
"4",4,7026.91137634652,3.60558293460165,1.75946667814045,0.0286420259291275,0.000679314215868618,1.27767412246564,0.0000085781229897283,5.67205365347572,0.0335847549186266,0.000721583296324995,"Malawi","Thyolo","STA Thukuta",105,7033.58343,1,"Adults",23217.675157
"5",5,7023.28647599714,5.50299822904199,2.65111791946232,0.0455520638289845,0.00128610933484564,2.09597892378647,0.0000207574054059051,9.29695400286001,0.0550623272201185,0.00138839236811743,"Malawi","Thyolo","STA Thukuta",105,7033.58343,1,"Adults",23217.675157
"6",6,7017.80997862429,8.35246251564628,4.01455518939879,0.0708531905920888,0.00222496036781223,3.33331292021062,0.0000425994880703634,14.7734513757037,0.0875316650983045,0.00243487122952438,"Malawi","Thyolo","STA Thukuta",105,7033.58343,1,"Adults",23217.675157
"7",7,7009.5206522547,12.658169679916,6.08369562450429,0.108971480981298,0.0036611563932505,5.20820051337892,0.0000792901252019749,23.0627777452989,0.136726080946219,0.0040518619923159,"Malawi","Thyolo","STA Thukuta",105,7033.58343,1,"Adults",23217.675157
"8",8,6996.97873314753,19.1658759278586,9.21695424094192,0.166541662442033,0.00584660879992289,8.04933978821464,0.000138624213711092,35.6046968524708,0.211268954753725,0.00652968574456131,"Malawi","Thyolo","STA Thukuta",105,7033.58343,1,"Adults",23217.675157
"9",9,6978.02627989651,28.9870031893779,13.9546838383,0.2535566546617,0.00916331679268629,12.3525107436543,0.000232360699426928,54.557150103486,0.324166737348555,0.0103082844168084,"Malawi","Thyolo","STA Thukuta",105,7033.58343,1,"Adults",23217.675157
"10",10,6949.44451719438,43.7695374839314,21.1054090546603,0.38504708348758,0.0141889617068158,18.8643519610866,0.000378260749887355,83.1389128056226,0.495006568974167,0.016052858282981,"Malawi","Thyolo","STA Thukuta",105,7033.58343,1,"Adults",23217.675157
"11",11,6906.47352048599,65.9295704719877,31.8691071439997,0.583532655750517,0.0217947159099106,28.7053013776395,0.000603148725089895,126.109909514012,0.753180945871939,0.0247667579310514,"Malawi","Thyolo","STA Thukuta",105,7033.58343,1,"Adults",23217.675157
"12",12,6842.16790423393,98.9453075118238,48.0059810192101,0.882542961403309,0.0332896487132681,43.5474571309411,0.000947493978374363,190.41552576607,1.14255232856369,0.037958467200925,"Malawi","Thyolo","STA Thukuta",105,7033.58343,1,"Adults",23217.675157
"13",13,6746.60221393391,147.680869113762,72.0518167562644,1.33151546375755,0.0506304328439211,65.8649120871606,0.00147221230242519,285.98121606609,1.72801715594159,0.0578848240824932,"Malawi","Thyolo","STA Thukuta",105,7033.58343,1,"Adults",23217.675157
"14",14,6606.0448022982,218.62714386627,107.55866335321,2.00227296464437,0.0767191133577594,99.2715597400041,0.00226866430803851,426.538627701794,2.60436045346842,0.0878980570823734,"Malawi","Thyolo","STA Thukuta",105,7033.58343,1,"Adults",23217.675157
