"","time","S","E","I","H","C","R","D","inci","hosp","crits","lvl2","lvl3","lvl4","ID","POP","start","age","tot_pop"
"1",1,34507.51081,0,1,0,0,0,0,0,0,0,"Malawi","Mwanza","TA Kanduku",145,34508.51081,1,"Pediatrics",61661.939193
"2",2,34506.7733673544,0.607717088125991,0.794511059267657,0.0000592110959302853,0.000000192286522556963,0.335155090695661,0.00000000415854314687689,0.737442645630305,0.0000631399972443621,0.00000019644506570384,"Malawi","Mwanza","TA Kanduku",145,34508.51081,1,"Pediatrics",61661.939193
"3",3,34506.1086401166,0.965662116342032,0.799126400418313,0.000105760003287331,0.000000684551419019187,0.637274891928649,0.0000000302105209321665,1.40216988345422,0.000120055242086358,0.000000714761939951354,"Malawi","Mwanza","TA Kanduku",145,34508.51081,1,"Pediatrics",61661.939193
"4",4,34505.3940901055,1.25284586448333,0.901671229652367,0.000150919081855605,0.00000142114173661522,0.962050365386998,0.0000000947858143177976,2.1167198945321,0.000181237632874266,0.00000151592755093302,"Malawi","Mwanza","TA Kanduku",145,34508.51081,1,"Pediatrics",61661.939193
"5",5,34504.566688039,1.54331477642534,1.06247405542124,0.000199897574804058,0.00000239652927150323,1.33813062222594,0.000000212812648590143,2.94412196098925,0.000252084413205925,0.00000260934192009338,"Malawi","Mwanza","TA Kanduku",145,34508.51081,1,"Pediatrics",61661.939193
"6",6,34503.5830590587,1.87178687652094,1.27046937267276,0.000255731085821164,0.00000362926335688749,1.7852349320621,0.000000399703538187835,3.92775094130851,0.00033631042372267,0.00000402896689507532,"Malawi","Mwanza","TA Kanduku",145,34508.51081,1,"Pediatrics",61661.939193
"7",7,34502.4034909539,2.25911624915935,1.52645504334415,0.00032081253034611,0.00000515272642136068,2.32142111586401,0.000000672519142951591,5.10731904614343,0.000437317441632355,0.00000582524556431227,"Malawi","Mwanza","TA Kanduku",145,34508.51081,1,"Pediatrics",61661.939193
"8",8,34500.9849873905,2.72234829802517,1.83682482129626,0.000397522606831667,0.00000701253648369063,2.96624390427241,0.00000105079307608893,6.52582260953022,0.000558789198027258,0.00000806332955977957,"Malawi","Mwanza","TA Kanduku",145,34508.51081,1,"Pediatrics",61661.939193
"9",9,34499.2776380581,3.27890070856975,2.21136536888748,0.000488522160153625,0.00000926672467979031,3.7424065182506,0.00000155729330783867,8.23317194188598,0.000705002519906205,0.000010824017987629,"Malawi","Mwanza","TA Kanduku",145,34508.51081,1,"Pediatrics",61661.939193
"10",10,34497.2220774322,3.94854176201708,2.66266129173103,0.000596923920523479,0.0000119872364297966,4.67691838408781,0.00000221883887824201,10.2887325678317,0.000881045426684252,0.0000142060753080386,"Malawi","Mwanza","TA Kanduku",145,34508.51081,1,"Pediatrics",61661.939193
"11",11,34494.7471231209,4.7546019526643,3.20616766754355,0.000726430212274493,0.0000152622545095046,5.80217249919696,0.0000030672391835297,12.7636868791108,0.00109302008613518,0.0000183294936930343,"Malawi","Mwanza","TA Kanduku",145,34508.51081,1,"Pediatrics",61661.939193
"12",12,34491.7672123031,5.72497363177875,3.86060288402384,0.000881471335001111,0.0000191992044388379,7.15711637017083,0.00000414039859161259,15.7435976969115,0.00134826339561012,0.0000233396030304505,"Malawi","Mwanza","TA Kanduku",145,34508.51081,1,"Pediatrics",61661.939193
"13",13,34488.1794201792,6.89314175090149,4.64853573830254,0.00106736183951582,0.000023928468096293,8.78861555760569,0.00000548363220956189,19.3313898207495,0.00165560384563292,0.0000294121003058549,"Malawi","Mwanza","TA Kanduku",145,34508.51081,1,"Pediatrics",61661.939193
"14",14,34483.8599322536,8.29934789730879,5.59713338955387,0.00129048350650434,0.0000296078843174837,10.753069216854,0.00000715123305319307,23.6508777463406,0.00202566585391788,0.0000367591173706768,"Malawi","Mwanza","TA Kanduku",145,34508.51081,1,"Pediatrics",61661.939193
"15",15,34478.6598011071,9.99196795866072,6.73908040830549,0.00155850478946746,0.0000364282205146656,13.1183563844978,0.00000920836025050756,28.8510088928343,0.00247123640477093,0.0000456365807651732,"Malawi","Mwanza","TA Kanduku",145,34508.51081,1,"Pediatrics",61661.939193
"16",16,34472.399881082,12.0291431391011,8.11368493092829,0.00188064258576713,0.0000446197527994119,15.9661638522782,0.0000117332964827516,35.1109289179426,0.0030077035714104,0.0000563530492821634,"Malawi","Mwanza","TA Kanduku",145,34508.51081,1,"Pediatrics",61661.939193
