"","time","S","E","I","H","C","R","D","inci","hosp","crits","lvl2","lvl3","lvl4","ID","POP","start","age","tot_pop"
"1",1,13472.90405,0,1,0,0,0,0,0,0,0,"Malawi","Lilongwe","TA Malili",182,13473.90405,1,"Elderly",147418.19273
"2",2,13253.5688608521,199.210569695619,19.1141044687652,0.222657762059064,0.00207922221947978,1.78575984924139,0.0000181500390234549,219.335189147943,0.229894523235351,0.00210966635686293,"Malawi","Lilongwe","TA Malili",182,13473.90405,1,"Elderly",147418.19273
"3",3,7617.97792402215,5189.01763915756,597.068485467599,7.70768601102602,0.0797225605813607,62.0517631306413,0.000829650454936599,5854.92612597786,7.98593094059637,0.0811141825165775,"Malawi","Lilongwe","TA Malili",182,13473.90405,1,"Elderly",147418.19273
"4",4,17.9908613179393,9323.36592303586,3321.83809969569,87.6762610172861,1.43109750162131,721.581632085105,0.0201753465007686,13454.9131886821,92.7014216321839,1.46493880740739,"Malawi","Lilongwe","TA Malili",182,13473.90405,1,"Elderly",147418.19273
"5",5,0.0000390199486635746,6359.21985251432,4706.61242151975,249.658691500309,7.21565565725509,2151.0334777344,0.163912054022894,13472.9040109801,275.353582743138,7.49059507115819,"Malawi","Lilongwe","TA Malili",182,13473.90405,1,"Elderly",147418.19273
"6",6,0.0000000134649474121801,4328.79975186435,4868.77275851139,421.203428580412,18.7028314710655,3835.79573763402,0.629541925311619,13472.9040499866,488.981782545512,19.7587994961408,"Malawi","Lilongwe","TA Malili",182,13473.90405,1,"Elderly",147418.19273
"7",7,-0.000000542481383315775,2946.66802960307,4447.56741482539,565.363931829294,35.1297330560166,5477.55561443469,1.61932679402791,13472.9040505425,695.186321445552,37.8459259700864,"Malawi","Lilongwe","TA Malili",182,13473.90405,1,"Elderly",147418.19273
"8",8,0.0000000290591719348259,2005.83152883398,3798.99127254588,669.494387746971,54.9536300958752,6941.34353573582,3.28969501242358,13472.904049971,876.929439330547,60.47163073364,"Malawi","Lilongwe","TA Malili",182,13473.90405,1,"Elderly",147418.19273
"9",9,-0.000000179232746378419,1365.39795882522,3111.16758067657,733.301776980031,76.5252789776119,8181.77526763216,5.73618708764573,13472.9040501792,1028.81046110771,86.146925935288,"Malawi","Lilongwe","TA Malili",182,13473.90405,1,"Elderly",147418.19273
"10",10,0.000000915898786018002,929.444766198858,2475.28678753209,762.071991486686,98.3988938303669,9199.70549860197,8.99611143413138,13472.9040490841,1151.37048424083,113.488605321393,"Malawi","Lilongwe","TA Malili",182,13473.90405,1,"Elderly",147418.19273
"11",11,-0.00000000226985406440412,632.684606888408,1928.29864111735,762.983663112907,119.444537656771,10017.4339659652,13.0586352616551,13472.9040500023,1247.84980236212,141.34856141278,"Malawi","Lilongwe","TA Malili",182,13473.90405,1,"Elderly",147418.19273
"12",12,-0.0000000237840701192289,430.675959621287,1478.26193101565,743.224266945953,138.858208685094,10665.0067280627,17.8769556930769,13472.9040500238,1322.40863817827,168.844287194852,"Malawi","Lilongwe","TA Malili",182,13473.90405,1,"Elderly",147418.19273
"13",13,-0.000000128950626586626,293.166249918814,1119.02769084532,709.132729774375,156.124862499041,11173.0726670303,23.3798500610975,13472.904050129,1379.20936559592,195.341272245469,"Malawi","Lilongwe","TA Malili",182,13473.90405,1,"Elderly",147418.19273
"14",14,-0.0000000366221067059928,199.562150988582,838.490257841818,665.902593131408,170.964488615441,11569.5031011573,29.4814583020739,13472.9040500366,1421.99098612031,220.415487902221,"Malawi","Lilongwe","TA Malili",182,13473.90405,1,"Elderly",147418.19273
"15",15,-0.000000022515939694478,135.844449344612,623.018548315518,617.573908720948,183.276652967624,11878.1014886745,36.0890019993345,13472.9040500225,1453.91520309704,243.810877355166,"Malawi","Lilongwe","TA Malili",182,13473.90405,1,"Elderly",147418.19273
"16",16,-0.0000000178409735113395,92.4709806988788,459.662219816303,567.157861583585,193.090908468738,12118.4135583958,43.1085210545279,13472.9040500179,1477.55394667307,265.399388669381,"Malawi","Lilongwe","TA Malili",182,13473.90405,1,"Elderly",147418.19273
"17",17,-0.0000000052923759458875,62.946087847534,337.10780595302,516.809123900897,200.5255691115,12306.0665383675,50.4489248248865,13472.9040500053,1494.9436204602,285.146544097624,"Malawi","Lilongwe","TA Malili",182,13473.90405,1,"Elderly",147418.19273
"18",18,-0.0000000020784204156998,42.8481901161516,245.953509955132,468.00157816358,205.755250347242,12453.3208537356,58.0246676844224,13472.9040500021,1507.6648735942,303.083468336926,"Malawi","Lilongwe","TA Malili",182,13473.90405,1,"Elderly",147418.19273
"19",19,-0.00000000108841076044163,29.1673085038469,178.641808260959,421.686765293562,208.986293674232,12569.6645071013,65.7573671672226,13472.9040500011,1516.92605865219,319.285027324667,"Malawi","Lilongwe","TA Malili",182,13473.90405,1,"Elderly",147418.19273
"20",20,-0.000000000675723346595956,19.8545694981282,129.240070819028,378.427149272405,210.438856405132,12662.3667709724,73.5766330335487,13472.9040500007,1523.6398293429,333.853308647806,"Malawi","Lilongwe","TA Malili",182,13473.90405,1,"Elderly",147418.19273
"21",21,-0.000000000476604220531209,13.5152363714913,93.1734937812297,338.503429338514,210.334316590552,12736.9572405124,81.4203334062452,13472.9040500005,1528.48877927826,346.905472872817,"Malawi","Lilongwe","TA Malili",182,13473.90405,1,"Elderly",147418.19273
"22",22,-0.000000000370612893479236,9.19998460299228,66.9628093932316,301.998146760565,208.88680891974,12797.6218296091,89.2344707147451,13472.9040500004,1531.97930066028,358.5650813599,"Malawi","Lilongwe","TA Malili",182,13473.90405,1,"Elderly",147418.19273
"23",23,-0.000000000309862672558874,6.26254306047643,47.9910840748234,268.859256684772,206.297844638004,12847.5205174601,96.9728040820965,13472.9040500003,1534.48452818216,368.956082787759,"Malawi","Lilongwe","TA Malili",182,13473.90405,1,"Elderly",147418.19273
"24",24,-0.000000000272554213745292,4.26298740009598,34.3077377254585,238.947311100156,202.753209560494,12889.0364892494,104.596314964693,13472.9040500003,1536.27780667546,378.198814853195,"Malawi","Lilongwe","TA Malili",182,13473.90405,1,"Elderly",147418.19273
"25",25,-0.000000000248747712072527,2.90186756193973,24.4697993834579,212.069803422888,198.421475773153,12923.9685145972,112.07258926166,13472.9040500003,1537.55837516764,386.407479547467,"Malawi","Lilongwe","TA Malili",182,13473.90405,1,"Elderly",147418.19273
"26",26,-0.000000000233057268273162,1.97533617907886,17.4166378442186,188.005638440824,193.453631701304,12953.6776395685,119.375166266269,13472.9040500002,1538.47082183672,393.688681182462,"Malawi","Lilongwe","TA Malili",182,13473.90405,1,"Elderly",147418.19273
"27",27,-0.000000000222506443206752,1.34463514336246,12.3728856591161,166.522164395568,187.983460306559,12979.1980158414,126.482888654183,13472.9040500002,1539.11967336406,400.140714284319,"Malawi","Lilongwe","TA Malili",182,13473.90405,1,"Elderly",147418.19273
"28",28,-0.000000000215308726931507,0.915309437944347,8.77441654012199,147.386689432086,182.1283927528,13001.3199656778,133.379276159503,13472.9040500002,1539.5802359455,405.853366689072,"Malawi","Lilongwe","TA Malili",182,13473.90405,1,"Elderly",147418.19273
"29",29,-0.000000000210349707685054,0.62306222920562,6.21249232198232,130.373986498955,175.990641523767,13020.6519306474,140.051936778937,13472.9040500002,1539.90659928264,410.908065038062,"Malawi","Lilongwe","TA Malili",182,13473.90405,1,"Elderly",147418.19273
"30",30,-0.000000000206910260344902,0.424125994428788,4.39204476125743,115.270917482138,169.658475781476,13037.6664627854,146.492023195517,13472.9040500002,1540.13750791983,415.378238363601,"Malawi","Lilongwe","TA Malili",182,13473.90405,1,"Elderly",147418.19273
"31",31,-0.000000000204514239472968,0.288707661637156,3.10075985047408,101.879026927965,163.207544469068,13052.7342732416,152.693737849452,13472.9040500002,1540.30064585447,419.329811017798,"Malawi","Lilongwe","TA Malili",182,13473.90405,1,"Elderly",147418.19273
"32",32,-0.000000000202840414890678,0.196526809088235,2.18631243471306,90.0157336963317,156.702184203429,13066.1494056705,158.65388718617,13472.9040500002,1540.41574985902,422.821762878959,"Malawi","Lilongwe","TA Malili",182,13473.90405,1,"Elderly",147418.19273
"33",33,-0.000000000201669127139338,0.133778172024059,1.53970268668794,79.514576178123,150.196672020475,13078.1478372409,164.371483702009,13472.9040500002,1540.49686221535,425.906714584523,"Malawi","Lilongwe","TA Malili",182,13473.90405,1,"Elderly",147418.19273
"34",34,-0.000000000200848747012081,0.0910643455463764,1.08311878541653,70.2248397596423,143.736399072511,13088.9212347871,169.847393249966,13472.9040500002,1540.55395495726,428.631509633397,"Malawi","Lilongwe","TA Malili",182,13473.90405,1,"Elderly",147418.19273
"35",35,-0.000000000200273930594321,0.0619886087974496,0.761133872228596,62.0108001843304,137.358952599951,13098.6271503298,175.084024405125,13472.9040500002,1540.59409736923,431.037775311896,"Malawi","Lilongwe","TA Malili",182,13473.90405,1,"Elderly",147418.19273
"36",36,-0.000000000199871165502448,0.0421963864110863,0.53434234850153,54.7507465424127,131.095101296006,13107.3966070949,180.085056331937,13472.9040500002,1540.62229325596,433.16245159407,"Malawi","Lilongwe","TA Malili",182,13473.90405,1,"Elderly",147418.19273
"37",37,-0.000000000199589018588727,0.028723587029661,0.37478084414986,48.3358948604938,124.969684248519,13115.3397648756,184.855201584412,13472.9040500002,1540.64207905169,435.03828221422,"Malawi","Lilongwe","TA Malili",182,13473.90405,1,"Elderly",147418.19273
"38",38,-0.000000000199391443666434,0.019552492455612,0.262638023017866,42.6692691488615,119.002406884128,13122.5501831846,189.400000267174,13472.9040500002,1540.65595082337,436.69426534519,"Malawi","Lilongwe","TA Malili",182,13473.90405,1,"Elderly",147418.19273
"39",39,-0.000000000199253158076319,0.0133096145291951,0.183899952923739,37.6645984880669,113.208549322711,13129.1080504081,193.725642213888,13472.9040500002,1540.66566806233,438.156063682136,"Malawi","Lilongwe","TA Malili",182,13473.90405,1,"Elderly",147418.19273
"40",40,-0.000000000199156422442434,0.00905999210478714,0.128667373664223,33.2452614001405,107.599593648193,13135.0826535675,197.838814018556,13472.9040500002,1540.6724696194,439.446375129853,"Malawi","Lilongwe","TA Malili",182,13473.90405,1,"Elderly",147418.19273
"41",41,-0.000000000199088792180605,0.00616725330411848,0.0899574617106404,29.3432953562015,102.18377697184,13140.5342849056,201.746568051567,13472.9040500002,1540.67722671976,440.585266158911,"Malawi","Lilongwe","TA Malili",182,13473.90405,1,"Elderly",147418.19273
"42",42,-0.000000000199041537770861,0.00419811915574522,0.0628497322710356,25.898481014471,96.9665773664448,13145.5157329816,205.456210786252,13472.9040500002,1540.68055154536,441.590470423347,"Malawi","Lilongwe","TA Malili",182,13473.90405,1,"Elderly",147418.19273
"43",43,-0.000000000199008540083287,0.00285771626046548,0.0438817026716248,22.8575040251814,91.951139347037,13150.0734590995,208.975208109568,13472.9040500002,1540.68287373517,442.477655413374,"Malawi","Lilongwe","TA Malili",182,13473.90405,1,"Elderly",147418.19273
"44",44,-0.000000000198985511143296,0.00194528135640692,0.0306189760870218,20.1731944499561,87.1386453899735,13154.2485404602,212.311105442668,13472.9040500002,1540.68449460943,443.260659987951,"Malawi","Lilongwe","TA Malili",182,13473.90405,1,"Elderly",147418.19273
"45",45,-0.000000000198969448559398,0.00132417744512094,0.0213519958590052,17.8038404676589,82.5286393856669,13158.0774331687,215.471460804876,13472.9040500002,1540.68562527317,443.951705551758,"Malawi","Lilongwe","TA Malili",182,13473.90405,1,"Elderly",147418.19273
"46",46,-0.000000000198958251189304,0.000901383482089804,0.0148812454962341,15.7125722480378,78.1193075199467,13161.5925984865,218.463789116724,13472.9040500002,1540.686413523,444.561583512732,"Malawi","Lilongwe","TA Malili",182,13473.90405,1,"Elderly",147418.19273
"47",47,-0.000000000198950449578986,0.000613583444504869,0.0103658359382954,13.8668106738758,73.9077215722705,13164.8230220869,221.295516247782,13472.9040500002,1540.68696275123,445.099821501969,"Malawi","Lilongwe","TA Malili",182,13473.90405,1,"Elderly",147418.19273
"48",48,-0.00000000019894501671403,0.000417673111539215,0.00721678843883033,12.2377756439555,69.8900490437259,13167.7946493423,223.973941508702,13472.9040500002,1540.68734523407,445.574830587418,"Malawi","Lilongwe","TA Malili",182,13473.90405,1,"Elderly",147418.19273
