"","time","S","E","I","H","C","R","D","inci","hosp","crits","lvl2","lvl3","lvl4","ID","POP","start","age","tot_pop"
"1",1,12327.58163,0,1,0,0,0,0,0,0,0,"Malawi","Nkhata Bay","TA Mankhambira",183,12328.58163,1,"Pediatrics",21637.199363
"2",2,10838.3268319366,1385.47594220669,97.5637920446156,0.00139728782775242,0.00000162500868210497,7.21366488085168,0.0000000183758652587212,1489.25479806337,0.0014301555186997,0.00000164338454736369,"Malawi","Nkhata Bay","TA Mankhambira",183,12328.58163,1,"Pediatrics",21637.199363
"3",3,9.33881377252926,9483.72987499691,2432.84941936619,0.0768036470954285,0.000148170997778181,402.586567641737,0.00000240454629603911,12318.2428162275,0.0798151579769129,0.00015057554407422,"Malawi","Nkhata Bay","TA Mankhambira",183,12328.58163,1,"Pediatrics",21637.199363
"4",4,-0.0000000727499781939122,6462.19110556027,4141.38386078496,0.315429185596553,0.00128519389004456,1724.68990963266,0.0000397153736648454,12327.5816300728,0.341927370870741,0.00132490926370941,"Malawi","Nkhata Bay","TA Mankhambira",183,12328.58163,1,"Pediatrics",21637.199363
"5",5,0.000000218576397054269,4398.89647813093,4510.9670280492,0.594220474536321,0.00397566969326551,3418.11973157702,0.000195880031118436,12327.5816297814,0.677651469023999,0.00417154972438395,"Malawi","Nkhata Bay","TA Mankhambira",183,12328.58163,1,"Pediatrics",21637.199363
"6",6,-0.0000000402207596790608,2994.38486528316,4222.35406098338,0.839656684344633,0.00811312764108864,5110.9943669617,0.000566999994510325,12327.5816300402,1.01325923705661,0.00868012763559896,"Malawi","Nkhata Bay","TA Mankhambira",183,12328.58163,1,"Pediatrics",21637.199363
"7",7,0.000000260408956918512,2038.31619241414,3658.17396451173,1.02383832341436,0.0133060352220764,6631.05309641109,0.00123204398511499,12327.5816297396,1.31459990755819,0.0145380792071914,"Malawi","Nkhata Bay","TA Mankhambira",183,12328.58163,1,"Pediatrics",21637.199363
"8",8,-0.000000385450263463832,1387.50816451816,3023.81948850246,1.1425235467447,0.0190982300688753,7916.09011288297,0.00224270503815477,12327.5816303855,1.5693422488853,0.02134093510703,"Malawi","Nkhata Bay","TA Mankhambira",183,12328.58163,1,"Pediatrics",21637.199363
"9",9,0.000000264920423953511,944.494509226254,2421.61770270057,1.20257841854796,0.0250741280427614,8961.23814217248,0.00362308918279636,12327.5816297351,1.77652276305912,0.0286972172255577,"Malawi","Nkhata Bay","TA Mankhambira",183,12328.58163,1,"Pediatrics",21637.199363
"10",10,0.000000111332914401372,642.929776719701,1895.70507594947,1.21506287542411,0.0309002537520474,9788.69544030433,0.00537378599109188,12327.5816298887,1.94054367028689,0.0362740397431392,"Malawi","Nkhata Bay","TA Mankhambira",183,12328.58163,1,"Pediatrics",21637.199363
"11",11,0.00000000834750809981062,437.650767725387,1458.75682581569,1.1916293401544,0.0363333913504736,10430.9385963438,0.00747737529966469,12327.5816299917,2.06784467315716,0.0438107666501383,"Malawi","Nkhata Bay","TA Mankhambira",183,12328.58163,1,"Pediatrics",21637.199363
"12",12,0.000000794965949699117,297.914087243478,1107.57647155019,1.14281988266321,0.041212792873459,10921.8971338595,0.00990387628312061,12327.5816292051,2.1651532657948,0.0511166691565796,"Malawi","Nkhata Bay","TA Mankhambira",183,12328.58163,1,"Pediatrics",21637.199363
"13",13,-0.00000000310303882306726,202.794180858052,831.938694140651,1.07741270847181,0.0454460928264806,11292.7132807257,0.0126154773759023,12327.5816300031,2.23864411251946,0.0580615702023829,"Malawi","Nkhata Bay","TA Mankhambira",183,12328.58163,1,"Pediatrics",21637.199363
"14",14,0.0000000168248015020078,138.044323109756,619.405054324188,1.00232122230026,0.0489939427432243,11570.0653670534,0.0155703307835531,12327.5816299832,2.2936066928358,0.0645642735267774,"Malawi","Nkhata Bay","TA Mankhambira",183,12328.58163,1,"Pediatrics",21637.199363
"15",15,0.000000224282546268361,93.9685296318095,457.77827874056,0.92275348225098,0.0518559448058124,11775.841486563,0.0187254133130852,12327.5816297757,2.33438064462893,0.0705813581188976,"Malawi","Nkhata Bay","TA Mankhambira",183,12328.58163,1,"Pediatrics",21637.199363
"16",16,0.0000000504720319418509,63.9655880826032,336.217458018998,0.84247737780171,0.0540587188051191,11927.4800091735,0.0220385778294539,12327.5816299495,2.36442331049317,0.076097296634573,"Malawi","Nkhata Bay","TA Mankhambira",183,12328.58163,1,"Pediatrics",21637.199363
"17",17,0.00000000981925305248432,43.5421509573633,245.614368472337,0.764103749453653,0.0556464187808284,12038.5798904602,0.0254699320747429,12327.5816299902,2.38643076656508,0.0811163508555713,"Malawi","Nkhata Bay","TA Mankhambira",183,12328.58163,1,"Pediatrics",21637.199363
"18",18,0.000000000744805212485083,29.6397041062343,178.592628356091,0.68934786140535,0.0566734798971862,12119.5742934987,0.0289826968855052,12327.5816299993,2.40247139705918,0.0856561767826914,"Malawi","Nkhata Bay","TA Mankhambira",183,12328.58163,1,"Pediatrics",21637.199363
"19",19,-0.000000000137871361951822,20.1761206326081,129.330266209106,0.61925306011007,0.0571992706495436,12178.3662471545,0.0325436731723719,12327.5816300002,2.41411193654838,0.0897429438219155,"Malawi","Nkhata Bay","TA Mankhambira",183,12328.58163,1,"Pediatrics",21637.199363
"20",20,-0.0000000011309264406263,13.7341249690029,93.3190960918236,0.554372383499673,0.0572843024141366,12220.8806288301,0.0361234243190464,12327.5816300011,2.42252691816333,0.093407726733183,"Malawi","Nkhata Bay","TA Mankhambira",183,12328.58163,1,"Pediatrics",21637.199363
"21",21,-0.000000000688195013937377,9.34898730576193,67.1192285754929,0.494911302382868,0.0569876443671115,12251.5218189113,0.0396962613497415,12327.5816300007,2.42858941671992,0.096683905716853,"Malawi","Nkhata Bay","TA Mankhambira",183,12328.58163,1,"Pediatrics",21637.199363
"22",22,-0.000000000357555723730454,6.363972550096,48.1365714435119,0.440836790216619,0.0563652540516483,12273.5406438658,0.0432400966728251,12327.5816300004,2.43294380470609,0.0996053507244735,"Malawi","Nkhata Bay","TA Mankhambira",183,12328.58163,1,"Pediatrics",21637.199363
"23",23,-0.000000000270969161324945,4.33203435250219,34.4333279719807,0.391958833513206,0.0554689828828783,12289.3221036439,0.0467362154887695,12327.5816300003,2.43606280094616,0.102205198371648,"Malawi","Nkhata Bay","TA Mankhambira",183,12328.58163,1,"Pediatrics",21637.199363
"24",24,-0.000000000249721359584797,2.94886703735036,24.5733716813263,0.347990046004762,0.0543460661179816,12300.6068861684,0.050169001102833,12327.5816300003,2.43829139042105,0.104515067220815,"Malawi","Nkhata Bay","TA Mankhambira",183,12328.58163,1,"Pediatrics",21637.199363
"25",25,-0.00000000021549170906226,2.00732968458546,17.4994452714562,0.308588392004515,0.0530389507886847,12308.6597020618,0.053525639591947,12327.5816300002,2.43988019961715,0.106564590380632,"Malawi","Nkhata Bay","TA Mankhambira",183,12328.58163,1,"Pediatrics",21637.199363
