"","time","S","E","I","H","C","R","D","inci","hosp","crits","lvl2","lvl3","lvl4","ID","POP","start","age","tot_pop"
"1",1,39060.58106,0,1,0,0,0,0,0,0,0,"Malawi","Lilongwe","TA Tsabango",106,39061.58106,1,"Pediatrics",73435.912099
"2",2,39059.8732922664,0.583153739320779,0.790021286836314,0.0000583949082559364,0.000000189817418069184,0.334534118652318,0.00000000410671608056564,0.7077677336418,0.0000622733909389314,0.00000019392413414975,"Malawi","Lilongwe","TA Tsabango",106,39061.58106,1,"Pediatrics",73435.912099
"3",3,39059.2414841857,0.92139643165231,0.78489828998458,0.000103787984850366,0.000000674031963205078,0.633176600888231,0.0000000297876507109307,1.33957581432958,0.000117864377128686,0.000000703819613916009,"Malawi","Lilongwe","TA Tsabango",106,39061.58106,1,"Pediatrics",73435.912099
"4",4,39058.5711640015,1.18561853322919,0.874096040345108,0.000147098764595939,0.00000139406484685537,0.950032838890645,0.000000093242736837992,2.00989599853712,0.000176844916269806,0.00000148730758369336,"Malawi","Lilongwe","TA Tsabango",106,39061.58106,1,"Pediatrics",73435.912099
"5",5,39057.8048047149,1.44636067762691,1.01740277499143,0.000193302686261958,0.00000233998090490438,1.31229598106129,0.000000208736901145436,2.77625528508369,0.000244277042382955,0.00000254871780604982,"Malawi","Lilongwe","TA Tsabango",106,39061.58106,1,"Pediatrics",73435.912099
"6",6,39056.9045527565,1.73589940811793,1.20249629863418,0.000245182908496491,0.00000352475220069146,1.73786243842054,0.000000390707619110581,3.67650724354096,0.000323492104892532,0.00000391545981980204,"Malawi","Lilongwe","TA Tsabango",106,39061.58106,1,"Pediatrics",73435.912099
"7",7,39055.8372577413,2.07254498750726,1.42853896662541,0.000304814838265999,0.00000497480761085118,2.24240786011734,0.000000654850610839458,4.74380225874649,0.000417408002699812,0.00000562965822169063,"Malawi","Lilongwe","TA Tsabango",106,39061.58106,1,"Pediatrics",73435.912099
"8",8,39054.5680866823,2.47026892685871,1.69991632705406,0.000374173264389562,0.00000672704891253049,2.84240614462022,0.000001018847171325,6.01297331769346,0.000529091186066671,0.00000774589608385549,"Malawi","Lilongwe","TA Tsabango",106,39061.58106,1,"Pediatrics",73435.912099
"9",9,39053.0573691834,2.94265993930508,2.02394339356307,0.00045540372550045,0.00000882853586290784,3.55662174848275,0.0000015030004226737,7.52369081661268,0.000662034451212081,0.0000103315362855815,"Malawi","Lilongwe","TA Tsabango",106,39061.58106,1,"Pediatrics",73435.912099
"10",10,39051.2585770387,3.50470824598779,2.41014394135914,0.000550969368979433,0.0000113373889615405,4.4070663363194,0.00000213089342744375,9.32248296131769,0.000820335016759118,0.0000134682823889843,"Malawi","Lilongwe","TA Tsabango",106,39061.58106,1,"Pediatrics",73435.912099
