time,S_e,E_e,I_e,H_e,C_e,R_e,D_e,inci_e,hosp_e,crits_e,S_a,E_a,I_a,H_a,C_a,R_a,D_a,inci_a,hosp_a,crits_a,S_p,E_p,I_p,H_p,C_p,R_p,D_p,inci_p,hosp_p,crits_p,UID,Lvl1,Lvl2,Lvl3,Lvl4,TA_Code,TA_Code2,Adults_Crit_of_Hosp,Adults_Critical_Care,Adults_FR_of_Crit,Adults_FR_of_Hosp,Adults_Hospitalization,Adults_IFR,Adults_Population,Elderly_Crit_of_Hosp,Elderly_Critical_Care,Elderly_FR_of_Crit,Elderly_FR_of_Hosp,Elderly_Hospitalization,Elderly_IFR,Elderly_Population,Pediatrics_Crit_of_Hosp,Pediatrics_Critical_Care,Pediatrics_FR_of_Crit,Pediatrics_FR_of_Hosp,Pediatrics_Hospitalization,Pediatrics_IFR,Pediatrics_Population,start_day,start_date
31,230.603209,0,0,0,0,0,0,0,0,0,2291.86635,1,0,0,0,0,0,0,0,0,2497.30022,0,0,0,0,0,0,0,0,0,105,Sub-Saharan Africa,Malawi,Lilongwe City,Area 46,21076,MW21076,0.1366405,0.003101351,0.2098040,0.02866773,0.02269715,0.000650676, 2292.86635,0.2492225,0.02578515,0.5954880,0.1484090,0.1034624,0.01535475,  230.603209,0.05,9.19e-06,1,0.2220206,0.000183865,4.08e-05,  2497.30022,31,2020-04-03
32,230.57498256069385,0.024668142589999473,0.0032407880533150612,3.086282889188216e-5,4.828870675622012e-7,2.861555553444776e-4,7.391549522581402e-9,0.028226439306167972,3.285020827960821e-5,4.952996594575567e-7,2291.7183944430362,0.8810738495224467,0.23144175313507542,7.392091261492221e-4,8.625169366751758e-6,0.034692061133215046,5.8876382353660806e-8,0.14795555696263518,8.043859588563036e-4,8.905795009511958e-6,2497.2109266746197,0.07841221234578524,0.00992851816470962,1.6467870876107833e-7,5.104951352376344e-10,9.524296670163601e-4,1.3012208279806433e-11,0.0892933253797273,1.7514885563142712e-7,5.235073435174407e-10,105,Sub-Saharan Africa,Malawi,Lilongwe City,Area 46,21076,MW21076,0.1366405,0.003101351,0.2098040,0.02866773,0.02269715,0.000650676, 2292.86635,0.2492225,0.02578515,0.5954880,0.1484090,0.1034624,0.01535475,  230.603209,0.05,9.19e-06,1,0.2220206,0.000183865,4.08e-05,  2497.30022,31,2020-04-03
33,230.5409014708552,0.04831016392827747,0.011655140247061248,2.1399044213170142e-4,6.711448127131179e-6,0.0021213134914093578,2.0958782617691743e-7,0.06230752914483308,2.42332216683814e-4,7.063407908313868e-6,2291.5251945598407,0.8311365915098916,0.38511964740262583,0.002390489337223592,5.687279957029751e-5,0.12245103227225419,8.068370558655909e-7,0.3411554401586211,0.002834855905563008,6.071847008118192e-5,2497.0839231599593,0.17021720339479754,0.03862056643011875,1.2146056623584095e-6,7.458220801721042e-9,0.00745784776552025,3.845933251839645e-10,0.21629684003891295,1.3714619448965093e-6,7.842814126905005e-9,105,Sub-Saharan Africa,Malawi,Lilongwe City,Area 46,21076,MW21076,0.1366405,0.003101351,0.2098040,0.02866773,0.02269715,0.000650676, 2292.86635,0.2492225,0.02578515,0.5954880,0.1484090,0.1034624,0.01535475,  230.603209,0.05,9.19e-06,1,0.2220206,0.000183865,4.08e-05,  2497.30022,31,2020-04-03
34,230.50012512037893,0.07192305734364836,0.023827328057183874,6.302053875053145e-4,2.9650060227988045e-5,0.006672219197852585,1.4195746899733746e-6,0.1030838796211081,7.587409124158694e-4,3.203394485702067e-5,2291.281764595438,0.8374297269270612,0.4957152842141737,0.004416144588862803,1.5959253763496456e-4,0.24686113412433833,3.522169167183831e-6,0.5845854045612381,0.005706980325512828,1.7638044047372758e-4,2496.914868306864,0.27588650201018144,0.08478175781511729,3.792765637920857e-6,3.457150424773084e-8,0.024679603260604595,2.7111871235827447e-9,0.3853516931342325,4.53841946534713e-6,3.7282691371313576e-8,105,Sub-Saharan Africa,Malawi,Lilongwe City,Area 46,21076,MW21076,0.1366405,0.003101351,0.2098040,0.02866773,0.02269715,0.000650676, 2292.86635,0.2492225,0.02578515,0.5954880,0.1484090,0.1034624,0.01535475,  230.603209,0.05,9.19e-06,1,0.2220206,0.000183865,4.08e-05,  2497.30022,31,2020-04-03
35,230.45133897028037,0.09666638231233547,0.03896499300323223,0.001314260050612858,8.21757938138234e-5,0.014836860775513147,5.35778417041492e-6,0.15187002971967795,0.0016800901574198156,9.11730937936969e-5,2290.9807626161673,0.8924132912259505,0.5868394071297339,0.0065607845808654435,3.176587564379585e-4,0.39944657890146235,9.663237433541832e-6,0.8855873838318835,0.009222639306456117,3.637171606320723e-4,2496.6980868131664,0.3969422036903371,0.14769221763786114,8.353234038484044e-6,1.003057644562261e-7,0.057490301330394664,1.0633059582390821e-8,0.6021331868314553,1.0572010519256383e-5,1.109388240386169e-7,105,Sub-Saharan Africa,Malawi,Lilongwe City,Area 46,21076,MW21076,0.1366405,0.003101351,0.2098040,0.02866773,0.02269715,0.000650676, 2292.86635,0.2492225,0.02578515,0.5954880,0.1484090,0.1034624,0.01535475,  230.603209,0.05,9.19e-06,1,0.2220206,0.000183865,4.08e-05,  2497.30022,31,2020-04-03
36,230.39280917418884,0.12377588037656401,0.056771766533480095,0.002279470095908386,1.7695792408630774e-4,0.027381048288975935,1.4702592211178621e-5,0.2103998258112259,0.003088578074345633,2.0164791315607677e-4,2290.6123593830557,0.9925905686529148,0.6749005074515733,0.008738175674274965,5.26627803828989e-4,0.5772141086316578,2.0628728568719088e-5,1.2539906169428185,0.013311868053338711,6.249516135214597e-4,2496.4262252594312,0.5359949716763315,0.22733021266878045,1.5232589395619222e-5,2.255189230776545e-7,0.11065406784865156,3.026450487446059e-8,0.8739947405665871,2.0348257954661526e-5,2.5578342795211514e-7,105,Sub-Saharan Africa,Malawi,Lilongwe City,Area 46,21076,MW21076,0.1366405,0.003101351,0.2098040,0.02866773,0.02269715,0.000650676, 2292.86635,0.2492225,0.02578515,0.5954880,0.1484090,0.1034624,0.01535475,  230.603209,0.05,9.19e-06,1,0.2220206,0.000183865,4.08e-05,  2497.30022,31,2020-04-03
37,230.322383620981,0.15454440271155379,0.07733936595429905,0.003533958284809827,3.257372870747837e-4,0.045048872373418855,3.304240791603707e-5,0.28082537901907234,0.0050636164670089375,3.812252363131178e-4,2290.163979065069,1.1377290570812606,0.7717995036923759,0.010960714463985624,7.815759144046056e-4,0.7810623970590377,3.7686718684537695e-5,1.7023709349297487,0.017995262292577408,9.612041325726946e-4,2496.0899028833655,0.6967774955805471,0.3244734991674149,2.471096418107342e-5,4.3217831791307714e-7,0.18904090833630116,7.040559804699543e-8,1.2103171166323605,3.476264250027487e-5,5.025839159600727e-7,105,Sub-Saharan Africa,Malawi,Lilongwe City,Area 46,21076,MW21076,0.1366405,0.003101351,0.2098040,0.02866773,0.02269715,0.000650676, 2292.86635,0.2492225,0.02578515,0.5954880,0.1484090,0.1034624,0.01535475,  230.603209,0.05,9.19e-06,1,0.2220206,0.000183865,4.08e-05,  2497.30022,31,2020-04-03
38,230.23745162315288,0.190343601986931,0.10106748538325609,0.00509079192526756,5.394600010980472e-4,0.06865123003889861,6.480751164890989e-5,0.36575737684710014,0.007692045540376179,6.482909290914076e-4,2289.6199152987924,1.3303864010365676,0.8867925079497341,0.013297680815997987,0.001079573502802912,1.014816539327236,6.19985748039669e-5,2.2464347012071433,0.023361173104405275,0.001375080618034114,2495.6773293687506,0.8841992761765981,0.4407857085515753,3.7063814886901345e-5,7.428866975229577e-7,0.29786769717425177,1.4264364299717625e-7,1.6228906312476525,5.4774421697304e-5,8.855303405201342e-7,105,Sub-Saharan Africa,Malawi,Lilongwe City,Area 46,21076,MW21076,0.1366405,0.003101351,0.2098040,0.02866773,0.02269715,0.000650676, 2292.86635,0.2492225,0.02578515,0.5954880,0.1484090,0.1034624,0.01535475,  230.603209,0.05,9.19e-06,1,0.2220206,0.000183865,4.08e-05,  2497.30022,31,2020-04-03
39,230.1307581270611,0.23628542823305562,0.1290649725596416,0.006978378423700102,8.289262311487711e-4,0.09917793612893351,1.1523136236089854e-4,0.4724508729388407,0.011080871889373158,0.0010224336777487028,2288.9343808882004,1.598917041521496,1.0307140571312228,0.0158575700876492,0.0014208983031503402,1.2849648557442426,9.468901195502607e-5,2.9319691117997153,0.029559361235099366,0.0018722195932831614,2495.1536241503313,1.1222433088055812,0.5811236109875778,5.2642787418851566e-5,1.181136788509471e-6,0.44317484451062655,2.614382001032159e-7,2.1465958496661908,8.149428719110532e-5,1.4425749886126848e-6,105,Sub-Saharan Africa,Malawi,Lilongwe City,Area 46,21076,MW21076,0.1366405,0.003101351,0.2098040,0.02866773,0.02269715,0.000650676, 2292.86635,0.2492225,0.02578515,0.5954880,0.1484090,0.1034624,0.01535475,  230.603209,0.05,9.19e-06,1,0.2220206,0.000183865,4.08e-05,  2497.30022,31,2020-04-03
40,230.00036126750393,0.29152869499118944,0.16268665373841276,0.009255032275845402,0.0012062282048601602,0.13798073445145959,1.9038883426085576e-4,0.6028477324960283,0.015377863142195499,0.0015259472155889355,2288.095470077358,1.9347619868714037,1.2141248330414018,0.018791223909680778,0.0018100089866442248,1.6012549272020322,1.3694263107655896e-4,3.77087992264224,0.03681462075161538,0.00246272595618036,2494.509558233088,1.4063106541943047,0.7515171946256508,7.200863878798427e-5,1.773043749997353e-6,0.6327596920828601,4.44324728085482e-7,2.79066176691008,1.1635600834964097e-4,2.2173684780828326e-6,105,Sub-Saharan Africa,Malawi,Lilongwe City,Area 46,21076,MW21076,0.1366405,0.003101351,0.2098040,0.02866773,0.02269715,0.000650676, 2292.86635,0.2492225,0.02578515,0.5954880,0.1484090,0.1034624,0.01535475,  230.603209,0.05,9.19e-06,1,0.2220206,0.000183865,4.08e-05,  2497.30022,31,2020-04-03
