time,S_e,E_e,I_e,H_e,C_e,R_e,D_e,inci_e,hosp_e,crits_e,S_a,E_a,I_a,H_a,C_a,R_a,D_a,inci_a,hosp_a,crits_a,S_p,E_p,I_p,H_p,C_p,R_p,D_p,inci_p,hosp_p,crits_p,UID,Lvl1,Lvl2,Lvl3,Lvl4,TA_Code,TA_Code2,Adults_Crit_of_Hosp,Adults_Critical_Care,Adults_FR_of_Crit,Adults_FR_of_Hosp,Adults_Hospitalization,Adults_IFR,Adults_Population,Elderly_Crit_of_Hosp,Elderly_Critical_Care,Elderly_FR_of_Crit,Elderly_FR_of_Hosp,Elderly_Hospitalization,Elderly_IFR,Elderly_Population,Pediatrics_Crit_of_Hosp,Pediatrics_Critical_Care,Pediatrics_FR_of_Crit,Pediatrics_FR_of_Hosp,Pediatrics_Hospitalization,Pediatrics_IFR,Pediatrics_Population,start_day,start_date
57,690.113514,0,0,0,0,0,0,0,0,0,3436.78869,1,0,0,0,0,0,0,0,0,5326.43105,0,0,0,0,0,0,0,0,0,130,Sub-Saharan Africa,Malawi,Mchinji,TA Kazyozyo,20711,MW20711,0.1441596,0.003516485,0.2039088,0.02939542,0.02439299,0.000717042, 3437.78869,0.2846686,0.03141609,0.5956822,0.1695720,0.1103602,0.01871400,  690.113514,0.05,8.98e-06,1,0.2240912,0.000179591,4.02e-05,  5326.43105,57,2020-04-29
58,690.0271884183193,0.07564468587448206,0.009737086582179106,9.789413961863363e-5,1.738878202152803e-6,8.441496842823066e-4,2.652193827303796e-8,0.08632558168070253,1.0415897472705001e-4,1.783401839543743e-6,3436.5572106342975,0.9549148082562321,0.24030018085828253,8.133692461649691e-4,9.945734836765768e-6,0.035440995874273455,6.573376750763619e-8,0.23147936570355743,8.845965754927525e-4,1.0268103304961532e-5,5326.2276038191785,0.17938027249721716,0.02199388563502989,3.501026625614913e-7,1.0735322423598571e-9,0.0020716714858597133,2.7165968555383397e-11,0.20344618082146754,3.721166267797962e-7,1.1006982109152408e-9,130,Sub-Saharan Africa,Malawi,Mchinji,TA Kazyozyo,20711,MW20711,0.1441596,0.003516485,0.2039088,0.02939542,0.02439299,0.000717042, 3437.78869,0.2846686,0.03141609,0.5956822,0.1695720,0.1103602,0.01871400,  690.113514,0.05,8.98e-06,1,0.2240912,0.000179591,4.02e-05,  5326.43105,57,2020-04-29
59,689.9090893757639,0.16034392948121592,0.03686914023773972,7.040639278331802e-4,2.484392983078231e-5,0.006481878242719634,7.6841653158379e-7,0.20442462423587082,7.958685987976629e-4,2.6133907156919938e-5,3436.2095376802963,1.0227724241443064,0.4243746203769324,0.0027233166156374906,6.710955110190554e-5,0.12921393293298494,9.160829029899084e-7,0.5791523197038656,0.003220003357477076,7.16021620288979e-5,5325.889868839922,0.43175142543844897,0.09227111078202437,2.736412766413935e-6,1.642261999383285e-8,0.017155870190007444,8.334625572644882e-10,0.5411811600793296,3.081534417435882e-6,1.7256082551097326e-8,130,Sub-Saharan Africa,Malawi,Mchinji,TA Kazyozyo,20711,MW20711,0.1441596,0.003516485,0.2039088,0.02939542,0.02439299,0.000717042, 3437.78869,0.2846686,0.03141609,0.5956822,0.1695720,0.1103602,0.01871400,  690.113514,0.05,8.98e-06,1,0.2240912,0.000179591,4.02e-05,  5326.43105,57,2020-04-29
60,689.7390660236375,0.26958612900615747,0.0812204192941975,0.0021784161527276277,1.136247237613424e-4,0.021344044105987378,5.343079274609805e-6,0.3744479763621058,0.0026090727291804483,1.225944046996176e-4,3435.6834159132245,1.230320774325191,0.5972401672910571,0.005287818859238193,1.9425395587995052e-4,0.2722269880630752,4.084280112868972e-6,1.1052740867745547,0.0067742539727151194,2.1428389138478847e-4,5325.3500655265425,0.798644592450169,0.22190950989965613,9.129586021560271e-6,8.004159143257334e-8,0.060421155366917945,6.116646400785125e-9,1.0809844734610028,1.0852750778227442e-5,8.615823783335843e-8,130,Sub-Saharan Africa,Malawi,Mchinji,TA Kazyozyo,20711,MW20711,0.1441596,0.003516485,0.2039088,0.02939542,0.02439299,0.000717042, 3437.78869,0.2846686,0.03141609,0.5956822,0.1695720,0.1103602,0.01871400,  690.113514,0.05,8.98e-06,1,0.2240912,0.000179591,4.02e-05,  5326.43105,57,2020-04-29
61,689.4987318247044,0.41337689102984054,0.1458607201872786,0.004849304318094815,3.295743542474515e-4,0.05034485222811808,2.083317767747265e-5,0.6147821752952568,0.006129909200576105,3.6454799904911373e-4,3434.9212464594816,1.593284600553771,0.7981981463804408,0.008422646112064395,4.0304593890413824e-4,0.4671235894269009,1.1512105664103836e-5,1.867443540517746,0.011610106878275201,4.5950306907264376e-4,5324.543468332038,1.308253120150855,0.42809982484312603,2.1732916202906292e-5,2.4623214367131246e-7,0.15120671873587865,2.5087925547948355e-8,1.887581667966131,2.715931758729151e-5,2.7132006921926073e-7,130,Sub-Saharan Africa,Malawi,Mchinji,TA Kazyozyo,20711,MW20711,0.1441596,0.003516485,0.2039088,0.02939542,0.02439299,0.000717042, 3437.78869,0.2846686,0.03141609,0.5956822,0.1695720,0.1103602,0.01871400,  690.113514,0.05,8.98e-06,1,0.2240912,0.000179591,4.02e-05,  5326.43105,57,2020-04-29
62,689.1567382016642,0.6106287536622932,0.23667653874588082,0.009095018668019421,7.50203959369695e-4,0.09956579586712487,5.948743276423922e-5,0.9567757983354521,0.01208118692823561,8.500683380001785e-4,3433.8249255977385,2.1591234052966874,1.0645995513617863,0.012293317621754667,7.054623454944773e-4,0.7270172419652537,2.5423669393021086e-5,2.96376440226037,0.018051823582152595,8.301439158485815e-4,5323.362741172474,2.019296779229417,0.7344517023087405,4.3168604954549336e-5,5.910960747718724e-7,0.3145165112062009,7.508403234650241e-8,3.0683088275294197,5.649220709691682e-5,6.661801071183748e-7,130,Sub-Saharan Africa,Malawi,Mchinji,TA Kazyozyo,20711,MW20711,0.1441596,0.003516485,0.2039088,0.02939542,0.02439299,0.000717042, 3437.78869,0.2846686,0.03141609,0.5956822,0.1695720,0.1103602,0.01871400,  690.113514,0.05,8.98e-06,1,0.2240912,0.000179591,4.02e-05,  5326.43105,57,2020-04-29
63,688.6684053906304,0.8872453240574436,0.3636477009116836,0.015431934865407457,0.0014734141066886735,0.1771701955217935,1.4003990626683578e-4,1.4451086093692835,0.021433670737518146,0.0017085057482835305,3432.252911708447,3.0015984944250715,1.4395733188411302,0.017274635357487647,0.001121330877170749,1.0761620775089842,4.8434542453265884e-5,4.535778291552298,0.026700724878767963,0.0013588612949519618,5321.652704964442,3.0178674404516226,1.1766753554876073,7.68203090867749e-5,1.2167510379559532e-6,0.5837240180470842,1.8451490850408542e-7,4.7783450355613475,1.0484562801597565e-4,1.4012659464600386e-6,130,Sub-Saharan Africa,Malawi,Mchinji,TA Kazyozyo,20711,MW20711,0.1441596,0.003516485,0.2039088,0.02939542,0.02439299,0.000717042, 3437.78869,0.2846686,0.03141609,0.5956822,0.1695720,0.1103602,0.01871400,  690.113514,0.05,8.98e-06,1,0.2240912,0.000179591,4.02e-05,  5326.43105,57,2020-04-29
64,687.9701704881235,1.279254597499556,0.5419524420026209,0.024612877068954916,0.002627639248170933,0.29460638668874056,2.8956936816842445e-4,2.143343511876212,0.03555104551849296,0.003113753099094168,3430.0021463319586,4.230092951878125,1.9782649164631758,0.02395959526011354,0.0016845340641339348,1.5524578383949128,8.383198043293894e-5,6.786543668040895,0.038496670430214194,0.002095658941691641,5319.190193882133,4.428291296096951,1.807712241944765,1.2732919292502622e-4,2.2600569911385315e-6,1.0047225939718454,3.966073458146169e-7,7.240856117870824,1.8046247966408915e-4,2.656664336953149e-6,130,Sub-Saharan Africa,Malawi,Mchinji,TA Kazyozyo,20711,MW20711,0.1441596,0.003516485,0.2039088,0.02939542,0.02439299,0.000717042, 3437.78869,0.2846686,0.03141609,0.5956822,0.1695720,0.1103602,0.01871400,  690.113514,0.05,8.98e-06,1,0.2240912,0.000179591,4.02e-05,  5326.43105,57,2020-04-29
65,686.9717130312184,1.837196154174332,0.7937341299043154,0.037743828891668774,0.0043879147001524305,0.46819260610272606,5.463350080432125e-4,3.1418009687812374,0.05637979093791484,0.005305073225358004,3426.7825102551105,6.003153564404958,2.755368089250066,0.033208523809602083,0.0024494940411960704,2.211864059801031,1.3601358224056909e-4,10.006179744889092,0.054827101342891746,0.003116525489768025,5315.655689330469,6.428495557121903,2.704848491272427,2.0125757042646354e-4,3.907103340482957e-6,1.6418106818789322,7.745884885622168e-7,10.775360669535518,2.94891407007367e-4,4.681691829045174e-6,130,Sub-Saharan Africa,Malawi,Mchinji,TA Kazyozyo,20711,MW20711,0.1441596,0.003516485,0.2039088,0.02939542,0.02439299,0.000717042, 3437.78869,0.2846686,0.03141609,0.5956822,0.1695720,0.1103602,0.01871400,  690.113514,0.05,8.98e-06,1,0.2240912,0.000179591,4.02e-05,  5326.43105,57,2020-04-29
66,685.5449728307633,2.632143581052673,1.1507207047219947,0.056435889260885885,0.006998962608381596,0.721277978041162,9.64053551405067e-4,4.568541169236499,0.08670745799422477,0.008617365091123347,3422.181089286926,8.547606447557147,3.874837616361866,0.046240280580191535,0.003499259713613491,3.135205999771985,2.111090874366143e-4,14.607600713072243,0.07769549429122817,0.00453457102649756,5310.5936064330745,9.271512127716061,3.9796342812003362,3.079909418878058e-4,6.415120514914655e-6,2.5859813428367078,1.4091170359589333e-6,15.83744356693254,4.644756929052777e-4,7.824237550873588e-6,130,Sub-Saharan Africa,Malawi,Mchinji,TA Kazyozyo,20711,MW20711,0.1441596,0.003516485,0.2039088,0.02939542,0.02439299,0.000717042, 3437.78869,0.2846686,0.03141609,0.5956822,0.1695720,0.1103602,0.01871400,  690.113514,0.05,8.98e-06,1,0.2240912,0.000179591,4.02e-05,  5326.43105,57,2020-04-29
