time,S_e,E_e,I_e,H_e,C_e,R_e,D_e,inci_e,hosp_e,crits_e,S_a,E_a,I_a,H_a,C_a,R_a,D_a,inci_a,hosp_a,crits_a,S_p,E_p,I_p,H_p,C_p,R_p,D_p,inci_p,hosp_p,crits_p,UID,Lvl1,Lvl2,Lvl3,Lvl4,TA_Code,TA_Code2,Adults_Crit_of_Hosp,Adults_Critical_Care,Adults_FR_of_Crit,Adults_FR_of_Hosp,Adults_Hospitalization,Adults_IFR,Adults_Population,Elderly_Crit_of_Hosp,Elderly_Critical_Care,Elderly_FR_of_Crit,Elderly_FR_of_Hosp,Elderly_Hospitalization,Elderly_IFR,Elderly_Population,Pediatrics_Crit_of_Hosp,Pediatrics_Critical_Care,Pediatrics_FR_of_Crit,Pediatrics_FR_of_Hosp,Pediatrics_Hospitalization,Pediatrics_IFR,Pediatrics_Population,start_day,start_date
28,153.291274,0,0,0,0,0,0,0,0,0,1621.77193,1,0,0,0,0,0,0,0,0,1736.84514,0,0,0,0,0,0,0,0,0, 73,Sub-Saharan Africa,Malawi,Lilongwe City,Area 17,21047,MW21047,0.1362886,0.003081066,0.2100860,0.02863234,0.02260692,0.000647289, 1622.77193,0.2432418,0.02490310,0.5954521,0.1448389,0.1023800,0.01482860,  153.291274,0.05,9.22e-06,1,0.2217794,0.000184376,4.09e-05,  1736.84514,28,2020-03-31
29,153.27969383892236,0.010089580241424428,0.0013561193508551134,1.2927901126528736e-5,1.9876962171300086e-7,1.2133175882125184e-4,3.0556478001829935e-9,0.011580161077496834,1.3766166856546537e-5,2.039012650478434e-7,1621.7090501266086,0.8063292262574432,0.22201356007939968,7.170778700690774e-4,8.406828268579428e-6,0.03381154465384688,5.770208034511384e-8,0.06287987339110761,7.807771640688018e-4,8.681487600210824e-6,1736.80900665212,0.031563344597583136,0.004161669868699418,7.072930598356607e-8,2.2216650884388394e-10,4.0826245662956944e-4,5.712267249349958e-12,0.036133347880096874,7.528688150543075e-8,2.2787877609323391e-10, 73,Sub-Saharan Africa,Malawi,Lilongwe City,Area 17,21047,MW21047,0.1362886,0.003081066,0.2100860,0.02863234,0.02260692,0.000647289, 1622.77193,0.2432418,0.02490310,0.5954521,0.1448389,0.1023800,0.01482860,  153.291274,0.05,9.22e-06,1,0.2217794,0.000184376,4.09e-05,  1736.84514,28,2020-03-31
30,153.26753172346048,0.01816882121285916,0.0046181443686339144,8.619539057997327e-5,2.681756261644082e-6,8.66349184392809e-4,8.462671516148136e-8,0.023742276539442653,9.780473587487883e-5,2.823878046354359e-6,1621.6399044168352,0.6661877567162564,0.34805768442542906,0.0022384011284083357,5.412173073401682e-5,0.11548684225692656,7.769070014918392e-7,0.13202558316475568,0.00266264624830419,5.781977344743817e-5,1736.7671350643939,0.06024467513141401,0.01477007016676125,4.866332602392219e-7,3.0728418344173885e-9,0.0029897004401177414,1.614615620745919e-10,0.07800493560585661,5.513193281690617e-7,3.2343033964919797e-9, 73,Sub-Saharan Africa,Malawi,Lilongwe City,Area 17,21047,MW21047,0.1362886,0.003081066,0.2100860,0.02863234,0.02260692,0.000647289, 1622.77193,0.2432418,0.02490310,0.5954521,0.1448389,0.1023800,0.01482860,  153.291274,0.05,9.22e-06,1,0.2217794,0.000184376,4.09e-05,  1736.84514,28,2020-03-31
31,153.25512954940385,0.02444376991712728,0.008837098674108536,2.4226592131879407e-4,1.144560741283355e-5,0.0026093123887430225,5.58087421850484e-7,0.036144450596132305,2.931735256613037e-4,1.2382857313959913e-5,1621.5665697575932,0.5644838924601827,0.4132104515081098,0.003948988715491689,1.474409101015124e-4,0.22356614725075535,3.3215618546460303e-6,0.2053602424064957,0.005146824752720585,1.6325139654347433e-4,1736.720785998974,0.08566961108687868,0.029449975950364974,1.411907334382539e-6,1.3448128637458337e-8,0.009232987545787342,1.0867203157187602e-9,0.1243540010252143,1.7026043134460826e-6,1.4534848953177096e-8, 73,Sub-Saharan Africa,Malawi,Lilongwe City,Area 17,21047,MW21047,0.1362886,0.003081066,0.2100860,0.02863234,0.02260692,0.000647289, 1622.77193,0.2432418,0.02490310,0.5954521,0.1448389,0.1023800,0.01482860,  153.291274,0.05,9.22e-06,1,0.2217794,0.000184376,4.09e-05,  1736.84514,28,2020-03-31
32,153.24169750876356,0.030054708315099946,0.013477000432092306,4.793527717267365e-4,3.0501719110683118e-5,0.005532883546106438,2.044452254633314e-6,0.049576491236390734,6.188648312441414e-4,3.3935164478720804e-5,1621.4843808213352,0.49575600466912223,0.44138453468032407,0.005533949401283171,2.830860679449001e-4,0.34458271055298734,8.893292727508111e-6,0.2875491786643893,0.007921660076301771,3.2541774510334046e-4,1736.6669194883011,0.1113157567363425,0.04682939195893494,2.885033882194777e-6,3.6756100315468164e-8,0.0200724371495041,4.062962021766387e-9,0.17822051169772601,3.7014151289394697e-6,4.081906233723455e-8, 73,Sub-Saharan Africa,Malawi,Lilongwe City,Area 17,21047,MW21047,0.1362886,0.003081066,0.2100860,0.02863234,0.02260692,0.000647289, 1622.77193,0.2432418,0.02490310,0.5954521,0.1448389,0.1023800,0.01482860,  153.291274,0.05,9.22e-06,1,0.2217794,0.000184376,4.09e-05,  1736.84514,28,2020-03-31
33,153.22819071153876,0.034335053564834725,0.018178306388615492,7.857674980023046e-4,6.296922151601784e-5,0.009715759349656114,5.432438588186075e-6,0.06308328846121283,0.0010821492806247371,7.209243829228932e-5,1621.3993030202491,0.446604216647526,0.44815847665933606,0.0068600534163141425,4.495182515713394e-4,0.4705362553954168,1.8459380362284838e-5,0.3726269797505268,0.010803039694489015,5.373840796716641e-4,1736.6094290280441,0.13372593308961006,0.06583733363815544,4.887295979993745e-6,7.785507160695555e-8,0.03614272905752933,1.1018594341640648e-8,0.23571097195494076,6.664769298965669e-6,8.887366594859623e-8, 73,Sub-Saharan Africa,Malawi,Lilongwe City,Area 17,21047,MW21047,0.1362886,0.003081066,0.2100860,0.02863234,0.02260692,0.000647289, 1622.77193,0.2432418,0.02490310,0.5954521,0.1448389,0.1023800,0.01482860,  153.291274,0.05,9.22e-06,1,0.2217794,0.000184376,4.09e-05,  1736.84514,28,2020-03-31
34,153.2146476035198,0.037582801441060805,0.022634898143681158,0.0011432647071997148,1.1072332175521667e-4,0.01514291042462209,1.1798441860048484e-5,0.07662639648017903,0.0016799223881548474,1.3053758029935226e-4,1621.3119976738133,0.41159391599964107,0.4429693203021618,0.007892393999203195,6.340734416051902e-4,0.5968099614166247,3.266102699608073e-5,0.4599323261862322,0.013685530585490106,7.895384749538223e-4,1736.5489551803475,0.15314978094633366,0.08529633114027133,7.347376985726688e-6,1.4048710041651826e-7,0.05773119527506761,2.44256475955381e-8,0.29618481965140625,1.0645631945967812e-5,1.649127480120564e-7, 73,Sub-Saharan Africa,Malawi,Lilongwe City,Area 17,21047,MW21047,0.1362886,0.003081066,0.2100860,0.02863234,0.02260692,0.000647289, 1622.77193,0.2432418,0.02490310,0.5954521,0.1448389,0.1023800,0.01482860,  153.291274,0.05,9.22e-06,1,0.2217794,0.000184376,4.09e-05,  1736.84514,28,2020-03-31
35,153.20107750401428,0.04004686052193702,0.02668457157277304,0.001531757688607644,1.7430026787943132e-4,0.021736697344588513,2.230858993961853e-5,0.09019649598572528,0.002402353241162138,2.117652292753497e-4,1621.2229283376078,0.3868120005638371,0.43176477484674713,0.008646725574032246,8.253741810616646e-4,0.7209009668674706,5.1820358725356374e-5,0.5490016623918743,0.016512656985995064,0.0010720367798324364,1736.4860182966117,0.16987918816278597,0.10438979298261719,1.0163900357182226e-5,2.2691151578287084e-7,0.0848422842960243,4.7133742159243505e-8,0.35912170338704247,1.564480551602451e-5,2.7404525794211446e-7, 73,Sub-Saharan Africa,Malawi,Lilongwe City,Area 17,21047,MW21047,0.1362886,0.003081066,0.2100860,0.02863234,0.02260692,0.000647289, 1622.77193,0.2432418,0.02490310,0.5954521,0.1448389,0.1023800,0.01482860,  153.291274,0.05,9.22e-06,1,0.2217794,0.000184376,4.09e-05,  1736.84514,28,2020-03-31
36,153.18747493408046,0.04192700723525726,0.03026043378670268,0.0019328200822949426,2.5306121277543893e-4,0.029387620696103258,3.812290642164566e-5,0.10379906591955523,0.003236398157015806,3.1708467733563726e-4,1621.132419965309,0.36943430452068315,0.4182018013421622,0.009161742321782462,0.0010143306626000036,0.8416218661285191,7.598971456917214e-5,0.6395100346903164,0.019258245759088324,0.001376038318365605,1736.4210368397314,0.18422165445763522,0.12257849282131014,1.3227088657416324e-5,3.3786112217567773e-7,0.1172893658612049,8.217746109138822e-8,0.42410316026739076,2.1627860322757636e-5,4.200385832670661e-7, 73,Sub-Saharan Africa,Malawi,Lilongwe City,Area 17,21047,MW21047,0.1362886,0.003081066,0.2100860,0.02863234,0.02260692,0.000647289, 1622.77193,0.2432418,0.02490310,0.5954521,0.1448389,0.1023800,0.01482860,  153.291274,0.05,9.22e-06,1,0.2217794,0.000184376,4.09e-05,  1736.84514,28,2020-03-31
37,153.17382764810253,0.04337907313096821,0.033356351426419746,0.002331213229304164,3.454794044186869e-4,0.037973915286979604,6.03194193771388e-5,0.11744635189746758,0.004167984741077349,4.4677960871243073e-4,1621.0406982403279,0.3574270009301918,0.40442505434169784,0.009483942938043026,0.0011943016537375416,0.9585964446691618,1.0501513885601703e-4,0.7312317596716884,0.021914689426989896,0.001694169035933485,1736.354343454776,0.19648269374446994,0.13953418739985288,1.6431477349202943e-5,4.7271236431241175e-7,0.15476262729202447,1.325965354322281e-7,0.4907965452225961,2.8537655344095734e-5,6.0530889974464e-7, 73,Sub-Saharan Africa,Malawi,Lilongwe City,Area 17,21047,MW21047,0.1362886,0.003081066,0.2100860,0.02863234,0.02260692,0.000647289, 1622.77193,0.2432418,0.02490310,0.5954521,0.1448389,0.1023800,0.01482860,  153.291274,0.05,9.22e-06,1,0.2217794,0.000184376,4.09e-05,  1736.84514,28,2020-03-31
