time,S_e,E_e,I_e,H_e,C_e,R_e,D_e,inci_e,hosp_e,crits_e,S_a,E_a,I_a,H_a,C_a,R_a,D_a,inci_a,hosp_a,crits_a,S_p,E_p,I_p,H_p,C_p,R_p,D_p,inci_p,hosp_p,crits_p,UID,Lvl1,Lvl2,Lvl3,Lvl4,TA_Code,TA_Code2,Adults_Crit_of_Hosp,Adults_Critical_Care,Adults_FR_of_Crit,Adults_FR_of_Hosp,Adults_Hospitalization,Adults_IFR,Adults_Population,Elderly_Crit_of_Hosp,Elderly_Critical_Care,Elderly_FR_of_Crit,Elderly_FR_of_Hosp,Elderly_Hospitalization,Elderly_IFR,Elderly_Population,Pediatrics_Crit_of_Hosp,Pediatrics_Critical_Care,Pediatrics_FR_of_Crit,Pediatrics_FR_of_Hosp,Pediatrics_Hospitalization,Pediatrics_IFR,Pediatrics_Population,start_day,start_date
40,2537.622188,0,0,0,0,0,0,0,0,0,10385.68165,1,0,0,0,0,0,0,0,0,16910.10254,0,0,0,0,0,0,0,0,0,336,Sub-Saharan Africa,Malawi,Machinga,TA Mposa,30209,MW30209,0.1425981,0.003486012,0.2052905,0.02927404,0.02444641,0.000715645,10386.68165,0.3096019,0.03545210,0.5960700,0.1845444,0.1145087,0.02113193, 2537.622188,0.05,8.32e-06,1,0.2311255,0.000166449,3.85e-05, 16910.10254,40,2020-04-12
41,2537.576634849523,0.03973964023037267,0.005291431969836956,5.6151877214063383e-005,1.0958086970909587e-6,4.648137577458946e-4,1.683331479829444e-8,0.04555315047718148,5.9782504794286156e-5,1.1240491970293796e-6,10385.584832285951,0.8360809509907774,0.2258306789247477,7.839047318506692e-4,9.587002199718809e-6,0.03411252820800832,6.419172813377693e-8,0.09681771404931176,8.533284442290482e-4,9.899689480103322e-6,16910.016778892976,0.07508521295302466,0.009730204169070488,1.4793062648474528e-7,4.620877071334439e-10,9.455415073742139e-4,1.1837976141009915e-11,0.08576110703402154,1.5740914015023432e-7,4.739256832744538e-10,336,Sub-Saharan Africa,Malawi,Machinga,TA Mposa,30209,MW30209,0.1425981,0.003486012,0.2052905,0.02927404,0.02444641,0.000715645,10386.68165,0.3096019,0.03545210,0.5960700,0.1845444,0.1145087,0.02113193, 2537.622188,0.05,8.32e-06,1,0.2311255,0.000166449,3.85e-05, 16910.10254,40,2020-04-12
42,2537.5259777891624,0.07402321133027981,0.018420828180322982,3.8037530211880476e-4,1.4964149871660366e-5,0.0033703611837531747,4.706915303137273e-7,0.09621021083787677,4.3125938266341503e-4,1.5753808016364392e-5,10385.470307865808,0.728259322201462,0.362476181086698,0.00248166627197135,6.231507860683553e-5,0.11806177909450073,8.704610151308823e-7,0.2113421341942539,0.0029483991478490472,6.655522130769544e-5,16909.908095795912,0.1514216336148938,0.03589929491908475,1.0480435119877905e-6,6.540000591434142e-9,0.007122220636240542,3.4092849917106066e-10,0.19444420409466018,1.1856620937998947e-6,6.880929090605204e-9,336,Sub-Saharan Africa,Malawi,Machinga,TA Mposa,30209,MW30209,0.1425981,0.003486012,0.2052905,0.02927404,0.02444641,0.000715645,10386.68165,0.3096019,0.03545210,0.5960700,0.1845444,0.1145087,0.02113193, 2537.622188,0.05,8.32e-06,1,0.2311255,0.000166449,3.85e-05, 16910.10254,40,2020-04-12
43,2537.4708327655985,0.1036837234328724,0.0361851308999826,0.001089141500216136,6.475240788226386e-5,0.010329348605238764,3.137555392108202e-6,0.15135523440158433,0.0013152904493761,7.001614434292822e-5,10385.3395813868,0.6613055896131481,0.44394572404312094,0.004456822468926822,1.7173603118653043e-4,0.2321849888672842,3.7521786839660683e-6,0.3420686132023505,0.005789332799796322,1.900134414123619e-4,16909.777599388693,0.22774165222565457,0.07455277886680821,3.1362410343644725e-6,2.9320069232351215e-8,0.022643012322921506,2.3395816513810814e-9,0.32494061131606955,3.7694340520391187e-6,3.16596508837323e-8,336,Sub-Saharan Africa,Malawi,Machinga,TA Mposa,30209,MW30209,0.1425981,0.003486012,0.2052905,0.02927404,0.02444641,0.000715645,10386.68165,0.3096019,0.03545210,0.5960700,0.1845444,0.1145087,0.02113193, 2537.622188,0.05,8.32e-06,1,0.2311255,0.000166449,3.85e-05, 16910.10254,40,2020-04-12
44,2537.4113224401603,0.1297710732528573,0.05641855974552262,0.0021967559374387034,1.7518433153500664e-4,0.022292357511499886,1.1629061012214945e-5,0.2108655598398658,0.0028256083039136463,1.9469388748013884e-4,10385.19337852635,0.6244442678599635,0.4926334124988284,0.006383772776659315,3.342735339388413e-4,0.36446560594464517,1.0141037253946754e-5,0.48827147365128903,0.00907435566028364,3.836720070973495e-4,16909.626026681646,0.3034157336607614,0.12249074180537606,6.602418088407501e-6,8.21296348996631e-8,0.050600149423241786,8.922380317684208e-9,0.4765133183594829,8.423458392754446e-6,9.10520152173473e-8,336,Sub-Saharan Africa,Malawi,Machinga,TA Mposa,30209,MW30209,0.1425981,0.003486012,0.2052905,0.02927404,0.02444641,0.000715645,10386.68165,0.3096019,0.03545210,0.5960700,0.1845444,0.1145087,0.02113193, 2537.622188,0.05,8.32e-06,1,0.2311255,0.000166449,3.85e-05, 16910.10254,40,2020-04-12
45,2537.3472695060723,0.15333226766640995,0.07775723274016551,0.003664227568387699,3.669217774613936e-4,0.039766576279999445,3.126789646095523e-5,0.27491849392888495,0.005018801070548084,4.193785299585086e-4,10385.031859426783,0.6100679225028107,0.5231178923189829,0.008120834714644826,5.392583333917689e-4,0.5079233939140304,2.1271432894032442e-5,0.6497905732167548,0.012629131731674164,6.428745888640504e-4,16909.453750569442,0.37828743825967553,0.17721655031437525,1.1475361556417134e-5,1.7792936741400658e-7,0.09327376404980084,2.4665981593849073e-8,0.6487894305807569,1.5527268536574246e-5,2.0259534900785567e-7,336,Sub-Saharan Africa,Malawi,Machinga,TA Mposa,30209,MW30209,0.1425981,0.003486012,0.2052905,0.02927404,0.02444641,0.000715645,10386.68165,0.3096019,0.03545210,0.5960700,0.1845444,0.1145087,0.02113193, 2537.622188,0.05,8.32e-06,1,0.2311255,0.000166449,3.85e-05, 16910.10254,40,2020-04-12
46,2537.274494302542,0.1786551362561014,0.0998577540387331,0.0054355965778963705,6.544938460141767e-4,0.06302202516535713,6.869157560943786e-5,0.3476936974597117,0.007921804293400763,7.697346325148194e-4,10384.844887497326,0.6214739766381908,0.5458914392081158,0.009632337864659677,7.745015358844623e-4,0.6589521719072144,3.807551801570136e-5,0.8367625026720806,0.01636435563734847,9.599729435516527e-4,16909.249959166085,0.46204069729405495,0.23808185234168083,1.770497148645367e-5,3.279127342698706e-7,0.15244019574535345,5.566513953598587e-8,0.8525808339304491,2.5376528962570796e-5,3.835778738058565e-7,336,Sub-Saharan Africa,Malawi,Machinga,TA Mposa,30209,MW30209,0.1425981,0.003486012,0.2052905,0.02927404,0.02444641,0.000715645,10386.68165,0.3096019,0.03545210,0.5960700,0.1845444,0.1145087,0.02113193, 2537.622188,0.05,8.32e-06,1,0.2311255,0.000166449,3.85e-05, 16910.10254,40,2020-04-12
47,2537.1951917760116,0.20337790133016737,0.12266185629415224,0.007466398332619003,0.0010470489948325862,0.09231160959151913,1.3140944659640363e-4,0.42699622398988674,0.011560393720114817,0.0012675087505599398,10384.63852889783,0.6469352992436956,0.56772630138953,0.010945011610087988,0.001029231630523334,0.8164240714675667,6.11868246231349e-5,1.043121102166027,0.02025286064286648,0.0013272815871610494,16909.021330098727,0.546607414793478,0.30472227736919283,2.5249243264461734e-5,5.414115385450971e-7,0.22985430917752012,1.0929284466556865e-7,1.0812099012878382,3.826333092867505e-5,6.507043832106658e-7,336,Sub-Saharan Africa,Malawi,Machinga,TA Mposa,30209,MW30209,0.1425981,0.003486012,0.2052905,0.02927404,0.02444641,0.000715645,10386.68165,0.3096019,0.03545210,0.5960700,0.1845444,0.1145087,0.02113193, 2537.622188,0.05,8.32e-06,1,0.2311255,0.000166449,3.85e-05, 16910.10254,40,2020-04-12
48,2537.108583682638,0.22832781686142611,0.14595704988415129,0.00971568945579045,0.0015495834586479371,0.1278267237903937,2.274539137084431e-4,0.5136043173641179,0.01595328917504327,0.0019311727245201389,10384.411315412544,0.6842425494853863,0.5920405508914428,0.01210888153010908,0.0012953219223039078,0.9805562886906707,9.0994934275486e-5,1.2703345874541885,0.02430099021420282,0.0017385715333452661,16908.766556473805,0.6329293734755892,0.37602605605469785,3.403391036175639e-5,8.259974108609829e-7,0.32699304278920616,1.9398205425761568e-7,1.3359835262093198,5.443349966412836e-5,1.0199794651185985e-6,336,Sub-Saharan Africa,Malawi,Machinga,TA Mposa,30209,MW30209,0.1425981,0.003486012,0.2052905,0.02927404,0.02444641,0.000715645,10386.68165,0.3096019,0.03545210,0.5960700,0.1845444,0.1145087,0.02113193, 2537.622188,0.05,8.32e-06,1,0.2311255,0.000166449,3.85e-05, 16910.10254,40,2020-04-12
49,2537.0138298564684,0.2541804472047422,0.16976858746396292,0.012149266367637919,0.0021637462842282614,0.16973099739026834,3.650988223337689e-4,0.6083581435331734,0.021116447324228734,0.002776256261804334,10384.161502520388,0.7319749987563213,0.6209622232043325,0.013179584698939492,0.0015673978937150081,1.1523355583171146,1.2771673990789515e-4,1.5201474796103307,0.028534100514709632,0.0021895247817487703,16908.483976846655,0.7220229534504176,0.45140147336224173,4.396619151116113e-5,1.187342717216055e-6,0.44509325402262173,3.1899250199654384e-7,1.618563153362011,7.409289589541312e-5,1.5063352192125988e-6,336,Sub-Saharan Africa,Malawi,Machinga,TA Mposa,30209,MW30209,0.1425981,0.003486012,0.2052905,0.02927404,0.02444641,0.000715645,10386.68165,0.3096019,0.03545210,0.5960700,0.1845444,0.1145087,0.02113193, 2537.622188,0.05,8.32e-06,1,0.2311255,0.000166449,3.85e-05, 16910.10254,40,2020-04-12
50,2536.9100303410924,0.28149556821243066,0.19426703275103763,0.01474368213500841,0.002888879464228703,0.2182098486222403,5.526477241364412e-4,0.7121576589090822,0.02706929077177691,0.003816031852599938,10383.887078403508,0.7892966166434706,0.6558202310705266,0.014210715680310224,0.0018425690164455876,1.3332300003512867,1.7146372909366016e-4,1.7945715964911335,0.03298932406505286,0.002677793876308368,16908.171573299416,0.8149619531916117,0.5306639575001335,5.4958393481174135e-5,1.6293682541355251e-6,0.585283707965622,4.941815287829772e-7,1.930966700600631,9.742938913954422e-5,2.1235497829185027e-6,336,Sub-Saharan Africa,Malawi,Machinga,TA Mposa,30209,MW30209,0.1425981,0.003486012,0.2052905,0.02927404,0.02444641,0.000715645,10386.68165,0.3096019,0.03545210,0.5960700,0.1845444,0.1145087,0.02113193, 2537.622188,0.05,8.32e-06,1,0.2311255,0.000166449,3.85e-05, 16910.10254,40,2020-04-12
