time,S_e,E_e,I_e,H_e,C_e,R_e,D_e,inci_e,hosp_e,crits_e,S_a,E_a,I_a,H_a,C_a,R_a,D_a,inci_a,hosp_a,crits_a,S_p,E_p,I_p,H_p,C_p,R_p,D_p,inci_p,hosp_p,crits_p,UID,Lvl1,Lvl2,Lvl3,Lvl4,TA_Code,TA_Code2,Adults_Crit_of_Hosp,Adults_Critical_Care,Adults_FR_of_Crit,Adults_FR_of_Hosp,Adults_Hospitalization,Adults_IFR,Adults_Population,Elderly_Crit_of_Hosp,Elderly_Critical_Care,Elderly_FR_of_Crit,Elderly_FR_of_Hosp,Elderly_Hospitalization,Elderly_IFR,Elderly_Population,Pediatrics_Crit_of_Hosp,Pediatrics_Critical_Care,Pediatrics_FR_of_Crit,Pediatrics_FR_of_Hosp,Pediatrics_Hospitalization,Pediatrics_IFR,Pediatrics_Population,start_day,start_date
21,8490.832332,0,0,0,0,0,0,0,0,0,80742.76458,1,0,0,0,0,0,0,0,0,89085.31469,0,0,0,0,0,0,0,0,0, 94,Sub-Saharan Africa,Malawi,Lilongwe City,Area 36,21066,MW21066,0.1369029,0.003116574,0.2095946,0.02869411,0.02276486,0.000653217,80743.76458,0.2531825,0.02637952,0.5955109,0.1507730,0.1041917,0.01570929, 8490.832332,0.05,9.17e-06,1,0.2221968,0.000183493,4.08e-05, 89085.31469,21,2020-03-24
22,8490.8235619287625,0.007648382468182283,0.00102084803053731,9.868281246038849e-6,1.5759040472452991e-7,9.08124457982501e-5,2.419695014169966e-9,0.00877007123586362,1.0506767832289384e-5,1.6165363012337644e-7,80742.68072329047,0.8246274215669694,0.22445155555711147,7.272336258253686e-4,8.548055860825263e-6,0.034041892243013794,5.847173205080422e-8,0.08385670952051283,7.917102091222399e-4,8.827031235433218e-6,89085.2410115574,0.06433023883660689,0.00851144272257119,1.4423430704830377e-7,4.5360051753947005e-10,8.366163167561917e-4,1.1673588584773098e-11,0.07367844257551542,1.5353978917078867e-7,4.6527410612424317e-10, 94,Sub-Saharan Africa,Malawi,Lilongwe City,Area 36,21066,MW21066,0.1369029,0.003116574,0.2095946,0.02869411,0.02276486,0.000653217,80743.76458,0.2531825,0.02637952,0.5955109,0.1507730,0.1041917,0.01570929, 8490.832332,0.05,9.17e-06,1,0.2221968,0.000183493,4.08e-05, 89085.31469,21,2020-03-24
23,8490.813984996188,0.014091653389801489,0.003530914778911131,6.65591989438468e-5,2.145299826907659e-6,6.556636507116177e-4,6.749327167190008e-8,0.018347003811466665,7.548018115913652e-5,2.258636579722595e-6,80742.5883483369,0.7001859969742279,0.3565314981003107,0.0022888560238285937,5.53512094917173e-5,0.1171691700503161,7.907319778970184e-7,0.17623166309015284,0.0027207233028919376,5.912388291888108e-5,89085.15687177265,0.12172181922324656,0.030001393669787747,9.869098016945184e-7,6.245472314942787e-9,0.006094020959675649,3.286618654117513e-10,0.15781822733664586,1.1183924853016093e-6,6.574134180354539e-9, 94,Sub-Saharan Africa,Malawi,Lilongwe City,Area 36,21066,MW21066,0.1369029,0.003116574,0.2095946,0.02869411,0.02276486,0.000653217,80743.76458,0.2531825,0.02637952,0.5955109,0.1507730,0.1041917,0.01570929, 8490.832332,0.05,9.17e-06,1,0.2221968,0.000183493,4.08e-05, 89085.31469,21,2020-03-24
24,8490.803838320919,0.019425460046351792,0.006871262569669946,1.8941978511332255e-4,9.243732215071876e-6,0.0019978444436234777,4.485026103513862e-7,0.028493679079583965,2.2890462876453603e-4,9.996871427723376e-6,80742.48986305614,0.6119474229205742,0.42982237866384343,0.004076109873277391,1.5176057458732327e-4,0.22871587522526654,3.3965821329377076e-6,0.2747169438396817,0.005303009080841175,1.6796605952318377e-4,89085.06435735368,0.1720988540443353,0.059495216890883405,2.8498615391569073e-6,2.7222282747541193e-8,0.01873569608168871,2.2045108131804887e-9,0.25033264630524016,3.4383974103713415e-6,2.9426793560721682e-8, 94,Sub-Saharan Africa,Malawi,Lilongwe City,Area 36,21066,MW21066,0.1369029,0.003116574,0.2095946,0.02869411,0.02276486,0.000653217,80743.76458,0.2531825,0.02637952,0.5955109,0.1507730,0.1041917,0.01570929, 8490.832332,0.05,9.17e-06,1,0.2221968,0.000183493,4.08e-05, 89085.31469,21,2020-03-24
25,8490.79326532516,0.02380225826973851,0.010579055342059876,3.789582415963947e-4,2.487141499592386e-5,0.00427987572343343,1.6558461336536306e-6,0.03906667483795779,4.8817575126763245e-4,2.765196214233819e-5,80742.38680815102,0.5495874170129038,0.4665173632862128,0.005771542001729355,2.93413551205527e-4,0.3555929730625451,9.140060671077256e-6,0.37777184897526744,0.008233300185022965,3.370218343916265e-4,89084.964959062,0.21591776025860834,0.09331257949679685,5.785326270316737e-6,7.409715207459561e-8,0.04049473058114842,8.215347867944413e-9,0.3497309379753239,7.4315762691675375e-6,8.231249994254003e-8, 94,Sub-Saharan Africa,Malawi,Lilongwe City,Area 36,21066,MW21066,0.1369029,0.003116574,0.2095946,0.02869411,0.02276486,0.000653217,80743.76458,0.2531825,0.02637952,0.5955109,0.1507730,0.1041917,0.01570929, 8490.832332,0.05,9.17e-06,1,0.2221968,0.000183493,4.08e-05, 89085.31469,21,2020-03-24
26,8490.782350476919,0.027387375638239286,0.014346687678214003,6.255842444828929e-4,5.1736287931056534e-5,0.007565708201034711,4.431028854348628e-6,0.04998152307875631,8.593168533159462e-4,5.917700623587452e-5,80742.2801575962,0.5058372147836808,0.48114258133816473,0.007231435627765817,4.693248339686589e-4,0.48972277663241515,1.9070599259152377e-5,0.4844224038152544,0.011324211322175374,5.603128616141822e-4,89084.85975669144,0.25387628185920547,0.12883705220159222,9.689709444229422e-6,1.5591855368348857e-7,0.07221010666482353,2.218896298434369e-8,0.4549333085425822,1.3251859777586065e-5,1.7810751666783226e-7, 94,Sub-Saharan Africa,Malawi,Lilongwe City,Area 36,21066,MW21066,0.1369029,0.003116574,0.2095946,0.02869411,0.02276486,0.000653217,80743.76458,0.2531825,0.02637952,0.5955109,0.1507730,0.1041917,0.01570929, 8490.832332,0.05,9.17e-06,1,0.2221968,0.000183493,4.08e-05, 89085.31469,21,2020-03-24
27,8490.771141797306,0.030336374700674792,0.017983126308225975,9.154087140704623e-4,9.15036535380414e-5,0.011854110031726364,9.679284661145472e-6,0.061190202692896795,0.001341020288648407,1.0775740248058046e-4,80742.17051667426,0.4755514807142342,0.48310155200556915,0.008411053697972666,6.669632102199916e-4,0.6262983546631582,3.392146164812756e-5,0.5940633257528023,0.014465026363455194,8.288064144252886e-4,89084.74954130285,0.2867477840185313,0.16428818385768468,1.4382044428747864e-5,2.78926648623187e-7,0.11409801936580638,4.891548137463179e-8,0.5651486971285812,2.0938887028704234e-5,3.2784212999781873e-7, 94,Sub-Saharan Africa,Malawi,Lilongwe City,Area 36,21066,MW21066,0.1369029,0.003116574,0.2095946,0.02869411,0.02276486,0.000653217,80743.76458,0.2531825,0.02637952,0.5955109,0.1507730,0.1041917,0.01570929, 8490.832332,0.05,9.17e-06,1,0.2221968,0.000183493,4.08e-05, 89085.31469,21,2020-03-24
28,8490.759665063408,0.032785272483022876,0.021381042078096033,0.0012337972620634846,1.4478068344275986e-4,0.01710365418438942,1.8389900155109925e-5,0.07266693659116968,0.0019276112603684409,1.7566156262584443e-4,80742.05825050513,0.4550702647846822,0.47838675764348615,0.009318763697213867,8.747988712984199e-4,0.7626248028956771,5.410698266204569e-5,0.7063294948750198,0.01759433363310643,0.001132949523376506,89084.63489622656,0.31529273509198275,0.19851980036203556,1.9654857485151717e-5,4.4630348037777954e-7,0.1659610430336676,9.377341028814442e-8,0.6797937734220618,3.0456395298470187e-5,5.400768906659238e-7, 94,Sub-Saharan Africa,Malawi,Lilongwe City,Area 36,21066,MW21066,0.1369029,0.003116574,0.2095946,0.02869411,0.02276486,0.000653217,80743.76458,0.2531825,0.02637952,0.5955109,0.1507730,0.1041917,0.01570929, 8490.832332,0.05,9.17e-06,1,0.2221968,0.000183493,4.08e-05, 89085.31469,21,2020-03-24
29,8490.74793272871,0.03484773263838611,0.0244906825735838,0.0015673644040234108,2.1126375461289412e-4,0.023250665699064865,3.156221949297379e-5,0.08439927128916405,0.0026111331981381884,2.642639927159646e-4,80741.94356810229,0.4417776933692731,0.4707348922164713,0.009988372955347283,0.0010833981751364608,0.897347775334024,7.976566100741609e-5,0.8210118977112595,0.02068185965063365,0.0014639693396961205,89084.51625239196,0.34021425147637985,0.23085269785066043,2.530524814221218e-5,6.584246490996859e-7,0.2273445326760907,1.623591577054218e-7,0.7984376080350801,4.1720924278314326e-5,8.207838068051074e-7, 94,Sub-Saharan Africa,Malawi,Lilongwe City,Area 36,21066,MW21066,0.1369029,0.003116574,0.2095946,0.02869411,0.02276486,0.000653217,80743.76458,0.2531825,0.02637952,0.5955109,0.1507730,0.1041917,0.01570929, 8490.832332,0.05,9.17e-06,1,0.2221968,0.000183493,4.08e-05, 89085.31469,21,2020-03-24
30,8490.735949455582,0.03661585723012838,0.027300068644631144,0.001904929987278372,2.899525654614451e-4,0.030221590305698442,5.0145681104227755e-5,0.09638254441430201,0.003382752178886448,3.7415871702681155e-4,80741.82657744727,0.43379499586150905,0.46240500788368327,0.01046298478103284,0.0012857084075221818,1.0299430358600181,1.1081995456727754e-4,0.9380025527483324,0.02371648917569963,0.0018144431867926278,89084.3939270906,0.36213887640078696,0.2609414973966198,3.115220261313006e-5,9.13356894342011e-7,0.29765020987590957,2.601660502574885e-7,0.9207629093988744,5.462266150512003e-5,1.173522944599499e-6, 94,Sub-Saharan Africa,Malawi,Lilongwe City,Area 36,21066,MW21066,0.1369029,0.003116574,0.2095946,0.02869411,0.02276486,0.000653217,80743.76458,0.2531825,0.02637952,0.5955109,0.1507730,0.1041917,0.01570929, 8490.832332,0.05,9.17e-06,1,0.2221968,0.000183493,4.08e-05, 89085.31469,21,2020-03-24
