time,S_e,E_e,I_e,H_e,C_e,R_e,D_e,inci_e,hosp_e,crits_e,S_a,E_a,I_a,H_a,C_a,R_a,D_a,inci_a,hosp_a,crits_a,S_p,E_p,I_p,H_p,C_p,R_p,D_p,inci_p,hosp_p,crits_p,UID,Lvl1,Lvl2,Lvl3,Lvl4,TA_Code,TA_Code2,Adults_Crit_of_Hosp,Adults_Critical_Care,Adults_FR_of_Crit,Adults_FR_of_Hosp,Adults_Hospitalization,Adults_IFR,Adults_Population,Elderly_Crit_of_Hosp,Elderly_Critical_Care,Elderly_FR_of_Crit,Elderly_FR_of_Hosp,Elderly_Hospitalization,Elderly_IFR,Elderly_Population,Pediatrics_Crit_of_Hosp,Pediatrics_Critical_Care,Pediatrics_FR_of_Crit,Pediatrics_FR_of_Hosp,Pediatrics_Hospitalization,Pediatrics_IFR,Pediatrics_Population,start_day,start_date
40,7879.896811,0,0,0,0,0,0,0,0,0,33059.70304,1,0,0,0,0,0,0,0,0,51160.2869,0,0,0,0,0,0,0,0,0,392,Sub-Saharan Africa,Malawi,Phalombe,TA Jenala,30905,MW30905,0.1420594,0.003422319,0.2055911,0.02920614,0.02409077,0.000703598,33060.70304,0.3004425,0.03386713,0.5958808,0.1790279,0.1127242,0.02018078, 7879.896811,0.05,8.11e-06,1,0.2336851,0.000162132,3.79e-05, 51160.28690,40,2020-04-12
41,7879.866284203916,0.02666729847566075,0.0035146367190427943,3.652043934967149e-5,6.894269918536662e-7,3.076404560337843e-4,1.056680265115948e-8,0.030526796083881497,3.8874167843874264e-5,7.071600731195155e-7,33059.57396384146,0.864272460083304,0.22953466835342837,7.807160263126359e-4,9.485001125874603e-6,0.03447876559511935,6.35004041987616e-8,0.1290761585596945,8.496580928153507e-4,9.793868602135792e-6,51160.126331848165,0.1404969307371918,0.01828897736933869,2.71530949953096e-7,8.495960682517748e-10,0.0017819713363563805,2.1793526205833148e-11,0.16056815184522638,2.889587418422482e-7,8.71389594457608e-10,392,Sub-Saharan Africa,Malawi,Phalombe,TA Jenala,30905,MW30905,0.1420594,0.003422319,0.2055911,0.02920614,0.02409077,0.000703598,33060.70304,0.3004425,0.03386713,0.5958808,0.1790279,0.1127242,0.02018078, 7879.896811,0.05,8.11e-06,1,0.2336851,0.000162132,3.79e-05, 51160.28690,40,2020-04-12
42,7879.830391456775,0.0513692852445942,0.012521062782311968,2.5167661150372184e-4,9.541113139055022e-6,0.002267678849120591,2.9862297194399195e-7,0.06641954322364148,2.8510150519583065e-4,1.0042258623091413e-5,33059.42053628587,0.7834281952905948,0.37579222751981156,0.0025025059458754603,6.219432108958486e-5,0.12071772428598765,8.66792694008427e-7,0.28250371415605313,0.002969989416650965,6.641042136828581e-5,51159.925995741185,0.2806570124160335,0.06691470311089959,1.9101048118596126e-6,1.1952079908357961e-8,0.013330620603362993,6.242748890294806e-10,0.36090425881146276,2.1616319078073617e-6,1.257635479738744e-8,392,Sub-Saharan Africa,Malawi,Phalombe,TA Jenala,30905,MW30905,0.1420594,0.003422319,0.2055911,0.02920614,0.02409077,0.000703598,33060.70304,0.3004425,0.03386713,0.5958808,0.1790279,0.1127242,0.02018078, 7879.896811,0.05,8.11e-06,1,0.2336851,0.000162132,3.79e-05, 51160.28690,40,2020-04-12
43,7879.789203698072,0.07454023119140493,0.025217710488412343,7.341694099097292e-4,4.188084767977196e-5,0.0070712966005535656,2.0133890916190223e-6,0.10760730192705197,8.848128543813322e-4,4.525969306565958e-5,33059.24338947652,0.7433094919120377,0.47114684856925293,0.004559596318941847,1.730944908634522e-4,0.2404577288601912,3.763351171550033e-6,0.45965052350245855,0.005906916668500863,1.913995204661443e-4,51159.68578880575,0.42068063790332516,0.13825468465654372,5.686228997409347e-6,5.332581632469406e-8,0.042170127868357006,4.265655237475256e-9,0.6011111942486949,6.838058428652735e-6,5.759147156216931e-8,392,Sub-Saharan Africa,Malawi,Phalombe,TA Jenala,30905,MW30905,0.1420594,0.003422319,0.2055911,0.02920614,0.02409077,0.000703598,33060.70304,0.3004425,0.03386713,0.5958808,0.1790279,0.1127242,0.02018078, 7879.896811,0.05,8.11e-06,1,0.2336851,0.000162132,3.79e-05, 51160.28690,40,2020-04-12
44,7879.742486891534,0.09676929169762916,0.04038197509389406,0.0015106830921667344,1.1504749136865243e-4,0.015539558809199059,7.552279481703625e-6,0.15432410846373937,0.0019357948392272277,1.277216360662222e-4,33059.04190892596,0.734350221902583,0.5370514039478681,0.0066401611393511846,3.4062162518767636e-4,0.3827384146615571,1.0250789095559867e-5,0.6611310740656428,0.00938888249917909,3.904817071443362e-4,51159.40441746387,0.5617488240485708,0.2267685440724982,1.1933424926813026e-5,1.4885429772957866e-7,0.09395306951435584,1.6212486887754906e-8,0.8824825361271362,1.52347606191597e-5,1.6506678461733356e-7,392,Sub-Saharan Africa,Malawi,Phalombe,TA Jenala,30905,MW30905,0.1420594,0.003422319,0.2055911,0.02920614,0.02409077,0.000703598,33060.70304,0.3004425,0.03386713,0.5958808,0.1790279,0.1127242,0.02018078, 7879.896811,0.05,8.11e-06,1,0.2336851,0.000162132,3.79e-05, 51160.28690,40,2020-04-12
45,7879.689792657415,0.11868436712263178,0.057248199162497654,0.0025741794835693063,2.448869378561471e-4,0.028246148118817725,2.0561757724451517e-5,0.20701834258309704,0.0035041192645673615,2.793934326525083e-4,33058.814551027295,0.7501666083143328,0.5876814194137754,0.008607654569636004,5.562067272312946e-4,0.541455401086013,2.1682610003120804e-5,0.8884889727209913,0.013265364358406213,6.616714579668219e-4,51159.07958325731,0.7056208792803926,0.32866768652511846,2.0722648029457233e-5,3.2182749464277665e-7,0.1730070876922191,4.471032256408964e-8,1.2073167426835762,2.8053404373594553e-5,3.665378172068662e-7,392,Sub-Saharan Africa,Malawi,Phalombe,TA Jenala,30905,MW30905,0.1420594,0.003422319,0.2055911,0.02920614,0.02409077,0.000703598,33060.70304,0.3004425,0.03386713,0.5958808,0.1790279,0.1127242,0.02018078, 7879.896811,0.05,8.11e-06,1,0.2336851,0.000162132,3.79e-05, 51160.28690,40,2020-04-12
46,7879.62716524886,0.14383119738291658,0.07577096188075462,0.00390658087872051,4.4433094249989236e-4,0.045646916714282684,4.5763339711959804e-5,0.2696457511388861,0.0056411238592601045,5.211304294307692e-4,33058.54462370036,0.7992364055312718,0.6340284464376191,0.010429277392726656,8.096370844301637e-4,0.7138733708646091,3.916234340555065e-5,1.1584162996540628,0.017469456741350486,0.0010001236541578914,51158.68700472938,0.8728984715457409,0.4439479759106478,3.2020121476397926e-5,5.92801398089453e-7,0.2830161095051159,1.0075611811494773e-7,1.599895270640496,4.5891271800485884e-5,6.935575162043999e-7,392,Sub-Saharan Africa,Malawi,Phalombe,TA Jenala,30905,MW30905,0.1420594,0.003422319,0.2055911,0.02920614,0.02409077,0.000703598,33060.70304,0.3004425,0.03386713,0.5958808,0.1790279,0.1127242,0.02018078, 7879.896811,0.05,8.11e-06,1,0.2336851,0.000162132,3.79e-05, 51160.28690,40,2020-04-12
47,7879.555899007564,0.17026592223807496,0.09609209330133629,0.0054991214090684675,7.23832968139559e-4,0.06824227962669646,8.874289196353453e-5,0.3409119924352792,0.008404037402405196,8.727602233280718e-4,33058.238054153066,0.8680771450822263,0.6836490275674321,0.012138221635065487,0.001092041048307329,0.8999658680154454,6.354360802200603e-5,1.4649858469564987,0.022001128764000986,0.0014011186689922986,51158.235007149415,1.0504222265359495,0.5734111314709277,4.585012878027121e-5,9.798510476399284e-7,0.4280124648538218,1.9774959592185276e-7,2.0518928505901215,6.940214165150678e-5,1.1776006435617805e-6,392,Sub-Saharan Africa,Malawi,Phalombe,TA Jenala,30905,MW30905,0.1420594,0.003422319,0.2055911,0.02920614,0.02409077,0.000703598,33060.70304,0.3004425,0.03386713,0.5958808,0.1790279,0.1127242,0.02018078, 7879.896811,0.05,8.11e-06,1,0.2336851,0.000162132,3.79e-05, 51160.28690,40,2020-04-12
48,7879.47479722308,0.19871266712375868,0.1181800853614539,0.007344515572689913,0.0010920861647174007,0.096528625064583,1.557976323773009e-4,0.4220137769195801,0.01184968338254453,0.001353543879712248,33057.88996031499,0.9560374954818939,0.7405383257311737,0.013792712111020513,0.0013972080351676694,1.1012184586538036,9.548502480815108e-5,1.8130796850378674,0.02689743778751457,0.0018616494667673383,51157.71655808854,1.2417861379740003,0.7165448781877433,6.22187606373309e-5,1.4991573677350228e-6,0.6119468261547892,3.51232124277289e-7,2.5703419114666617,9.922655047757707e-5,1.8503894920123113e-6,392,Sub-Saharan Africa,Malawi,Phalombe,TA Jenala,30905,MW30905,0.1420594,0.003422319,0.2055911,0.02920614,0.02409077,0.000703598,33060.70304,0.3004425,0.03386713,0.5958808,0.1790279,0.1127242,0.02018078, 7879.896811,0.05,8.11e-06,1,0.2336851,0.000162132,3.79e-05, 51160.28690,40,2020-04-12
49,7879.382497165368,0.2298603716531861,0.1421858435944651,0.00943908398916412,0.001556344774192357,0.13101837478624956,2.5381583359188395e-4,0.5143138346308491,0.016037003580875467,0.0019822954569327384,33057.49469372978,1.063294971822785,0.807650871268775,0.015458784783347087,0.0017217634993906177,1.320084356621298,1.355222573939256e-4,2.2083462702529895,0.03221900608864776,0.002380946982498229,51157.123437462054,1.4507265176034432,0.8738733348088414,8.113303836820343e-5,2.165024286298924e-6,0.8387788088283052,5.786480418813785e-7,3.1634625379512857,1.3600648493180943e-4,2.7436723281803025e-6,392,Sub-Saharan Africa,Malawi,Phalombe,TA Jenala,30905,MW30905,0.1420594,0.003422319,0.2055911,0.02920614,0.02409077,0.000703598,33060.70304,0.3004425,0.03386713,0.5958808,0.1790279,0.1127242,0.02018078, 7879.896811,0.05,8.11e-06,1,0.2336851,0.000162132,3.79e-05, 51160.28690,40,2020-04-12
