time,S_e,E_e,I_e,H_e,C_e,R_e,D_e,inci_e,hosp_e,crits_e,S_a,E_a,I_a,H_a,C_a,R_a,D_a,inci_a,hosp_a,crits_a,S_p,E_p,I_p,H_p,C_p,R_p,D_p,inci_p,hosp_p,crits_p,UID,Lvl1,Lvl2,Lvl3,Lvl4,TA_Code,TA_Code2,Adults_Crit_of_Hosp,Adults_Critical_Care,Adults_FR_of_Crit,Adults_FR_of_Hosp,Adults_Hospitalization,Adults_IFR,Adults_Population,Elderly_Crit_of_Hosp,Elderly_Critical_Care,Elderly_FR_of_Crit,Elderly_FR_of_Hosp,Elderly_Hospitalization,Elderly_IFR,Elderly_Population,Pediatrics_Crit_of_Hosp,Pediatrics_Critical_Care,Pediatrics_FR_of_Crit,Pediatrics_FR_of_Hosp,Pediatrics_Hospitalization,Pediatrics_IFR,Pediatrics_Population,start_day,start_date
35,7643.916096,0,0,0,0,0,0,0,0,0,30001.88053,1,0,0,0,0,0,0,0,0,44832.52085,0,0,0,0,0,0,0,0,0,274,Sub-Saharan Africa,Malawi,Blantyre,TA Somba,30508,MW30508,0.1438564,0.003494312,0.2041204,0.02936403,0.02429028,0.000713261,31001.88053,0.2966762,0.03331207,0.5958677,0.1767798,0.1122843,0.01984958, 7643.916096,0.05,9.46e-06,1,0.2195439,0.000189251,4.15e-05, 44832.52085,35,2020-04-07
36,7643.847042685472,0.060342364118860785,0.007933388801211368,8.20248550902124e-5,1.5280869362714993e-6,6.939852565661222e-4,2.340853081780774e-8,0.06905331452719558,8.730796076272869e-5,1.5673717151205756e-6,30001.737583364058,0.8766747225122548,0.2308853403587468,7.898755874805524e-4,9.707171685002241e-6,0.03458692583676556,6.448268425611768e-8,0.1429466359496167,8.595497683200296e-4,1.0023076828516156e-5,44832.40253539851,0.10388777119923931,0.01316338293288503,2.2481209664608692e-7,6.970590276376977e-10,0.0012632218404072045,1.7770025813928483e-11,0.11831460149945726,2.3910867771511947e-7,7.148290534516264e-10,274,Sub-Saharan Africa,Malawi,Blantyre,TA Somba,30508,MW30508,0.1438564,0.003494312,0.2041204,0.02936403,0.02429028,0.000713261,31001.88053,0.2966762,0.03331207,0.5958677,0.1767798,0.1122843,0.01984958, 7643.916096,0.05,9.46e-06,1,0.2195439,0.000189251,4.15e-05, 44832.52085,35,2020-04-07
37,7643.764027071673,0.11785908455505553,0.02848094933183028,5.679960052903376e-4,2.1217426171263037e-5,0.005139017768947684,6.632389161231827e-7,0.1520689283262112,6.432649018935459e-4,2.2330490222432765e-5,30001.55167775185,0.8214331441048156,0.38293926328188665,0.002549256160376305,6.391987517917275e-5,0.12186578196600298,8.827679897265101e-7,0.32885224815625036,0.003023650186647741,6.824461680091417e-5,44832.234881798,0.2249698867946765,0.05111713865005994,1.6560460434877501e-6,1.017401046849405e-8,0.009879509823174388,5.248146910540526e-10,0.2859682020127795,1.8700225466787128e-6,1.0698825159548101e-8,274,Sub-Saharan Africa,Malawi,Blantyre,TA Somba,30508,MW30508,0.1438564,0.003494312,0.2041204,0.02936403,0.02429028,0.000713261,31001.88053,0.2966762,0.03331207,0.5958677,0.1767798,0.1122843,0.01984958, 7643.916096,0.05,9.46e-06,1,0.2195439,0.000189251,4.15e-05, 44832.52085,35,2020-04-07
38,7643.66516029843,0.17492129431656486,0.0581026521411275,0.0016702222061124744,9.363038524674077e-5,0.016143414297403114,4.488222535511179e-6,0.2509357015689899,0.0020112088844434993,1.0116263197787119e-4,30001.31841761784,0.82122546252584006,0.4908465832332523,0.004697673882455082,1.7907121481524257e-4,0.24515974214548666,3.849167587976885e-6,0.5621123821694372,0.006073549782701473,1.979285538562051e-4,44832.012558505376,0.36363988331171593,0.11199713942012321,5.1637843924930305e-6,4.710891813466873e-8,0.03264925731634541,3.6964353756649567e-9,0.5082914946379304,6.179891462699707e-6,5.080535351033365e-8,274,Sub-Saharan Africa,Malawi,Blantyre,TA Somba,30508,MW30508,0.1438564,0.003494312,0.2041204,0.02936403,0.02429028,0.000713261,31001.88053,0.2966762,0.03331207,0.5958677,0.1767798,0.1122843,0.01984958, 7643.916096,0.05,9.46e-06,1,0.2195439,0.000189251,4.15e-05, 44832.52085,35,2020-04-07
39,7643.542757626909,0.23838941499581268,0.09530061594001053,0.003482278114411007,2.5925659610549713e-4,0.03588988295886696,1.6924483417455584e-5,0.3733383730886238,0.004451886344787742,2.876596852768948e-4,30001.0197136741,0.8782660154283518,0.5794049708927589,0.006960351635773415,3.557584039617735e-4,0.3958186834257653,1.0546117222839903e-5,0.8608163259038338,0.009792513179159433,4.074245638499566e-4,44831.71705028705,0.5317945738876907,0.19593304161734335,1.1375468668442829e-5,1.365774724908361e-7,0.07606057092200261,1.4485119843400023e-8,0.8037997129582972,1.4396720515127551e-5,1.5106259233423606e-7,274,Sub-Saharan Africa,Malawi,Blantyre,TA Somba,30508,MW30508,0.1438564,0.003494312,0.2041204,0.02936403,0.02429028,0.000713261,31001.88053,0.2966762,0.03331207,0.5958677,0.1767798,0.1122843,0.01984958, 7643.916096,0.05,9.46e-06,1,0.2195439,0.000189251,4.15e-05, 44832.52085,35,2020-04-07
40,7643.395050068783,0.3082049376496499,0.13978139686569188,0.00605766052034539,5.586797129724078e-4,0.06639682426635678,4.643219940261068e-5,0.5210459312144186,0.00820344567363819,6.366033852953256e-4,30000.65175751026,0.9816186379920273,0.6661818503513199,0.00925363463627079,5.887597856438194e-4,0.57110712450579,2.2482478497884862e-5,1.22877248974955,0.014111972586317056,6.989030074770359e-4,44831.343754471905,0.7260778404313332,0.30409781838931293,2.0830374668254194e-5,3.0748697333285884e-7,0.14689869018625532,4.123090229853269e-8,1.1770955280994448,2.7804732180882032e-5,3.4871787563139147e-7,274,Sub-Saharan Africa,Malawi,Blantyre,TA Somba,30508,MW30508,0.1438564,0.003494312,0.2041204,0.02936403,0.02429028,0.000713261,31001.88053,0.2966762,0.03331207,0.5958677,0.1767798,0.1122843,0.01984958, 7643.916096,0.05,9.46e-06,1,0.2195439,0.000189251,4.15e-05, 44832.52085,35,2020-04-07
41,7643.216144560109,0.38794125528373563,0.1917740356300791,0.009435357974423565,0.0010307990842959723,0.1096655536401597,1.0443827571915868e-4,0.6999514398884127,0.013500631822308498,0.0012060699971498806,30000.200884769703,1.1317262159401922,0.763122377390604,0.011599719412782088,8.726570079409478e-4,0.7722832377408255,4.1022813155451375e-5,1.6796452303055005,0.01906293005517392,0.0010736306154561762,44830.87862861139,0.952280156202961,0.43768223344881757,3.3994663784876206e-5,5.912244402523841e-7,0.25222431702065895,9.605576115670888e-8,1.6422213886164232,4.774026781305807e-5,6.872802014090928e-7,274,Sub-Saharan Africa,Malawi,Blantyre,TA Somba,30508,MW30508,0.1438564,0.003494312,0.2041204,0.02936403,0.02429028,0.000713261,31001.88053,0.2966762,0.03331207,0.5958677,0.1767798,0.1122843,0.01984958, 7643.916096,0.05,9.46e-06,1,0.2195439,0.000189251,4.15e-05, 44832.52085,35,2020-04-07
42,7642.998855316261,0.4814120604976671,0.2523671643901954,0.013665426191836801,0.0017129025977905023,0.1678779290850872,2.0520097403325317e-4,0.9172406837366099,0.020599841483810447,0.0020572759780446313,29999.64995452578,1.331956268422951,0.87970248386143,0.014080461397298913,0.0012045467405034389,1.003564292443845,6.742136437714421e-5,2.2305754742304056,0.024749772472751085,0.0015348486817946781,44830.30394872457,1.217969114509826,0.5992480082262914,5.132213582849432e-5,1.020812663993136e-6,0.3996316146427136,1.9511182374220232e-7,2.2169012754391466,7.56406255832011e-5,1.2159244877353382e-6,274,Sub-Saharan Africa,Malawi,Blantyre,TA Somba,30508,MW30508,0.1438564,0.003494312,0.2041204,0.02936403,0.02429028,0.000713261,31001.88053,0.2966762,0.03331207,0.5958677,0.1767798,0.1122843,0.01984958, 7643.916096,0.05,9.46e-06,1,0.2195439,0.000189251,4.15e-05, 44832.52085,35,2020-04-07
43,7642.734469623852,0.5928172240560737,0.3233735825605881,0.018828623820335847,0.0026424038268689173,0.24359879686602567,3.657450161311804e-4,1.1816263761460233,0.029804247119705703,0.0032562062130885093,29998.9777153323,1.5884300210405096,1.0242376934647157,0.0168136157736547,0.0015852906731517605,1.2716451416230148,1.0290513092283742e-4,2.9028146677059694,0.03133803073439298,0.0020894300483579498,44829.59757337546,1.5326904016038738,0.792853605100531,7.332548386617194e-5,1.6310190513486147e-6,0.5976573025604858,3.5878153833144125e-7,2.923276624549346,1.1312149565977306e-4,1.9898005896800556e-6,274,Sub-Saharan Africa,Malawi,Blantyre,TA Somba,30508,MW30508,0.1438564,0.003494312,0.2041204,0.02936403,0.02429028,0.000713261,31001.88053,0.2966762,0.03331207,0.5958677,0.1767798,0.1122843,0.01984958, 7643.916096,0.05,9.46e-06,1,0.2195439,0.000189251,4.15e-05, 44832.52085,35,2020-04-07
44,7642.412430081445,0.7269247052296365,0.40726936807408715,0.025049188642366618,0.003859429147515347,0.33995726086626277,6.059665933738116e-4,1.503665918553242,0.041485887513550514,0.0048763773616471275,29998.158004054367,1.9100382566105696,1.2048569406307097,0.01994089106933263,0.0020200693857907203,1.5855210107847693,1.4877715571585685e-4,3.7225259456368884,0.0390498010151389,0.0027489389927278845,44828.73206213385,1.9082467525806273,1.0242082674126802,1.0063858375757701e-4,2.459218353689427e-6,0.8562291364245259,6.119448319715574e-7,3.788787866164776,1.6206184747079674e-4,3.0711631856609835e-6,274,Sub-Saharan Africa,Malawi,Blantyre,TA Somba,30508,MW30508,0.1438564,0.003494312,0.2041204,0.02936403,0.02429028,0.000713261,31001.88053,0.2966762,0.03331207,0.5958677,0.1767798,0.1122843,0.01984958, 7643.916096,0.05,9.46e-06,1,0.2195439,0.000189251,4.15e-05, 44832.52085,35,2020-04-07
