time,S_e,E_e,I_e,H_e,C_e,R_e,D_e,inci_e,hosp_e,crits_e,S_a,E_a,I_a,H_a,C_a,R_a,D_a,inci_a,hosp_a,crits_a,S_p,E_p,I_p,H_p,C_p,R_p,D_p,inci_p,hosp_p,crits_p,UID,Lvl1,Lvl2,Lvl3,Lvl4,TA_Code,TA_Code2,Adults_Crit_of_Hosp,Adults_Critical_Care,Adults_FR_of_Crit,Adults_FR_of_Hosp,Adults_Hospitalization,Adults_IFR,Adults_Population,Elderly_Crit_of_Hosp,Elderly_Critical_Care,Elderly_FR_of_Crit,Elderly_FR_of_Hosp,Elderly_Hospitalization,Elderly_IFR,Elderly_Population,Pediatrics_Crit_of_Hosp,Pediatrics_Critical_Care,Pediatrics_FR_of_Crit,Pediatrics_FR_of_Hosp,Pediatrics_Hospitalization,Pediatrics_IFR,Pediatrics_Population,start_day,start_date
12,1822.155043,0,0,0,0,0,0,0,0,0,15666.55841,1,0,0,0,0,0,0,0,0,18969.65783,0,0,0,0,0,0,0,0,0,220,Sub-Saharan Africa,Malawi,Mzuzu City,Mchengautuwa East Ward,10709,MW10709,0.1395609,0.003227765,0.2073305,0.02893524,0.02312800,0.000669214,16666.55841,0.2469135,0.02551428,0.5954637,0.1470281,0.1033329,0.01519283, 1822.155043,0.05,9.76e-06,1,0.2169826,0.000195163,4.23e-05, 18969.65783,12,2020-03-15
13,1822.1076512211955,0.041520868057831,0.005351791578071009,5.041443925895855e-5,7.770494834814617e-7,4.679158300674929e-4,1.1850237406791965e-8,0.04739177880494936,5.364208918325186e-5,7.969503395819962e-7,15666.338818104587,0.9444418422148648,0.23900803770564266,7.685269209136039e-4,9.106288356212996e-6,0.03536432105666645,6.122828016191431e-8,0.21959189541472385,8.358925343502379e-4,9.401605640268717e-6,18969.506893320926,0.13307019593404845,0.016327681315508186,2.8254734526188713e-7,8.665610778269095e-10,0.0015385183910579905,2.193070619453089e-11,0.15093667907645167,3.003171809423159e-7,8.884917840214407e-10,220,Sub-Saharan Africa,Malawi,Mzuzu City,Mchengautuwa East Ward,10709,MW10709,0.1395609,0.003227765,0.2073305,0.02893524,0.02312800,0.000669214,16666.55841,0.2469135,0.02551428,0.5954637,0.1470281,0.1033329,0.01519283, 1822.155043,0.05,9.76e-06,1,0.2169826,0.000195163,4.23e-05, 18969.65783,12,2020-03-15
14,1822.0433002807551,0.08758749282134409,0.020197868510793283,3.617151058521257e-4,1.1081050912576334e-5,0.003584218902539049,3.42853602528166e-7,0.11174271924504367,4.089252694785533e-4,1.1656826736573943e-5,15666.010978517514,0.9974504429767702,0.41898147210813624,0.0025614411216971023,6.125289223469307e-5,0.1283760221260729,8.512642176805441e-7,0.5474314824891287,0.0030297579949248553,6.53587243128511e-5,18969.257472911406,0.3192747895563398,0.06835739211955759,2.2051511909846367e-6,1.324159403101557e-8,0.012722687857312091,6.723969054875335e-10,0.4003570885983914,2.4834310097146992e-6,1.3913990936503107e-8,220,Sub-Saharan Africa,Malawi,Mzuzu City,Mchengautuwa East Ward,10709,MW10709,0.1395609,0.003227765,0.2073305,0.02893524,0.02312800,0.000669214,16666.55841,0.2469135,0.02551428,0.5954637,0.1470281,0.1033329,0.01519283, 1822.155043,0.05,9.76e-06,1,0.2169826,0.000195163,4.23e-05, 18969.65783,12,2020-03-15
15,1821.955218711312,0.14301626896706204,0.04390791798529855,0.0011122237094128397,5.051866126451687e-5,0.01173498036804321,2.378997069159869e-6,0.19982428868815033,0.0013330049226541862,5.4513862095667224e-5,15665.539102370529,1.16346474062177,0.581884621161894,0.00494007165090507,1.765762562368288e-4,0.26883783482683093,3.7849567155735666e-6,1.0193076294743522,0.006336106815150241,1.9483192395370385e-4,18968.878169911895,0.5729508554663728,0.1621419735730356,7.312225410679638e-6,6.435670880474453e-8,0.04455987756356801,4.9260197718537845e-9,0.7796600881111154,8.697879982211606e-6,6.928272857659832e-8,220,Sub-Saharan Africa,Malawi,Mzuzu City,Mchengautuwa East Ward,10709,MW10709,0.1395609,0.003227765,0.2073305,0.02893524,0.02312800,0.000669214,16666.55841,0.2469135,0.02551428,0.5954637,0.1470281,0.1033329,0.01519283, 1822.155043,0.05,9.76e-06,1,0.2169826,0.000195163,4.23e-05, 18969.65783,12,2020-03-15
16,1821.8335867098538,0.2140931889271988,0.07738984787075616,0.002445378257471863,1.4543931981527157e-4,0.027373200132791646,9.235638512929027e-6,0.3214562901465467,0.003097223190944693,1.609493139810436e-4,15664.87105847843,1.4601376432492692,0.7620562205476245,0.007781833029726851,3.6411874316219544e-4,0.45700107803220225,1.0627970418642572e-5,1.6873515215724038,0.010758166309031996,4.153797511597769e-4,18968.324108052926,0.9166959169316653,0.30681655414724174,1.717838590299788e-5,1.964075884418775e-7,0.11019208109419548,2.011371465130514e-8,1.3337219470803086,2.1508811964861532e-5,2.1652130309318262e-7,220,Sub-Saharan Africa,Malawi,Mzuzu City,Mchengautuwa East Ward,10709,MW10709,0.1395609,0.003227765,0.2073305,0.02893524,0.02312800,0.000669214,16666.55841,0.2469135,0.02551428,0.5954637,0.1470281,0.1033329,0.01519283, 1822.155043,0.05,9.76e-06,1,0.2169826,0.000195163,4.23e-05, 18969.65783,12,2020-03-15
17,1821.6645812026434,0.30904828114361405,0.12312848012043665,0.004517813021915025,3.2760976976205176e-4,0.053413423377463305,2.6189923744946647e-5,0.49046179735693596,0.006022761806082515,3.715921716195398e-4,15663.9323199472,1.9203610203082484,0.9916121478760478,0.011182975140340029,6.316817646897008e-4,0.7022788795442659,2.3348168818384386e-5,2.626090052802411,0.01651609530744774,7.442950503297031e-4,18967.531303954263,1.3842423535001174,0.5162448759809577,3.359478104932373e-5,4.6623468133434656e-7,0.22600469549731414,5.974694108684811e-8,2.126526045741061,4.411441349774761e-5,5.259816224211942e-7,220,Sub-Saharan Africa,Malawi,Mzuzu City,Mchengautuwa East Ward,10709,MW10709,0.1395609,0.003227765,0.2073305,0.02893524,0.02312800,0.000669214,16666.55841,0.2469135,0.02551428,0.5954637,0.1470281,0.1033329,0.01519283, 1822.155043,0.05,9.76e-06,1,0.2169826,0.000195163,4.23e-05, 18969.65783,12,2020-03-15
18,1821.4556366169206,0.4152516218664048,0.1825231629768892,0.0075138670606396995,6.351529508643653e-4,0.0934214659618604,6.11122623002809e-5,0.6994063830789585,0.010501887777326153,7.377826532295649e-4,15662.766652204722,2.4641421940106234,1.289323506105382,0.015379287423819665,9.919780263312695e-4,1.0218766606163556,4.416909672501269e-5,3.7917577952792363,0.024013619576935208,0.0012050151661877478,18966.536748563543,1.911533939795048,0.7975020862285547,5.8571880646875626e-5,9.467719286329583e-7,0.4119857463472802,1.4543496085778856e-7,3.1210814364584185,8.041601843669038e-5,1.0922068894907457e-6,220,Sub-Saharan Africa,Malawi,Mzuzu City,Mchengautuwa East Ward,10709,MW10709,0.1395609,0.003227765,0.2073305,0.02893524,0.02312800,0.000669214,16666.55841,0.2469135,0.02551428,0.5954637,0.1470281,0.1033329,0.01519283, 1822.155043,0.05,9.76e-06,1,0.2169826,0.000195163,4.23e-05, 18969.65783,12,2020-03-15
19,1821.1758818260334,0.5570779284613498,0.2579743085009203,0.011605028151739265,0.0011118737055161305,0.15126710039644148,1.2493475022911995e-4,0.9791611739661958,0.016957852376533043,0.001321684564228625,15661.203763976602,3.2206368012084026,1.6747929100019379,0.020637899922887292,0.0014644903684888355,1.437038189801563,7.57320984373542e-5,5.354646023401717,0.03374875486836214,0.0018297627159599304,18965.195392475216,2.611456838447671,1.161378059426176,9.391783206680581e-5,1.724547905820637e-6,0.6895066757282579,3.0880636466577554e-7,4.462437524788442,1.345849174765337e-4,2.0333542704864114e-6,220,Sub-Saharan Africa,Malawi,Mzuzu City,Mchengautuwa East Ward,10709,MW10709,0.1395609,0.003227765,0.2073305,0.02893524,0.02312800,0.000669214,16666.55841,0.2469135,0.02551428,0.5954637,0.1470281,0.1033329,0.01519283, 1822.155043,0.05,9.76e-06,1,0.2169826,0.000195163,4.23e-05, 18969.65783,12,2020-03-15
20,1820.8015044831918,0.7465302742984036,0.3558344798665546,0.017051407469834443,0.0018085514301864145,0.23208172439127167,2.3207935147561375e-4,1.353538516807726,0.02595451329778896,0.0021982970208506533,15659.111811202803,4.252471179076543,2.1867883884805175,0.02735164803620887,0.0020770207364679207,1.977789277307024,1.2128356195107565e-4,7.446598797198711,0.046425741703152106,0.0026619976788429082,18963.393485047527,3.540754209169311,1.63726221867644,1.421382629466207e-4,2.9005128397154575e-6,1.0861828927280295,5.931307056159087e-7,6.264344952480273,2.1201113385324762e-4,3.4936435453313646e-6,220,Sub-Saharan Africa,Malawi,Mzuzu City,Mchengautuwa East Ward,10709,MW10709,0.1395609,0.003227765,0.2073305,0.02893524,0.02312800,0.000669214,16666.55841,0.2469135,0.02551428,0.5954637,0.1470281,0.1033329,0.01519283, 1822.155043,0.05,9.76e-06,1,0.2169826,0.000195163,4.23e-05, 18969.65783,12,2020-03-15
21,1820.300660868145,0.9996617977757222,0.48436438716869457,0.02424616349792806,0.002788920341516671,0.34291967365354203,4.011894169474412e-4,1.8543821318543505,0.038269954026449594,0.0034626632026641103,15656.313770019528,5.646268948479532,2.873009300435596,0.036078266478829515,0.002869699214206239,2.6862288247216473,1.8494114453712968e-4,10.244639980474346,0.06303216612750162,0.0037617104934783738,18960.97804099209,4.7764225574212755,2.2638697276336956,2.0686144065793394e-4,4.599695243856183e-6,1.639284206037728,1.0556876694361533e-6,8.679789007916268,3.199690989237803e-4,5.655382913292334e-6,220,Sub-Saharan Africa,Malawi,Mzuzu City,Mchengautuwa East Ward,10709,MW10709,0.1395609,0.003227765,0.2073305,0.02893524,0.02312800,0.000669214,16666.55841,0.2469135,0.02551428,0.5954637,0.1470281,0.1033329,0.01519283, 1822.155043,0.05,9.76e-06,1,0.2169826,0.000195163,4.23e-05, 18969.65783,12,2020-03-15
