time,S_e,E_e,I_e,H_e,C_e,R_e,D_e,inci_e,hosp_e,crits_e,S_a,E_a,I_a,H_a,C_a,R_a,D_a,inci_a,hosp_a,crits_a,S_p,E_p,I_p,H_p,C_p,R_p,D_p,inci_p,hosp_p,crits_p,UID,Lvl1,Lvl2,Lvl3,Lvl4,TA_Code,TA_Code2,Adults_Crit_of_Hosp,Adults_Critical_Care,Adults_FR_of_Crit,Adults_FR_of_Hosp,Adults_Hospitalization,Adults_IFR,Adults_Population,Elderly_Crit_of_Hosp,Elderly_Critical_Care,Elderly_FR_of_Crit,Elderly_FR_of_Hosp,Elderly_Hospitalization,Elderly_IFR,Elderly_Population,Pediatrics_Crit_of_Hosp,Pediatrics_Critical_Care,Pediatrics_FR_of_Crit,Pediatrics_FR_of_Hosp,Pediatrics_Hospitalization,Pediatrics_IFR,Pediatrics_Population,start_day,start_date
34,1058.962273,0,0,0,0,0,0,0,0,0,10252.19795,1,0,0,0,0,0,0,0,0,10936.18968,0,0,0,0,0,0,0,0,0,278,Sub-Saharan Africa,Malawi,Blantyre City,Blantyre South Ward,31548,MW31548,0.1367724,0.003068697,0.2095255,0.02865732,0.02243652,0.000642970,10253.19795,0.2392646,0.02434815,0.5952114,0.1424130,0.1017625,0.01449230, 1058.962273,0.05,9.48e-06,1,0.2193921,0.000189591,4.16e-05, 10936.18968,34,2020-04-06
35,1058.9330572537658,0.02565291591469073,0.003250516620591771,2.987949538854115e-5,4.4382946550477286e-7,2.8198363003258e-4,6.743824512470416e-9,0.02921574623399365,3.178182276509223e-5,4.5515959881954194e-7,10251.911230302056,1.0033580509407634,0.24649792902448414,7.607729126487932e-4,8.786738201425755e-6,0.03609409880463614,5.952492822862245e-8,0.2867196979456621,8.270935457419316e-4,9.070832157667943e-6,10935.937332694375,0.22217196776446735,0.02755997030213556,4.663833467515913e-7,1.4368469887086245e-9,0.0026148996970515983,3.6493167753678236e-11,0.2523473056203414,4.958501498808375e-7,1.4733401564623025e-9,278,Sub-Saharan Africa,Malawi,Blantyre City,Blantyre South Ward,31548,MW31548,0.1367724,0.003068697,0.2095255,0.02865732,0.02243652,0.000642970,10253.19795,0.2392646,0.02434815,0.5952114,0.1424130,0.1017625,0.01449230, 1058.962273,0.05,9.48e-06,1,0.2193921,0.000189591,4.16e-05, 10936.18968,34,2020-04-06
36,1058.8899544535998,0.05711062907154603,0.012757630198191917,2.2087306711995804e-4,6.478964546189421e-6,0.0022227363442254198,1.9875414457920206e-7,0.07231854639977411,2.4934734407030336e-4,6.812886484813584e-6,10251.482997126865,1.1299263380812423,0.4483845261385485,0.0025969932031692225,6.0115289511594185e-5,0.13398406219724496,8.382271955634308e-7,0.7149528731369119,0.0030657711659091715,6.411588703105331e-5,10935.53211014318,0.5231470914595067,0.11316581992988735,3.5758367153671752e-6,2.1611663870719718e-8,0.021253346875086163,1.1027773762611996e-9,0.6575698568156368,4.030125540306794e-6,2.2714441246980916e-8,278,Sub-Saharan Africa,Malawi,Blantyre City,Blantyre South Ward,31548,MW31548,0.1367724,0.003068697,0.2095255,0.02865732,0.02243652,0.000642970,10253.19795,0.2392646,0.02434815,0.5952114,0.1424130,0.1017625,0.01449230, 1058.962273,0.05,9.48e-06,1,0.2193921,0.000189591,4.16e-05, 10936.18968,34,2020-04-06
37,1058.8269141165488,0.09824485334325257,0.02888453748806466,7.010068873020169e-4,3.0282743363023283e-5,0.0074967958145231335,1.4071743368438196e-6,0.13535888345084227,8.374537426944146e-4,3.264690227671986e-5,10250.855697624658,1.3996481410473112,0.6495764634404321,0.005150761817338474,1.7668845376733988e-4,0.28769654015194845,3.7804351951418722e-6,1.3422523753459918,0.00657452344141653,1.947312943530533e-4,10934.912123566522,0.937678850370014,0.26620052476693146,1.1730964240316325e-5,1.0388204937471962e-7,0.07366521549510269,7.995096963131688e-9,1.2775564334734346,1.396850716707335e-5,1.1187714633785131e-7,278,Sub-Saharan Africa,Malawi,Blantyre City,Blantyre South Ward,31548,MW31548,0.1367724,0.003068697,0.2095255,0.02865732,0.02243652,0.000642970,10253.19795,0.2392646,0.02434815,0.5952114,0.1424130,0.1017625,0.01449230, 1058.962273,0.05,9.48e-06,1,0.2193921,0.000189591,4.16e-05, 10936.18968,34,2020-04-06
38,1058.734939633362,0.15454797915811036,0.05306652944346188,0.0015933796052820654,8.950557382913788e-5,0.018030393893402566,5.578963357878668e-6,0.22733336663744386,0.0020066402908753885,9.887865263421227e-5,10249.942913688363,1.852820241626273,0.8906030540088804,0.008379116131889531,3.724813259231763e-4,0.5028506338454725,1.0784700435781198e-5,2.2550363116388734,0.011478815665827804,4.2395334453561843e-4,10933.985906347742,1.5178369650229224,0.504482289436714,2.7453268630311117e-5,3.150328140084316e-7,0.18142659708728037,3.240979112693298e-8,2.203773652258152,3.4402120733018405e-5,3.4744260513536457e-7,278,Sub-Saharan Africa,Malawi,Blantyre City,Blantyre South Ward,31548,MW31548,0.1367724,0.003068697,0.2095255,0.02865732,0.02243652,0.000642970,10253.19795,0.2392646,0.02434815,0.5952114,0.1424130,0.1017625,0.01449230, 1058.962273,0.05,9.48e-06,1,0.2193921,0.000189591,4.16e-05, 10936.18968,34,2020-04-06
39,1058.5987394213503,0.23568765389978333,0.0882507097722156,0.0030494012988687056,2.0728666744782053e-4,0.03632235491889916,1.6172091807920174e-5,0.36353357864902364,0.0040293080640993705,2.3445700022020976e-4,10248.596218043234,2.5742983919530475,1.2173619778015927,0.012489110066441381,6.626166694834247e-4,0.7968957477119543,2.411256519355251e-5,3.6017319567676993,0.018175187363450664,7.776984384974669e-4,10932.597443090299,2.3595753670065465,0.8596353384979021,5.387075545483631e-5,7.466864206079917e-7,0.3729714908563637,9.589636062310344e-8,3.5922369096990567,7.072241107945821e-5,8.425827812310866e-7,278,Sub-Saharan Africa,Malawi,Blantyre City,Blantyre South Ward,31548,MW31548,0.1367724,0.003068697,0.2095255,0.02865732,0.02243652,0.000642970,10253.19795,0.2392646,0.02434815,0.5952114,0.1424130,0.1017625,0.01449230, 1058.962273,0.05,9.48e-06,1,0.2193921,0.000189591,4.16e-05, 10936.18968,34,2020-04-06
40,1058.3990748366118,0.3523659246167811,0.13919135715055453,0.0052874929342096874,4.143160746680956e-4,0.06590044460066384,3.862801039240793e-5,0.5631981633872708,0.007290355215848544,4.7921404267140905e-4,10246.62864174339,3.661409572782383,1.6870946981585415,0.017935679200266074,0.0010711345949490278,1.2017506495326453,4.6522342788114116e-5,5.569308256611559,0.027390593040579347,0.0012931712577328573,10930.54941152974,3.570970060803897,1.3808816440548646,9.538075575452363e-5,1.5234472496647215e-6,0.6883196277994702,2.3339611104324946e-7,5.640268470257355,1.3051762296868304e-4,1.7568433607079622e-6,278,Sub-Saharan Africa,Malawi,Blantyre City,Blantyre South Ward,31548,MW31548,0.1367724,0.003068697,0.2095255,0.02865732,0.02243652,0.000642970,10253.19795,0.2392646,0.02434815,0.5952114,0.1424130,0.1017625,0.01449230, 1058.962273,0.05,9.48e-06,1,0.2193921,0.000189591,4.16e-05, 10936.18968,34,2020-04-06
41,1058.1064888425626,0.521604304455635,0.21288991143300093,0.00862768604081239,7.526886424289404e-4,0.11182849973905153,8.106712554555747e-5,0.8557841574364755,0.012342767676761917,8.88887521592809e-4,10243.752825582289,5.275504896772787,2.374827230547826,0.025444101532596422,0.0016381840882963286,1.767628407530183,8.15972412234004e-5,8.4451244177129,0.04026889311923276,0.002027622324804054,10927.539108118588,5.325843467224193,2.140074141378987,1.582828573961157e-4,2.8176236195161757e-6,1.1844926741010713,4.982229224467555e-7,8.650571881408199,2.2459978823537437e-4,3.315846541962923e-6,278,Sub-Saharan Africa,Malawi,Blantyre City,Blantyre South Ward,31548,MW31548,0.1367724,0.003068697,0.2095255,0.02865732,0.02243652,0.000642970,10253.19795,0.2392646,0.02434815,0.5952114,0.1424130,0.1017625,0.01449230, 1058.962273,0.05,9.48e-06,1,0.2193921,0.000189591,4.16e-05, 10936.18968,34,2020-04-06
42,1057.6779505766112,0.7681070429158889,0.3197775843186614,0.013542679076605791,0.0012816400282569397,0.18145814120097697,1.5533584753013016e-4,1.2843224233879211,0.019990001231057312,0.0015426159563559812,10239.548401869532,7.654566624438497,3.386432999482845,0.036089692229191374,0.0024279548935505026,2.5698965922476487,1.342671770779378e-4,12.649548130468798,0.058526750738122545,0.003068770341206931,10923.123487353047,7.877987057996984,3.2441969147932994,2.5175264752162134e-4,4.87138448434998e-6,1.9437510808176264,9.693105667042526e-7,13.06619264695049,3.6856654854270607e-4,5.840695051054226e-6,278,Sub-Saharan Africa,Malawi,Blantyre City,Blantyre South Ward,31548,MW31548,0.1367724,0.003068697,0.2095255,0.02865732,0.02243652,0.000642970,10253.19795,0.2392646,0.02434815,0.5952114,0.1424130,0.1017625,0.01449230, 1058.962273,0.05,9.48e-06,1,0.2193921,0.000189591,4.16e-05, 10936.18968,34,2020-04-06
43,1057.0506525951312,1.127793662339945,0.4752059817079144,0.020731051448637013,0.0020861055300653132,0.2855250231262817,2.78580715038264e-4,1.9116204048678826,0.031406020172947524,0.002554142121834664,10233.401397739177,11.147327528975147,4.874193328275128,0.051438888626982926,0.003539250059475598,3.719841695243651,2.1156964232268202e-4,18.796552260822693,0.08469856758688107,0.004549006114574768,10916.655177318873,11.597422365821416,4.850957822010568,3.8925557170162823e-4,8.030362643905728e-6,3.085723445446244,1.7619112522975264e-6,19.534502681123833,5.851010496256935e-4,9.792273896203248e-6,278,Sub-Saharan Africa,Malawi,Blantyre City,Blantyre South Ward,31548,MW31548,0.1367724,0.003068697,0.2095255,0.02865732,0.02243652,0.000642970,10253.19795,0.2392646,0.02434815,0.5952114,0.1424130,0.1017625,0.01449230, 1058.962273,0.05,9.48e-06,1,0.2193921,0.000189591,4.16e-05, 10936.18968,34,2020-04-06
