time,S_e,E_e,I_e,H_e,C_e,R_e,D_e,S_a,E_a,I_a,H_a,C_a,R_a,D_a,S_p,E_p,I_p,H_p,C_p,R_p,D_p,Elderly_Population,Adults_Population,Pediatrics_Population,new_E_e,new_I_e,new_H_e,new_C_e,new_D_e,new_E_a,new_I_a,new_H_a,new_C_a,new_D_a,new_E_p,new_I_p,new_H_p,new_C_p,new_D_p,S_all,E_all,I_all,H_all,C_all,R_all,D_all,new_E_all,new_I_all,new_H_all,new_C_all,new_D_all,UID,Lvl1,Lvl2,Lvl3,Lvl4,TA_Code,TA_Code2,Adults_Crit_of_Hosp,Adults_Critical_Care,Adults_FR_of_Crit,Adults_FR_of_Hosp,Adults_Hospitalization,Adults_IFR,Elderly_Crit_of_Hosp,Elderly_Critical_Care,Elderly_FR_of_Crit,Elderly_FR_of_Hosp,Elderly_Hospitalization,Elderly_IFR,Pediatrics_Crit_of_Hosp,Pediatrics_Critical_Care,Pediatrics_FR_of_Crit,Pediatrics_FR_of_Hosp,Pediatrics_Hospitalization,Pediatrics_IFR,start_day,start_date
36,1943.594,0,0,0,0,0,0,7603.004,1,0,0,0,0,0,11659.82,0,0,0,0,0,0,1943.594,7603.004,11659.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21206.417999999998,1,0,0,0,0,0,0,0,0,0,0,272,Sub-Saharan Africa,Malawi,Blantyre,TA Machinjiri,30507,MW30507,0.1434986,0.003470380,0.2043781,0.02932797,0.01209204,0.000709270,0.2954967,0.03310780,0.5958565,0.1760736,0.05602058,0.01972749,0.05,9.46e-06,0.1,0.2195800,9.45850e-05,4.15e-05,36,2020-04-08
37,1943.573613556878,0.01776761889431095,0.0023828434484411474,1.2415295071839198e-5,2.3174181300065629e-7,2.233301786047074e-4,3.5637368446472007e-9,7602.923046882683,0.8220801643461151,0.22412654225030246,3.8592954092028634e-4,4.756061915066683e-6,0.0343556933927716,3.1728038867413655e-8,11659.770513332303,0.043201147258921574,0.0057225921628946035,5.001656802542635e-8,1.5734980815637374e-10,5.628780974225643e-4,4.05031972438326e-13,1943.594,7603.004,11659.82,0.020386443122106357,0.0026188242277954063,1.3219780128277607e-5,2.3772267937686377e-7,3.5637368446472007e-9,0.08095311731722177,0.2588729529711067,4.2015498829239356e-4,4.911303782271065e-6,3.1728038867413655e-8,0.04948666769632837,0.006285520437406794,5.324457084473555e-8,1.6140014096545984e-10,4.05031972438326e-13,21206.267173771863,0.8830489304993476,0.2322319778616382,3.9839485256015094e-4,4.9879610778754955e-6,0.035141901668798874,3.529218074403329e-8,0.1508262281356565,0.26777729763630886,4.3342801299151593e-4,5.149187861788895e-6,3.529218074403329e-8,272,Sub-Saharan Africa,Malawi,Blantyre,TA Machinjiri,30507,MW30507,0.1434986,0.003470380,0.2043781,0.02932797,0.01209204,0.000709270,0.2954967,0.03310780,0.5958565,0.1760736,0.05602058,0.01972749,0.05,9.46e-06,0.1,0.2195800,9.45850e-05,4.15e-05,36,2020-04-08
38,1943.5519454678104,0.03221861027203151,0.008153549403100535,8.307425482110866e-5,3.1356477214256238e-6,0.0015960636972616683,9.891494661299036e-8,7602.834702847324,0.694741301381972,0.35528368757488415,0.001213190214493688,3.07706163499828e-5,0.11802777405543413,4.288361138686e-7,11659.714433100391,0.08136296548955231,0.02011168791703854,3.4152048218013924e-7,2.1633356714593514e-9,0.004091902502902259,1.1389555194382168e-11,1943.594,7603.004,11659.82,0.02166808906758888,0.007217097689868321,8.102770391361088e-5,3.06392968370715e-6,9.535120976834316e-8,0.08834403535911406,0.21568289832325716,0.0010220887862901035,2.795756141548891e-5,3.971080750011863e-7,0.05608023191234679,0.017918413681716053,3.3382053617940867e-7,2.115831101234789e-9,1.0984523221943842e-11,21206.101081415523,0.8083228771435558,0.38354892489502324,0.001296605989796977,3.390842740707988e-5,0.12371574025559806,5.277624500367847e-7,0.16609235633904973,0.24081840969484153,0.0011034503107398938,3.10236069302973e-5,4.924702692927514e-7,272,Sub-Saharan Africa,Malawi,Blantyre,TA Machinjiri,30507,MW30507,0.1434986,0.003470380,0.2043781,0.02932797,0.01209204,0.000709270,0.2954967,0.03310780,0.5958565,0.1760736,0.05602058,0.01972749,0.05,9.46e-06,0.1,0.2195800,9.45850e-05,4.15e-05,36,2020-04-08
39,1943.5293128017083,0.04390818084908055,0.015714768042882726,2.3456338354082892e-4,1.3422776654570466e-5,0.004815609240510919,6.539990414129824e-7,7602.740305169952,0.6042752040796495,0.4272551614875356,0.002157208034098117,8.428802315445981e-5,0.22992112794463107,1.8404839566735896e-6,11659.652550169423,0.11506272906195485,0.039826962266684265,9.844847231742601e-7,9.41273885031098e-9,0.012559145272982963,7.630635236746e-11,1943.594,7603.004,11659.82,0.022632666102026633,0.010943095524977596,1.8945470459724004e-4,1.1218702385406702e-5,5.55084094799992e-7,0.09439767737148941,0.18486377467381188,0.001365098216495982,6.0424447441382234e-5,1.4116478428049897e-6,0.061882930967840366,0.02818316739543783,8.009356637362461e-7,7.898571137106264e-9,6.491679717307784e-11,21205.922168141085,0.7632461139906849,0.4827968917971026,0.0023927559023621202,9.772021254788059e-5,0.24729588245812495,2.4945593044389397e-6,0.1789132744413564,0.2239900375942273,0.0015553538567569583,7.165104839792604e-5,1.966796854402155e-6,272,Sub-Saharan Africa,Malawi,Blantyre,TA Machinjiri,30507,MW30507,0.1434986,0.003470380,0.2043781,0.02932797,0.01209204,0.000709270,0.2954967,0.03310780,0.5958565,0.1760736,0.05602058,0.01972749,0.05,9.46e-06,0.1,0.2195800,9.45850e-05,4.15e-05,36,2020-04-08
40,1943.506338349898,0.052984280716391635,0.023951982553088946,4.6571493163410785e-4,3.5898507651918956e-5,0.010221371370363438,2.402023097339091e-6,7602.642610874477,0.5391307650051339,0.46233121862040627,0.0030491734700953802,1.627748898701484e-4,0.3567102444754067,4.949067874513995e-6,11659.586718837045,0.14380021256210232,0.062363972147916426,1.996193915269629e-6,2.5593200761625084e-8,0.027114956169175947,2.840072817828564e-10,1943.594,7603.004,11659.82,0.022974451810341634,0.013898351943030546,3.1714020244652974e-4,2.540936359882625e-5,1.7480240559261085e-6,0.09769429547486652,0.16283873454938214,0.0015449114058275536,9.36968325462889e-5,3.108583917840405e-6,0.06583133237836591,0.03709384887821844,1.3768586165299473e-6,1.825747122172893e-8,2.077009294153964e-10,21205.73566806142,0.7359152582836279,0.5486471733214117,0.0035168845956447575,1.98698990722829e-4,0.3940465720149461,7.351374979134868e-6,0.18650007966357407,0.21383093537063114,0.0018634284668906133,1.1912445361633688e-4,4.856815674695929e-6,272,Sub-Saharan Africa,Malawi,Blantyre,TA Machinjiri,30507,MW30507,0.1434986,0.003470380,0.2043781,0.02932797,0.01209204,0.000709270,0.2954967,0.03310780,0.5958565,0.1760736,0.05602058,0.01972749,0.05,9.46e-06,0.1,0.2195800,9.45850e-05,4.15e-05,36,2020-04-08
41,1943.4832323086032,0.0599160486148759,0.032109126631227745,7.624876297989983e-4,7.42145710910419e-5,0.017899417714596126,6.3962355664742126e-6,7602.542769012671,0.49202537046084854,0.47497244516361664,0.0038124355629000437,2.6002766960280763e-4,0.4901503910590909,1.031741987277453e-5,11659.517856791888,0.16801547204882683,0.08584317443265374,3.3378110370833063e-6,5.379550345806059e-8,0.04828116925343539,7.663707759174047e-10,1943.594,7603.004,11659.82,0.023106041294795432,0.016174273396311167,4.491242343390206e-4,4.501937617938609e-5,3.994212469135121e-6,0.09984186180645338,0.14694725635073874,0.0016240338846738253,1.235195470527161e-4,5.368351998260535e-6,0.06886204515649297,0.04464678566976846,2.0021358744731706e-6,3.302593763297466e-8,4.823634941345483e-10,21205.543858113164,0.7199568911245513,0.5929247462274981,0.004578261003736125,3.342960361973076e-4,0.5563309780271224,1.671442181002466e-5,0.19180994825774178,0.20776831541681837,0.002075160254887319,1.6857194916973517e-4,9.363046830889791e-6,272,Sub-Saharan Africa,Malawi,Blantyre,TA Machinjiri,30507,MW30507,0.1434986,0.003470380,0.2043781,0.02932797,0.01209204,0.000709270,0.2954967,0.03310780,0.5958565,0.1760736,0.05602058,0.01972749,0.05,9.46e-06,0.1,0.2195800,9.45850e-05,4.15e-05,36,2020-04-08
42,1943.4601097404168,0.06513781458092384,0.03973071000609452,0.0011055808890620099,1.3039571391902074e-4,0.027771856120047057,1.3902273481308155e-5,7602.441549667396,0.4578118171011803,0.47453295171262166,0.004422790031993925,3.689802669826229e-4,0.6252954589533921,1.8334542644835646e-5,11659.446669819581,0.18822219550145605,0.10897258143308987,4.9417997570140986e-6,9.609542242911257e-8,0.07613036389628043,1.6877946624446826e-9,1943.594,7603.004,11659.82,0.0231225681864089,0.01790080222036096,5.758478016715144e-4,6.877819919172264e-5,7.506037914833942e-6,0.10121934527433041,0.13543289863399866,0.0016429743999874264,1.4817951441532047e-4,8.017122772061116e-6,0.07118697230725957,0.050980248854630345,2.6342718767789603e-6,5.15141578424084e-8,9.214238865272779e-10,21205.348329227396,0.7111718271835602,0.623236243151806,0.005533312720812949,4.994720763240728e-4,0.7291976789697197,3.2238503920806245e-5,0.19552888576799887,0.20431394970898997,0.00222145647353572,2.1700922776488553e-4,1.5524082110781586e-5,272,Sub-Saharan Africa,Malawi,Blantyre,TA Machinjiri,30507,MW30507,0.1434986,0.003470380,0.2043781,0.02932797,0.01209204,0.000709270,0.2954967,0.03310780,0.5958565,0.1760736,0.05602058,0.01972749,0.05,9.46e-06,0.1,0.2195800,9.45850e-05,4.15e-05,36,2020-04-08
43,1943.437028511135,0.06902511351729018,0.04657509155536945,0.0014751718428741433,2.0485067598771024e-4,0.039664985871427125,2.6275402689409922e-5,7602.33946913946,0.4328415603177137,0.4669660500395509,0.004884261188638178,4.8311485920149205e-4,0.7593266600789994,2.921406210659972e-5,11659.373704396854,0.2049441254275505,0.13091136109506676,6.730505289263573e-6,1.5345703438479003e-7,0.11043322942525573,3.231662267357965e-9,1943.594,7603.004,11659.82,0.023081229281842752,0.01919393034547641,6.918288863015088e-4,9.522024566543321e-5,1.2373129208101768e-5,0.1020805279367778,0.1270507847202444,0.0016278024485754227,1.6736690752831417e-4,1.0879519461764075e-5,0.07296542272706574,0.056243492800971295,3.2447112922517855e-6,7.280028800011556e-8,1.5438676049132823e-9,21205.150202047447,0.7068107992625544,0.6444525026899871,0.006366163536801585,6.881189922235871e-4,0.9094248753756823,5.5492696458277e-5,0.1981271799456863,0.20248820786669208,0.0023228760461691833,2.626599534817475e-4,2.3254192537470757e-5,272,Sub-Saharan Africa,Malawi,Blantyre,TA Machinjiri,30507,MW30507,0.1434986,0.003470380,0.2043781,0.02932797,0.01209204,0.000709270,0.2954967,0.03310780,0.5958565,0.1760736,0.05602058,0.01972749,0.05,9.46e-06,0.1,0.2195800,9.45850e-05,4.15e-05,36,2020-04-08
44,1943.4140134926554,0.07188845371089851,0.0525455014085426,0.0018535451585911227,2.9662727056433834e-4,0.05335753119537711,4.484860101945866e-5,7602.236873965474,0.41451865793542964,0.4559848910875097,0.005214350245641408,5.970805658005898e-4,0.890768037487297,4.301721062813519e-5,11659.299385516906,0.21867982068538927,0.15115497477200163,8.627757120619177e-6,2.2581855362323314e-7,0.1507708284693803,5.586842807895857e-9,1943.594,7603.004,11659.82,0.023015018479554783,0.020151678285946453,7.944428827396517e-4,1.2294718402562846e-4,1.857319833004874e-5,0.10259517398571916,0.12091807636800322,0.0015949308294593895,1.8150302356897749e-4,1.380314852153547e-5,0.07431887994789577,0.060583184690056996,3.8155183242761574e-6,9.591332464602769e-8,2.355180540537892e-9,21204.950272975035,0.7050869323317174,0.6596853672680539,0.00707652316135315,8.939336549185514e-4,1.0948963971520544,8.787139849040175e-5,0.1999290724131697,0.2016529393440067,0.0023931892305233174,3.04546120919252e-4,3.237870203212475e-5,272,Sub-Saharan Africa,Malawi,Blantyre,TA Machinjiri,30507,MW30507,0.1434986,0.003470380,0.2043781,0.02932797,0.01209204,0.000709270,0.2954967,0.03310780,0.5958565,0.1760736,0.05602058,0.01972749,0.05,9.46e-06,0.1,0.2195800,9.45850e-05,4.15e-05,36,2020-04-08
45,1943.3910712297322,0.07397688610719735,0.057638267451821094,0.0022262643666852953,4.0376903314364316e-4,0.0686127386978668,7.084461168499e-5,7602.133995753021,0.4009920440433469,0.44383512185880497,0.005435568977541684,7.06846196770249e-4,1.0189749803268109,5.968558206779721e-5,11659.224043739356,0.22988555044343228,0.1694428489668288,1.0565346901787814e-5,3.1227500954500296e-7,0.19661697467097966,8.935995808231911e-9,1943.594,7603.004,11659.82,0.022942262923152157,0.020853830526853315,8.829439737872617e-4,1.5076973452058106e-4,2.5996010665531338e-5,0.10287821245310624,0.116404826345189,0.0015544873118633464,1.9132217464868864e-4,1.6668371439662018e-5,0.07534177755042037,0.06413604779237736,4.336549499724285e-6,1.1994798592778238e-7,3.3491530003360544e-9,21204.74911072211,0.7048544805939765,0.6709162382774548,0.007672398691128767,0.001110927504923437,1.2842046936956573,1.3053912974859543e-4,0.20116225292667878,0.20139470466441967,0.002441767835150332,3.422118571551975e-4,4.266773125819369e-5,272,Sub-Saharan Africa,Malawi,Blantyre,TA Machinjiri,30507,MW30507,0.1434986,0.003470380,0.2043781,0.02932797,0.01209204,0.000709270,0.2954967,0.03310780,0.5958565,0.1760736,0.05602058,0.01972749,0.05,9.46e-06,0.1,0.2195800,9.45850e-05,4.15e-05,36,2020-04-08
