"","time","S","E","I","H","C","R","D","inci","hosp","crits","lvl2","lvl3","lvl4","ID","POP","start"
"1",1,66055.7314,0,1,0,0,0,0,0,0,0,"Malawi","Nsanje","TA Mbenje","76",66056.7314,54
"2",2,66055.1090881734,0.51246553854416,0.777052609420099,0.00940617803653882,0.000119035894986397,0.323266941729846,1.52297954490917e-06,0.622311826605174,0.0100326734566813,0.000121614106881711,"Malawi","Nsanje","TA Mbenje","76",66056.7314,54
"3",3,66054.56923264,0.796419733213131,0.744252879465503,0.016478838740733,0.000419557578135695,0.604585353974793,1.09970813872167e-05,1.16216736005368,0.0187360946305243,0.000438174247112654,"Malawi","Nsanje","TA Mbenje","76",66056.7314,54
"4",4,66054.0186017076,1.00025532920591,0.796582306022332,0.0228933474347287,0.000858344916661498,0.892174771591206,3.41932227250252e-05,1.71279829239357,0.0276133074703693,0.00091622972139407,"Malawi","Nsanje","TA Mbenje","76",66056.7314,54
"5",5,66053.4130213591,1.18545808589885,0.893105354805631,0.0293919350561894,0.00142145621179063,1.20892590757239,7.59013231965675e-05,2.31837864086804,0.0373764943513013,0.00154994755955007,"Malawi","Nsanje","TA Mbenje","76",66056.7314,54
"6",6,66052.7270389128,1.37882738373437,1.01886263650983,0.0363488205945508,0.00210820898888332,1.56807336638161,0.000140670966668287,3.0043610871759,0.0484360347006957,0.00234634715745018,"Malawi","Nsanje","TA Mbenje","76",66056.7314,54
"7",7,66051.9415679381,1.59352133884665,1.16957373981289,0.0439989823435567,0.00292483670371353,1.97957999839259,0.000233165776660074,3.78983206187606,0.0610996892075304,0.00331955689609858,"Malawi","Nsanje","TA Mbenje","76",66056.7314,54
"8",8,66051.0387420337,1.83756921539796,1.3455188561831,0.0525318262763395,0.00388206782970767,2.45279763393101,0.000358366676723028,4.69265796629483,0.0756555694603444,0.00448873732300441,"Malawi","Nsanje","TA Mbenje","76",66056.7314,54
"9",9,66049.999639884,2.11735263530884,1.54911572504248,0.0621307538483356,0.00499431524577165,2.99764496672466,0.000521719855903915,5.73176011602599,0.0924088202628506,0.00587752102684012,"Malawi","Nsanje","TA Mbenje","76",66056.7314,54
"10",10,66048.8031363124,2.43906795664671,1.78399148438255,0.0729911826690298,0.00627955124385294,3.6252042434539,0.000729269211726827,6.92826368760777,0.111700151421268,0.00751411185423346,"Malawi","Nsanje","TA Mbenje","76",66056.7314,54
"11",11,66047.4251726359,2.8093853535126,2.05466265177779,0.0853301734832611,0.00775949786349556,4.34810189732349,0.000987790213463696,8.30622736417409,0.133917612635238,0.00943170185792176,"Malawi","Nsanje","TA Mbenje","76",66056.7314,54
"12",12,66045.8381500643,3.23579997303323,2.36646565292102,0.0993930829370867,0.00945999121135902,5.18082630057628,0.00130493502445112,9.89324993570343,0.159506388645723,0.0116690812900127,"Malawi","Nsanje","TA Mbenje","76",66056.7314,54
"13",13,66044.0103308443,3.72686584971746,2.7256008196584,0.115459336007803,0.0114114674010829,6.14004228997283,0.00168939300298833,11.7210691557606,0.18897847468881,0.0142713962495849,"Malawi","Nsanje","TA Mbenje","76",66056.7314,54
"14",14,66041.9051847072,4.2924017549609,3.13922966821599,0.13384835753966,0.0136495558281927,7.24493488489401,0.00215107146108599,13.8262152928998,0.222923240657528,0.0172910479593115,"Malawi","Nsanje","TA Mbenje","76",66056.7314,54
"15",15,66039.4806640025,4.94369719354191,3.61560492620387,0.154925970830706,0.0162157713322583,8.51759083838839,0.00270129726566313,16.2507359975628,0.262019153496489,0.0207887262129664,"Malawi","Nsanje","TA Mbenje","76",66056.7314,54
"16",16,66036.6883436042,5.6937473951047,4.16423402129896,0.179111900080413,0.0191583558027056,9.98345166847275,0.00335305514172687,19.0430563959013,0.307047693388943,0.0248346543984024,"Malawi","Nsanje","TA Mbenje","76",66056.7314,54
"17",17,66033.472481317,6.55750496577399,4.79606243565687,0.20688790906467,0.0225332128527278,11.6718089131169,0.00412124659853587,22.2589186830637,0.358908565461615,0.0295099625007343,"Malawi","Nsanje","TA Mbenje","76",66056.7314,54
"18",18,66029.7689011713,7.55218053887695,5.52368969998344,0.23880747085429,0.0264050243091238,13.6163930988388,0.0050229959332906,25.9624988287959,0.41863778971404,0.034908321617752,"Malawi","Nsanje","TA Mbenje","76",66056.7314,54
"19",19,66025.5037222457,8.69758018205422,6.36161955696795,0.275506727498952,0.0308485347531038,15.8560447552224,0.0060779978538517,30.2276777543505,0.487428309581406,0.0411378169820558,"Malawi","Nsanje","TA Mbenje","76",66056.7314,54
"20",20,66020.5919082002,10.0164912696057,7.32654390031491,0.317716994542206,0.0359500228432288,18.4354806994377,0.00730891311270107,35.1394917998564,0.566653526235678,0.0483230890422917,"Malawi","Nsanje","TA Mbenje","76",66056.7314,54
"21",21,66014.9355800244,11.5351332773973,8.43767019657652,0.366279316221941,0.0418090182271598,21.4061863395552,0.00874182770948795,40.7958199756876,0.65789470309531,0.0566078277467772,"Malawi","Nsanje","TA Mbenje","76",66056.7314,54
"22",22,66008.4220958455,13.2836642140089,9.71709953686593,0.422160987697832,0.0485402687829126,24.8274323706749,0.0104067765642141,47.3093041545947,0.762972189173452,0.0661576262972765,"Malawi","Nsanje","TA Mbenje","76",66056.7314,54
"23",23,66000.9218413283,15.2967644337555,11.1902590300141,0.486474583856158,0.0562760102046108,28.7674462677011,0.0123383462637,54.8095586717952,0.883981396117756,0.0771632711083463,"Malawi","Nsanje","TA Mbenje","76",66056.7314,54
"24",24,65992.285690011,17.614312574372,12.8863918018026,0.560499881731271,0.0651685765899901,33.3047607866256,0.0145763679585004,63.44570998908,1.02333421172629,0.0898445253817488,"Malawi","Nsanje","TA Mbenje","76",66056.7314,54
"25",25,65982.342098318,20.2821470169167,14.8391263580275,0.645708883602691,0.0753934071319541,38.5297593027797,0.0171667136140328,73.3893016820726,1.1838064560061,0.104454483750539,"Malawi","Nsanje","TA Mbenje","76",66056.7314,54
"26",26,65970.8937795954,23.3529334672236,17.0871289921649,0.743794477815545,0.0871525023122445,44.5464487541887,0.0201622109465237,84.8376204046515,1.36859232559832,0.12128457734366,"Malawi","Nsanje","TA Mbenje","76",66056.7314,54
"27",27,65957.7138832877,26.8871738630748,19.6748361771537,0.856703505511172,0.100678392432497,51.4745010780462,0.023623696123235,98.0175167123416,1.58136708484154,0.140670324405446,"Malawi","Nsanje","TA Mbenje","76",66056.7314,54
"28",28,65942.54163545,30.9543406811501,22.6533004556677,0.986674452995026,0.116238697453045,59.4515890397588,0.0276212230111746,113.189764550036,1.82635879383093,0.162997937239662,"Malawi","Nsanje","TA Mbenje","76",66056.7314,54
"29",29,65925.0773675307,35.6341494045805,26.0811672536865,1.13628039747146,0.134141366647993,68.6360585940334,0.0322354529404012,130.65403246936,2.10843036615919,0.188711914558223,"Malawi","Nsanje","TA Mbenje","76",66056.7314,54
"30",30,65904.9768235054,41.0180383394649,30.0257595885697,1.30847848697347,0.154740676812599,79.2100001508496,0.037559252010009,150.75457649468,2.43317387848397,0.218323743725729,"Malawi","Nsanje","TA Mbenje","76",66056.7314,54
"31",31,65881.8446783674,47.2108364389348,34.5643146398428,1.50666635449069,0.178444108750167,91.3827605648203,0.0436995258060957,173.886721632645,2.80701840918573,0.252421883192017,"Malawi","Nsanje","TA Mbenje","76",66056.7314,54
"32",32,65855.2271974534,54.3325924520139,39.7854230933992,1.73474586507831,0.205720237928924,105.394941572623,0.0507793255623474,200.504202546605,3.23735280171459,0.291683218612724,"Malawi","Nsanje","TA Mbenje","76",66056.7314,54
"33",33,65824.6038737645,62.5206857852176,45.7906152676485,1.9971962687928,0.237107744315689,121.522980903261,0.0589402663512296,231.127526235587,3.73266632037652,0.336886166375034,"Malawi","Nsanje","TA Mbenje","76",66056.7314,54
"34",34,65789.3779422294,71.9322203198579,52.696124949714,2.29915763734337,0.273225698837048,140.084383863144,0.0683453017475756,266.353457770644,4.30270927512536,0.388925657213646,"Malawi","Nsanje","TA Mbenje","76",66056.7314,54
"35",35,65748.8657373139,82.7465754889397,60.6349529739594,2.64652418590013,0.314785339288325,161.443642794275,0.0791819037587185,306.865662686121,4.95867473867225,0.44883029533958,"Malawi","Nsanje","TA Mbenje","76",66056.7314,54
"36",36,65702.2846884881,95.1682800864482,69.7591352216684,3.04605033121093,0.362603474284187,186.018976691314,0.0916657070508651,353.446711511976,5.71340543581952,0.517781931605472,"Malawi","Nsanje","TA Mbenje","76",66056.7314,54
"37",37,65648.7398166719,109.430298528986,80.2421590472053,3.5054714174618,0.417617651975234,214.289992010743,0.106044671829637,406.9915833282,6.58162891483708,0.597137879452819,"Malawi","Nsanje","TA Mbenje","76",66056.7314,54
"38",38,65587.2086825861,125.797394141098,92.2818273738144,4.03363783929303,0.480903626987925,246.806350542137,0.12260389067746,468.522717414008,7.58022357114523,0.688456519220117,"Malawi","Nsanje","TA Mbenje","76",66056.7314,54
"39",39,65516.5248434181,144.56981910498,106.103273775641,4.64066418411924,0.553694823485589,284.19743369432,0.141670999413971,539.206556581959,8.72851524091505,0.793525921106705,"Malawi","Nsanje","TA Mbenje","76",66056.7314,54
"40",40,65435.3593375329,166.087395288363,121.962174481885,5.33809853391759,0.637404553636663,327.183367175817,0.163622433507261,620.372062467126,10.0486155225416,0.914396654954575,"Malawi","Nsanje","TA Mbenje","76",66056.7314,54
"41",41,65342.2008690207,190.733375564434,140.148402160938,6.13910375247693,0.733650880815562,376.58710814668,0.188890473994499,713.530530979339,11.565792593113,1.05341858130237,"Malawi","Nsanje","TA Mbenje","76",66056.7314,54
"42",42,65235.3337266996,218.938863285566,160.989622362205,7.0586648185391,0.844284861983347,433.34826656106,0.217971411112042,820.397673300466,13.3088952259963,1.21328291376013,"Malawi","Nsanje","TA Mbenje","76",66056.7314,54
"43",43,65112.8150281522,251.186606511547,184.855210837985,8.113804010604,0.971421494383218,498.537894397797,0.251434595545187,942.916371847861,15.3108063321632,1.39706848832669,"Malawi","Nsanje","TA Mbenje","76",66056.7314,54
"44",44,64972.4500389674,288.014861399121,212.160076735357,9.32382091366924,1.11747480911046,573.375194241569,0.289932933874789,1083.2813610327,17.6089552807016,1.60829462442436,"Malawi","Nsanje","TA Mbenje","76",66056.7314,54
"45",45,64811.7673287264,330.020424835309,243.368372230766,10.710539960501,1.28519601578646,659.245323684828,0.33421454645551,1243.96407127365,20.2458636090132,1.8509790048875,"Malawi","Nsanje","TA Mbenje","76",66056.7314,54
"46",46,64627.9939999277,377.860666720788,278.996820003797,12.2985673421898,1.47771509043539,757.718495071131,0.385135844022141,1427.73740007236,23.2697302124705,2.12970140088106,"Malawi","Nsanje","TA Mbenje","76",66056.7314,54
"47",47,64418.0312742953,432.254073288473,319.617505055602,14.1155567993319,1.69858708274598,870.570726916989,0.443676561597422,1637.70012570474,26.7350667959433,2.4496754296683,"Malawi","Nsanje","TA Mbenje","76",66056.7314,54
"48",48,64178.4328715526,493.978585277151,365.859407615305,16.1924663336946,1.95184133397627,999.805271451549,0.510956435785376,1877.29852844746,30.7033535717041,2.81682600506553,"Malawi","Nsanje","TA Mbenje","76",66056.7314,54
"49",49,63905.3883689866,563.866889832047,418.408482308612,18.5637849293728,2.2420316710488,1147.67358918997,0.588253082368327,2150.34303101342,35.243680463332,3.23786979604962,"Malawi","Nsanje","TA Mbenje","76",66056.7314,54
